symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42342,0.45192515455,0.45192515455,0.100103744784
ytr,0.352632368744,0.804460782631,0.178192198559
CG30116,0.332504780348,1.17011671504,0.259186867186
CG31997,0.25655882654,1.49301161557,0.330709747445
Dat,0.29350606114,1.87031932763,0.414285345159
ST6Gal,0.178831904032,2.25657909816,0.49984386984
FER,0.189857033986,2.6576778134,0.58868929705
CG2931,0.0670604726537,3.063580509,0.678598830606
Dys,0.0739526193649,3.48418736715,0.771765411751
GluRIB,0.113127504423,3.82442347707,0.847129459029
sced,0.0791407922794,4.09517251897,0.907101763555
CG9395,0.0725362495659,4.25802983864,0.943175497004
CG14104,0.0755320647966,4.37291111241,0.968622289674
Oatp74D,0.0715609271089,4.43001729313,0.981271602248
Dop1R1,0.137160145759,4.46938511464,0.989991777077
l(2)41Ab,0.0945425988865,4.49155806364,0.994903199258
