symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42342,0.45192515455,0.45192515455,0.100103744784
PVRAP,0.374939959033,0.825416741847,0.182834051246
CG42339,0.350915000404,1.22757230801,0.27191357637
CG31997,0.25655882654,1.53527698338,0.340071743672
CG4341,0.268400019974,1.8783261417,0.416058895632
Pde1c,0.202952423373,2.26792373452,0.502356765109
sano,0.214150333872,2.66620055871,0.590577128947
oaf,0.21412209282,3.08396134001,0.683113289439
Nop56,0.0714973281709,3.47536817886,0.769811916212
sick,0.156264014604,3.81148760551,0.844264096985
CG5021,0.0817179526862,4.09671402272,0.907443214558
Pal2,0.0697025794228,4.27547173834,0.947038967446
CG17680,0.0747694978841,4.38261719612,0.970772237108
Ubi-p63E,0.0697457818504,4.44804906974,0.985265733458
CstF-64,0.0710754866803,4.48130849325,0.992632866729
