symbol,medianA,medianB,pvalue,pvalue_adj
CG7191,0.707712669115,0.0,2.39790493682e-60,3.72202804294e-56
CG31323,8.31967081978,0.0,3.2911347375e-25,5.10849933956e-21
s-cup,0.0,0.0,1.57439369291e-23,2.44377389014e-19
caup,8.76479174415,0.0,3.30067050435e-20,5.12330075686e-16
CG7991,8.38765203607,0.0,1.01554000517e-19,1.57632119603e-15
sNPF,4.20613818958,0.0,5.45765602098e-18,8.47137367576e-14
spz5,0.0,0.0,2.26101983708e-17,3.50955499111e-13
AstA-R1,4.21153099639,0.0,2.62153823574e-15,4.06915164952e-11
CG12484,8.65976759197,0.0,3.85195395911e-15,5.97900293533e-11
unpg,8.98743310082,0.0,9.315836548e-15,1.44600414898e-10
otp,0.0,9.41737219554,1.90506960057e-14,2.957049034e-10
oaf,8.49002983783,0.0,3.15452487753e-14,4.89645351491e-10
CG7179,0.0,0.0,8.29213665363e-14,1.28710545138e-09
CG15765,0.0,9.81885658957,3.9601037736e-13,6.14687307738e-09
Apoltp,0.0,0.0,5.29972386533e-13,8.22623138376e-09
Kal1,0.0,0.0,5.38685362458e-13,8.36147419608e-09
CG42674,7.81794470307,0.0,1.16027397727e-12,1.80097726751e-08
Trpm,1.97552365982,0.0,1.59356988611e-12,2.47353917722e-08
ara,8.91485469711,0.0,2.99940733725e-12,4.65568006887e-08
pdm3,8.82143435822,0.0,6.10606684777e-12,9.47783696111e-08
kek1,0.0,5.44922727463,9.93267701144e-12,1.54175012572e-07
pros,12.8159575101,11.4227379753,2.11689078677e-11,3.28583787923e-07
CG32432,0.0,0.0,2.5880790965e-11,4.01721637358e-07
Hsp23,12.307544558,11.3391214055,6.74580138228e-11,1.04708329056e-06
sdt,0.0,4.3846322184,6.81001662195e-11,1.05705078006e-06
CG42339,10.7319085289,8.78577240176,8.25216264884e-11,1.28090068635e-06
Ac76E,0.0,6.68776710953,2.05755218747e-10,3.19373250539e-06
jv,0.0,0.0,5.84400196673e-10,9.07105985277e-06
AstC-R1,0.0,0.0,7.16356420737e-10,1.11192843627e-05
CG17278,8.59581018357,0.0,7.47340341324e-10,1.1600216778e-05
acj6,0.0,5.84518295081,7.60436689086e-10,1.1803498288e-05
CG9436,0.0,0.0,1.24626073396e-09,1.93444591126e-05
CG42361,8.77116980042,6.39510208369,1.26022773338e-09,1.95612548775e-05
CG30089,6.61668271853,0.0,2.96495279601e-09,4.60219972997e-05
klg,0.0,8.00666844041,3.2410231238e-09,5.03071609277e-05
Oct-TyrR,0.0,0.0,6.56386527206e-09,0.000101884316753
dsf,0.0,0.0,8.78887268819e-09,0.000136420881866
CG2082,10.2790351432,7.28067161578,1.06113225975e-08,0.000164708949358
dpr9,0.0,6.16683222148,1.25091008842e-08,0.000194166263925
CG31814,6.78170073058,0.0,2.43242464138e-08,0.000377560952835
CG34114,0.0,1.43116116624,3.26305104699e-08,0.000506490783514
vfl,0.0,0.0,3.5547728531e-08,0.000551771842258
CG34353,8.30004150149,0.0,4.71413670457e-08,0.000731728299284
Swim,0.0,0.0,8.53723581409e-08,0.00132514974306
Cyp9b2,0.0,0.0,9.53560223014e-08,0.00148011617816
CR44460,0.0,0.0,9.53560223014e-08,0.00148011617816
obst-H,0.0,0.0,9.53560223014e-08,0.00148011617816
CR33283,0.0,0.0,9.53560223014e-08,0.00148011617816
CG31286,0.0,0.0,9.53560223014e-08,0.00148011617816
CG31345,0.0,0.0,9.53560223014e-08,0.00148011617816
CR46042,0.0,0.0,9.53560223014e-08,0.00148011617816
CR45165,0.0,0.0,9.53560223014e-08,0.00148011617816
Gba1b,0.0,0.0,9.53560223014e-08,0.00148011617816
Obp56i,0.0,0.0,9.53560223014e-08,0.00148011617816
CR44537,0.0,0.0,9.53560223014e-08,0.00148011617816
