,medianA,medianB,pvalue,pvalue_adj
br,0.0,9.08996083103,1.60001094808e-05,0.248353699361
beat-IIa,8.43292575547,0.0,1.87923035691e-05,0.291694136
Eip93F,0.0,5.87286534557,1.87923035691e-05,0.291694136
mt:ND5,5.56946167524,3.47588422049,2.34743628248e-05,0.364369059766
GILT3,8.89537273251,0.0,3.12804076921e-05,0.485534488196
rgn,11.287275728,6.68569615382,4.53579289172e-05,0.704045772652
Cow,8.32964375472,10.7563280008,4.86728378236e-05,0.755499788697
CG3726,0.0,8.22339620467,5.07461880929e-05,0.787682331577
drl,4.62120197752,10.8867163625,5.9603053663e-05,0.925158598957
ab,8.34837082685,1.13200378075,7.28770520889e-05,1.13119760252
mt:Cyt-b,8.93856907531,7.19990494985,7.78979465439e-05,1.20913192626
CG12038,6.09815778072,9.48210862717,9.49709897323e-05,1.47413970262
CG14401,6.71991066012,0.0,0.000191695863289,2.97550318997
fru,0.0,10.3274942827,0.000191695863289,2.97550318997
Fas2,5.66894918666,10.7923758668,0.00029277029605,4.54438053528
CR41535,5.8769032726,6.75654514035,0.000365740995907,5.67703173847
CG42342,8.36848983551,10.2906198822,0.000365740995907,5.67703173847
ytr,0.0,7.53986598185,0.000468514203725,7.27227747022
CG6912,6.97100802743,0.0,0.000505276606553,7.84290348691
CG42788,3.24621922081,0.0,0.000542166280837,8.41550501115
CR44042,3.7951304637,0.0,0.000542166280837,8.41550501115
CG3568,0.0,5.57312968616,0.000542166280837,8.41550501115
CR45600,5.56763276504,0.0,0.000542166280837,8.41550501115
MRE16,9.17113372293,4.97959080548,0.00055308909204,8.58504888665
mt:CoI,11.0785062997,10.2214238964,0.00055308909204,8.58504888665
CG12991,0.0,7.89142941984,0.000608105492195,9.43901344985
Miro,0.0,7.75001547453,0.000634034528259,9.84148394764
Prosalpha3,9.03232025722,7.74420601405,0.000670439238374,10.406557858
mt:ATPase6,8.92863449855,7.62426763855,0.000676970721546,10.5079395398
pxb,0.0,9.41608782282,0.000746008722863,11.5795473963
Pax,0.0,10.0907172056,0.000746609897836,11.5888788342
sun,6.68092848765,3.18276611377,0.000826019728117,12.8214782198
28SrRNA-Psi:CR40596,5.99273225673,7.18693965505,0.000826019728117,12.8214782198
CG10915,6.46996121787,8.63179488707,0.000982205636211,15.2457958853
Diap1,9.20618288475,5.37510617084,0.000982205636211,15.2457958853
NaPi-III,8.50901785381,9.61351965352,0.00100248323755,15.5605448133
rdx,7.80788172439,9.93394075306,0.00100475242783,15.5957671848
Hsromega,9.99206232917,11.9001420396,0.00100475242783,15.5957671848
CG32982,7.48111639867,2.96914751187,0.00108243223757,16.8015131916
CG42258,0.0,7.18875593837,0.00112871004054,17.5198372493
Octbeta3R,0.0,4.23690125225,0.00112880308385,17.5212814675
UQCR-Q,7.94088458511,5.74552151832,0.00121836740449,18.9114988526
CG42613,3.54688028474,0.0,0.00123829633922,19.2208357774
CG32581,4.99587141709,0.0,0.00126291265293,19.6029301988
fas,0.0,3.77100281481,0.00126291265293,19.6029301988
CG3160,8.3526588802,0.0,0.00135089837356,20.9686445544
Sirt2,0.0,3.83857932335,0.00139888360254,21.7134712786
CG31109,0.0,5.7157332609,0.00142779274305,22.1621989576
CG32368,2.2484453425,0.0,0.00142779274305,22.1621989576
CG42313,3.77056487661,0.0,0.00142779274305,22.1621989576
CCHa2-R,3.13436298918,0.0,0.00142779274305,22.1621989576
GluClalpha,6.23451405935,8.8281356854,0.00147282307527,22.8611597743
CG13300,0.0,6.07189109349,0.00150721646069,23.3950139029
cbs,7.58530586027,0.0,0.00156917424068,24.3567225639
CG1607,8.72092689675,0.0,0.00163600897563,25.3941313198
SerRS,9.11085113701,0.0,0.00166511987523,25.8459907033
CG42747,0.0,7.71772871959,0.00171566764987,26.6305932612
mt:CoIII,9.71045110969,8.62313272254,0.00177491931746,27.5502976456
Myo81F,6.78229867245,8.58005844558,0.00177491931746,27.5502976456
RpL38,7.99812675873,5.9377526821,0.00177491931746,27.5502976456
CG34393,0.0,7.52989485081,0.00194175002269,30.1398438521
CG14509,0.0,5.88453838114,0.00194175002269,30.1398438521
