,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,8.23759833198,9.33764556343e-06,0.144938934436
br,0.0,8.92846620124,1.60001094808e-05,0.248353699361
beat-IIa,9.09175062065,0.0,1.87923035691e-05,0.291694136
Octbeta3R,0.0,2.27537311891,1.87923035691e-05,0.291694136
Fas2,5.03191925411,10.5855780701,3.69333042231e-05,0.573278748152
mt:ND5,5.37521990745,3.05343834124,4.86728378236e-05,0.755499788697
Eip93F,0.0,6.076211516,6.2654363942e-05,0.972521037107
rgn,10.7555767965,7.34152424598,7.28770520889e-05,1.13119760252
GILT3,8.07875038228,0.0,7.41699466527e-05,1.15126591194
Cow,8.79180554114,10.947787691,7.78979465439e-05,1.20913192626
ab,8.06865184126,0.0,9.38526806308e-05,1.45678130875
pros,12.4823178692,11.5096312283,0.000123103116411,1.91080657294
fru,0.0,10.5373993703,0.000148206009967,2.30045368671
otp,9.04237690965,10.7706225765,0.000154022352814,2.39073496038
sun,6.04629640308,2.64570830075,0.000154022352814,2.39073496038
CG34393,0.0,7.88747363609,0.000191695863289,2.97550318997
CG12994,0.0,5.64660628454,0.000191695863289,2.97550318997
mt:ATPase8,3.99023380073,2.15708347513,0.000238162387247,3.69675657485
Cyp1,11.6074540373,10.7354354029,0.000238840864478,3.70728789844
mt:ATPase6,9.1539555251,7.06482126425,0.000296021072947,4.59483909429
mCD8-GFP,11.1562819935,12.5620226519,0.000296021072947,4.59483909429
rg,0.0,4.62695471425,0.000308239766457,4.78449765495
Fife,8.01255093741,0.0,0.000324921862813,5.04343715458
mt:lrRNA,3.95864453534,1.88457089358,0.000365740995907,5.67703173847
ATPsynD,9.49283312824,8.45435903353,0.000365740995907,5.67703173847
pxb,0.0,9.20172303592,0.000386116522864,5.99330066789
Hsp70Bc,0.529690746035,3.45843609743,0.000388399919053,6.02874354353
RpL35,7.9595336461,5.96102150275,0.00045046779818,6.99216116335
MRE16,8.19609300372,4.10506033848,0.00045046779818,6.99216116335
drl,5.16142420088,10.5371409975,0.00053936770472,8.37206551266
IleRS,0.0,3.97900028281,0.000542166280837,8.41550501115
CG42750,0.0,2.05484566307,0.000542166280837,8.41550501115
Ccn,0.0,3.66134518444,0.000542166280837,8.41550501115
Galk,0.0,6.16729014515,0.000542166280837,8.41550501115
tsr,10.9772878995,9.24026910339,0.00055308909204,8.58504888665
mt:CoIII,9.41420400394,8.24786821333,0.00055308909204,8.58504888665
Acon,9.24248182916,10.2373136996,0.00055308909204,8.58504888665
Hsp70Bb,4.99688896415,6.39040054657,0.00055308909204,8.58504888665
mt:Cyt-b,8.83243128705,7.18159112211,0.00055308909204,8.58504888665
CG7430,6.95374402374,9.6052918358,0.0006753339723,10.482533918
CR40668,4.15104145779,5.04579691981,0.000676970721546,10.5079395398
robl,7.30877965799,4.74284120556,0.000676970721546,10.5079395398
PrBP,6.21594579553,0.0,0.000792514928053,12.3014167132
CR41535,5.86435148025,6.77156401468,0.000826019728117,12.8214782198
ND-MLRQ,5.82757171357,3.22184835679,0.000826019728117,12.8214782198
RpS27,7.56974181816,5.35341002474,0.000826019728117,12.8214782198
IA-2,7.77976421705,10.0224983646,0.000826019728117,12.8214782198
epsilonCOP,6.81018581786,0.0,0.000917336707587,14.2389003752
Uch,8.55172358196,6.67794068943,0.00100248323755,15.5605448133
fne,11.0717565599,9.7867028639,0.00100475242783,15.5957671848
nAChRalpha1,8.50401517597,3.68192820952,0.00108243223757,16.8015131916
ed,0.0,6.15448260711,0.00108495092142,16.8406082023
lilli,0.0,5.91364142715,0.00113640233548,17.6392370513
