,medianA,medianB,pvalue,pvalue_adj
br,0.0,8.88619064603,5.13445780758e-06,0.0796970540892
ab,8.1503287929,0.0,1.30214778044e-05,0.20211937848
CG32581,5.70051330718,0.0,1.87923035691e-05,0.291694136
GILT3,8.39955495216,0.0,2.43019981857e-05,0.377215615839
beat-IIa,8.69997650869,0.0,5.07461880929e-05,0.787682331577
Eip93F,0.0,5.16734782978,6.2654363942e-05,0.972521037107
pxb,0.0,10.0733619559,6.44528980183e-05,1.00043788304
pyd,0.0,8.82670231186,6.44528980183e-05,1.00043788304
CG3726,0.0,6.34578691527,8.37425492817e-05,1.29985184995
CG42747,0.0,7.89920679945,8.37425492817e-05,1.29985184995
ytr,0.0,7.64910981098,9.43200352927e-05,1.46403558781
Diap1,9.63878398121,7.82384016901,9.77664335981e-05,1.51753058231
Mid1,0.0,6.28998094447,0.00011600356004,1.80060725894
rgn,10.5616333299,7.80135957714,0.000122720086651,1.904861185
Hsromega,10.472459914,11.888209581,0.000154022352814,2.39073496038
fru,0.0,8.5027992907,0.000191695863289,2.97550318997
28SrRNA-Psi:CR40596,6.21445342902,7.1740186145,0.000238840864478,3.70728789844
Fas2,4.1206808029,9.99284949788,0.000287940759511,4.46941646913
Pax,0.0,9.32736247697,0.000289872476541,4.49940058086
CR41535,5.86501935626,6.69524705591,0.000296021072947,4.59483909429
Abp1,0.0,8.48848502289,0.000318096176154,4.93748884626
CycG,9.96510649093,10.7164623553,0.000365740995907,5.67703173847
ed,0.0,6.1878680616,0.000380367227827,5.90406011033
CG11444,7.70636322121,4.66950269863,0.000427583200774,6.63694644241
pros,12.6246712129,11.9044523895,0.00045046779818,6.99216116335
fne,11.35839026,9.99160471647,0.00045046779818,6.99216116335
MRE16,8.76699951565,4.6193210565,0.00045046779818,6.99216116335
beat-IIb,7.72308908504,0.0,0.000505276606553,7.84290348691
CG17544,0.0,8.43794305603,0.000542166280837,8.41550501115
CG34393,0.0,7.18771802865,0.000542166280837,8.41550501115
sba,2.12609775977,0.0,0.000542166280837,8.41550501115
sdk,0.0,2.94603071688,0.000542166280837,8.41550501115
CG3568,0.0,5.24390244557,0.000542166280837,8.41550501115
CG42402,3.01883589461,0.0,0.000542166280837,8.41550501115
Nacalpha,8.40363655776,6.84288028032,0.00055308909204,8.58504888665
Blimp-1,3.74183536316,8.92215246676,0.000644725598377,10.007430738
Nlp,9.76997781428,7.61600923558,0.000676970721546,10.5079395398
CG32795,6.00549746128,0.0,0.000755145951111,11.7213754531
CG41128,5.06955313435,1.90047468155,0.000818314149943,12.7018722354
Nca,8.02053185927,6.54431406255,0.000824088988833,12.7915092847
pgant2,0.0,6.05874341156,0.000917336707587,14.2389003752
Tom7,5.77565225314,3.55087776037,0.00100475242783,15.5957671848
RpS24,8.56811488216,7.1721395055,0.00100475242783,15.5957671848
beat-VI,0.0,8.10025890288,0.00113640233548,17.6392370513
IP3K2,0.0,9.00922198175,0.00113640233548,17.6392370513
Pxn,10.1819626141,8.64463057132,0.00120776019566,18.746853757
CG42339,10.9645318146,9.20310797793,0.00121571023979,18.870254342
CR40668,4.16783938087,4.9431263297,0.00121836740449,18.9114988526
RNASEK,6.28726433753,3.68366537662,0.00121836740449,18.9114988526
CG14401,6.59462425436,0.0,0.00126291265293,19.6029301988
CG7903,0.0,7.36702583761,0.00137316776791,21.3143100934
ref(2)P,4.05896241517,9.19298390054,0.00141157064903,21.9103996143
mt:ND6,0.821447197875,0.0,0.00142779274305,22.1621989576
CR44042,1.87191971759,0.0,0.00142779274305,22.1621989576
CG42788,2.85473140865,0.0,0.00142779274305,22.1621989576
GlyP,4.92646389599,0.0,0.00142779274305,22.1621989576
CdGAPr,0.0,1.81843531842,0.00142779274305,22.1621989576
CG42392,0.0,2.3209432486,0.00142779274305,22.1621989576
MESR3,0.0,1.88688772551,0.00142779274305,22.1621989576
Hr46,0.0,2.02718088253,0.00142779274305,22.1621989576
