,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,7.3359853587,5.13445780758e-06,0.0796970540892
br,0.0,9.19215691635,5.13445780758e-06,0.0796970540892
beat-IIa,8.25306767379,0.0,5.13445780758e-06,0.0796970540892
fru,0.0,10.6892818422,7.09569794446e-06,0.110139423494
ab,8.20968294692,0.0,9.15336830931e-06,0.142078582897
Eip93F,0.0,5.62250144801,1.87923035691e-05,0.291694136
IP3K2,0.0,9.6086126324,2.08338413307e-05,0.323382885135
pxb,0.0,9.92088533005,2.4291233778e-05,0.377048530702
GILT3,8.29811239419,0.0,3.12804076921e-05,0.485534488196
beat-VI,0.0,9.01324198076,4.33551179312e-05,0.672958140528
Fas2,2.47450210319,10.0911031994,4.53579289172e-05,0.704045772652
hbs,0.0,9.04205231905,5.1305805304e-05,0.796368709929
CG42674,0.0,6.02562023576,6.2654363942e-05,0.972521037107
rgn,11.0982152973,6.70846685853,7.28770520889e-05,1.13119760252
mt:ATPase6,9.34846359856,7.21623419211,7.78979465439e-05,1.20913192626
CG34393,0.0,7.99749140367,8.37425492817e-05,1.29985184995
drl,6.25248590539,10.7647362298,9.68279741405e-05,1.50296381461
mCD8-GFP,11.0142842828,12.6130297943,9.80807368533e-05,1.52240919744
Ccn,0.0,6.56392936703,0.000106995032231,1.66077689029
pros,12.6552578028,11.5096312283,0.000123103116411,1.91080657294
mt:CoIII,9.86166429718,8.55086552548,0.000154022352814,2.39073496038
CG15537,0.0,8.00093083749,0.000191695863289,2.97550318997
CG7991,0.0,6.44820580488,0.000218386433084,3.38979421433
CG43222,6.6017579468,4.37097777905,0.000238840864478,3.70728789844
Hsp70Bb,5.2073470878,6.6279125786,0.000238840864478,3.70728789844
mt:ATPase8,4.15105626059,2.70580631861,0.000238840864478,3.70728789844
fas,0.0,5.25536292967,0.000239209057348,3.71300298815
mt:lrRNA,4.65023970033,2.3754886858,0.000296021072947,4.59483909429
CG32698,0.0,6.39800262189,0.000302203756243,4.69080670441
rdgC,2.37751769477,8.75729683297,0.000313816746402,4.87106353765
shot,0.0,9.58368996216,0.000313816746402,4.87106353765
mRpL49,6.37861437257,0.0,0.000324921862813,5.04343715458
Hsromega,10.4648035751,12.0033117809,0.000365740995907,5.67703173847
mt:ND5,5.42970269769,3.12373776712,0.000365740995907,5.67703173847
