,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,7.38031307567,5.13445780758e-06,0.0796970540892
beat-IIa,8.5631432537,0.0,5.13445780758e-06,0.0796970540892
fru,0.0,10.4989887102,5.13445780758e-06,0.0796970540892
br,0.0,9.56677232046,1.60001094808e-05,0.248353699361
pxb,0.0,10.0578557005,2.4291233778e-05,0.377048530702
GILT3,8.0498732478,0.0,3.37431000766e-05,0.523760399388
Eip93F,0.0,6.01945363201,6.2654363942e-05,0.972521037107
CG15537,0.0,8.14422675831,6.2654363942e-05,0.972521037107
CG34393,0.0,7.4238789313,6.2654363942e-05,0.972521037107
CG17544,0.0,8.61197444895,6.2654363942e-05,0.972521037107
rgn,11.096984228,6.20675835887,7.28770520889e-05,1.13119760252
ab,8.34562320397,0.0,7.41699466527e-05,1.15126591194
Pax,5.58354417535,10.8981514881,9.19345635454e-05,1.42700829535
GlyP,8.96155281838,0.0,0.00011600356004,1.80060725894
beat-VI,0.0,9.49953121699,0.000119835656962,1.86008906736
Gug,0.0,8.13528962214,0.000129502823541,2.01014282701
pros,12.7208471027,11.5617399546,0.000154022352814,2.39073496038
CG32698,0.0,4.16188126805,0.000191695863289,2.97550318997
Ccn,0.0,8.26092233898,0.000239209057348,3.71300298815
hbs,0.0,5.84869392228,0.000284835194191,4.42121188424
ND-13B,7.18329352295,4.61833375567,0.00029277029605,4.54438053528
drl,7.97538622774,10.2269591253,0.000295206040972,4.58218816797
mt:lrRNA,5.12758225944,2.60185623171,0.000364765459768,5.66188946651
mt:ATPase6,8.88465998535,7.17814302734,0.000365740995907,5.67703173847
Pde1c,7.50153324314,0.0,0.000388399919053,6.02874354353
CR45018,0.0,5.02814847014,0.000401100451324,6.22588120545
CG15772,0.0,6.12092953551,0.000542166280837,8.41550501115
CG6912,5.58245833755,0.0,0.000542166280837,8.41550501115
sog,4.30805780844,0.0,0.000542166280837,8.41550501115
CR40469,0.0,1.86056213383,0.000542166280837,8.41550501115
Arc1,5.97202608643,0.0,0.000542166280837,8.41550501115
beat-IIIb,0.0,5.47478645098,0.000542166280837,8.41550501115
CR45600,5.1436703817,0.0,0.000542166280837,8.41550501115
p,7.98126305106,9.51152825662,0.000547573038485,8.49942870336
mt:CoIII,9.88331364412,8.47356734797,0.00055308909204,8.58504888665
Atg6,6.23335412434,0.0,0.000595886334442,9.24934768321
fas,0.0,5.28458091452,0.000634034528259,9.84148394764
CG3625,8.48895979849,10.3061111101,0.0006753339723,10.482533918
IP3K2,0.0,9.7030950885,0.000755145951111,11.7213754531
CG14883,7.14369514712,8.86625705724,0.000818314149943,12.7018722354
CG8301,1.69799472315,9.00852342375,0.000839886843894,13.0367235909
snf,7.62905904418,3.59611126983,0.000959980575337,14.9008184904
mt:ND5,5.42970269769,3.0994264516,0.00100475242783,15.5957671848
CG42747,0.0,7.56133051448,0.00113640233548,17.6392370513
l(1)G0320,7.98041106314,4.47704485468,0.00116590237631,18.0971366851
CG12994,0.0,4.98112400638,0.00122388950565,18.9972129066
5-HT1A,0.0,6.12280926395,0.00136672541789,21.2143119366
tgo,0.0,9.4637486769,0.00137316776791,21.3143100934
CG8909,2.40255225244,0.0,0.00142779274305,22.1621989576
CG32581,5.55325011146,0.0,0.00142779274305,22.1621989576
CG42313,4.0656224658,0.0,0.00142779274305,22.1621989576
Sytbeta,1.98319525226,0.0,0.00142779274305,22.1621989576
CG14591,5.77112147296,0.0,0.00142779274305,22.1621989576
CG3568,0.0,1.69610685684,0.00142779274305,22.1621989576
CR31953,1.26514278833,0.0,0.00142779274305,22.1621989576
hth,11.818244059,11.0879595741,0.00147282307527,22.8611597743
MRE16,9.34780818479,4.4851691287,0.00147282307527,22.8611597743
Fife,7.74054374223,0.0,0.00150721646069,23.3950139029
CG12065,0.0,7.55182961388,0.00161732083694,25.1040540309
ytr,0.0,6.19376008913,0.00166076442124,25.7783853464
Ac76E,0.0,7.37286581709,0.00169115023202,26.2500339014
Ace,5.0886411106,9.94686027766,0.00170367355559,26.4444209299
Sulf1,9.73369055998,6.41233206112,0.00170367355559,26.4444209299
CG3822,5.90493593751,8.29104072419,0.00176053230348,27.3269824146
nSyb,10.2379917225,11.013566976,0.00177491931746,27.5502976456
Hsc70-4,12.1435875459,13.116436917,0.00177491931746,27.5502976456
CG3556,9.20301695618,10.3525568561,0.00177491931746,27.5502976456
CG33977,4.9968093033,0.0,0.001828432202,28.3809246395
eIF2B-beta,7.49380686121,0.0,0.0018668701386,28.9775582913
pgant2,0.0,5.7808616728,0.00201135394335,31.2202359087
CG14971,7.56394221201,0.0,0.00209647825016,32.541535399
mamo,10.42436829,9.65502936191,0.00213238245702,33.0988404978
mCD8-GFP,11.378293319,11.9683556653,0.00213238245702,33.0988404978
l(2)41Ab,0.0,3.03925005159,0.00239300692391,37.1442534729
CG4662,7.03254246068,0.0,0.00239300692391,37.1442534729
CG11306,0.0,8.39889580726,0.00242461696602,37.6349045466
pzg,0.0,8.84686299376,0.00242461696602,37.6349045466
CG7985,0.0,8.2603178858,0.00249812865642,38.7759530049
Diap1,9.30695952978,8.20278688615,0.00250604271143,38.8987949668
CG17002,0.0,7.73851773317,0.00252281894047,39.159195594
Fas2,7.0460280617,10.187161432,0.00253472786605,39.3440459369
eIF-1A,7.69502365764,5.49939661591,0.00253472786605,39.3440459369
CG8861,0.0,7.33976330853,0.00255244743278,39.6190890516
fne,11.1163000678,10.1839670453,0.0025539527125,39.6424540034
RNASEK,6.87820943996,4.59243173793,0.0025539527125,39.6424540034
Chi,1.91625483463,8.20321446309,0.00260376866526,40.4156972221
Spt6,8.09534946352,0.0,0.00285052336252,44.245823633
mt:ND6,1.36289872326,0.0,0.0029371589306,45.5905809207
Rab4,7.89726424872,5.98320591649,0.00293985221537,45.632386087
CycG,10.0283134914,10.8629163697,0.00304947296561,47.3339193722
tsr,11.0353655967,9.67192496377,0.00304947296561,47.3339193722
Hsromega,10.5980389399,11.5260659663,0.00304947296561,47.3339193722
Klp68D,8.14404553869,9.50400574103,0.00328417982783,50.9770392876
jvl,0.0,4.88650433099,0.00348497681177,54.0938100723
NnaD,1.92588561438,0.0,0.00352705120034,54.7468887317
ara,2.37751769477,0.0,0.00352705120034,54.7468887317
CG45263,1.6313082999,0.0,0.00352705120034,54.7468887317
rpr,0.0,2.33015737383,0.00352705120034,54.7468887317
Unc-115b,0.0,0.80839241546,0.00352705120034,54.7468887317
MED28,0.0,1.50801867038,0.00352705120034,54.7468887317
CG14401,2.79296239593,0.0,0.00352705120034,54.7468887317
pn,0.0,0.566944429865,0.00352705120034,54.7468887317
Gk2,0.0,1.19254954588,0.00352705120034,54.7468887317
CR44003,2.2649412637,0.0,0.00352705120034,54.7468887317
CG32368,1.15047888562,0.0,0.00352705120034,54.7468887317
Uhg7,0.389707620449,0.0,0.00352705120034,54.7468887317
Hsc70-2,0.0,0.55081194888,0.00352705120034,54.7468887317
CG14509,0.0,3.78524503217,0.00352705120034,54.7468887317
yip2,0.0,1.80857008826,0.00352705120034,54.7468887317
CG7430,8.48689353731,9.58767106507,0.00360467167913,55.9517138034
Non2,10.1755320248,9.42251914664,0.0036299774941,56.3445106633
Con,10.749729547,9.93304842544,0.0036299774941,56.3445106633
elB,3.16629873621,0.0,0.00363867987433,56.4795890094
Patronin,0.0,1.78707420259,0.00364894251992,56.6388857942
AIMP1,0.0,6.74159828222,0.00373444360938,57.9660337047
gpp,0.0,6.60074466473,0.0041336439511,64.162421409
CG34125,4.92445169302,0.0,0.00415787213509,64.5384912809
ND-MLRQ,5.97109624835,3.34197981427,0.00430055266134,66.7531784093
A2bp1,6.49796406642,8.75503798433,0.00430777905941,66.8653465602
mbl,9.3427310864,8.38194956757,0.00430777905941,66.8653465602
Nlp,9.19154972629,7.6026588209,0.00430777905941,66.8653465602
CG11317,0.0,4.82782655283,0.00437130777888,67.8514393438
Nup107,6.9375633461,0.0,0.00447257634231,69.4233299853
CG14372,3.59975513842,0.0,0.00447257634231,69.4233299853
Arl5,0.0,4.11168123187,0.00447257634231,69.4233299853
CG13365,3.72159916823,0.0,0.00447257634231,69.4233299853
NC2beta,0.0,4.84175111925,0.00450661135093,69.9516213891
CG14232,8.0700251015,0.0,0.00451760512169,70.1222666989
ZAP3,0.0,4.57644154079,0.00451760512169,70.1222666989
CG17684,0.0,3.96511910503,0.00451760512169,70.1222666989
Nedd8,6.57969430873,4.38472848266,0.00461059787865,71.5657002724
EndoB,7.60574253957,0.0,0.00478027785591,74.1994728795
sca,0.0,9.33886646943,0.00482617982151,74.9119631895
nAChRalpha6,0.0,6.85778627121,0.00482617982151,74.9119631895
Rpb11,5.50889756305,4.09763699037,0.00493354571083,76.5784965235
CG31075,0.0,7.95553942931,0.00493654540271,76.6250577408
janA,6.99073397412,5.75011028112,0.00509655249555,79.108687836
Gdh,10.1438365676,10.7290671663,0.00509655249555,79.108687836
nrv3,10.7443242762,11.1689559391,0.00509655249555,79.108687836
RpS27,8.1410702334,6.4402562305,0.00509655249555,79.108687836
sd,0.471255263108,7.00257310112,0.00525425985974,81.5566215428
La,7.10484857363,0.0,0.0053005570512,82.2752465487
MESR3,0.0,7.24103265809,0.0053005570512,82.2752465487
wol,0.0,7.25171309917,0.00540745351568,83.9344934703
pic,0.0,5.21056807116,0.00540745351568,83.9344934703
APP-BP1,6.95410211318,0.0,0.00544425276621,84.5056914371
Usp39,6.38013098413,0.0,0.00544425276621,84.5056914371
CG32982,6.33921261326,3.22726120113,0.00545010546949,84.5965370974
ed,0.0,2.70156531842,0.00545841288083,84.7254847362
ttv,0.0,3.50327890427,0.00545841288083,84.7254847362
Hsp70Bc,1.60728296727,4.06393566324,0.00569007744509,88.3213821027
CG13300,0.0,4.93589655564,0.00586160832233,90.9838843792
Blimp-1,6.61304877524,9.05599057887,0.00597427122471,92.7326379499
Cyp1,11.6021907358,10.9060908313,0.00601141270381,93.3091479885
CG42458,0.0,4.11280451179,0.00640153135102,99.3645696306
mRpL27,5.21154063487,0.0,0.0064436900087,100.018956315
Mkk4,0.60372239336,8.90106219293,0.00649274409288,100.78037381
Nph,7.30448869155,5.734714908,0.00651138445306,101.06970948
beat-IIb,4.30729688096,0.0,0.00663282670479,102.954736112
SelG,0.0,5.15595859571,0.0067947678321,105.46838629
CG2931,7.55604911582,0.0,0.00692625716683,107.509363743
AP-1sigma,2.03854371003,6.01330077508,0.0069644785992,108.102636817
CG8184,0.0,6.90323828193,0.00696973433282,108.184216314
Pxn,10.0251928001,7.6168331963,0.00705850305669,109.562084446
LysRS,8.00881050568,5.19944440717,0.00706898472796,109.724780947
COX5B,8.45339991928,6.33228520253,0.00706898472796,109.724780947
smt3,9.88036195678,8.41240450315,0.00706898472796,109.724780947
CG41128,5.4604171649,3.17252826648,0.00706898472796,109.724780947
MESR4,0.0,6.02958448392,0.00761334768996,118.174382844
18w,0.0,6.87327157848,0.00770023265441,119.523011262
CG9302,0.0,4.8154235974,0.00770023265441,119.523011262
CG1427,5.94158361765,0.0,0.00781736611063,121.341156769
Rab8,0.0,8.73619670894,0.00794171135451,123.271243645
CG10809,0.0,1.19287790446,0.00802528727053,124.568509013
Egm,0.0,2.39482222931,0.00802528727053,124.568509013
RpL24-like,6.92896239106,5.17813507569,0.00805333439793,125.003856525
Ubr3,3.11936633465,6.49056507701,0.0081700454027,126.815444741
pck,0.0,0.0,0.00823657790279,127.848162207
CR43845,0.0,0.0,0.00823657790279,127.848162207
Mpc1,0.0,0.0,0.00823657790279,127.848162207
CG5498,0.0,0.0,0.00823657790279,127.848162207
Gmap,0.0,0.0,0.00823657790279,127.848162207
CG7744,0.0,0.0,0.00823657790279,127.848162207
DCP1,0.0,0.0,0.00823657790279,127.848162207
Sirup,0.0,0.0,0.00823657790279,127.848162207
Elp1,0.0,0.0,0.00823657790279,127.848162207
DNApol-eta,0.0,0.0,0.00823657790279,127.848162207
CG4709,0.0,0.0,0.00823657790279,127.848162207
CG31195,0.0,0.0,0.00823657790279,127.848162207
CG5114,0.0,0.0,0.00823657790279,127.848162207
CG12659,0.0,0.0,0.00823657790279,127.848162207
CG15706,0.0,0.0,0.00823657790279,127.848162207
sdk,0.0,0.0,0.00823657790279,127.848162207
agt,0.0,0.0,0.00823657790279,127.848162207
CG14082,0.0,0.0,0.00823657790279,127.848162207
Sec5,0.0,0.0,0.00823657790279,127.848162207
sni,0.0,0.0,0.00823657790279,127.848162207
Mis12,0.0,0.0,0.00823657790279,127.848162207
CG34167,0.0,0.0,0.00823657790279,127.848162207
Sps2,0.0,0.0,0.00823657790279,127.848162207
CG12106,0.0,0.0,0.00823657790279,127.848162207
CG5618,0.0,0.0,0.00823657790279,127.848162207
CG6254,0.0,0.0,0.00823657790279,127.848162207
NPFR,0.0,0.0,0.00823657790279,127.848162207
Sbf,0.0,0.0,0.00823657790279,127.848162207
Tnks,0.0,0.0,0.00823657790279,127.848162207
Shroom,0.0,0.0,0.00823657790279,127.848162207
CR45160,0.0,0.0,0.00823657790279,127.848162207
Naa60,0.0,0.0,0.00823657790279,127.848162207
Fie,8.14703104319,0.0,0.0082400050643,127.901358608
18SrRNA-Psi:CR41602,1.24505202092,0.0,0.0082400050643,127.901358608
mRpS21,4.4138542203,0.0,0.00826542146736,128.295872016
Hsp27,10.4968556031,11.2173831161,0.00828746337493,128.638006506
Sema-2b,7.98447369944,9.72528044406,0.00828746337493,128.638006506
mnb,7.6192083687,8.78234068945,0.00828746337493,128.638006506
mt:Cyt-b,8.44881251498,7.38644892629,0.00828746337493,128.638006506
Ost48,10.1263627944,8.83052965538,0.00828746337493,128.638006506
Roc1a,8.64839252342,7.27244669262,0.00828746337493,128.638006506
mt:ATPase8,3.75884871398,2.7252838677,0.00828746337493,128.638006506
Hsp70Bb,5.42576408507,5.88081778408,0.00828746337493,128.638006506
CG11134,6.87242791301,0.519902408295,0.00860538725139,133.572820916
SdhD,7.70219515513,0.519902408295,0.00860538725139,133.572820916
Pde6,0.0,3.03257956087,0.00914149983987,141.894360514
Pmm45A,0.0,5.65812244019,0.00922543868928,143.197259335
CG11771,5.49134123808,0.0,0.00931456777471,144.580720999
CG17803,0.0,5.10389092299,0.00931456777471,144.580720999
ens,5.64425770614,8.23438239522,0.00942455500723,146.287942822
CG33947,3.06468150021,0.0,0.00952535138118,147.852504139
Sap-r,6.76841685881,9.50560880696,0.00955525089186,148.316604343
CG3887,8.37974536374,7.0131595232,0.00963401099964,149.539118736
TfIIEbeta,0.0,1.07153743618,0.00966848626792,150.074243851
GluRIB,0.0,1.66063369169,0.00966848626792,150.074243851
GluClalpha,7.35823669557,8.57118513231,0.00967348688211,150.151863384
nAChRalpha2,10.387432706,9.24184282764,0.0096866596658,150.356331332
RFeSP,9.17751954017,7.98158315529,0.0096866596658,150.356331332
RpL6,8.62660134603,7.85089075643,0.0096866596658,150.356331332
28SrRNA-Psi:CR40596,6.40481170993,7.15330810025,0.0096866596658,150.356331332
Tom7,5.76551385919,3.31355642789,0.0096866596658,150.356331332
Cirl,8.16570636493,9.18797684409,0.0096866596658,150.356331332
Octbeta3R,0.0,4.33624092344,0.00970929361144,150.707655437
