,medianA,medianB,pvalue,pvalue_adj
Eip93F,0.0,6.4065377191,5.13445780758e-06,0.0796970540892
br,0.0,8.78140852305,5.13445780758e-06,0.0796970540892
CG3726,0.0,7.69564781839,5.13445780758e-06,0.0796970540892
beat-IIa,8.30574173701,0.0,1.87923035691e-05,0.291694136
GILT3,8.36673445628,0.0,1.88783859368e-05,0.293030306511
Scgalpha,0.0,8.50104012629,2.61723833413e-05,0.406247734223
rgn,11.0508930086,0.0,5.07473053166e-05,0.787699673125
fru,0.0,10.3931585258,6.2654363942e-05,0.972521037107
Dgk,0.0,2.67704814726,6.2654363942e-05,0.972521037107
CG31075,0.0,8.50090829945,0.000105103273193,1.6314130065
ab,8.3644414922,2.7763548792,0.000115606413363,1.79444274822
CG42747,0.0,7.4844328468,0.000148206009967,2.30045368671
CG15537,0.0,7.59472267849,0.000191695863289,2.97550318997
l(1)10Bb,0.0,6.30401827589,0.00019433835008,3.01651986994
CG42674,0.0,5.25152740819,0.000239209057348,3.71300298815
Tina-1,5.87059997645,8.6586035549,0.000295206040972,4.58218816797
pxb,0.0,9.58084168157,0.000324921862813,5.04343715458
drl,7.97538622774,10.80891857,0.000346567437383,5.37941976306
CG4266,0.0,7.15263899134,0.000401100451324,6.22588120545
CR40469,0.0,3.34354257743,0.000401100451324,6.22588120545
igl,2.03138001096,8.90319732182,0.0004791681021,7.43764728079
CG42258,0.0,7.16239880522,0.0004986200163,7.73957989301
CG14509,0.0,2.9098156315,0.000542166280837,8.41550501115
Ost48,9.99452484894,7.96906419635,0.00055308909204,8.58504888665
mt:CoI,11.0091424758,10.1585276539,0.00055308909204,8.58504888665
rdx,7.40692928679,9.74149136157,0.000597201954302,9.26976873468
CG5382,7.83359701413,0.0,0.000599404297285,9.30395350247
Ank,7.64472102779,1.09308609139,0.000760159209284,11.7991912465
Oaz,9.63447509456,10.6708580636,0.000826019728117,12.8214782198
mt:lrRNA,4.65023970033,2.94471095214,0.000826019728117,12.8214782198
mt:CoIII,9.86166429718,8.55191956926,0.000826019728117,12.8214782198
Cow,8.3861594645,10.0392140802,0.000826019728117,12.8214782198
beat-VI,0.0,7.749895586,0.000917336707587,14.2389003752
gpp,0.0,4.6136497568,0.000917336707587,14.2389003752
CG12038,7.7929683526,9.32336270454,0.000982205636211,15.2457958853
Hsp70Bb,5.29174061166,6.24806126733,0.00100475242783,15.5957671848
stai,9.14900338493,10.675493977,0.00100475242783,15.5957671848
prominin-like,7.91753565495,9.76841838569,0.00120776019566,18.746853757
jim,7.31526058366,8.59996061328,0.00121836740449,18.9114988526
NaPi-III,8.76551623214,9.50377178134,0.00121836740449,18.9114988526
Hsromega,10.2524897861,11.7412056964,0.00121836740449,18.9114988526
CG11448,0.0,7.56572663218,0.00135089837356,20.9686445544
GlyP,8.64973149844,0.0,0.00142779274305,22.1621989576
sdk,0.0,3.58257385538,0.00142779274305,22.1621989576
18w,0.0,1.38157291636,0.00142779274305,22.1621989576
Unc-115b,0.0,1.53423810687,0.00142779274305,22.1621989576
CG32581,5.74356248306,0.0,0.00142779274305,22.1621989576
CR31953,1.481315583,0.0,0.00142779274305,22.1621989576
mt:ND5,5.42970269769,4.09075249852,0.00147282307527,22.8611597743
tup,0.0,8.36856666595,0.00150721646069,23.3950139029
CG14683,0.0,7.67893979585,0.00156917424068,24.3567225639
CG34393,0.0,8.06955752351,0.00156917424068,24.3567225639
CG15651,0.0,8.84218089461,0.00157976558932,24.5211214775
CG7222,0.0,7.40568690622,0.00169115023202,26.2500339014
CG6765,2.797037508,9.02366511424,0.00181311024187,28.1430971743
Pax,1.76016469667,9.98848796607,0.00190593953565,29.5839934724
pic,0.0,7.94134257374,0.00201135394335,31.2202359087
Jra,6.26986817619,0.0,0.00201135394335,31.2202359087
Act5C,14.4469364211,13.9260097887,0.00213238245702,33.0988404978
Frq1,6.7371689842,0.0,0.00221073834775,34.3150806338
Cdep,0.0,6.92485855385,0.00237647722609,36.8876795033
CG14372,3.28876664394,0.0,0.00239300692391,37.1442534729
pds5,0.0,2.03936741146,0.00239300692391,37.1442534729
CG42313,2.02223553986,0.0,0.00239300692391,37.1442534729
Sirt2,0.0,2.40378343887,0.00239300692391,37.1442534729
nonA,3.49318987883,7.78443196889,0.00250604271143,38.8987949668
CG13300,0.0,4.59216937814,0.00255244743278,39.6190890516
MRE16,9.2109904546,5.57769673498,0.0025539527125,39.6424540034
hth,12.0599064979,11.3002935084,0.0025539527125,39.6424540034
Act42A,12.7135392527,11.9852884666,0.0025539527125,39.6424540034
pros,12.4988851211,11.9581125633,0.0025539527125,39.6424540034
GstZ2,8.58843180318,6.04307020947,0.00261422729693,40.578036103
Pih1D1,0.0,4.86175416577,0.00278672611851,43.2555628115
Atg18a,0.0,8.73327901442,0.00285052336252,44.245823633
CG31108,0.0,7.89237500053,0.0029371589306,45.5905809207
SdhC,7.69534773697,6.37362716517,0.0030273744898,46.9909068306
CG10470,6.961257927,0.0,0.00307529397712,47.7347131128
kuz,0.0,5.33075773502,0.00307529397712,47.7347131128
qkr58E-1,7.06004671495,0.0,0.00331651673921,51.4789728259
Ranbp16,0.0,7.84056078949,0.00350254619339,54.3665220138
NiPp1,1.32828815675,0.0,0.00352705120034,54.7468887317
Hsc70-2,0.0,3.4128892952,0.00352705120034,54.7468887317
dor,2.83908792889,0.0,0.00352705120034,54.7468887317
CG14401,2.79296239593,0.0,0.00352705120034,54.7468887317
CG18661,1.12903661747,0.0,0.00352705120034,54.7468887317
CG12746,1.2591923473,0.0,0.00352705120034,54.7468887317
Taf13,0.69463852965,0.0,0.00352705120034,54.7468887317
CG4610,0.0,0.51467554929,0.00352705120034,54.7468887317
CG42788,0.97010997367,0.0,0.00352705120034,54.7468887317
rpr,0.0,0.51467554929,0.00352705120034,54.7468887317
Arc1,3.10330540191,0.0,0.00352705120034,54.7468887317
CG6912,1.86648441548,0.0,0.00352705120034,54.7468887317
CR45600,0.97010997367,0.0,0.00352705120034,54.7468887317
CR43283,0.711039854355,0.0,0.00352705120034,54.7468887317
CG18870,0.0,4.13503822061,0.00352705120034,54.7468887317
CG33695,0.0,1.80645794323,0.00352705120034,54.7468887317
IntS6,1.02410831801,0.0,0.00352705120034,54.7468887317
rst,0.547515837525,0.0,0.00352705120034,54.7468887317
CG14591,2.99034929665,0.0,0.00352705120034,54.7468887317
ctp,9.76444580963,10.4334402553,0.0036299774941,56.3445106633
HIP-R,5.84590889655,7.56242583977,0.0036299774941,56.3445106633
Hsp67Bc,11.2861726036,11.624033178,0.0036299774941,56.3445106633
l(2)35Be,0.0,5.05735874171,0.00364894251992,56.6388857942
exp,1.3071938325,0.0,0.00364894251992,56.6388857942
CG3558,6.26057491503,0.0,0.00364894251992,56.6388857942
pgant2,0.0,5.38775306951,0.0037223401689,57.7781641017
CG8301,0.547515837525,8.85649343063,0.0037223401689,57.7781641017
dpr8,3.53761756082,0.0,0.00373444360938,57.9660337047
CG17544,0.0,8.02257662252,0.00373444360938,57.9660337047
Sulf1,9.62756778499,6.46642742548,0.00388846980714,60.3568283465
Saf-B,0.69463852965,9.06216363482,0.00405851819082,62.9963193579
vap,3.05444935369,8.991676099,0.00405851819082,62.9963193579
Fas2,5.95121566278,10.0411710831,0.00427891027272,66.4172452531
Cka,8.27563545965,10.1409343332,0.00430055266134,66.7531784093
Appl,8.95953737651,10.6425488652,0.00430777905941,66.8653465602
chrb,8.19380963148,9.68305189137,0.00430777905941,66.8653465602
RpS27,7.88863866224,6.00043914017,0.00430777905941,66.8653465602
mt:ATPase6,8.92863449855,7.92619153729,0.00430777905941,66.8653465602
mub,8.29827716351,10.296620118,0.00430777905941,66.8653465602
CG7991,0.0,5.21383557618,0.00437130777888,67.8514393438
bcn92,2.8177684182,0.0,0.00447257634231,69.4233299853
