,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,7.56852461581,1.22446437935e-05,0.190061360963
beat-IIa,8.87534680685,0.0,1.87923035691e-05,0.291694136
drl,7.37533330393,10.5691456605,2.17429698644e-05,0.337494378236
br,0.0,8.57338803502,3.49524389727e-05,0.542531757734
rgn,10.9528759075,6.86244842543,3.69333042231e-05,0.573278748152
Cow,8.03333565117,10.7134247878,6.1672877202e-05,0.957286399929
fru,0.0,10.6522889977,6.2654363942e-05,0.972521037107
Eip93F,0.0,6.08489591103,6.2654363942e-05,0.972521037107
GILT3,8.30714308404,0.0,6.53782854001e-05,1.01480174598
ab,8.30508733817,0.0,8.15947380484e-05,1.26651352399
Cisd2,6.75975879227,2.97259740755,0.000119311802124,1.85195779258
pxb,0.0,9.81993566831,0.000166728382707,2.58795795638
ben,7.65043192921,5.94286877086,0.000189856989075,2.94696018442
beat-IIIb,0.0,4.43507399595,0.000191695863289,2.97550318997
CG6912,6.20068623607,0.0,0.000191695863289,2.97550318997
CG34393,0.0,8.13747709576,0.000191695863289,2.97550318997
cg,8.81854709263,10.0022814226,0.000192101013517,2.98179193182
shi,7.18057097287,9.63968764021,0.000287940759511,4.46941646913
mCD8-GFP,11.2052948646,12.4460611159,0.000365740995907,5.67703173847
Octbeta3R,0.0,4.06775866705,0.000376532512733,5.84453766264
CR41535,5.90518158434,6.75632471322,0.00045046779818,6.99216116335
CG32982,8.30941424574,3.39359933443,0.000525874701383,8.16262711487
CR45600,4.11392649591,0.0,0.000542166280837,8.41550501115
CG32698,0.0,3.54656072481,0.000542166280837,8.41550501115
sdk,0.0,6.74295111888,0.000542166280837,8.41550501115
CCHa2-R,5.53121998847,0.0,0.000542166280837,8.41550501115
CG14401,5.90201088966,0.0,0.000542166280837,8.41550501115
MRE16,8.60403607809,4.7396932861,0.00055308909204,8.58504888665
Act42A,12.6101678537,12.1152459745,0.00055308909204,8.58504888665
CG41128,5.41270576548,2.0970733921,0.0006753339723,10.482533918
RFeSP,9.21908126042,7.936607551,0.000676970721546,10.5079395398
Hsromega,9.99206232917,11.2449613692,0.000676970721546,10.5079395398
igl,0.0,8.58492962356,0.000827498854029,12.8444372122
pgant2,0.0,3.2723338563,0.000916382889454,14.2240952101
CG13300,0.0,5.37589375903,0.000919774599492,14.2767413333
Ubc2,0.0,7.51169503955,0.000924738753125,14.353794926
Fas2,7.96777713039,10.4635954276,0.000995695028697,15.4551782354
CG4729,0.0,8.84354238695,0.0010075321246,15.6389136381
Ca-beta,0.0,7.56581807501,0.00112099897716,17.4001461234
beat-VI,0.0,8.67850063813,0.00112880308385,17.5212814675
mt:CoI,11.2873600252,10.2667038643,0.00121836740449,18.9114988526
lola,8.05884472919,9.32847819602,0.00121836740449,18.9114988526
Cyp1,11.7414368916,10.7992652433,0.00121836740449,18.9114988526
28SrRNA-Psi:CR40596,6.38015775166,7.11742471647,0.00121836740449,18.9114988526
mt:ND5,5.56946167524,3.06325609307,0.00121836740449,18.9114988526
SWIP,1.60053721272,0.0,0.00123829633922,19.2208357774
Tim9a,6.46954594335,2.0426085522,0.00124181627851,19.275472275
Ccn,0.0,5.99130156221,0.00126291265293,19.6029301988
Sherpa,0.0,8.23581052,0.00135089837356,20.9686445544
Tnks,0.0,0.959921139091,0.00142779274305,22.1621989576
CG32368,2.2484453425,0.0,0.00142779274305,22.1621989576
CG32581,4.99587141709,0.0,0.00142779274305,22.1621989576
GstE12,0.0,4.72378306329,0.00142779274305,22.1621989576
mRpL21,4.04141307901,0.0,0.00142779274305,22.1621989576
mt:Cyt-b,9.03288218099,7.443303975,0.00147282307527,22.8611597743
mub,8.4841891913,10.0823580739,0.00147282307527,22.8611597743
Act5C,14.3654565094,13.9719289197,0.00147282307527,22.8611597743
Pde9,6.89380426341,0.0,0.00153061881771,23.7582652885
Pax,7.3659741156,10.4976313828,0.00181311024187,28.1430971743
grk,3.51483494944,0.0,0.00190593953565,29.5839934724
CG14509,0.0,7.01465555976,0.00194175002269,30.1398438521
NUCB1,8.75452457644,9.74631979655,0.00204982228844,31.8173415611
CG7945,8.15201460872,3.09026443854,0.00204982228844,31.8173415611
CG13364,8.15227470389,5.87192668001,0.00213238245702,33.0988404978
CG6115,8.25026497263,7.20469520457,0.00213238245702,33.0988404978
CG15881,5.52353842918,0.0,0.00221073834775,34.3150806338
c12.1,0.0,5.8711964253,0.00239300692391,37.1442534729
tutl,0.0,8.12987350795,0.00242461696602,37.6349045466
Ggamma30A,8.28190606272,7.35934573305,0.00253472786605,39.3440459369
ND-B17.2,7.3712860969,5.86375430935,0.00253472786605,39.3440459369
ATPsynD,9.81098263135,8.66136562637,0.0025539527125,39.6424540034
Pxn,9.8787798251,8.17678182206,0.0025539527125,39.6424540034
mt:ATPase6,8.82885330844,7.33853451615,0.0025539527125,39.6424540034
Hsc70-4,12.6847488689,13.2013961622,0.0025539527125,39.6424540034
