,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,5.69078223467,5.13445780758e-06,0.0796970540892
beat-IIa,8.43292575547,0.0,5.13445780758e-06,0.0796970540892
pxb,0.0,9.98442972133,1.45213319843e-05,0.22540011506
ab,7.72296804691,0.0,1.46238770616e-05,0.22699181975
Eip93F,0.0,6.87385777539,1.87923035691e-05,0.291694136
br,0.0,8.99224525447,2.08338413307e-05,0.323382885135
rgn,10.3900126358,0.0,3.58926629413e-05,0.557125914175
drl,6.96925562161,10.9125102121,4.53579289172e-05,0.704045772652
GILT3,8.06313173287,0.0,5.84228460578e-05,0.906839416509
fru,0.0,10.1226943099,6.2654363942e-05,0.972521037107
fas,0.0,5.95863541133,0.00011600356004,1.80060725894
CG42540,0.0,7.89325646401,0.000161903572382,2.51306725052
Pax,1.76016469667,9.98369815555,0.000173095085209,2.68678191261
beat-VI,0.0,8.53043464755,0.000191427754366,2.97134160328
GlyP,8.82252722678,0.0,0.000191695863289,2.97550318997
CG34393,0.0,7.30919071673,0.000191695863289,2.97550318997
sdk,0.0,4.88512218792,0.000191695863289,2.97550318997
Elp2,0.0,8.53226477943,0.000239209057348,3.71300298815
Snap25,0.0,5.2451965528,0.000254836523736,3.95557252143
Ace,6.11777405473,9.45503031733,0.00029277029605,4.54438053528
stai,8.94547567412,10.6532931588,0.000296021072947,4.59483909429
Fas2,5.95121566278,9.9540132065,0.000356065705973,5.52685188811
IA-2,6.71653908561,9.56621383,0.000365740995907,5.67703173847
CG42265,7.37810051994,0.0,0.000388399919053,6.02874354353
Sherpa,0.0,7.8967147446,0.000444828728981,6.90463153124
CG42342,7.97232579072,9.57989325589,0.00045046779818,6.99216116335
Blimp-1,3.66125263386,8.78122338014,0.000525874701383,8.16262711487
CG15537,0.0,5.1894270496,0.000542166280837,8.41550501115
Tret1-1,0.772734471776,0.0,0.000542166280837,8.41550501115
nocte,0.0,7.88849036937,0.000589256886706,9.14644539545
mCD8-GFP,11.1562819935,12.5515909102,0.000676970721546,10.5079395398
Diap1,9.45623966729,7.51412110528,0.000824088988833,12.7915092847
bic,9.2307794724,7.46422797924,0.000826019728117,12.8214782198
AP-2alpha,0.0,7.89548785643,0.00107504485903,16.6868463018
TfIIA-L,0.0,8.27048407223,0.00111189349193,17.2588107817
pic,0.0,6.69648841697,0.00112099897716,17.4001461234
CG1607,8.72092689675,0.0,0.00112871004054,17.5198372493
CG14883,7.14369514712,9.01736204098,0.00119195654579,18.5015495037
Rbp2,6.32914654261,2.57293775328,0.00120776019566,18.746853757
l(2)41Ab,0.0,3.53074809594,0.00126291265293,19.6029301988
CR40469,0.0,3.02645043881,0.00126291265293,19.6029301988
CSN5,8.07070598205,0.0,0.00135089837356,20.9686445544
pgant2,0.0,5.29200870223,0.00136672541789,21.2143119366
CG6912,4.56382149478,0.0,0.00142779274305,22.1621989576
CG2199,6.92910524087,0.0,0.00142779274305,22.1621989576
CG42795,0.0,2.07926786634,0.00142779274305,22.1621989576
qsm,0.0,3.72940977051,0.00142779274305,22.1621989576
CG15011,0.0,7.30829529817,0.00142779274305,22.1621989576
MsR1,0.0,5.18463034977,0.00142779274305,22.1621989576
MRE16,9.1198991766,6.1964675575,0.00147282307527,22.8611597743
Ran,9.05102701318,7.57900716028,0.00147282307527,22.8611597743
Hsp70Bb,5.09812436503,6.51632668116,0.00147282307527,22.8611597743
cpx,6.42796156531,8.98343462842,0.00147282307527,22.8611597743
Nlp,9.2859629435,7.79346429328,0.00147282307527,22.8611597743
Tina-1,7.23634837312,8.7341502462,0.00147282307527,22.8611597743
msn,0.405656178419,7.28649541254,0.00148723147035,23.0848068828
NHP2,6.69275401939,0.0,0.00150721646069,23.3950139029
miple2,0.0,5.58667279312,0.00156917424068,24.3567225639
nonA-l,8.45052842592,2.72073836505,0.00170367355559,26.4444209299
beat-IIb,7.0006185692,0.0,0.00171566764987,26.6305932612
CG17544,0.0,7.55596419356,0.00194175002269,30.1398438521
puc,0.0,7.31666747915,0.00196453706682,30.4935443511
ens,1.00053433829,6.9056841279,0.00204982228844,31.8173415611
CG6707,7.80537845955,8.99257355207,0.00211572035207,32.8402113049
Pxn,10.1129367285,7.77413235072,0.00212820989586,33.0340740036
nrv3,10.4214911362,11.2488698669,0.00213238245702,33.0988404978
Caf1-55,0.0,8.33734794454,0.00226897640886,35.2190518183
CdsA,4.97682973717,8.70203510097,0.00228994716263,35.5445598584
TrissinR,0.0,7.8264766328,0.00249812865642,38.7759530049
mt:CoI,11.0091424758,10.3126085918,0.0025539527125,39.6424540034
CanA-14F,3.9627110142,6.53139552548,0.0025539527125,39.6424540034
Sdc,7.7022561237,9.01850767109,0.0025539527125,39.6424540034
mt:CoIII,9.80173951581,8.63666331804,0.0025539527125,39.6424540034
beat-Ib,0.0,6.45928243148,0.00286910496103,44.534247205
RIC-3,0.0,8.26277099495,0.00291155513335,45.1931587799
CG32698,0.0,2.32709870891,0.0029371589306,45.5905809207
EfTuM,7.72188672704,9.23908523802,0.00293985221537,45.632386087
U4-U6-60K,9.80799583584,8.12627630032,0.00299439011492,46.4789233637
CG3800,8.62765489232,6.5822775886,0.00304947296561,47.3339193722
CR41535,5.86497625461,6.60178985453,0.00304947296561,47.3339193722
sog,4.10010163018,0.0,0.00307529397712,47.7347131128
Hs6st,0.0,7.72069897528,0.00319987388694,49.6684424731
CG9302,0.0,6.26736126577,0.00331651673921,51.4789728259
