,medianA,medianB,pvalue,pvalue_adj
Eip93F,0.0,6.05211586217,5.13445780758e-06,0.0796970540892
CG3726,0.0,6.46192577916,5.13445780758e-06,0.0796970540892
br,0.0,8.99744006035,5.13445780758e-06,0.0796970540892
GILT3,8.56701621988,0.0,7.09569794446e-06,0.110139423494
ab,8.51644643723,0.0,1.46238770616e-05,0.22699181975
beat-IIa,8.25306767379,0.0,1.87923035691e-05,0.291694136
drl,6.97192361062,10.9614517408,2.2595776672e-05,0.350731645504
pxb,0.0,9.92088533005,2.43019981857e-05,0.377215615839
pros,12.4838016977,11.6793644957,3.0028801484e-05,0.466107056635
CG13300,0.0,5.80138884666,5.55151040341e-05,0.861705444818
fru,0.0,10.0483258782,6.2654363942e-05,0.972521037107
fas,0.0,5.60151897745,6.53070589699e-05,1.01369616933
rgn,10.4395958947,7.71765978633,7.53563582746e-05,1.16968139314
CG42339,10.9003670118,8.95727002189,9.80807368533e-05,1.52240919744
mt:CoIII,9.88951015365,8.49258804919,9.80807368533e-05,1.52240919744
lbk,0.0,7.38276078417,0.000105103273193,1.6314130065
mt:ND5,5.35399830754,3.10409926398,0.000154022352814,2.39073496038
mt:lrRNA,5.38556797958,2.19755106054,0.000191538245668,2.97305664926
CG34393,0.0,6.07446473298,0.000191695863289,2.97550318997
CG32581,5.55325011146,0.0,0.000191695863289,2.97550318997
Hsp70Bc,1.46466918661,4.6006138092,0.000225527629852,3.50063987056
beat-VI,0.0,8.93609802783,0.000302203756243,4.69080670441
Sap-r,6.20471694489,10.1401008555,0.000346567437383,5.37941976306
CG12038,8.02809233803,9.41389317497,0.000364765459768,5.66188946651
CG3625,8.779241683,10.1162916326,0.000365740995907,5.67703173847
mamo,10.5669107335,9.61085120165,0.000365740995907,5.67703173847
CG32982,6.92444708717,2.43828851172,0.000369877481387,5.74123826609
mCD8-GFP,11.0142842828,12.3858448103,0.00045046779818,6.99216116335
ytr,0.0,7.29736877176,0.000490627225359,7.61551579203
CG5674,0.0,6.42546601401,0.0004986200163,7.73957989301
MsR1,0.0,6.25660828848,0.000542166280837,8.41550501115
pch2,0.0,4.37050654585,0.000542166280837,8.41550501115
mub,8.4841891913,10.2039250394,0.00055308909204,8.58504888665
Hsp70Bb,5.25243735,6.34045653861,0.00055308909204,8.58504888665
Cow,8.2422640516,10.4667053478,0.00055308909204,8.58504888665
CG4768,0.0,8.24758424193,0.00058095302954,9.01755292451
smt3,10.2354067352,8.27070706851,0.000676970721546,10.5079395398
Pxn,10.1800310368,4.73937061849,0.000787953959844,12.2306213647
e(y)3,0.0,5.74769399062,0.000792514928053,12.3014167132
prominin-like,7.96066385873,10.3032079963,0.000806842561265,12.523810236
MRE16,9.16182290794,4.73451532799,0.000826019728117,12.8214782198
CG34356,2.73591763961,0.0,0.000827498854029,12.8444372122
CG7430,6.6544584768,9.91853389474,0.000959980575337,14.9008184904
Pax,5.56855711247,10.5401514326,0.000959980575337,14.9008184904
Cyp1,11.838158842,11.0599244471,0.00100475242783,15.5957671848
CG7630,9.22087495097,6.25861411937,0.00100475242783,15.5957671848
CG31635,0.0,7.26903469485,0.0010139646038,15.7387585801
Hs6st,0.0,7.72069897528,0.00112880308385,17.5212814675
RpL41,8.42105638353,5.31795747575,0.00121836740449,18.9114988526
CG42613,3.07751567575,0.0,0.00122388950565,18.9972129066
CG42265,7.31701002355,0.0,0.00122607677974,19.0311637751
beat-Va,0.0,7.82761670394,0.00125050505117,19.4103394042
CG32267,4.19906746261,0.0,0.00132692743138,20.5965675898
l(2)37Bb,5.17153799576,0.0,0.00142779274305,22.1621989576
ZnT86D,3.26859148011,0.0,0.00142779274305,22.1621989576
dpr9,2.41608613342,0.0,0.00142779274305,22.1621989576
Sirt2,0.0,2.62571722856,0.00142779274305,22.1621989576
CG42313,3.44887612477,0.0,0.00142779274305,22.1621989576
CR45018,0.0,3.44385628385,0.00142779274305,22.1621989576
Gfrl,2.24818721279,7.83435398263,0.00144200028716,22.3827284574
mt:ATPase6,8.92863449855,7.91917083725,0.00147282307527,22.8611597743
RpL38,8.34053821766,5.42331696724,0.00147282307527,22.8611597743
Roc1a,8.93239051104,7.17968322193,0.00147282307527,22.8611597743
COX8,8.73747727347,6.23354388222,0.00147282307527,22.8611597743
CG3800,9.00699476672,6.36984427587,0.00147282307527,22.8611597743
beat-Ib,0.0,6.04432184063,0.00156917424068,24.3567225639
CG11070,0.0,6.37563483098,0.00156917424068,24.3567225639
Hsp70Bbb,0.0,1.48787261674,0.00169115023202,26.2500339014
RpS27,8.44773040548,6.81313554122,0.00177491931746,27.5502976456
CR45312,4.95319154684,0.0,0.00194175002269,30.1398438521
rdx,5.23648459118,9.45838055441,0.00204982228844,31.8173415611
Blimp-1,5.65099303842,8.85540056273,0.00204982228844,31.8173415611
Appl,8.90512354316,10.9126753904,0.00213238245702,33.0988404978
CG10077,10.9963027909,11.4929410254,0.00213238245702,33.0988404978
RpS2,10.6011705687,9.72686061919,0.00213238245702,33.0988404978
RpS23,8.12449470655,6.35853140905,0.00213238245702,33.0988404978
Prosbeta7,8.2450602636,5.85972009157,0.00213238245702,33.0988404978
l(3)L1231,0.0,7.76885952788,0.00237816800051,36.9139237038
Ccn,0.0,5.70789137228,0.00239300692391,37.1442534729
Galk,0.0,8.37533616085,0.00239300692391,37.1442534729
Teh3,0.0,7.80304357443,0.00242461696602,37.6349045466
ALiX,0.0,8.38464458129,0.00249812865642,38.7759530049
Clic,9.09320139446,7.84719545931,0.00254913889704,39.5677339598
nAChRalpha2,10.0472902089,8.4458954798,0.00254913889704,39.5677339598
e(r),0.0,6.49777057167,0.00255244743278,39.6190890516
mt:Cyt-b,8.86784069011,7.38644892629,0.0025539527125,39.6424540034
nSyb,10.3463737269,10.862545112,0.0025539527125,39.6424540034
Nlp,9.60695735253,7.38458749906,0.0025539527125,39.6424540034
RNASEK,6.69578125045,5.03840534546,0.0025539527125,39.6424540034
CG11134,7.90243488965,1.06105934184,0.00261422729693,40.578036103
CG14372,2.9923008762,0.0,0.0029371589306,45.5905809207
Mkk4,7.01371361393,8.60814249083,0.00293985221537,45.632386087
CG14883,5.46076954322,9.30649209343,0.0030273744898,46.9909068306
RpS14b,7.8353642779,5.47562792474,0.00304947296561,47.3339193722
UQCR-Q,8.47972040273,6.44903581541,0.00304947296561,47.3339193722
RpL27A,7.7989523584,5.64940242304,0.00304947296561,47.3339193722
CR41535,6.16499717298,6.89467208483,0.00304947296561,47.3339193722
RpS25,9.73521089523,8.03913547451,0.00304947296561,47.3339193722
robl,7.47298356229,5.5924627998,0.00304947296561,47.3339193722
ND-AGGG,6.06821413945,3.58366388692,0.00304947296561,47.3339193722
RpL36,9.16519087884,6.47718729085,0.00304947296561,47.3339193722
Gdh,10.1325589778,10.8739988028,0.00304947296561,47.3339193722
CR40469,0.0,2.30545809828,0.00307529397712,47.7347131128
CG8301,1.15047888562,8.91698482572,0.00311817639929,48.4003340699
Sherpa,0.0,8.53972428854,0.00340824673532,52.9028058256
CG31344,0.0,0.52636915309,0.00352705120034,54.7468887317
ssp3,0.450766061833,0.0,0.00352705120034,54.7468887317
CR45600,0.97010997367,0.0,0.00352705120034,54.7468887317
CG14401,2.66989906879,0.0,0.00352705120034,54.7468887317
CG14509,0.0,0.83712054192,0.00352705120034,54.7468887317
CG12428,0.0,4.21112600529,0.00352705120034,54.7468887317
Rph,0.405656178419,0.0,0.00352705120034,54.7468887317
GlyP,4.2038998912,0.0,0.00352705120034,54.7468887317
CR31054,0.0,0.5867445246,0.00352705120034,54.7468887317
CG15537,0.0,3.55351235322,0.00352705120034,54.7468887317
ACC,0.663732734505,0.0,0.00352705120034,54.7468887317
CG41128,5.53176311164,2.78128611481,0.00362364234065,56.2461764115
Fas2,8.63208568723,9.67877739799,0.0036299774941,56.3445106633
ATPsyndelta,9.10626585122,7.59747131611,0.0036299774941,56.3445106633
mt:ATPase8,3.84500255435,2.88046039557,0.0036299774941,56.3445106633
18w,0.0,6.92468548899,0.00364894251992,56.6388857942
CG4338,6.18888880937,0.0,0.00364894251992,56.6388857942
rdgC,2.09652356202,8.04914945537,0.00372253114903,57.7811284952
Pmm45A,0.0,8.97010450219,0.00373444360938,57.9660337047
CG42747,0.0,7.96438855627,0.00373444360938,57.9660337047
CG17746,0.0,8.21505849313,0.00374224898317,58.0871887168
Shal,3.34498291564,0.0,0.00374224898317,58.0871887168
MESR6,0.0,8.50657731559,0.00415787213509,64.5384912809
LysRS,8.60055670992,5.71051418306,0.00427891027272,66.4172452531
chrb,8.19380963148,9.68163901922,0.00430777905941,66.8653465602
RpS19a,7.91119412904,5.93000797553,0.00430777905941,66.8653465602
CG5446,8.69232700134,6.96399933483,0.00430777905941,66.8653465602
RpL40,10.3233380355,8.83663257906,0.00430777905941,66.8653465602
RpL39,7.89574113835,5.56212918715,0.00430777905941,66.8653465602
RpS6,10.2531732051,8.79013548373,0.00430777905941,66.8653465602
His4r,10.6488903701,8.9415707494,0.00430777905941,66.8653465602
beat-IIb,6.84725753171,0.0,0.00436846465125,67.8073083167
CG15168,0.0,3.21365670502,0.00437130777888,67.8514393438
vtd,0.711039854355,7.41572977444,0.00442947100501,68.7542489398
spri,0.0,2.13945580037,0.00447257634231,69.4233299853
Nmdar2,0.0,3.39807187361,0.00450661135093,69.9516213891
CG5037,5.05659870174,0.0,0.00451760512169,70.1222666989
ergic53,0.0,7.70346654432,0.00457076610572,70.9474314929
CG13751,5.06487488064,2.54928401644,0.00464668781242,72.1258882244
ND-B14.5A,5.90590644074,2.58241254354,0.00464668781242,72.1258882244
CG4849,0.0,7.85629168978,0.00478027785591,74.1994728795
CG15270,5.70046048313,8.5384248728,0.00493354571083,76.5784965235
Atg18a,5.67503747356,8.2921495355,0.00493354571083,76.5784965235
Miro,0.0,9.17134093699,0.00498665807882,77.4029066995
CG7770,7.64945534375,5.59477478068,0.00506374462822,78.5994441192
Swip-1,8.86571773051,7.23963588023,0.00508834087578,78.9812270738
RpS26,8.32060697615,6.53869067584,0.00509655249555,79.108687836
CG6115,8.44604141326,6.68400511408,0.00509655249555,79.108687836
mt:CoII,10.3388335105,8.81046611001,0.00509655249555,79.108687836
Hsromega,10.5282753504,11.8260575516,0.00509655249555,79.108687836
Dek,8.08049995842,3.94201242971,0.00523521521884,81.2610106268
MFS17,0.367078293357,7.95423124214,0.00525425985974,81.5566215428
Gpb5,6.40614015595,0.0,0.00540745351568,83.9344934703
CG9330,0.0,7.44880536975,0.00540745351568,83.9344934703
IP3K2,0.0,6.95867580269,0.00544425276621,84.5056914371
CG11412,0.0,6.76525899387,0.00544425276621,84.5056914371
mRpL24,4.52571672769,0.0,0.00544425276621,84.5056914371
dally,1.899773801,5.51870237889,0.00545010546949,84.5965370974
