,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,8.45719566155,5.13445780758e-06,0.0796970540892
Eip93F,0.0,5.63100071497,5.13445780758e-06,0.0796970540892
pxb,0.0,10.0069578505,1.11685890367e-05,0.173358839028
ab,8.4843110839,0.0,1.30214778044e-05,0.20211937848
br,0.0,9.14302150213,1.60001094808e-05,0.248353699361
rgn,11.1116261521,7.91969265625,1.69078033979e-05,0.262442924342
pros,12.7294039798,11.5346318989,1.82922767695e-05,0.283932720016
fru,0.0,10.4856274569,1.87923035691e-05,0.291694136
CG34393,0.0,8.0744706701,1.87923035691e-05,0.291694136
GILT3,8.47460435176,0.0,3.11543104412e-05,0.483577206668
beat-Ib,0.0,7.48713973501,3.12804076921e-05,0.485534488196
beat-VI,0.0,8.94630329242,3.49524389727e-05,0.542531757734
CG42265,7.36522129999,0.0,4.33551179312e-05,0.672958140528
CG32698,0.0,7.41477381652,6.2654363942e-05,0.972521037107
fas,0.0,5.52117024858,6.2654363942e-05,0.972521037107
Ccn,0.0,8.07507708483,6.2654363942e-05,0.972521037107
beat-IIa,8.57578726546,0.0,6.2654363942e-05,0.972521037107
CG12038,7.57743069026,9.33819960268,0.000122720086651,1.904861185
Hsp70Bb,5.10611168692,6.73939891662,0.000123103116411,1.91080657294
CG6912,7.35529487671,0.0,0.000191695863289,2.97550318997
Phax,6.39169183229,0.0,0.000191695863289,2.97550318997
Octbeta3R,0.0,3.23934269846,0.000191695863289,2.97550318997
CG14401,6.52664525348,0.0,0.000191695863289,2.97550318997
sog,5.0423119945,0.0,0.000191695863289,2.97550318997
mCD8-GFP,11.3502831848,12.7843218711,0.000192101013517,2.98179193182
Hsp70Bc,1.00094600914,3.77477812823,0.000193390407598,3.00180590674
CG42239,6.82483856169,1.67464888912,0.000232116999732,3.60292006985
CG32982,8.30941424574,2.50024835221,0.000287940759511,4.46941646913
hbs,0.0,8.04657217608,0.000401100451324,6.22588120545
Fife,8.08210031822,1.97266599976,0.0004791681021,7.43764728079
CG15537,0.0,6.91703974446,0.000542166280837,8.41550501115
Arc1,6.46492171115,0.0,0.000542166280837,8.41550501115
dpr10,0.0,1.96601961571,0.000542166280837,8.41550501115
CR45600,5.18606700391,0.0,0.000542166280837,8.41550501115
CG42313,5.57749426772,0.0,0.000542166280837,8.41550501115
Fie,8.31153963282,0.0,0.000545613281863,8.46900936108
drl,8.42377942006,10.7404932427,0.0006753339723,10.482533918
MRE16,9.3075203882,4.3010696558,0.000676970721546,10.5079395398
5-HT1A,0.0,7.64520444108,0.000746609897836,11.5888788342
Pax,7.63177189447,10.066831834,0.000806842561265,12.523810236
CG42342,7.22492497892,9.98367299837,0.000826019728117,12.8214782198
mt:lrRNA,5.5188180859,2.46900650848,0.000826019728117,12.8214782198
RpS27,8.38430683882,5.86047326747,0.000826019728117,12.8214782198
prominin-like,4.27891667412,9.53969739374,0.000959980575337,14.9008184904
eIF2B-beta,7.43153643471,0.0,0.00113640233548,17.6392370513
Hsp60,8.40546711012,10.1432404511,0.00121571023979,18.870254342
Pdcd4,10.0534729175,10.4274286424,0.00121836740449,18.9114988526
mt:Cyt-b,8.99888689654,7.39459483596,0.00121836740449,18.9114988526
Cow,8.44344255244,10.3932139201,0.00121836740449,18.9114988526
18w,0.0,7.83471442309,0.00126291265293,19.6029301988
GlyP,7.83531787721,0.0,0.00142779274305,22.1621989576
CG14509,0.0,2.64955172954,0.00142779274305,22.1621989576
CCHa2-R,7.02343474923,0.0,0.00142779274305,22.1621989576
NPFR,5.91838533787,0.0,0.00142779274305,22.1621989576
CG32581,5.48597138952,0.0,0.00142779274305,22.1621989576
Ace,6.06027992644,9.56688402154,0.00146044673523,22.6690542243
CG12054,3.85160504237,9.12648067149,0.00146972308396,22.8130417092
mt:CoIII,10.1884627187,8.57004022589,0.00147282307527,22.8611597743
RpL38,8.34053821766,5.24287048297,0.00147282307527,22.8611597743
RpII140,0.471255263108,9.48445912124,0.00148723147035,23.0848068828
CG3918,4.52710141837,0.0,0.00156917424068,24.3567225639
CG31475,8.07995315721,0.0,0.00156917424068,24.3567225639
CG9775,0.0,8.72145335411,0.00166511987523,25.8459907033
NaPi-III,8.70332703437,9.91003281607,0.00177131609779,27.4943684699
CG41128,5.87491574276,2.57235674332,0.00177131609779,27.4943684699
nrv3,10.9058432219,11.2634729404,0.00177491931746,27.5502976456
p47,8.44501937557,7.03626307354,0.00177491931746,27.5502976456
CG6115,8.36075477696,6.76129662211,0.00177491931746,27.5502976456
sun,6.89997611467,3.4844136375,0.00177491931746,27.5502976456
IA-2,7.65043019682,9.54524467564,0.00177491931746,27.5502976456
ND-B14,7.84783416503,5.76771817537,0.00213238245702,33.0988404978
