,medianA,medianB,pvalue,pvalue_adj
br,0.0,8.83573784047,5.13445780758e-06,0.0796970540892
beat-IIa,9.05528240008,0.0,5.13445780758e-06,0.0796970540892
Eip93F,0.0,5.84455359424,1.87923035691e-05,0.291694136
drl,7.37533330393,10.7179005545,2.2595776672e-05,0.350731645504
ab,8.3619707784,1.01794377245,3.56123299774e-05,0.552774585909
pxb,0.0,9.7124236029,3.58926629413e-05,0.557125914175
mt:CoI,11.3649448526,10.0538849669,4.86728378236e-05,0.755499788697
sdk,0.0,5.26543874568,6.2654363942e-05,0.972521037107
Act42A,12.5138123697,12.1642269619,7.78979465439e-05,1.20913192626
Sep4,7.47217672732,9.68929748292,9.80807368533e-05,1.52240919744
rgn,10.6255561947,6.25865413972,0.000119311802124,1.85195779258
Act5C,14.4507245424,13.9646156493,0.000192101013517,2.98179193182
otp,9.26418777451,10.6795880267,0.000192101013517,2.98179193182
GluClalpha,7.01665554226,8.86222357264,0.000238162387247,3.69675657485
CG3726,0.0,5.01243186152,0.000239209057348,3.71300298815
CG42342,6.87712354152,9.912874503,0.000295206040972,4.58218816797
CG7985,0.0,8.87440122196,0.000308239766457,4.78449765495
pgant2,0.0,6.04115272248,0.000354941151782,5.50939655796
CG42747,0.0,7.64389574725,0.00039571968757,6.14236099045
fru,0.0,9.93994670973,0.000505276606553,7.84290348691
CG34393,0.0,7.7789580142,0.000542166280837,8.41550501115
poly,6.36576371297,0.0,0.000542166280837,8.41550501115
CG13300,0.0,5.74583679345,0.000606251512059,9.41023597018
CG7378,0.0,6.26802311517,0.000634034528259,9.84148394764
GlyP,8.82252722678,0.0,0.000792514928053,12.3014167132
chrb,8.46744439656,9.78555547959,0.000826019728117,12.8214782198
pros,12.7082830592,11.9309951335,0.000826019728117,12.8214782198
CG3651,0.0,8.19420633632,0.000919774599492,14.2767413333
Fas2,7.0460280617,9.78374444628,0.000995695028697,15.4551782354
GILT3,7.96050858921,0.0,0.00107504485903,16.6868463018
Fife,8.01255093741,0.859465102615,0.00107504485903,16.6868463018
CG42542,7.73991951499,0.0,0.00108495092142,16.8406082023
Spred,0.0,6.34801009728,0.00112880308385,17.5212814675
stai,9.34493143018,10.2478483747,0.00121836740449,18.9114988526
hth,12.0986056293,11.1726051018,0.00121836740449,18.9114988526
