,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,7.56852461581,5.13445780758e-06,0.0796970540892
br,0.0,7.54231504786,5.13445780758e-06,0.0796970540892
fru,0.0,10.607989242,1.22446437935e-05,0.190061360963
Eip93F,0.0,6.07563144668,1.87923035691e-05,0.291694136
Fas2,0.827516755585,10.7285506038,2.05109686014e-05,0.318371254631
beat-VI,0.0,8.47411113061,3.03089062316e-05,0.470454842527
conu,0.0,8.68563378934,3.12804076921e-05,0.485534488196
beat-IIa,8.59968005719,0.0,3.92892831811e-05,0.609848253538
GILT3,8.65818945703,0.0,5.84228460578e-05,0.906839416509
ab,8.31128993531,3.30859740872,5.9603053663e-05,0.925158598957
rgn,11.096984228,4.909863272,6.08385738294e-05,0.94433634298
Hsromega,10.25060947,11.5280439097,6.1672877202e-05,0.957286399929
CG32581,5.7085734938,0.0,6.2654363942e-05,0.972521037107
trsn,7.13835775973,0.0,0.000148206009967,2.30045368671
pxb,0.0,9.78546891498,0.000166728382707,2.58795795638
CG34393,0.0,8.33512967846,0.000188639994557,2.92806999551
sno,0.0,2.53653261729,0.000191695863289,2.97550318997
Sema-1a,8.01878607795,9.68589965847,0.000192101013517,2.98179193182
CG31475,8.58375305098,0.0,0.00019433835008,3.01651986994
pgant2,0.0,6.97448621646,0.000218386433084,3.38979421433
Octbeta3R,0.0,4.98455351905,0.000227804466713,3.53598093231
mRpS18A,4.8829635839,0.0,0.000239209057348,3.71300298815
CG17544,0.0,8.32256108805,0.000275036562097,4.26911751687
CR41620,1.08669528778,0.0,0.000302203756243,4.69080670441
GluClalpha,6.90530174138,8.47030951046,0.000364765459768,5.66188946651
mt:CoI,11.1652838952,10.1630923045,0.000365740995907,5.67703173847
pyd,1.48332507268,6.96110254957,0.000388399919053,6.02874354353
CG31038,0.0,8.93578037749,0.000400152907868,6.21117343593
hbs,0.0,5.84869392228,0.000401100451324,6.22588120545
CG3568,0.0,7.2142010593,0.000401100451324,6.22588120545
hth,11.996906331,11.1258137684,0.00045046779818,6.99216116335
CR41535,5.9264203654,6.66674256186,0.00045046779818,6.99216116335
mt:CoIII,9.98053782869,8.48185498073,0.00045046779818,6.99216116335
mub,8.12767236072,9.74613086737,0.00045046779818,6.99216116335
A2bp1,6.97945295195,8.49343007014,0.00045046779818,6.99216116335
Hsp70Bc,0.529690746035,4.60160595873,0.0004791681021,7.43764728079
shot,1.08049156295,9.45755760913,0.00050606021451,7.85506664963
CR31953,2.38983159376,0.0,0.000542166280837,8.41550501115
CG6912,4.6945127471,0.0,0.000542166280837,8.41550501115
CG32698,0.0,4.07610647482,0.000542166280837,8.41550501115
MRE16,9.40571811006,5.68587702369,0.00055308909204,8.58504888665
Pxn,9.69879935583,8.23859377412,0.00055308909204,8.58504888665
MESK2,7.71738982665,9.52756249687,0.00055308909204,8.58504888665
Pax,1.76016469667,10.1582470167,0.000589256886706,9.14644539545
CG42674,0.0,6.39184949314,0.000634034528259,9.84148394764
fas,0.0,5.94542480636,0.000634034528259,9.84148394764
Msp300,7.66829489766,9.37403497368,0.000676970721546,10.5079395398
Ac76E,0.0,6.69930683102,0.000717893223829,11.1431386203
mago,7.91026608677,4.812707853,0.000787953959844,12.2306213647
pros,12.7082830592,11.8899711733,0.000826019728117,12.8214782198
Slmap,7.16268326722,0.0,0.000917336707587,14.2389003752
Dgk,0.0,2.25431518507,0.000986770339198,15.316649205
ND-MLRQ,6.10013956529,4.19080369175,0.00100248323755,15.5605448133
RpL10,10.0252389066,9.16974909139,0.00100475242783,15.5957671848
alphaCOP,0.0,6.94491179342,0.00112880308385,17.5212814675
Hsp70Aa,1.90170160869,4.22909171969,0.00119195654579,18.5015495037
mt:ND5,5.6892574638,3.51436196381,0.00121836740449,18.9114988526
Uch,8.55172358196,6.51218624009,0.00121836740449,18.9114988526
eIF2B-gamma,5.1345761737,0.0,0.00126291265293,19.6029301988
ara,5.64064705983,0.0,0.00126291265293,19.6029301988
IP3K2,0.0,8.72399228959,0.00126291265293,19.6029301988
Tes,0.0,7.93405890558,0.00126291265293,19.6029301988
CHOp24,7.48913086712,2.62759858504,0.00130526710377,20.2603559847
5-HT1A,0.0,6.55418053197,0.00132692743138,20.5965675898
CG12994,0.0,5.63502035316,0.00139888360254,21.7134712786
CG15537,0.0,7.95097054408,0.00142779274305,22.1621989576
CG3358,1.32978222654,0.0,0.00142779274305,22.1621989576
CG14509,0.0,1.63998878073,0.00142779274305,22.1621989576
Unc-115b,0.0,1.79756308343,0.00142779274305,22.1621989576
CR45600,2.71832363808,0.0,0.00142779274305,22.1621989576
CR44042,4.76735416585,0.0,0.00142779274305,22.1621989576
CG7991,0.0,2.52699843139,0.00142779274305,22.1621989576
CG12155,0.0,3.96442229302,0.00142779274305,22.1621989576
CG42342,7.06652601454,9.69649376023,0.00146044673523,22.6690542243
tna,7.30288527688,3.52007241773,0.00146972308396,22.8130417092
LysRS,8.91165086925,5.46578479803,0.00147282307527,22.8611597743
alphaTub84B,13.1017694697,13.4116043381,0.00147282307527,22.8611597743
stai,9.29144036096,10.3393351355,0.00147282307527,22.8611597743
ATPsynD,9.83624480078,8.54580007083,0.00147282307527,22.8611597743
GlyP,8.58059551074,0.0,0.00151213077469,23.4712938847
CR43283,2.18327212833,0.0,0.00156917424068,24.3567225639
sog,4.04488666087,0.0,0.00156917424068,24.3567225639
beat-IIIb,0.0,5.0597948183,0.00171566764987,26.6305932612
