,medianA,medianB,pvalue,pvalue_adj
br,0.0,9.60926847302,5.13445780758e-06,0.0796970540892
CG3726,0.0,8.12514344233,5.13445780758e-06,0.0796970540892
GILT3,8.74974319103,0.0,9.15336830931e-06,0.142078582897
fru,0.0,10.456965341,1.87923035691e-05,0.291694136
Eip93F,0.0,6.4065377191,1.87923035691e-05,0.291694136
hbs,0.0,8.04896402771,3.03089062316e-05,0.470454842527
beat-VI,0.0,8.96505840028,3.03089062316e-05,0.470454842527
ab,8.43115952701,0.0,3.98264953155e-05,0.618186860287
rgn,10.8431048782,3.3614172964,4.29865050075e-05,0.667236530727
Hsromega,10.0119740906,12.0888537794,4.86728378236e-05,0.755499788697
sdk,0.0,5.79869424401,6.2654363942e-05,0.972521037107
pxb,0.0,9.82117318769,7.99259080905e-05,1.24060994538
CG17544,0.0,7.94899151502,0.00011600356004,1.80060725894
nAChRalpha6,0.0,7.43366473447,0.000118369727248,1.83733490635
5-HT1A,0.0,6.47674861343,0.000148206009967,2.30045368671
mCD8-GFP,11.0925998034,12.5821854321,0.000154022352814,2.39073496038
tutl,0.0,7.78636027649,0.000161903572382,2.51306725052
beat-IIa,8.72875778017,0.0,0.000188639994557,2.92806999551
CR41620,1.12311373927,0.0,0.000191695863289,2.97550318997
CG32698,0.0,4.53229315921,0.000191695863289,2.97550318997
CG32581,5.86920268037,0.0,0.000191695863289,2.97550318997
CG40472,4.18446499147,0.0,0.000191695863289,2.97550318997
CG34393,0.0,8.00542833789,0.000191695863289,2.97550318997
Hsp70Bb,5.2073470878,6.3620566121,0.000238840864478,3.70728789844
pros,12.7082830592,11.5899041219,0.000365740995907,5.67703173847
nSyb,10.2379917225,10.7075845067,0.00045046779818,6.99216116335
nrv3,10.7443242762,11.3958783046,0.00045046779818,6.99216116335
Pde9,7.55718767146,0.626905103545,0.0004791681021,7.43764728079
CG14509,0.0,6.08871736554,0.000542166280837,8.41550501115
CG15537,0.0,7.07247597641,0.000542166280837,8.41550501115
Ccn,0.0,8.13105020895,0.000634034528259,9.84148394764
pyd,4.1420846313,7.81628622236,0.000644725598377,10.007430738
Mid1,0.0,7.25287212874,0.000717893223829,11.1431386203
CR40469,0.0,3.04765297878,0.000741696486829,11.5126128686
prominin-like,6.96310272288,9.792883376,0.000818314149943,12.7018722354
MRE16,9.3162627668,5.96146339897,0.000826019728117,12.8214782198
Aac11,8.88046245447,9.80861682477,0.000826019728117,12.8214782198
beat-Ib,0.0,4.22302188908,0.000919774599492,14.2767413333
tai,1.3170982821,6.59200626282,0.000927243614384,14.3926753825
fas,0.0,4.61616610346,0.000986770339198,15.316649205
mt:lrRNA,5.15543038554,3.36192526156,0.00100475242783,15.5957671848
Tet,0.0,8.08580064844,0.00107504485903,16.6868463018
Nhe3,3.15196618967,8.87478160907,0.00112748770879,17.5008642158
Nlg3,0.0,5.03519438102,0.00112880308385,17.5212814675
CG1427,5.67297438416,0.0,0.00113640233548,17.6392370513
Pxn,9.62666543841,8.27650185634,0.00120776019566,18.746853757
28SrRNA-Psi:CR40596,6.48353877668,7.20848139806,0.00121836740449,18.9114988526
sog,5.30543734158,0.0,0.00122388950565,18.9972129066
sws,8.15667394047,0.0,0.00125050505117,19.4103394042
CG31075,0.0,8.1685017973,0.00132692743138,20.5965675898
CG15312,0.0,2.11429162995,0.00142779274305,22.1621989576
CG7637,1.65992878529,0.0,0.00142779274305,22.1621989576
CG32278,0.0,2.82069532987,0.00142779274305,22.1621989576
rb,1.81141878008,0.0,0.00142779274305,22.1621989576
NPFR,5.91838533787,0.0,0.00142779274305,22.1621989576
CG11583,0.0,6.2627748287,0.00142779274305,22.1621989576
CR31953,1.89617021695,0.0,0.00142779274305,22.1621989576
CG12290,0.0,1.78984264536,0.00142779274305,22.1621989576
Mis12,0.0,3.94853618801,0.00142779274305,22.1621989576
CG6912,3.67587590434,0.0,0.00142779274305,22.1621989576
18w,0.0,8.16715589444,0.00142779274305,22.1621989576
drl,7.37533330393,10.5129752429,0.00146044673523,22.6690542243
stai,9.29144036096,10.3109046138,0.00147282307527,22.8611597743
jim,7.17508189422,8.69162149755,0.00147282307527,22.8611597743
Set1,0.0,7.06022462886,0.0018668701386,28.9775582913
Scgalpha,0.0,8.34568678315,0.00190593953565,29.5839934724
Cdep,4.21609503744,7.12978028104,0.00190593953565,29.5839934724
Pax,7.02931047244,10.2985159676,0.00204982228844,31.8173415611
Sem1,6.17632305858,3.11074544968,0.00204982228844,31.8173415611
ckn,5.83383580254,0.0,0.00209647825016,32.541535399
CG1965,0.0,5.59203144701,0.00209647825016,32.541535399
cpx,7.73936963402,9.24575682499,0.00213238245702,33.0988404978
Pp2B-14D,0.0,4.87548522411,0.00221073834775,34.3150806338
wap,0.0,8.24127390405,0.0022921955282,35.5794589887
Pih1D1,0.0,6.64899521449,0.00237816800051,36.9139237038
CG42674,0.0,4.5270760976,0.00239300692391,37.1442534729
jeb,6.21726532271,0.0,0.00242461696602,37.6349045466
Dd,0.0,6.25968118916,0.00242787202676,37.6854295993
Ada2b,0.0,7.06209951645,0.00249812865642,38.7759530049
Sec61gamma,5.08134155144,7.75947375882,0.00254913889704,39.5677339598
CG17839,0.0,4.46610659582,0.00255244743278,39.6190890516
sn,9.87249256659,10.9033579119,0.0025539527125,39.6424540034
Pde1c,7.0176955935,0.0,0.00260376866526,40.4156972221
Fie,8.20891218386,3.32802252665,0.00285906907543,44.3784701888
CG12848,3.68388745919,0.0,0.0029371589306,45.5905809207
CG32982,7.03239921084,1.78916750597,0.00293985221537,45.632386087
Klp68D,7.47840851214,9.32853785863,0.00299439011492,46.4789233637
Hop,8.39291892129,9.7245024731,0.0030273744898,46.9909068306
Ef1gamma,10.2615353119,8.72947974844,0.00304947296561,47.3339193722
RpS23,8.23410681136,6.36526650986,0.00304947296561,47.3339193722
CG12038,8.25269027472,9.54416714888,0.00304947296561,47.3339193722
CR41535,6.09954137281,6.9162514262,0.00304947296561,47.3339193722
CG17816,7.70314130562,9.95764318586,0.00304947296561,47.3339193722
Blimp-1,5.52482061141,9.51325252606,0.0031244049632,48.4970138387
enc,7.53817140033,0.0,0.00344965301637,53.54551412
mod(r),7.8153235956,0.0,0.00344965301637,53.54551412
CG5379,1.36941450153,0.0,0.00352705120034,54.7468887317
CG7131,0.0,0.56070138018,0.00352705120034,54.7468887317
Tsp66E,1.20789980951,0.0,0.00352705120034,54.7468887317
sno,0.0,1.50480834309,0.00352705120034,54.7468887317
Hr46,0.0,0.874539609255,0.00352705120034,54.7468887317
Sytbeta,0.97973605069,0.0,0.00352705120034,54.7468887317
spri,0.0,0.57404990794,0.00352705120034,54.7468887317
GlyP,3.96445902002,0.0,0.00352705120034,54.7468887317
dpr1,1.91605648935,0.0,0.00352705120034,54.7468887317
MsR1,0.0,0.56240220205,0.00352705120034,54.7468887317
CG42788,0.97010997367,0.0,0.00352705120034,54.7468887317
CR45600,0.97010997367,0.0,0.00352705120034,54.7468887317
CG5872,0.0,0.477599571807,0.00352705120034,54.7468887317
Naa60,0.0,3.09455461958,0.00352705120034,54.7468887317
CG14401,2.66989906879,0.0,0.00352705120034,54.7468887317
CG13921,0.0,0.56070138018,0.00352705120034,54.7468887317
CG8910,6.98797515187,0.0,0.00359044554028,55.7308956763
Rab3,8.39616659169,9.85382563391,0.00362364234065,56.2461764115
nAChRalpha2,10.6212982203,9.15534374141,0.00362364234065,56.2461764115
ND-B17.2,7.47511365951,5.99468385765,0.0036299774941,56.3445106633
Cam,8.18252648848,9.26793776599,0.0036299774941,56.3445106633
RpS25,9.84075994713,8.39162243663,0.0036299774941,56.3445106633
nAChRalpha7,10.2550502397,11.1417527268,0.0036299774941,56.3445106633
Arc1,7.21860614085,0.0,0.00364894251992,56.6388857942
CCKLR-17D3,0.0,7.3119116346,0.00364894251992,56.6388857942
CG42265,7.05145564136,0.0,0.0037223401689,57.7781641017
MED19,6.53812735267,0.0,0.00383068638571,59.4599140789
CG7430,6.25062436991,9.32980963779,0.00388846980714,60.3568283465
trsn,6.88310836449,0.0,0.00398864969176,61.9118205154
l(2)k12914,6.94963357929,4.94505622473,0.00430777905941,66.8653465602
gw,9.27092449007,7.1244201521,0.00430777905941,66.8653465602
Cow,8.78033113852,10.1495030554,0.00430777905941,66.8653465602
RpL41,7.99006780843,6.04991119215,0.00430777905941,66.8653465602
RpL13A,11.0287738187,9.99521927483,0.00430777905941,66.8653465602
RpS26,8.93298003774,6.96577999369,0.00430777905941,66.8653465602
RpL38,8.64256741115,6.01175150491,0.00430777905941,66.8653465602
Prp3,6.15948627758,0.0,0.00437130777888,67.8514393438
rst,1.47234462909,0.0,0.00447257634231,69.4233299853
CG17593,4.55100935958,0.0,0.00447257634231,69.4233299853
gukh,0.0,6.21288590325,0.00447257634231,69.4233299853
Ns2,0.0,7.37084762168,0.00457076610572,70.9474314929
lqfR,0.0,7.93409829202,0.00457076610572,70.9474314929
Smyd4-4,6.01746386981,0.0,0.00478027785591,74.1994728795
Liprin-gamma,6.39424224158,2.14946520254,0.00481299234794,74.7072672248
ND-PDSW,7.01716424899,3.99827961596,0.00481299234794,74.7072672248
corto,4.10754843997,8.39861190502,0.00493354571083,76.5784965235
HP1b,7.59670759719,0.0,0.00493654540271,76.6250577408
CG4768,0.0,7.65982867565,0.00494472589418,76.7520353295
Hsp70Aa,1.3832511395,3.56880058318,0.00501472614484,77.8385792202
Fas2,7.82322429935,10.4516638185,0.00501472614484,77.8385792202
Diap1,9.30695952978,7.67324811497,0.00506374462822,78.5994441192
RpL39,7.96940326697,5.71270646191,0.00509655249555,79.108687836
mt:CoIII,9.98053782869,8.52368965547,0.00509655249555,79.108687836
smt3,10.4688912121,8.8940249242,0.00509655249555,79.108687836
RpL40,10.4540560593,9.31576254847,0.00509655249555,79.108687836
Shal,6.16483615678,0.0,0.00522636036729,81.1235656211
igl,0.351067622243,8.457347539,0.00525425985974,81.5566215428
pico,0.0,6.15223428225,0.0053005570512,82.2752465487
CG43143,0.0,2.72268548508,0.0053005570512,82.2752465487
Lnk,0.0,3.092235066,0.0053005570512,82.2752465487
Ncoa6,0.0,3.9477865611,0.00540745351568,83.9344934703
S6k,0.0,7.17097270534,0.00540745351568,83.9344934703
gammaTub23C,0.0,7.15694755379,0.00544425276621,84.5056914371
CG42750,0.0,2.47187563254,0.00545841288083,84.7254847362
luna,0.0,1.42311178537,0.00545841288083,84.7254847362
CG9953,0.726059833185,8.39773580096,0.00550127178673,85.3907406736
Spase22-23,6.82044675599,2.44763636962,0.00569007744509,88.3213821027
Mad1,7.68329879716,0.0,0.00587556329273,91.2004934297
Fife,8.08210031822,0.0,0.00592082091217,91.9029821987
nAChRalpha1,8.24056061779,4.79277417709,0.00597427122471,92.7326379499
Tina-1,6.58556813595,8.6586035549,0.00600211729593,93.1648646674
ND-MLRQ,6.04939265971,4.82157810351,0.00601141270381,93.3091479885
mub,8.01803346294,10.2178276715,0.00601141270381,93.3091479885
RNASEK,6.69578125045,5.27541485698,0.00601141270381,93.3091479885
ergic53,0.0,6.90802511839,0.0064649498014,100.348950817
Octbeta3R,0.0,3.82821344797,0.0064649498014,100.348950817
CG10948,0.0,4.83082644338,0.00653613018271,101.453812696
CG34310,0.0,3.96103138627,0.00653613018271,101.453812696
Tao,0.0,6.72833392421,0.00653613018271,101.453812696
ttv,0.0,2.45041788822,0.00663282670479,102.954736112
tkv,0.0,2.52194542328,0.00663282670479,102.954736112
CG43347,0.0,6.94826480354,0.00674805680549,104.743337735
ed,0.0,5.39934674209,0.0067947678321,105.46838629
RpII140,0.0,9.48196732585,0.00692625716683,107.509363743
CG15097,7.86671430764,9.09064595123,0.0069644785992,108.102636817
CG12279,5.70216476346,0.0,0.00696973433282,108.184216314
OstDelta,7.89313615878,9.36747969838,0.00702709940089,109.074636901
ND-51,7.33262122241,9.32703453817,0.00705850305669,109.562084446
awd,9.03991797385,7.72943309194,0.00706898472796,109.724780947
His4r,10.65449553,8.98012940598,0.00706898472796,109.724780947
sun,6.64390032628,4.70543180245,0.00706898472796,109.724780947
UQCR-11,8.24271846558,6.17308770668,0.00706898472796,109.724780947
CG4433,0.0,7.80145914514,0.00770143730756,119.541709888
Efr,6.99549211425,0.0,0.00781736611063,121.341156769
AnxB10,6.76139117351,0.0,0.00781736611063,121.341156769
mib1,0.0,7.59696843971,0.00781736611063,121.341156769
CG11563,0.0,3.21699094519,0.00802528727053,124.568509013
CG7991,0.0,4.35009606526,0.00802528727053,124.568509013
STUB1,5.30937183352,0.0,0.00802528727053,124.568509013
CG10947,6.77929324675,0.0,0.00802528727053,124.568509013
CG5510,0.0,6.95183073573,0.00805893116142,125.090729488
CG7222,0.0,7.29965485281,0.00805893116142,125.090729488
Evi5,5.93818464487,8.40707207208,0.0081700454027,126.815444741
Ace,5.77722771924,9.5206408731,0.0081700454027,126.815444741
cathD,7.0635341921,8.71733905452,0.0081700454027,126.815444741
CG4622,0.0,0.0,0.00823657790279,127.848162207
CG11796,0.0,0.0,0.00823657790279,127.848162207
fu2,0.0,0.0,0.00823657790279,127.848162207
wdn,0.0,0.0,0.00823657790279,127.848162207
CG13995,0.0,0.0,0.00823657790279,127.848162207
RtGEF,0.0,0.0,0.00823657790279,127.848162207
Ptip,0.0,0.0,0.00823657790279,127.848162207
CG6023,0.0,0.0,0.00823657790279,127.848162207
CG14253,0.0,0.0,0.00823657790279,127.848162207
Cdc2rk,0.0,0.0,0.00823657790279,127.848162207
CG31922,0.0,0.0,0.00823657790279,127.848162207
CG16771,0.0,0.0,0.00823657790279,127.848162207
CG32344,0.0,0.0,0.00823657790279,127.848162207
CR44383,0.0,0.0,0.00823657790279,127.848162207
Sirup,0.0,0.0,0.00823657790279,127.848162207
CG32485,0.0,0.0,0.00823657790279,127.848162207
