,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,6.83316239355,5.13445780758e-06,0.0796970540892
fru,0.0,10.5020639925,5.13445780758e-06,0.0796970540892
Eip93F,0.0,5.68635471395,5.13445780758e-06,0.0796970540892
GILT3,9.08339378429,0.0,9.15336830931e-06,0.142078582897
ab,8.20968294692,0.8439025418,1.59244638206e-05,0.247179527424
br,0.0,9.49718503904,1.60001094808e-05,0.248353699361
beat-IIa,8.70999615171,0.0,1.60001094808e-05,0.248353699361
Ac76E,0.0,7.39853413472,5.07461880929e-05,0.787682331577
pxb,0.0,10.4950740503,5.07473053166e-05,0.787699673125
CG15537,0.0,8.4426224511,6.2654363942e-05,0.972521037107
CG7991,0.0,5.76698060448,6.2654363942e-05,0.972521037107
CG42747,0.0,8.12452784046,6.2654363942e-05,0.972521037107
Hsp70Bb,5.411466041,6.69300114211,7.78979465439e-05,1.20913192626
mamo,10.5987732992,9.76473438914,9.80807368533e-05,1.52240919744
beat-VI,0.0,8.53786707778,0.00011600356004,1.80060725894
fas,0.0,6.12851937855,0.00011600356004,1.80060725894
rgn,10.5616333299,8.191610813,0.000121576208476,1.88710590796
Pxn,10.0001394195,7.07661657878,0.000122720086651,1.904861185
mub,8.17675874624,10.5692496668,0.000123103116411,1.91080657294
Fas2,7.15891574251,10.2331150287,0.000153557237674,2.38351544317
cpx,7.70538883678,9.50034890744,0.000154022352814,2.39073496038
drl,7.13438311131,10.7926738643,0.000191538245668,2.97305664926
Hr46,0.0,3.57384723964,0.000191695863289,2.97550318997
sdk,0.0,7.74676464071,0.000191695863289,2.97550318997
Unc-115b,0.0,2.16120615043,0.000191695863289,2.97550318997
MRE16,9.39697573146,6.43421160093,0.000238840864478,3.70728789844
sm,8.76187445613,10.7212134194,0.000238840864478,3.70728789844
CG34393,0.0,8.16482865845,0.000239209057348,3.71300298815
l(3)L1231,0.0,7.87434927147,0.000245190061008,3.80584012697
Blimp-1,5.26514421506,9.43037169276,0.000280015124478,4.34639476215
RpL36,9.23961623583,7.50904496775,0.000296021072947,4.59483909429
Hsromega,10.472459914,12.1387467913,0.000296021072947,4.59483909429
mt:CoIII,9.98673433823,8.75786053265,0.000296021072947,4.59483909429
mCD8-GFP,11.378293319,12.6570043,0.000296021072947,4.59483909429
TfIIS,0.0,8.12490868318,0.000324921862813,5.04343715458
sn,10.2304724918,10.9834740497,0.000365740995907,5.67703173847
rad,0.0,4.55418406638,0.000401100451324,6.22588120545
GlyP,8.90392444424,0.0,0.000401100451324,6.22588120545
beat-Ib,0.0,5.77860403856,0.000401100451324,6.22588120545
CG32581,5.57487310986,0.0,0.000401100451324,6.22588120545
Rtca,8.45553826687,4.20301007577,0.000445826278835,6.92011550008
Nacalpha,8.80351866791,6.42714350605,0.00045046779818,6.99216116335
fne,11.1067054776,10.1747584091,0.00045046779818,6.99216116335
mt:CoI,11.2179962013,10.1471038897,0.00045046779818,6.99216116335
CG3800,9.27607982111,7.03737495688,0.00045046779818,6.99216116335
vig,8.70920813639,9.70002971601,0.00045046779818,6.99216116335
Pax,0.0,9.91737132624,0.0004791681021,7.43764728079
pyd,3.9735575272,8.26431078853,0.000525874701383,8.16262711487
CG14509,0.0,7.01495422266,0.000542166280837,8.41550501115
Su(fu),0.0,6.04203430588,0.000542166280837,8.41550501115
Sirt2,0.0,3.88757895495,0.000542166280837,8.41550501115
Cka,8.44950154939,10.2461999779,0.000547573038485,8.49942870336
CG12038,8.01947907721,9.65667544516,0.000551706634864,8.56359038637
RpS15Aa,9.13749936881,7.16720280221,0.00055308909204,8.58504888665
IP3K2,0.0,8.98250639258,0.000634034528259,9.84148394764
CG12065,0.0,7.29816545593,0.000634034528259,9.84148394764
28SrRNA-Psi:CR40596,6.33023426757,7.24103624152,0.000676970721546,10.5079395398
kra,11.3298998896,10.6964571995,0.000676970721546,10.5079395398
tsr,11.3713135064,10.0827481702,0.000676970721546,10.5079395398
CG17839,0.0,3.01412049634,0.000741696486829,11.5126128686
beat-IIb,6.83952472417,0.0,0.000741696486829,11.5126128686
CG32698,0.0,6.19246680051,0.000792514928053,12.3014167132
Act5C,14.4659608711,13.9170853023,0.000826019728117,12.8214782198
Hsc70-4,12.5303301939,12.8840801698,0.000826019728117,12.8214782198
hth,12.2283907169,11.1688426646,0.000826019728117,12.8214782198
nAChRalpha7,10.2249437471,11.2017957002,0.000826019728117,12.8214782198
CR41535,5.92704513977,6.85879515997,0.000826019728117,12.8214782198
CR40469,0.0,1.9948362638,0.000919774599492,14.2767413333
Ace,6.44778567305,9.42740752313,0.000995695028697,15.4551782354
RpL35,8.33151951355,6.7853670701,0.00100475242783,15.5957671848
Nlp,9.64318858628,8.37328299782,0.00100475242783,15.5957671848
RpS27,8.21428706652,7.10461138177,0.00100475242783,15.5957671848
Nlg3,0.0,6.00904918613,0.00111189349193,17.2588107817
CR44978,4.80987985853,0.0,0.00112880308385,17.5212814675
CG42342,7.60870136557,9.87495974898,0.00121571023979,18.870254342
RpL38,8.52425300145,6.36552670338,0.00121836740449,18.9114988526
pros,12.6246712129,11.8411512911,0.00121836740449,18.9114988526
CG7630,8.70704160297,7.36646403956,0.00121836740449,18.9114988526
smt3,10.2777938106,8.80635732233,0.00121836740449,18.9114988526
BI-1,9.91185483157,8.08288608115,0.00121836740449,18.9114988526
CG34356,2.7824912576,0.0,0.00125050505117,19.4103394042
FER,6.75547054908,0.0,0.00126291265293,19.6029301988
shot,2.44990606448,9.06173613587,0.00141157064903,21.9103996143
CG34132,6.41541529023,2.31600662022,0.00141157064903,21.9103996143
CG14372,1.65639882072,0.0,0.00142779274305,22.1621989576
BRWD3,0.0,2.14099515503,0.00142779274305,22.1621989576
CG14200,2.16937951734,0.0,0.00142779274305,22.1621989576
stan,2.12449249185,0.0,0.00142779274305,22.1621989576
Inos,5.40286549757,0.0,0.00142779274305,22.1621989576
Sep4,7.9387461374,9.59044248787,0.00146972308396,22.8130417092
