,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,6.88151600824,5.13445780758e-06,0.0796970540892
Eip93F,0.0,6.46224963596,5.13445780758e-06,0.0796970540892
rgn,11.1762736294,3.4319581475,1.59244638206e-05,0.247179527424
GILT3,9.10251239775,0.0,1.68616240509e-05,0.261726128517
CR41535,5.84311269918,6.67711391788,1.82922767695e-05,0.283932720016
fru,0.0,10.4841413871,1.87923035691e-05,0.291694136
ab,8.43115952701,0.527655433155,2.05109686014e-05,0.318371254631
br,0.0,8.91186331468,2.08338413307e-05,0.323382885135
mCD8-GFP,11.4182549355,12.6085753495,2.34743628248e-05,0.364369059766
pxb,0.0,9.98442972133,2.79943635337e-05,0.434528510771
Hsp70Bb,5.12893127677,6.69300114211,3.0028801484e-05,0.466107056635
CR40668,4.034724688,5.26685689899,4.86728378236e-05,0.755499788697
28SrRNA-Psi:CR40596,5.87286477165,7.01981872428,4.86728378236e-05,0.755499788697
MRE16,9.39697573146,5.84848472704,4.86728378236e-05,0.755499788697
Fas2,7.24990338923,10.2331150287,5.9603053663e-05,0.925158598957
beat-IIa,8.70999615171,0.0,6.2654363942e-05,0.972521037107
mub,8.12767236072,10.0927086575,7.78979465439e-05,1.20913192626
CG3800,9.45799809664,7.44811803884,9.80807368533e-05,1.52240919744
His4r,10.3510438662,8.85854782889,0.000123103116411,1.91080657294
CG34393,0.0,8.5057686778,0.000148206009967,2.30045368671
mt:CoIII,9.98673433823,8.59015790039,0.000154022352814,2.39073496038
ATPsyndelta,8.90817923608,7.61163461817,0.000154022352814,2.39073496038
fne,11.3642357309,9.99836345172,0.000154022352814,2.39073496038
fas,0.0,5.66860567589,0.000191695863289,2.97550318997
CG15537,0.0,7.42671191566,0.000191695863289,2.97550318997
Uba3,7.91017565808,0.0,0.000191695863289,2.97550318997
CG32581,5.7085734938,0.0,0.000191695863289,2.97550318997
18w,0.0,5.75372196253,0.000191695863289,2.97550318997
RpL38,8.31567868363,5.92033879584,0.000192101013517,2.98179193182
RpS27,8.41955957699,6.76677483701,0.000192101013517,2.98179193182
RpL35,8.33819745042,6.68068884272,0.000192101013517,2.98179193182
