,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,6.8850438486,5.13445780758e-06,0.0796970540892
beat-VI,0.0,8.65943178559,5.13445780758e-06,0.0796970540892
Eip93F,0.0,6.03195182653,5.13445780758e-06,0.0796970540892
pxb,0.0,9.99011765921,1.11685890367e-05,0.173358839028
rgn,10.9446372271,1.10894195947,1.69078033979e-05,0.262442924342
CG34393,0.0,7.91204146977,1.87923035691e-05,0.291694136
beat-IIb,7.30715388896,0.0,1.87923035691e-05,0.291694136
GILT3,8.65818945703,0.0,2.02308250395e-05,0.314022866263
br,0.0,8.8855706437,2.08338413307e-05,0.323382885135
ab,8.46329488034,1.84488068024,2.2595776672e-05,0.350731645504
CR41535,5.86501935626,6.8459036568,2.34743628248e-05,0.364369059766
pros,12.5915197064,11.5811416948,3.0028801484e-05,0.466107056635
fru,0.0,10.4136616321,3.03089062316e-05,0.470454842527
beat-IIa,8.54700599398,0.0,3.92892831811e-05,0.609848253538
hbs,0.0,7.74724834043,5.07461880929e-05,0.787682331577
MRE16,9.35711899978,6.27619312211,0.000123103116411,1.91080657294
CR45600,4.74814213534,0.0,0.000191695863289,2.97550318997
CG7991,0.0,5.27574907961,0.000191695863289,2.97550318997
CG32581,5.44277187157,0.0,0.000191695863289,2.97550318997
CR41620,1.08530977585,0.0,0.000191695863289,2.97550318997
fas,0.0,3.60375987862,0.000191695863289,2.97550318997
CG6912,6.95012311092,0.0,0.000191695863289,2.97550318997
mub,8.17217573286,10.3257693311,0.000238840864478,3.70728789844
IscU,8.07884315361,6.61079582593,0.000287940759511,4.46941646913
CG31475,9.13477052013,0.0,0.000301562738535,4.68085682754
beat-Ib,0.0,7.42675159908,0.000308239766457,4.78449765495
Fas2,4.84223907896,9.52072459358,0.000356065705973,5.52685188811
Fer1HCH,9.54739705913,8.42197998035,0.000365740995907,5.67703173847
CG17839,0.0,4.49876118421,0.000505276606553,7.84290348691
Pura,0.0,4.76556340687,0.000505276606553,7.84290348691
Galk,0.0,6.97721925799,0.000542166280837,8.41550501115
CG15537,0.0,8.72431026148,0.000542166280837,8.41550501115
CG44153,0.0,3.27554942454,0.000542166280837,8.41550501115
18w,0.0,6.58222501334,0.000542166280837,8.41550501115
CG14509,0.0,4.88262947605,0.000542166280837,8.41550501115
sdk,0.0,2.11741667691,0.000542166280837,8.41550501115
Arc1,6.26658465222,0.0,0.000542166280837,8.41550501115
FoxP,7.32539200763,0.51467554929,0.000589256886706,9.14644539545
mt:Cyt-b,8.99888689654,7.67160975826,0.000676970721546,10.5079395398
CG13364,8.25045383803,7.03329478974,0.000676970721546,10.5079395398
ZAP3,0.0,3.96823292588,0.000792514928053,12.3014167132
Hsp70Bc,0.529690746035,4.64210836198,0.0008252767023,12.8099449731
Msp300,7.87101864523,9.50852531924,0.000826019728117,12.8214782198
Sema-1a,8.06965548981,9.11684910116,0.000826019728117,12.8214782198
28SrRNA-Psi:CR40596,6.15403520641,7.04405250403,0.000826019728117,12.8214782198
nAChRalpha2,10.6212982203,8.7232603394,0.000826019728117,12.8214782198
nAChRalpha6,0.0,6.94138423482,0.000882615531441,13.699958279
CG2993,7.80241219706,2.0224319536,0.000882615531441,13.699958279
CG5412,6.12780020256,0.0,0.000919774599492,14.2767413333
CG10915,6.46996121787,8.45961350674,0.000982205636211,15.2457958853
CG34380,7.72541993456,9.76763679208,0.00100248323755,15.5605448133
fne,11.1067054776,10.4475794358,0.00100475242783,15.5957671848
CG8301,0.0,9.07986361063,0.0010139646038,15.7387585801
CG14411,8.45080835273,0.0,0.00113640233548,17.6392370513
eIF5,0.966710932018,6.22237723996,0.00116590237631,18.0971366851
Pax,7.63177189447,10.5647375115,0.00119195654579,18.5015495037
drl,7.97538622774,10.5548064067,0.00121571023979,18.870254342
CR40668,4.45226432054,4.92112104378,0.00121836740449,18.9114988526
CG3556,8.85741589182,9.85886633568,0.00121836740449,18.9114988526
Hsromega,10.25060947,11.6591251851,0.00121836740449,18.9114988526
clu,0.0,3.46005357437,0.00122388950565,18.9972129066
ara,5.94095938226,0.0,0.00126291265293,19.6029301988
Ccn,0.0,8.26092233898,0.00126291265293,19.6029301988
CG42747,0.0,7.66917701199,0.00132692743138,20.5965675898
sca,0.0,8.51471292822,0.00135089837356,20.9686445544
CG42748,0.0,7.6617255909,0.00136672541789,21.2143119366
CG32354,0.0,3.9303002049,0.00138410255674,21.4840398857
CR44042,3.17111190349,0.0,0.00142779274305,22.1621989576
sno,0.0,2.74726828955,0.00142779274305,22.1621989576
beat-Ia,0.0,2.77342496138,0.00142779274305,22.1621989576
CG8578,1.9148931116,0.0,0.00142779274305,22.1621989576
ECSIT,0.0,5.36375954201,0.00142779274305,22.1621989576
GlyP,4.42062713365,0.0,0.00142779274305,22.1621989576
stan,2.12449249185,0.0,0.00142779274305,22.1621989576
GluClalpha,6.36688708416,8.59143721281,0.00146044673523,22.6690542243
Bacc,10.3276116867,9.65735311091,0.00147282307527,22.8611597743
CG42458,0.0,4.66501659057,0.00156917424068,24.3567225639
mago,7.96173333171,1.34786170738,0.00165136891435,25.6325482885
Pxn,9.98089602785,6.94319215297,0.00177131609779,27.4943684699
RpS15Aa,8.74519165214,7.61531356627,0.00177491931746,27.5502976456
MED26,7.33324827117,8.92644188814,0.00177491931746,27.5502976456
mt:CoIII,10.1056433407,8.67364127503,0.00177491931746,27.5502976456
mt:ND5,6.00051112534,3.71284177025,0.00177491931746,27.5502976456
CG3800,9.49434643353,7.56595356798,0.00177491931746,27.5502976456
CG32698,0.0,1.99882049232,0.0018610634418,28.8874267436
CG9531,1.77012410798,8.34602487229,0.00190593953565,29.5839934724
CR40469,0.0,2.24955017718,0.00194175002269,30.1398438521
Acer,0.0,4.82507354143,0.00194175002269,30.1398438521
Ac76E,0.0,7.09734720768,0.00196453706682,30.4935443511
Sherpa,2.05811830548,8.54856395091,0.00198913301754,30.8753226982
Fife,7.36772503276,0.0,0.00201257007866,31.239112761
prominin-like,7.91753565495,9.92807978827,0.00211572035207,32.8402113049
Nacalpha,8.80351866791,7.55314090035,0.00213238245702,33.0988404978
mt:CoI,11.4176571587,10.2906737424,0.00213238245702,33.0988404978
RpS2,10.4433125681,9.85399305196,0.00213238245702,33.0988404978
ERp60,9.84165049555,10.6151566508,0.00213238245702,33.0988404978
CngB,0.0,6.8249951075,0.00239300692391,37.1442534729
l(2)37Cc,7.19353955504,8.35566741054,0.00250604271143,38.8987949668
Sep4,7.47217672732,9.44498964847,0.00253472786605,39.3440459369
Ace,6.44778567305,9.49880488994,0.00254913889704,39.5677339598
CG5446,8.6628658956,7.74202033157,0.0025539527125,39.6424540034
Hsp70Bb,5.16804382614,6.16188487866,0.0025539527125,39.6424540034
cpx,7.991602772,9.20181674589,0.0025539527125,39.6424540034
Cow,8.32964375472,10.0843338016,0.0025539527125,39.6424540034
Blos1,7.45624879952,0.0,0.0026641228572,41.3525149895
CG5532,7.51547567602,3.53059823403,0.00274804120397,42.6550955681
pyd,3.5982399999,8.33723495855,0.00293985221537,45.632386087
eIF-4B,5.46186622469,2.87719221453,0.0030273744898,46.9909068306
Tom7,5.95478242896,4.74033379827,0.00304947296561,47.3339193722
RpL38,8.16149035898,7.24165518048,0.00304947296561,47.3339193722
hth,12.0986056293,11.4846911162,0.00304947296561,47.3339193722
otp,9.25590504245,10.4259100647,0.00304947296561,47.3339193722
Jupiter,10.2199023387,9.6918309543,0.00304947296561,47.3339193722
TkR86C,8.21526687689,0.0,0.00307529397712,47.7347131128
tacc,5.17348629479,8.37812844117,0.00326938483288,50.747391376
rump,3.66387261661,9.17895080914,0.00328417982783,50.9770392876
Prosalpha3,9.03759928009,7.67748005709,0.00332244042047,51.5709202066
Mid1,0.0,7.34473175044,0.00344965301637,53.54551412
