,medianA,medianB,pvalue,pvalue_adj
fru,0.0,10.3053009247,5.13445780758e-06,0.0796970540892
br,0.0,9.02790693653,5.13445780758e-06,0.0796970540892
ab,8.4843110839,0.0,1.11685890367e-05,0.173358839028
pxb,0.0,10.39657702,1.30214778044e-05,0.20211937848
CG17544,0.0,8.16557763197,1.87923035691e-05,0.291694136
CG34393,0.0,8.93604272893,1.87923035691e-05,0.291694136
CG3726,0.0,8.24639457491,1.87923035691e-05,0.291694136
GILT3,8.81836525312,0.0,2.79943635337e-05,0.434528510771
pros,12.7168399362,11.6979128484,3.82914473375e-05,0.594359845572
Sap-r,6.76841685881,9.74572615939,5.75858987489e-05,0.89384832038
rgn,10.9446372271,6.79190757434,5.9603053663e-05,0.925158598957
Eip93F,0.0,5.74242423739,6.2654363942e-05,0.972521037107
CG32581,6.12206806317,0.0,6.2654363942e-05,0.972521037107
Fas2,5.66894918666,10.3623900053,7.687377789e-05,1.19323478041
Pax,1.76016469667,10.0715197435,8.75151666445e-05,1.35841041666
Pde1c,7.30345732675,0.0,0.000128393684088,1.99292676441
CG41128,5.11726453377,1.77881774616,0.000149416648845,2.31924522337
beat-VI,0.0,8.55146090158,0.000151723321511,2.3550493965
Diap1,9.63878398121,3.93245076645,0.000152167966278,2.36195117257
stai,9.7434183869,10.5240771329,0.000154022352814,2.39073496038
mirr,0.0,10.016347636,0.000162360448308,2.52015887864
CG7985,0.0,8.9243856652,0.000191427754366,2.97134160328
sdk,0.0,4.34120100237,0.000191695863289,2.97550318997
hbs,0.0,8.09218203388,0.000191695863289,2.97550318997
Psa,9.67397237414,6.42887283205,0.000232116999732,3.60292006985
drl,7.13438311131,10.7043326042,0.000236135092723,3.66528890925
CG14641,7.40634905324,0.0,0.000254836523736,3.95557252143
Pxn,10.190712143,7.43656914818,0.000280015124478,4.34639476215
mt:ND5,5.42970269769,3.26996878574,0.000296021072947,4.59483909429
beat-IIa,8.40603818851,0.0,0.000302203756243,4.69080670441
fas,0.0,5.10319686361,0.000302203756243,4.69080670441
MRE16,9.3162627668,4.19270493358,0.000365740995907,5.67703173847
GstZ2,9.20695672699,0.0,0.000400152907868,6.21117343593
bru-3,6.89872460856,2.38239767611,0.000427583200774,6.63694644241
Arf102F,7.58440754139,5.37150217576,0.000438924708267,6.81298932172
fne,11.4571541126,10.3104737027,0.00045046779818,6.99216116335
mt:CoIII,9.71703360658,8.3690092862,0.00045046779818,6.99216116335
pgant2,0.0,6.53070316197,0.0004986200163,7.73957989301
ara,5.64064705983,0.0,0.000542166280837,8.41550501115
CG32698,0.0,4.7251414295,0.000542166280837,8.41550501115
CG14561,6.09650537567,0.0,0.000542166280837,8.41550501115
GlyP,8.34115463956,0.0,0.000542166280837,8.41550501115
CG14401,6.87960997976,0.0,0.000542166280837,8.41550501115
CG10384,8.04215758183,0.0,0.000542166280837,8.41550501115
Oamb,0.0,6.98696239011,0.000542166280837,8.41550501115
ND-B22,7.17242706743,4.74392503957,0.000547573038485,8.49942870336
nrv3,10.7443242762,11.3567589041,0.00055308909204,8.58504888665
mt:lrRNA,5.25609412961,2.16918409846,0.00055308909204,8.58504888665
CG31075,0.0,7.83745379975,0.000606251512059,9.41023597018
Ccn,0.0,8.53689452446,0.000634034528259,9.84148394764
Fife,7.45417585059,0.0,0.000673062917559,10.4472826064
CG43729,8.71368496101,6.54238091429,0.000676970721546,10.5079395398
Pdcd4,10.0583602944,11.02526555,0.000676970721546,10.5079395398
CG14883,1.51454243572,9.41784911833,0.000687455978547,10.670691699
CG12991,0.367078293357,8.53727353321,0.000760159209284,11.7991912465
mt:ND1,4.08351052993,1.05095301778,0.000787953959844,12.2306213647
Sem1,6.14519541979,2.40889450661,0.000787953959844,12.2306213647
ed,0.0,5.62306366493,0.000792514928053,12.3014167132
CG42394,3.5173993352,0.0,0.000792514928053,12.3014167132
ND-B17.2,7.31980974754,5.1564571406,0.000818314149943,12.7018722354
Rpt5,8.29457120085,2.83769584683,0.000882615531441,13.699958279
CG4101,5.1738260907,1.54602898469,0.000959980575337,14.9008184904
mCD8-GFP,11.4182549355,12.1009597324,0.00100475242783,15.5957671848
IA-2,7.43858852799,9.41015059376,0.00100475242783,15.5957671848
ERp60,9.27633843247,10.6174708472,0.00100475242783,15.5957671848
Cyp1,11.6074540373,10.7652057101,0.00100475242783,15.5957671848
CG12038,7.7929683526,9.54287708229,0.00100475242783,15.5957671848
RpL41,7.50916287985,4.95716859348,0.00100475242783,15.5957671848
RpL31,7.86912094594,4.89208073239,0.00100475242783,15.5957671848
CG42376,4.2480171081,0.0,0.00113640233548,17.6392370513
ND-AGGG,5.69573399348,3.21407331933,0.00121571023979,18.870254342
Nedd8,6.83181125545,4.40452979803,0.00121836740449,18.9114988526
Pde9,6.68241479713,0.0,0.00123829633922,19.2208357774
UQCR-11,8.49321503305,4.7657797532,0.00133721448484,20.7562432338
CG3918,3.46054264627,0.0,0.00142779274305,22.1621989576
MESR3,0.0,1.57241954252,0.00142779274305,22.1621989576
CG1109,0.0,3.24494918946,0.00142779274305,22.1621989576
CG15537,0.0,5.20722507882,0.00142779274305,22.1621989576
yip2,0.0,3.62124555363,0.00142779274305,22.1621989576
CG8239,0.0,2.79230200502,0.00142779274305,22.1621989576
CG12096,5.1905465264,0.0,0.00142779274305,22.1621989576
CG6912,4.63741982049,0.0,0.00142779274305,22.1621989576
CG11138,6.84036988617,4.24565769009,0.00146044673523,22.6690542243
HIP-R,6.10914399969,7.48702155604,0.00147282307527,22.8611597743
CycG,9.96510649093,10.9672431089,0.00147282307527,22.8611597743
CG42674,0.0,5.66316941634,0.00151213077469,23.4712938847
beat-Ia,0.0,5.44169502815,0.00156917424068,24.3567225639
CG45263,6.55553641867,0.0,0.00156917424068,24.3567225639
Cdep,2.1531981371,6.57326252578,0.00157976558932,24.5211214775
dpr15,2.24570371612,8.7396146133,0.00157976558932,24.5211214775
CG32767,6.1282978786,2.52449577264,0.00158420443385,24.5900212222
CG42747,0.0,7.32684455779,0.00171566764987,26.6305932612
