,medianA,medianB,pvalue,pvalue_adj
br,0.0,8.97681001533,5.13445780758e-06,0.0796970540892
fas,0.0,6.87526144189,7.09569794446e-06,0.110139423494
CR41535,5.8664149861,6.76092813962,1.82922767695e-05,0.283932720016
ab,8.44997781525,0.527655433155,2.05109686014e-05,0.318371254631
CG3726,0.0,6.66742837646,2.08338413307e-05,0.323382885135
rgn,10.9446372271,5.10171881315,2.89345043e-05,0.449121375744
CG32581,5.7085734938,0.0,3.03089062316e-05,0.470454842527
Eip93F,0.0,6.13128175377,6.2654363942e-05,0.972521037107
fru,0.0,9.72351534549,6.2654363942e-05,0.972521037107
GILT3,9.10251239775,0.0,6.53782854001e-05,1.01480174598
Hsromega,9.80210764573,12.0026871043,7.78979465439e-05,1.20913192626
28SrRNA-Psi:CR40596,6.2228959712,7.15898393245,7.78979465439e-05,1.20913192626
ytr,0.0,7.589660135,8.30327653547e-05,1.28883458384
tnc,8.87930054658,9.96430800388,9.80807368533e-05,1.52240919744
CR40668,4.13761762764,4.94591014094,0.000123103116411,1.91080657294
pyd,1.48332507268,8.9961904593,0.000138338286964,2.14728689026
Fas2,6.76376158557,10.5701804792,0.000149416648845,2.31924522337
mub,8.25377379136,10.5184169203,0.000154022352814,2.39073496038
MRE16,9.2512782512,5.06174525976,0.000154022352814,2.39073496038
CG7991,0.0,4.72442080498,0.000191695863289,2.97550318997
beat-IIa,8.77505035535,0.0,0.00019433835008,3.01651986994
CG17059,5.41016296579,2.1626516109,0.000238162387247,3.69675657485
RpS13,8.71396334715,6.7715441255,0.000238840864478,3.70728789844
CG34393,0.0,7.91065528303,0.000239209057348,3.71300298815
pxb,0.0,9.69053628239,0.000254836523736,3.95557252143
hth,11.9255640729,11.0792640735,0.000296021072947,4.59483909429
fne,11.2654718784,10.1610207249,0.000296021072947,4.59483909429
beat-VI,0.0,8.44235922924,0.000308239766457,4.78449765495
Pax,0.0,10.3828871353,0.000324921862813,5.04343715458
Ccn,0.0,7.68179645208,0.000401100451324,6.22588120545
beat-IIIb,0.0,5.92443901675,0.000401100451324,6.22588120545
CG12065,0.0,6.04368283582,0.000401100451324,6.22588120545
trsn,6.74064997274,0.0,0.000403173249831,6.25805518388
IscU,8.03089523318,6.73245026928,0.000438924708267,6.81298932172
28SrRNA-Psi:CR45859,5.84270963291,6.34776736006,0.00045046779818,6.99216116335
CG7630,8.70704160297,6.62562564125,0.00045046779818,6.99216116335
RpL17,8.69880783733,7.70129971999,0.00045046779818,6.99216116335
Diap1,9.26424182504,8.06594828602,0.00045046779818,6.99216116335
CG13300,0.0,4.95166894139,0.000476968848332,7.40351046381
CG9240,7.48436236548,0.0,0.000476968848332,7.40351046381
sdk,0.0,4.91640386794,0.000542166280837,8.41550501115
CG32698,0.0,2.51736002571,0.000542166280837,8.41550501115
ttv,0.0,2.93408874339,0.000542166280837,8.41550501115
Prosalpha2,8.52414834443,4.78937771926,0.000547573038485,8.49942870336
drl,7.37266531492,10.4915338101,0.000547573038485,8.49942870336
CG41128,5.83015596303,2.57067971191,0.00055308909204,8.58504888665
Pih1D1,0.0,7.78578993547,0.00058095302954,9.01755292451
