,medianA,medianB,pvalue,pvalue_adj
br,0.0,9.24701776155,5.13445780758e-06,0.0796970540892
ab,8.43115952701,0.0,1.30214778044e-05,0.20211937848
CG3726,0.0,7.76546535575,1.87923035691e-05,0.291694136
GILT3,8.90953849028,0.0,2.4291233778e-05,0.377048530702
mt:ND5,5.6892574638,3.47588422049,3.0028801484e-05,0.466107056635
rgn,11.5426894186,0.0,5.07473053166e-05,0.787699673125
beat-IIa,8.04005225554,0.0,6.2654363942e-05,0.972521037107
Eip93F,0.0,6.23420801175,6.2654363942e-05,0.972521037107
CG42747,0.0,6.87253408497,6.2654363942e-05,0.972521037107
MRE16,9.07961138,4.00602176941,7.78979465439e-05,1.20913192626
mt:CoIII,9.8678608067,8.27507672289,7.78979465439e-05,1.20913192626
RpS11,7.96298512106,5.82888755333,0.000123103116411,1.91080657294
Oseg6,0.0,6.21738759671,0.000191695863289,2.97550318997
beat-VI,0.0,8.81837637284,0.000191695863289,2.97550318997
CG7991,0.0,6.21667408856,0.000191695863289,2.97550318997
CG11134,7.73621789663,2.2952535162,0.000225527629852,3.50063987056
CG12071,6.94832623309,9.44482180036,0.000232116999732,3.60292006985
tsr,11.2125269411,9.42071994546,0.000238840864478,3.70728789844
RpL35,7.73153382452,5.9264283642,0.000238840864478,3.70728789844
sca,0.0,9.1780205009,0.000324921862813,5.04343715458
Tctp,10.2250075785,8.9011890334,0.000365740995907,5.67703173847
beat-Ib,0.0,6.07820398949,0.000401100451324,6.22588120545
Fas2,4.84223907896,10.0955858191,0.000438924708267,6.81298932172
RpS26,7.91877946179,5.66818652814,0.000449304376389,6.9741025303
robl,7.27482063644,5.18860799726,0.00045046779818,6.99216116335
CG4603,7.5427418993,0.0,0.000476968848332,7.40351046381
Pax,0.0,9.88841791579,0.000494091150955,7.66928284512
pxb,0.0,9.87308861312,0.0004986200163,7.73957989301
Ace,4.8055889034,9.96237634157,0.000525874701383,8.16262711487
IscU,8.03089523318,5.3512331934,0.000525874701383,8.16262711487
Usp8,0.0,8.2400163503,0.000542166280837,8.41550501115
CG32581,5.69667950313,0.0,0.000542166280837,8.41550501115
l(2)41Ab,0.0,3.23833412627,0.000542166280837,8.41550501115
Diap1,9.56667921722,8.18210688455,0.000551706634864,8.56359038637
mt:Cyt-b,8.91275855153,7.31350915635,0.00055308909204,8.58504888665
CR41535,5.87767412808,6.60494431465,0.00055308909204,8.58504888665
sun,6.61142655392,3.29598403439,0.00055308909204,8.58504888665
XNP,8.57065378386,0.0,0.00058095302954,9.01755292451
CR41620,1.28881353638,0.0,0.000634034528259,9.84148394764
fru,0.0,9.31682152926,0.000634034528259,9.84148394764
mt:lrRNA,4.49517736259,2.57789615061,0.0006753339723,10.482533918
nAChRalpha2,10.6794185895,9.05129107486,0.0006753339723,10.482533918
ND-MLRQ,5.84042112092,4.10262007139,0.000676970721546,10.5079395398
CG8498,7.08968263729,5.39537694307,0.000676970721546,10.5079395398
beat-IIIc,0.0,6.51594137113,0.000792514928053,12.3014167132
fl(2)d,5.63195981575,8.55618191078,0.000806842561265,12.523810236
drl,3.73930477161,10.5345049974,0.000818314149943,12.7018722354
ERp60,9.46579364945,10.3722776223,0.000826019728117,12.8214782198
RpL13,8.89396387585,7.53879733781,0.000826019728117,12.8214782198
RNASEK,6.80531454313,4.77312021237,0.000826019728117,12.8214782198
CG13364,7.90404036034,5.38465249218,0.000826019728117,12.8214782198
His4r,10.0766982109,8.43832893336,0.000826019728117,12.8214782198
Octbeta3R,0.0,3.26963437279,0.000919774599492,14.2767413333
nocte,5.30673195469,8.17946550594,0.000982205636211,15.2457958853
CG3800,9.47582501245,7.87968808521,0.00100475242783,15.5957671848
CG43222,6.52375385934,4.95045258198,0.00100475242783,15.5957671848
Nlp,9.38131385237,8.21915460829,0.00100475242783,15.5957671848
noe,12.596850623,10.733864907,0.00100475242783,15.5957671848
RpL38,8.01454547186,5.36054722899,0.00100475242783,15.5957671848
capt,8.62368097344,7.67368947817,0.00100475242783,15.5957671848
CG1637,7.41725843459,0.0,0.00112880308385,17.5212814675
Gs1,0.0,8.29597914353,0.00112880308385,17.5212814675
sn,10.2304724918,11.0950403988,0.00121836740449,18.9114988526
Oaz,9.93572228182,10.6595601003,0.00121836740449,18.9114988526
UQCR-Q,7.79820061557,5.47614822588,0.00121836740449,18.9114988526
otp,9.2359467253,10.6059043115,0.00121836740449,18.9114988526
RpL18,8.15745516152,7.09790935277,0.00121836740449,18.9114988526
