,medianA,medianB,pvalue,pvalue_adj
Eip93F,0.0,5.76824957317,5.13445780758e-06,0.0796970540892
CG3726,0.0,6.71094468366,5.13445780758e-06,0.0796970540892
br,0.0,9.52714944441,5.13445780758e-06,0.0796970540892
fru,0.0,10.190733153,5.13445780758e-06,0.0796970540892
pxb,0.0,10.4425507001,1.19642080675e-05,0.185708437624
CG34393,0.0,7.98143623767,1.60001094808e-05,0.248353699361
fas,0.0,6.12851937855,1.87923035691e-05,0.291694136
CG15537,0.0,7.90967596139,1.87923035691e-05,0.291694136
rgn,11.6020366104,4.48444953553,2.17429698644e-05,0.337494378236
GILT3,8.91449134598,0.0,3.58926629413e-05,0.557125914175
ab,8.44997781525,0.0,3.98264953155e-05,0.618186860287
AP-2alpha,0.0,8.52047093921,4.50342179868e-05,0.699021131592
CycG,9.49934955698,10.832293148,4.86728378236e-05,0.755499788697
mirr,0.0,8.40472499776,5.1305805304e-05,0.796368709929
CG42674,0.0,4.03485582885,7.39782380629e-05,1.14829021121
ytr,0.0,7.92154732103,9.43200352927e-05,1.46403558781
Pax,0.0,9.30813860613,0.000105103273193,1.6314130065
Cam,8.17537172579,9.59026249925,0.000123103116411,1.91080657294
tutl,0.0,8.08240148708,0.000148803009366,2.30972031139
beat-VI,0.0,8.80161418982,0.000151723321511,2.3550493965
CG14509,0.0,8.25705956456,0.000191695863289,2.97550318997
beat-IIb,6.39451329732,0.0,0.000191695863289,2.97550318997
Ire1,0.0,8.19744218443,0.000191695863289,2.97550318997
beat-Ib,0.0,4.90187020171,0.000191695863289,2.97550318997
CG17544,0.0,8.58403914486,0.000191695863289,2.97550318997
sdk,0.0,5.04748187379,0.000191695863289,2.97550318997
CG32698,0.0,4.66881383149,0.000191695863289,2.97550318997
GluRIB,0.0,4.1664081497,0.000318096176154,4.93748884626
Psa,9.96478949541,7.49150233369,0.000356065705973,5.52685188811
beat-IIa,8.54700599398,0.0,0.000386116522864,5.99330066789
CG1607,8.79481336187,2.68730301289,0.000388399919053,6.02874354353
Ac76E,0.0,6.29378058073,0.000401100451324,6.22588120545
qsm,0.0,7.2857979771,0.000542166280837,8.41550501115
CG45263,6.75158498856,0.0,0.000542166280837,8.41550501115
CG6912,7.05603968177,0.0,0.000542166280837,8.41550501115
Hsc70-2,0.0,6.12234590837,0.000542166280837,8.41550501115
Octbeta3R,0.0,3.68265719628,0.000542166280837,8.41550501115
CG14372,3.12027046356,0.0,0.000542166280837,8.41550501115
luna,0.0,1.45770827935,0.000542166280837,8.41550501115
CG31676,9.19038722377,10.5934971914,0.00055308909204,8.58504888665
jdp,0.0,6.87788153458,0.000599404297285,9.30395350247
Hsromega,10.3354072414,11.9680381311,0.000676970721546,10.5079395398
Pxn,9.69879935583,8.02771393026,0.000676970721546,10.5079395398
CG13300,0.0,6.33078067351,0.000717893223829,11.1431386203
CG42750,0.0,3.23540263887,0.000741696486829,11.5126128686
Fas2,1.6469853476,9.81643193475,0.000760159209284,11.7991912465
Dgk,0.0,3.84750065619,0.000792514928053,12.3014167132
