,medianA,medianB,pvalue,pvalue_adj
rgn,11.1991542338,0.0,1.46238770616e-05,0.22699181975
ab,8.1503287929,0.0,1.46238770616e-05,0.22699181975
CG3800,9.26259196147,5.32611287944,1.82210136462e-05,0.282826573817
CG3726,0.0,7.52431953908,1.87923035691e-05,0.291694136
br,0.0,8.99224525447,2.08338413307e-05,0.323382885135
GILT3,8.43882744512,0.0,3.58926629413e-05,0.557125914175
CG12125,0.0,8.92299735445,4.33551179312e-05,0.672958140528
MRE16,9.07961138,4.76048427364,4.86728378236e-05,0.755499788697
beat-VI,0.0,8.05522090698,6.2654363942e-05,0.972521037107
CG42747,0.0,7.54844196737,6.2654363942e-05,0.972521037107
CG32982,7.74691990221,2.24961909882,9.68279741405e-05,1.50296381461
RpL28,8.83909214805,6.99067576844,9.80807368533e-05,1.52240919744
D1,9.51933602158,7.72888274589,0.000154022352814,2.39073496038
beat-IIa,8.53436198223,0.0,0.000191427754366,2.97134160328
CG6912,7.26084698381,0.0,0.000191695863289,2.97550318997
cpx,7.59523340114,9.47280474802,0.000192101013517,2.98179193182
CR41535,5.86564413063,6.62323324714,0.000192101013517,2.98179193182
Diap1,9.62682956087,7.62704600233,0.000238162387247,3.69675657485
His4r,10.0766982109,8.64464137046,0.000238840864478,3.70728789844
nAChRalpha2,10.5467107346,8.9659298683,0.000238840864478,3.70728789844
CG13364,8.2459864916,5.90804335615,0.000238840864478,3.70728789844
CG14312,7.77784050984,5.15460857354,0.000296021072947,4.59483909429
RFeSP,9.47328587938,7.96410144584,0.000296021072947,4.59483909429
Hsp70Bc,0.0,4.04278862797,0.000323022914551,5.01396167967
drl,3.73930477161,10.743529126,0.000361849544811,5.61662863455
sun,6.8742288951,3.40146828407,0.000365740995907,5.67703173847
RpL35,8.05524067198,6.62781353486,0.000365740995907,5.67703173847
IscU,8.12198337575,6.06734517442,0.000438924708267,6.81298932172
Smn,7.14258300596,3.00194123016,0.000438924708267,6.81298932172
pxb,0.0,9.93949271849,0.000440811233934,6.84227197312
tsr,11.3136196708,9.17371360473,0.00045046779818,6.99216116335
RpS11,7.8879760592,5.6878236253,0.00045046779818,6.99216116335
IA-2,7.72602274438,9.33998158539,0.00045046779818,6.99216116335
ND-MLRQ,5.98517427659,3.85280302394,0.00045046779818,6.99216116335
eys,3.02285744598,8.33793385254,0.0004791681021,7.43764728079
fru,0.0,9.50273850763,0.000505276606553,7.84290348691
Fas2,6.87664926638,10.7392288077,0.00053936770472,8.37206551266
cnc,0.0,2.98112212094,0.000542166280837,8.41550501115
sdk,0.0,2.5764473237,0.000542166280837,8.41550501115
CG34393,0.0,7.81813571902,0.000542166280837,8.41550501115
fas,0.0,5.09467037262,0.000542166280837,8.41550501115
Unc-115b,0.0,2.10153182616,0.000542166280837,8.41550501115
Eip93F,0.0,5.24005431284,0.000542166280837,8.41550501115
CR45600,5.58159525027,0.0,0.000542166280837,8.41550501115
