,medianA,medianB,pvalue,pvalue_adj
br,0.0,8.3535420908,5.13445780758e-06,0.0796970540892
beat-IIa,8.87991210192,0.0,5.13445780758e-06,0.0796970540892
Eip93F,0.0,6.1635393846,5.13445780758e-06,0.0796970540892
CG3726,0.0,7.20202014607,5.13445780758e-06,0.0796970540892
ab,8.32955253862,0.61204493747,1.59244638206e-05,0.247179527424
rgn,11.5406461544,6.31296977938,1.75893739454e-05,0.27302226238
CG15537,0.0,8.59010482964,1.87923035691e-05,0.291694136
fas,0.0,4.7592622076,1.87923035691e-05,0.291694136
GILT3,8.0654918972,0.0,1.88171500287e-05,0.292079802745
pxb,0.0,9.88641857672,2.17621775141e-05,0.337792519373
fru,0.0,10.2307741769,3.03089062316e-05,0.470454842527
Pxn,9.90190162841,4.96940605957,5.75858987489e-05,0.89384832038
CG34393,0.0,7.14810165233,6.2654363942e-05,0.972521037107
beat-VI,0.0,9.28814842352,6.53070589699e-05,1.01369616933
drl,6.49343609801,10.4808486938,7.687377789e-05,1.19323478041
Octbeta3R,0.0,4.67711498848,0.000148206009967,2.30045368671
14-3-3zeta,11.0058881234,10.0227260809,0.000154022352814,2.39073496038
CR40469,0.0,3.85998043303,0.000191695863289,2.97550318997
CG42458,0.0,4.30391842305,0.000191695863289,2.97550318997
pros,12.5791067539,11.589005579,0.000238840864478,3.70728789844
Hsp70Bc,0.471255263108,4.45798204108,0.000252741572561,3.92305468928
hbs,0.0,7.27202017039,0.000254836523736,3.95557252143
CG17839,0.0,4.44018038427,0.000308239766457,4.78449765495
hang,0.0,6.62013388118,0.000318096176154,4.93748884626
scrt,4.90330674948,7.66284469483,0.000356065705973,5.52685188811
nej,0.0,3.50152802011,0.000386116522864,5.99330066789
beat-Ib,0.0,6.49735876123,0.000386116522864,5.99330066789
CG5021,0.0,7.60776323258,0.000401100451324,6.22588120545
Ccn,0.0,7.05063303234,0.000401100451324,6.22588120545
MRE16,8.67166830564,5.96146339897,0.00045046779818,6.99216116335
Pde1c,7.26615992701,0.0,0.000468514203725,7.27227747022
mtd,0.0,6.08719345905,0.000481941769935,7.48070015293
Fie,8.44943429413,0.0,0.0004986200163,7.73957989301
CG6912,6.20068623607,0.0,0.000542166280837,8.41550501115
sdk,0.0,4.51837964542,0.000542166280837,8.41550501115
CG42313,4.13711336802,0.0,0.000542166280837,8.41550501115
Atg6,6.40778157814,0.0,0.000542166280837,8.41550501115
CG14372,3.04195687968,0.0,0.000542166280837,8.41550501115
CR45600,4.11392649591,0.0,0.000542166280837,8.41550501115
Sytbeta,3.5700237553,0.0,0.000542166280837,8.41550501115
Cow,7.7026486497,10.1206055048,0.00055308909204,8.58504888665
ytr,0.0,7.24463488451,0.000614632174771,9.5403206168
mt:CoI,11.4176571587,10.2723981773,0.000676970721546,10.5079395398
CR41535,5.86501935626,6.96516076307,0.000676970721546,10.5079395398
Hsp27,11.1437082167,11.7122777372,0.000676970721546,10.5079395398
CG17684,0.0,7.50270977412,0.000717893223829,11.1431386203
CG4390,8.01520098536,0.545965547765,0.000722323516879,11.211905629
Ace,3.58699526331,9.38200567299,0.000787953959844,12.2306213647
Arc1,7.14994225025,0.0,0.000792514928053,12.3014167132
cathD,6.9252594364,8.91706458278,0.000806842561265,12.523810236
mask,6.18038464956,8.76900968549,0.000818314149943,12.7018722354
Cnx99A,10.2009335717,9.26944455867,0.000824088988833,12.7915092847
mt:CoII,10.2387386446,9.01305049403,0.000826019728117,12.8214782198
vap,5.84294183898,9.5181671188,0.000839886843894,13.0367235909
CG8460,0.0,7.52124430612,0.000924738753125,14.353794926
GlyP,8.16835891122,0.0,0.000986770339198,15.316649205
otp,9.25590504245,10.5781338555,0.00100475242783,15.5957671848
mt:Cyt-b,8.91275855153,7.67070407144,0.00100475242783,15.5957671848
mt:ND5,5.71256759386,4.15411019809,0.00100475242783,15.5957671848
shot,1.36941450153,8.22175062657,0.00112748770879,17.5008642158
SelG,0.0,5.73901555581,0.00113640233548,17.6392370513
Hsp70Bbb,0.0,1.79970209937,0.00113640233548,17.6392370513
Rm62,10.6550263453,9.51149778516,0.00121836740449,18.9114988526
mt:CoIII,9.8678608067,8.62670359129,0.00121836740449,18.9114988526
igl,0.0,8.42828815822,0.00137316776791,21.3143100934
CR44042,2.74824365287,0.0,0.00142779274305,22.1621989576
CG15772,0.0,5.92624503508,0.00142779274305,22.1621989576
Corin,0.0,5.321112007,0.00142779274305,22.1621989576
Unc-115b,0.0,2.22364943368,0.00142779274305,22.1621989576
CR31953,1.60243799442,0.0,0.00142779274305,22.1621989576
CCKLR-17D3,0.0,3.1673382339,0.00142779274305,22.1621989576
Topors,0.0,5.13405754466,0.00142779274305,22.1621989576
mCD8-GFP,10.937386667,12.3918154384,0.00147282307527,22.8611597743
Argk,10.4873068923,9.38304486161,0.00147282307527,22.8611597743
Wee1,8.94930780623,0.0,0.00153061881771,23.7582652885
beat-Ia,0.0,6.14413880314,0.00156917424068,24.3567225639
CG42674,0.0,5.87205700106,0.00156917424068,24.3567225639
CG7985,0.0,7.6107731737,0.00156917424068,24.3567225639
GstZ2,8.50952868701,1.33746198756,0.00157976558932,24.5211214775
Pax,8.20478552333,10.066831834,0.00170367355559,26.4444209299
Arf102F,7.47467298824,5.3018611792,0.00176053230348,27.3269824146
Hsp70Bb,5.03600151352,6.27473355946,0.00177491931746,27.5502976456
RpL38,8.0504193868,6.64513030785,0.00177491931746,27.5502976456
Hsromega,10.5717539618,11.9256516655,0.00177491931746,27.5502976456
ATPsynD,9.73630634641,9.01472433516,0.00177491931746,27.5502976456
CR40668,4.29929430207,5.09423652655,0.00177491931746,27.5502976456
CG13364,8.16375059553,6.41124882637,0.00177491931746,27.5502976456
ara,5.94095938226,0.0,0.0018610634418,28.8874267436
Fas2,3.48365087036,9.48010409168,0.00209086789089,32.4544514023
Hr4,4.54330514399,7.60624991908,0.00213238245702,33.0988404978
tutl,0.0,6.64032893593,0.00237647722609,36.8876795033
CG42748,0.0,5.20777081953,0.00239300692391,37.1442534729
hth,12.0024697685,11.3211029907,0.0025539527125,39.6424540034
Cyp1,11.6567936711,11.1938791929,0.0025539527125,39.6424540034
stai,9.39745370005,10.6316846375,0.0025539527125,39.6424540034
CG31676,9.54227534712,10.6478952923,0.0025539527125,39.6424540034
Nmdar2,0.0,5.31750704147,0.0026641228572,41.3525149895
5-HT1A,0.0,7.26014337642,0.0027480089233,42.6545945074
nocte,0.0,8.10301755979,0.00291155513335,45.1931587799
CG31635,0.0,4.05211236638,0.00292094333165,45.3388823938
NitFhit,0.0,6.82691429343,0.0029371589306,45.5905809207
CG32698,0.0,3.35569191377,0.0029371589306,45.5905809207
mt:ATPase6,9.44658640994,8.09578758563,0.00304947296561,47.3339193722
RpL22,8.6463758167,9.43667009491,0.00304947296561,47.3339193722
28SrRNA-Psi:CR40596,6.2039586905,7.21381844272,0.00304947296561,47.3339193722
