,medianA,medianB,pvalue,pvalue_adj
beat-IIa,8.69997650869,0.0,5.13445780758e-06,0.0796970540892
ab,7.90370268379,0.0,1.30214778044e-05,0.20211937848
pxb,0.431169432623,10.3759469294,1.59244638206e-05,0.247179527424
br,0.0,9.0509393033,1.60001094808e-05,0.248353699361
CG3726,0.0,7.37967041235,1.87923035691e-05,0.291694136
fru,0.0,10.8689095406,1.87923035691e-05,0.291694136
GILT3,8.11503247707,0.0,3.98264953155e-05,0.618186860287
sdk,0.0,6.28562370079,6.2654363942e-05,0.972521037107
Eip93F,0.0,6.07852479984,6.2654363942e-05,0.972521037107
beat-VI,0.0,9.33155892908,6.2654363942e-05,0.972521037107
CG34393,0.0,8.37695426399,6.2654363942e-05,0.972521037107
rgn,10.9528759075,7.42251392793,7.28770520889e-05,1.13119760252
Fas2,5.95121566278,9.92480324824,7.53563582746e-05,1.16968139314
Roc1a,8.94847491555,6.95332453828,7.78979465439e-05,1.20913192626
Pax,7.3659741156,10.5083610982,9.49709897323e-05,1.47413970262
cpx,7.17377571926,9.52145579004,9.80807368533e-05,1.52240919744
Hsromega,10.3288708532,11.9946969115,0.000154022352814,2.39073496038
CR45018,0.0,4.84078118895,0.000191695863289,2.97550318997
CG14509,0.0,7.74901593724,0.000191695863289,2.97550318997
CG6912,6.20068623607,0.0,0.000191695863289,2.97550318997
28SrRNA-Psi:CR40596,5.89464615275,7.39963994912,0.000192101013517,2.98179193182
CG42342,7.69336103023,9.70658385953,0.000192101013517,2.98179193182
Tctp,9.97136978524,9.25328711389,0.000192101013517,2.98179193182
MRE16,9.12920999159,5.30757517803,0.000192101013517,2.98179193182
drl,7.37533330393,10.3940861217,0.000232116999732,3.60292006985
His4r,10.0766982109,8.74703640915,0.000238840864478,3.70728789844
CR41535,5.84311269918,7.00806623828,0.000296021072947,4.59483909429
CG7945,8.09966222593,0.9383145835,0.000332648759751,5.16337404885
Diap1,9.404180956,7.90369058158,0.000361849544811,5.61662863455
CG14883,7.5463380491,9.14761965325,0.000445826278835,6.92011550008
bsk,8.62812063,9.45372396,0.000445826278835,6.92011550008
CG42747,0.0,7.81540541527,0.000481941769935,7.48070015293
fas,0.0,5.46235400649,0.000505276606553,7.84290348691
CG31475,7.92115445264,0.0,0.000542166280837,8.41550501115
CR45600,4.11392649591,0.0,0.000542166280837,8.41550501115
CG15537,0.0,7.12104933874,0.000542166280837,8.41550501115
MESK2,7.20664395363,9.12660495391,0.00055308909204,8.58504888665
ATPsynD,9.8819257301,9.09567173896,0.00055308909204,8.58504888665
mt:ND5,5.35399830754,3.36096115394,0.00055308909204,8.58504888665
Dys,0.0,7.55484879077,0.000608105492195,9.43901344985
Blimp-1,3.74183536316,9.06529983222,0.000660719458141,10.2556874293
mask,3.82554228844,7.48406371318,0.000660719458141,10.2556874293
RpL39,7.95799213242,5.08983581837,0.000676970721546,10.5079395398
pgant2,0.0,4.8259977986,0.000742842896261,11.5304074358
snf,7.61726354873,2.47172577589,0.000806842561265,12.523810236
CG13364,8.16375059553,5.72333690761,0.000826019728117,12.8214782198
robl,7.24783753969,5.71991517456,0.00100248323755,15.5605448133
CR40668,4.05085630208,5.37129303965,0.00100475242783,15.5957671848
COX5B,8.70805592462,6.84940494164,0.00100475242783,15.5957671848
Nlp,9.2859629435,7.4475516422,0.00121836740449,18.9114988526
mt:CoI,11.429819849,10.1894347032,0.00121836740449,18.9114988526
Tom7,5.9035517539,3.60729035616,0.00121836740449,18.9114988526
Tim17b,7.32801728482,6.36489843646,0.00121836740449,18.9114988526
GluClalpha,7.35823669557,8.79099266414,0.00121836740449,18.9114988526
poly,6.64340410893,0.0,0.00123829633922,19.2208357774
