,medianA,medianB,pvalue,pvalue_adj
CG34393,0.0,7.71990035049,5.13445780758e-06,0.0796970540892
CG3726,0.0,7.30278520006,5.13445780758e-06,0.0796970540892
Eip93F,0.0,6.1342367167,5.13445780758e-06,0.0796970540892
beat-VI,0.0,9.12044467401,5.13445780758e-06,0.0796970540892
fru,0.0,10.8349578914,7.09569794446e-06,0.110139423494
pxb,0.0,10.4950740503,1.11685890367e-05,0.173358839028
ab,7.72041874376,0.0,1.46238770616e-05,0.22699181975
CG15537,0.0,8.81319351589,1.87923035691e-05,0.291694136
CG9932,0.0,4.15023502498,2.02308250395e-05,0.314022866263
br,0.0,9.16329851887,2.08338413307e-05,0.323382885135
Pxn,10.1041871995,6.39763640117,2.31198016639e-05,0.358865561428
fas,0.0,6.02653527946,3.92892831811e-05,0.609848253538
GILT3,8.13065112647,0.0,5.84228460578e-05,0.906839416509
CG17839,0.0,3.24936085182,7.39782380629e-05,1.14829021121
rgn,10.6892360046,7.34150648827,7.53563582746e-05,1.16968139314
Fas2,5.95121566278,10.2001064739,9.49709897323e-05,1.47413970262
beat-IIa,8.10123653695,0.0,0.000136211739994,2.11427862819
Pax,7.96593949315,10.5578298823,0.000189856989075,2.94696018442
sdk,0.0,6.71871463989,0.000191695863289,2.97550318997
RpS14b,6.86790427012,4.14607794203,0.000192101013517,2.98179193182
14-3-3epsilon,12.4537941081,12.8883463303,0.000192101013517,2.98179193182
mub,8.17217573286,10.1936863074,0.000192101013517,2.98179193182
Scgalpha,0.0,8.09182769917,0.000318096176154,4.93748884626
Ace,4.97570287542,9.24423603035,0.000356065705973,5.52685188811
CG6765,0.0,8.79851281705,0.000359671675717,5.58282375049
mt:CoIII,9.63545947826,8.52336980063,0.000365740995907,5.67703173847
CG42540,0.0,8.208152196,0.000468514203725,7.27227747022
CG4896,0.0,8.03138704518,0.000468514203725,7.27227747022
Sur-8,0.0,7.57959725147,0.000476968848332,7.40351046381
mRpL30,6.92033591333,0.0,0.0004986200163,7.73957989301
Unc-115b,0.0,1.77713548271,0.000542166280837,8.41550501115
18w,0.0,6.18195140415,0.000542166280837,8.41550501115
CG12994,0.0,6.3361360876,0.000542166280837,8.41550501115
CG43658,0.0,3.24758472852,0.000542166280837,8.41550501115
CG7991,0.0,4.90533776454,0.000542166280837,8.41550501115
CR45600,5.37224260078,0.0,0.000542166280837,8.41550501115
CG42313,4.13711336802,0.0,0.000542166280837,8.41550501115
Nlp,9.2859629435,8.17342365941,0.00055308909204,8.58504888665
stai,9.40516234066,10.4387539366,0.00055308909204,8.58504888665
mt:CoI,11.5149279153,10.2226822569,0.00055308909204,8.58504888665
Scsalpha,9.3228831459,7.83813685557,0.0006753339723,10.482533918
hth,12.0024697685,11.1533867671,0.000676970721546,10.5079395398
GstZ2,8.82821038006,0.0,0.000746008722863,11.5795473963
Hsp70Bb,4.99688896415,6.05741668847,0.000826019728117,12.8214782198
mt:ND5,5.35399830754,3.82097138446,0.000826019728117,12.8214782198
RpL38,8.10237551924,6.45311775114,0.000826019728117,12.8214782198
msn,0.92770891651,7.0585394165,0.000882615531441,13.699958279
CG13300,0.0,5.77297181753,0.000916382889454,14.2240952101
c12.1,0.0,7.52142605264,0.000919774599492,14.2767413333
Hsromega,10.3354072414,12.0109913118,0.00100475242783,15.5957671848
mt:Cyt-b,8.86784069011,7.45320065188,0.00100475242783,15.5957671848
CG9240,7.09679234052,0.0,0.0010139646038,15.7387585801
CG1607,9.09133934149,3.42207440011,0.00112748770879,17.5008642158
Ccn,0.0,8.31024476898,0.00113640233548,17.6392370513
Pp2B-14D,0.0,2.88379466964,0.00113640233548,17.6392370513
Bili,0.0,7.34911778664,0.00113640233548,17.6392370513
mCD8-GFP,11.1562819935,12.1438819549,0.00121836740449,18.9114988526
pros,12.4376114926,11.6636656695,0.00121836740449,18.9114988526
cpx,7.70538883678,9.55059411644,0.00121836740449,18.9114988526
dco,0.0,2.49853683259,0.00122388950565,18.9972129066
CG33543,8.89919812181,1.42505931883,0.00124181627851,19.275472275
beat-IIIb,0.0,5.41385185475,0.00126291265293,19.6029301988
CG6912,6.95012311092,0.0,0.00126291265293,19.6029301988
CG42747,0.0,7.75467630015,0.00139888360254,21.7134712786
Blimp-1,3.53508020686,9.0959693317,0.00141157064903,21.9103996143
Rpn1,6.50079593181,8.86062496712,0.00141157064903,21.9103996143
Sc2,8.45080000799,4.24906241512,0.00141157064903,21.9103996143
CR44042,2.29478796822,0.0,0.00142779274305,22.1621989576
su(f),0.0,1.88300835044,0.00142779274305,22.1621989576
CG32581,5.57647225551,0.0,0.00142779274305,22.1621989576
CG14401,5.83982488446,0.0,0.00142779274305,22.1621989576
Sytbeta,3.79427566335,0.0,0.00142779274305,22.1621989576
CR45018,0.0,4.77486855633,0.00142779274305,22.1621989576
beat-Ia,0.0,5.11655878588,0.00142779274305,22.1621989576
CG2199,6.7250637366,0.0,0.00142779274305,22.1621989576
GluClalpha,6.90530174138,8.56147958479,0.00146972308396,22.8130417092
MRE16,8.67166830564,5.80869085265,0.00147282307527,22.8611597743
CG31676,9.26360035811,10.4898421904,0.00147282307527,22.8611597743
mt:lrRNA,4.49517736259,3.09523435446,0.00147282307527,22.8611597743
CG9941,8.2575596168,0.0,0.00151213077469,23.4712938847
CG5721,8.77329896408,0.59762914091,0.00157976558932,24.5211214775
twf,8.09389027118,0.0,0.00163600897563,25.3941313198
mask,3.82554228844,7.79761179052,0.00177131609779,27.4943684699
Pdcd4,9.65077482629,10.6789970146,0.00177491931746,27.5502976456
Hsp60,8.86612369107,10.0551437517,0.00177491931746,27.5502976456
CR41535,5.86435148025,6.84971257452,0.00177491931746,27.5502976456
CG42265,7.02986068566,0.0,0.00179822645201,27.9120709882
hpo,0.0,8.38161085552,0.00196453706682,30.4935443511
Tina-1,6.53993882737,8.44017726852,0.00212820989586,33.0340740036
mt:CoII,10.2387386446,8.97467836885,0.00213238245702,33.0988404978
CG13364,7.88417020236,6.66199154871,0.00213238245702,33.0988404978
Fie,7.81536196795,0.0,0.00226897640886,35.2190518183
IP3K2,0.0,9.41395067909,0.00237816800051,36.9139237038
ttv,0.0,4.66572847012,0.00239300692391,37.1442534729
CG32698,0.0,5.37157866555,0.00239300692391,37.1442534729
CG7985,0.0,8.34402449623,0.00249812865642,38.7759530049
Tctp,9.92319814263,8.9284046813,0.0025539527125,39.6424540034
mt:ATPase8,4.10980753037,3.03663654166,0.0025539527125,39.6424540034
LysRS,8.70568900612,6.66171334258,0.0025539527125,39.6424540034
CG5446,8.47154985082,7.39015633005,0.0025539527125,39.6424540034
Mst85C,7.71886145859,2.08639134727,0.00260376866526,40.4156972221
Ac76E,0.0,6.6247618045,0.00260376866526,40.4156972221
CG42674,0.0,6.1177386615,0.00278672611851,43.2555628115
CG6685,6.6402842672,0.0,0.00286910496103,44.534247205
rdgC,3.89650557337,7.89493806724,0.00293985221537,45.632386087
Sxl,8.11745746864,5.75885708059,0.00304394018393,47.248039535
nAChRalpha2,10.1551483379,9.13413516691,0.00304394018393,47.248039535
e(r),0.0,7.83980532419,0.00309625179863,48.0600204183
pyd,2.09251401131,8.41727519252,0.0031244049632,48.4970138387
Hsp70Bc,1.22838577178,4.08942311023,0.0031244049632,48.4970138387
beat-Ib,0.0,4.78730132087,0.00331651673921,51.4789728259
Prosalpha3,9.09528674805,7.40556569374,0.00332244042047,51.5709202066
CG34356,2.73855061806,0.0,0.00340824673532,52.9028058256
htk,0.0,8.99579860321,0.00344965301637,53.54551412
osp,0.790138889265,0.0,0.00352705120034,54.7468887317
CG6745,2.10686448931,0.0,0.00352705120034,54.7468887317
Stat92E,0.427889996389,0.0,0.00352705120034,54.7468887317
CG31475,4.79401829669,0.0,0.00352705120034,54.7468887317
sno,0.0,0.456182173811,0.00352705120034,54.7468887317
CG42750,0.0,0.83627208076,0.00352705120034,54.7468887317
CG2147,2.31788200637,0.0,0.00352705120034,54.7468887317
Tnks,0.0,2.07529698291,0.00352705120034,54.7468887317
ECSIT,0.0,2.20601583664,0.00352705120034,54.7468887317
CR40469,0.0,0.733445344025,0.00352705120034,54.7468887317
Dh44-R2,0.0,0.59762914091,0.00352705120034,54.7468887317
CG14372,0.60372239336,0.0,0.00352705120034,54.7468887317
FER,3.10783765086,0.0,0.00352705120034,54.7468887317
Irk1,0.0,1.14189788696,0.00352705120034,54.7468887317
PIG-S,0.0,0.527578781195,0.00352705120034,54.7468887317
CG15772,0.0,2.65545626923,0.00352705120034,54.7468887317
CG31365,0.0,2.64390605246,0.00359044554028,55.7308956763
CG12038,7.93759565417,9.57383507723,0.00360467167913,55.9517138034
tmod,8.49800432898,10.0621514426,0.0036299774941,56.3445106633
28SrRNA-Psi:CR40596,5.89464615275,7.17257290932,0.0036299774941,56.3445106633
CR40668,4.05085630208,5.03684778992,0.0036299774941,56.3445106633
CG3800,8.80301021092,6.67034476364,0.0036299774941,56.3445106633
RpS27,7.75890567539,6.7497679487,0.0036299774941,56.3445106633
kis,7.34617155945,9.58805099983,0.0036299774941,56.3445106633
smt3,9.75904513807,8.76016553221,0.0036299774941,56.3445106633
Hrd3,1.24440680611,0.0,0.00364894251992,56.6388857942
Tes,0.0,6.53649982541,0.00364894251992,56.6388857942
CtsB1,8.30412612473,1.96989834235,0.00372253114903,57.7811284952
Hsp70Bbb,0.0,2.09679952423,0.00373444360938,57.9660337047
ed,0.0,3.8096893283,0.00373444360938,57.9660337047
CG32856,2.92627115579,0.0,0.00374224898317,58.0871887168
phol,0.0,9.30435810223,0.00383068638571,59.4599140789
grp,8.89916628819,0.0,0.0040621522325,63.0527269528
hang,0.0,4.38533294907,0.00415787213509,64.5384912809
drl,8.3790858276,10.5691456605,0.00427891027272,66.4172452531
Diap1,9.09961082918,6.76791435145,0.00430055266134,66.7531784093
tsr,10.9772878995,10.281194694,0.00430777905941,66.8653465602
Glut1,8.13832077426,9.08937657345,0.00430777905941,66.8653465602
mt:ATPase6,9.34846359856,7.68141359137,0.00430777905941,66.8653465602
CG42342,7.88993699058,9.90377018026,0.00430777905941,66.8653465602
Dscam1,6.84912027497,8.46388636946,0.00430777905941,66.8653465602
CG4022,0.0,7.40973568869,0.00436846465125,67.8073083167
5-HT1A,0.0,5.84640417241,0.00436846465125,67.8073083167
CG13994,4.73811478816,0.0,0.00437130777888,67.8514393438
CG8301,1.15047888562,9.06481099809,0.00442947100501,68.7542489398
GlyP,4.42062713365,0.0,0.00447257634231,69.4233299853
CG15141,2.11465397955,0.0,0.00447257634231,69.4233299853
CG3939,6.55446940246,0.0,0.00450661135093,69.9516213891
beat-IIb,7.00101859985,0.0,0.00450661135093,69.9516213891
CG44837,8.06913695351,8.83887769119,0.00464668781242,72.1258882244
toc,7.89663763947,0.0,0.00478027785591,74.1994728795
ytr,0.0,7.47281320541,0.00494472589418,76.7520353295
CG34380,8.02161191687,9.98913421779,0.00509655249555,79.108687836
IA-2,8.13836223984,9.87587482736,0.00509655249555,79.108687836
Non2,10.3510161535,9.74933904275,0.00509655249555,79.108687836
nkd,0.0,3.59431675651,0.0053005570512,82.2752465487
CG1105,0.0,3.6540554464,0.00545841288083,84.7254847362
Etl1,0.0,5.61506343761,0.00545841288083,84.7254847362
CG6565,3.95693749731,0.0,0.00545841288083,84.7254847362
CG8460,5.02903378302,7.84389028048,0.00582677971481,90.4432747333
nocte,0.0,7.60979217963,0.00592082091217,91.9029821987
eff,10.9851508729,10.3777631189,0.00601141270381,93.3091479885
ATPsynD,9.67266132108,9.09567173896,0.00601141270381,93.3091479885
Tom7,5.71428318413,4.76684840618,0.00601141270381,93.3091479885
Dgk,0.0,3.7469606018,0.00640153135102,99.3645696306
Galk,0.0,4.03317372116,0.00640153135102,99.3645696306
fdl,0.0,6.55366031009,0.0064649498014,100.348950817
CG8230,0.0,7.38315515959,0.0064649498014,100.348950817
Vps29,0.0,5.40486322376,0.00653613018271,101.453812696
sca,0.0,8.42712635399,0.0067947678321,105.46838629
Sep4,5.306660615,8.82958674795,0.00686066545951,106.491249262
hyd,6.52695283617,8.7325057585,0.00686066545951,106.491249262
CG10915,7.16442883825,8.77041742753,0.00686066545951,106.491249262
dikar,4.46802379446,8.93347045382,0.00686066545951,106.491249262
PP2A-B',0.0,6.26421371303,0.00692625716683,107.509363743
Mlc-c,7.81551709778,9.02499514986,0.00702709940089,109.074636901
Hsp27,11.0981499406,11.3240112232,0.00706898472796,109.724780947
RpS18,7.58286290242,6.84552505347,0.00706898472796,109.724780947
CycG,10.1681822674,11.0181325875,0.00706898472796,109.724780947
ATPsynO,9.49161131944,8.75040077348,0.00706898472796,109.724780947
Cow,8.79902614478,9.87611303456,0.00706898472796,109.724780947
