,medianA,medianB,pvalue,pvalue_adj
br,0.0,9.47980744643,5.13445780758e-06,0.0796970540892
fru,0.0,10.4942165769,9.33764556343e-06,0.144938934436
pxb,0.0,10.4944477113,1.30214778044e-05,0.20211937848
ab,8.29521926997,0.0,1.30214778044e-05,0.20211937848
CG6912,7.49451866855,0.0,1.87923035691e-05,0.291694136
beat-IIa,7.53473426601,0.0,1.87923035691e-05,0.291694136
CG3726,0.0,5.4855633466,1.87923035691e-05,0.291694136
GILT3,8.33093289007,0.0,2.02308250395e-05,0.314022866263
Fas2,4.1206808029,10.6139426611,2.78712282901e-05,0.43261720552
CG3800,8.88573895447,6.13085564317,6.1672877202e-05,0.957286399929
CG32581,5.66169051387,0.0,6.2654363942e-05,0.972521037107
CG34393,0.0,7.04605200489,6.2654363942e-05,0.972521037107
Eip93F,0.0,5.74945354452,6.2654363942e-05,0.972521037107
beat-VI,0.0,8.10025890288,6.2654363942e-05,0.972521037107
CR45600,5.54195261517,0.0,6.2654363942e-05,0.972521037107
Hsromega,10.3354072414,11.7826141309,7.78979465439e-05,1.20913192626
rgn,11.2000509177,7.8514348231,9.49709897323e-05,1.47413970262
LysRS,8.96964080566,6.77047097009,9.80807368533e-05,1.52240919744
Pax,5.24688053219,10.667066878,0.000115606413363,1.79444274822
NaPi-III,8.96156192003,10.2503110053,0.000123103116411,1.91080657294
tna,8.05719325468,3.13357944412,0.000154022352814,2.39073496038
shot,1.08049156295,9.5957351521,0.000173095085209,2.68678191261
sdk,0.0,4.28674798901,0.000191695863289,2.97550318997
Ire1,0.0,8.48286671809,0.000191695863289,2.97550318997
mt:CoIII,9.80173951581,8.50358970445,0.000238840864478,3.70728789844
Nlp,9.19154972629,8.14246263104,0.000238840864478,3.70728789844
fas,0.0,5.68300427272,0.000239209057348,3.71300298815
CG4896,0.0,8.30256978867,0.000260993147107,4.05113562939
Rab4,8.33993582631,2.7011388932,0.000268413593425,4.16631579714
pros,12.5754681074,11.8163359927,0.000296021072947,4.59483909429
IP3K2,0.0,9.94210961763,0.000308239766457,4.78449765495
Pde6,0.0,4.45181807097,0.000318096176154,4.93748884626
RpL24-like,6.89908467412,2.16635543675,0.000369877481387,5.74123826609
CG42788,3.12809908983,0.0,0.000401100451324,6.22588120545
Oga,0.0,7.2356331433,0.000401100451324,6.22588120545
mt:Cyt-b,8.93856907531,7.10738656681,0.00045046779818,6.99216116335
MRE16,9.21142151952,5.26744131878,0.00045046779818,6.99216116335
mub,8.4275564422,10.0913939161,0.00045046779818,6.99216116335
CG42674,0.0,5.94378818335,0.000476968848332,7.40351046381
5-HT1A,0.0,5.97387911129,0.000481941769935,7.48070015293
CG12994,0.0,4.46878503218,0.000505276606553,7.84290348691
Ace,1.58496323352,9.24453772709,0.00050606021451,7.85506664963
beat-Ia,0.0,4.99092067841,0.000542166280837,8.41550501115
yip2,0.0,6.44626472422,0.000542166280837,8.41550501115
Diap1,9.79661372045,8.25545267319,0.00055308909204,8.58504888665
CG5446,8.74807302759,6.717870967,0.00055308909204,8.58504888665
MESK2,7.45787628545,9.2472496475,0.00055308909204,8.58504888665
Msp300,7.65180101718,9.53876678269,0.00055308909204,8.58504888665
MESR4,0.0,7.95765648226,0.000599404297285,9.30395350247
pgant2,0.0,7.60501274765,0.000606251512059,9.41023597018
pyd,0.60918893863,8.01819870538,0.000621214340659,9.6424889957
Evi5,3.84480379013,9.19032729957,0.000644725598377,10.007430738
mt:lrRNA,5.39030621572,2.28084160703,0.000676970721546,10.5079395398
mt:CoII,10.2157701891,8.78699609006,0.000676970721546,10.5079395398
CG13298,9.18615281387,7.35970775317,0.000676970721546,10.5079395398
Nrx-1,9.03972655006,4.80739126903,0.000676970721546,10.5079395398
IA-2,6.9375826942,9.15983711808,0.000676970721546,10.5079395398
CG42684,0.0,6.21074286738,0.000755145951111,11.7213754531
apt,0.0,8.95173297177,0.000755145951111,11.7213754531
CG42265,7.45160213185,2.27669273327,0.000760159209284,11.7991912465
drl,6.97192361062,10.9267783852,0.000824088988833,12.7915092847
CR41535,5.86564413063,6.73739649277,0.000826019728117,12.8214782198
drpr,8.55710343977,10.2360122932,0.000995695028697,15.4551782354
mt:ND5,5.27723511626,3.28276204895,0.00100475242783,15.5957671848
sm,8.72719204788,10.5498803523,0.00100475242783,15.5957671848
CG42342,8.34001727861,9.6213989541,0.00100475242783,15.5957671848
CycG,9.99875095471,10.61990302,0.00100475242783,15.5957671848
GstZ2,8.69337219206,0.0,0.0010139646038,15.7387585801
sog,4.27369852559,0.0,0.00113640233548,17.6392370513
MsR1,0.0,6.93862965361,0.00113640233548,17.6392370513
mRpS24,0.0,4.40438133919,0.00113640233548,17.6392370513
mCD8-GFP,11.1601836553,12.2561435223,0.00121836740449,18.9114988526
mt:CoI,11.3649448526,10.1770997933,0.00121836740449,18.9114988526
Rho1,9.93206955447,8.80324419001,0.00121836740449,18.9114988526
TrissinR,0.0,7.87737945581,0.00122388950565,18.9972129066
Rpb5,6.23491725207,0.0,0.00126291265293,19.6029301988
kek5,0.0,3.58642059626,0.00126291265293,19.6029301988
ara,5.15505816607,0.0,0.00126291265293,19.6029301988
CG14509,0.0,6.62939543019,0.00142779274305,22.1621989576
Ect4,2.42456169758,0.0,0.00142779274305,22.1621989576
Unc-115b,0.0,1.97669130071,0.00142779274305,22.1621989576
CG11790,4.9940696398,0.0,0.00142779274305,22.1621989576
CG32698,0.0,2.66911899015,0.00142779274305,22.1621989576
CG7991,0.0,3.75777229984,0.00142779274305,22.1621989576
CG15537,0.0,8.00341319455,0.00142779274305,22.1621989576
mts,9.44118424073,10.5470039267,0.00147282307527,22.8611597743
28SrRNA-Psi:CR40596,5.93868051739,7.16451684694,0.00147282307527,22.8611597743
Sema-2b,6.35869199861,9.61025819289,0.00147282307527,22.8611597743
ATPsyndelta,8.84580371861,7.30204836575,0.00147282307527,22.8611597743
CR45018,0.0,4.40927647687,0.00156917424068,24.3567225639
CG6999,4.28654029959,0.0,0.00156917424068,24.3567225639
Syx5,1.40066445448,8.18556567234,0.00157976558932,24.5211214775
CG33543,8.99039079164,0.0,0.00157976558932,24.5211214775
CG4452,7.73065551462,0.0,0.00171566764987,26.6305932612
RpL38,7.99812675873,5.87796459668,0.00177491931746,27.5502976456
SmF,6.66089522328,4.23363267943,0.00177491931746,27.5502976456
Cow,8.99201931795,10.3459509854,0.00177491931746,27.5502976456
CR40668,4.19554957356,5.29947463038,0.00177491931746,27.5502976456
RpS28b,8.2314107313,7.093014195,0.00177491931746,27.5502976456
Hsp60,9.15147386914,10.1770430564,0.00177491931746,27.5502976456
Blos1,7.58252072466,0.462099288713,0.00179822645201,27.9120709882
beat-IIb,7.72308908504,0.0,0.0018610634418,28.8874267436
CR40469,0.0,1.78462679926,0.00209647825016,32.541535399
Cyp1,11.484812939,10.9020175768,0.00213238245702,33.0988404978
CG34380,8.19789953118,10.0857924717,0.00213238245702,33.0988404978
tsr,11.390666296,10.1036080543,0.00213238245702,33.0988404978
Arf79F,10.1163810104,9.04564947371,0.00213238245702,33.0988404978
RpL28,8.41716122758,7.10267015566,0.00213238245702,33.0988404978
RpS11,7.96298512106,6.15203626466,0.00213238245702,33.0988404978
CG17544,0.0,6.66577245106,0.00228171554653,35.4167887132
Prosbeta6,8.16148770166,5.354717863,0.0022921955282,35.5794589887
sca,0.0,9.10815549653,0.0022921955282,35.5794589887
CG4615,7.20663818204,0.0,0.00252281894047,39.159195594
CG11436,6.99888430545,0.0,0.00252281894047,39.159195594
UQCR-11,8.2466981541,5.85114958505,0.0025539527125,39.6424540034
smt3,10.0112284462,8.6612657198,0.0025539527125,39.6424540034
RpL35,7.82938417085,6.19113411099,0.0025539527125,39.6424540034
CG12384,7.62178014864,5.13115005408,0.0025539527125,39.6424540034
CG13364,8.16375059553,5.97645942605,0.0025539527125,39.6424540034
CG12279,4.83445451464,2.36717677604,0.00274804120397,42.6550955681
mRpL30,6.92033591333,1.67500317107,0.00285906907543,44.3784701888
CG11590,5.84138605658,0.0,0.00291155513335,45.1931587799
CG31229,4.18325974586,0.0,0.0029371589306,45.5905809207
CG11444,7.68217010362,6.36279752235,0.0030273744898,46.9909068306
mt:ATPase8,4.30113949763,2.35347245317,0.00304947296561,47.3339193722
Gdh,9.91487977145,10.6221388137,0.00304947296561,47.3339193722
Sema-1a,8.01878607795,9.35536141142,0.00304947296561,47.3339193722
RpS6,10.1205838329,8.57964943726,0.00304947296561,47.3339193722
mirr,0.0,9.53776831778,0.00328417982783,50.9770392876
CG32856,3.52160714471,0.0,0.00344965301637,53.54551412
CG6765,0.0,8.96365114113,0.00350254619339,54.3665220138
dsh,0.65992877443,0.0,0.00352705120034,54.7468887317
CR31953,0.717626950805,0.0,0.00352705120034,54.7468887317
CG31368,1.55118336004,0.0,0.00352705120034,54.7468887317
Osbp,1.46519096819,0.0,0.00352705120034,54.7468887317
gammaTub23C,0.0,0.955939366675,0.00352705120034,54.7468887317
CG42750,0.0,0.83627208076,0.00352705120034,54.7468887317
CG32354,0.0,1.45792315252,0.00352705120034,54.7468887317
CG43324,8.01361348848,6.31877290651,0.00362364234065,56.2461764115
Bacc,9.96400991163,9.26245111098,0.0036299774941,56.3445106633
RpL41,8.31603177024,5.53430157543,0.0036299774941,56.3445106633
CG3556,9.08265470209,10.227187436,0.0036299774941,56.3445106633
PMCA,8.85465264855,10.1215740021,0.0036299774941,56.3445106633
Tom7,6.06353954468,4.41715671967,0.0036299774941,56.3445106633
CG31475,8.1795049116,0.0,0.00364894251992,56.6388857942
CR44042,3.67765284424,0.0,0.00364894251992,56.6388857942
dpr9,5.39045581611,0.0,0.00364894251992,56.6388857942
Tes,0.0,7.44255681541,0.00364894251992,56.6388857942
prel,0.0,4.318554192,0.00364894251992,56.6388857942
CG17754,0.0,3.05003521445,0.00364894251992,56.6388857942
hbs,0.0,8.39860628405,0.00373444360938,57.9660337047
CR43283,3.74001144379,0.0,0.00374224898317,58.0871887168
Gyf,0.717626950805,7.25877991907,0.00391260416836,60.7314419014
CG8993,6.01025763946,1.3357159923,0.00391260416836,60.7314419014
mRpS26,6.96472279722,2.91663387193,0.00405851819082,62.9963193579
CG31221,5.21030974181,0.0,0.0041336439511,64.162421409
CG34200,3.68236446545,0.0,0.00418611821577,64.9769269452
ND-B17.2,7.41083724745,4.55777640795,0.00427891027272,66.4172452531
U4-U6-60K,9.85117925954,8.30833622084,0.00427891027272,66.4172452531
ND-13B,7.00339444124,4.66534783643,0.00430055266134,66.7531784093
RpS27,8.02151904918,6.8539092574,0.00430777905941,66.8653465602
RNASEK,6.80531454313,5.32104256074,0.00430777905941,66.8653465602
fne,11.5435250525,10.0179449025,0.00430777905941,66.8653465602
capt,8.52985343307,8.02870344292,0.00430777905941,66.8653465602
cpx,7.28702858352,8.88415722064,0.00430777905941,66.8653465602
14-3-3zeta,10.6890117438,10.0680736764,0.00430777905941,66.8653465602
His4r,10.5080101994,9.36324755908,0.00430777905941,66.8653465602
RpL39,8.24056998127,5.19654776674,0.00430777905941,66.8653465602
