,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,8.16935002935,5.13445780758e-06,0.0796970540892
GILT3,8.54322641385,0.0,1.30214778044e-05,0.20211937848
br,0.0,9.24701776155,1.60001094808e-05,0.248353699361
fru,0.0,10.3305222064,1.87923035691e-05,0.291694136
beat-IIa,8.72875778017,0.0,1.87923035691e-05,0.291694136
rgn,10.5616333299,8.22122702315,4.85028584301e-05,0.752861368552
Hsromega,9.5938536439,12.3027785989,4.86728378236e-05,0.755499788697
pxb,0.0,9.63923371969,6.27394017787e-05,0.973840994409
MRE16,9.34780818479,5.26988949795,7.78979465439e-05,1.20913192626
Hsp70Bc,0.765974160865,4.14421779066,8.75151666445e-05,1.35841041666
ab,7.74302672731,0.54630593491,8.75151666445e-05,1.35841041666
28SrRNA-Psi:CR40596,6.34644568367,7.23158091932,9.80807368533e-05,1.52240919744
Arf102F,7.23688713997,0.0,0.000102961253475,1.59816457644
beat-VI,0.0,9.40006782979,0.00011600356004,1.80060725894
CG11134,7.88421819158,0.0,0.000129502823541,2.01014282701
CG17486,6.37168098496,0.0,0.000151723321511,2.3550493965
CG2862,8.63337966216,6.3241962243,0.000154022352814,2.39073496038
mRpL27,5.70520666413,0.0,0.000161903572382,2.51306725052
CG42747,0.0,7.98394174663,0.000188639994557,2.92806999551
fas,0.0,5.76865792114,0.000191695863289,2.97550318997
CG34393,0.0,7.89585977956,0.000191695863289,2.97550318997
Eip93F,0.0,4.37829794883,0.000191695863289,2.97550318997
CG15537,0.0,8.02964948579,0.000191695863289,2.97550318997
His4r,10.6488903701,8.6477871789,0.000192101013517,2.98179193182
mRpS21,4.74283732905,0.0,0.000208948864483,3.24330427451
CG8331,8.00821634164,2.52363673336,0.000215892781976,3.35108776183
levy,8.56530349055,6.89256456963,0.000238840864478,3.70728789844
Neb-cGP,7.79097174151,5.85008088984,0.000238840864478,3.70728789844
Diap1,9.30695952978,1.98620312113,0.000268413593425,4.16631579714
Cdep,4.43222297401,7.18279102063,0.000280015124478,4.34639476215
CR41535,5.92704513977,6.93846810749,0.000296021072947,4.59483909429
RpS6,10.2800645133,8.19630096712,0.000365740995907,5.67703173847
RpL38,8.34053821766,6.07732160898,0.000365740995907,5.67703173847
drl,7.37533330393,10.5877386471,0.000395485755257,6.13872989311
Ncoa6,0.0,3.92092000098,0.000401100451324,6.22588120545
RpL39,8.10321424962,5.06116515064,0.00045046779818,6.99216116335
tsr,11.3287460593,10.166051679,0.00045046779818,6.99216116335
Hsp70Bb,5.04292940113,5.92901415275,0.00045046779818,6.99216116335
trx,0.0,7.23696529271,0.000481941769935,7.48070015293
