,medianA,medianB,pvalue,pvalue_adj
br,0.0,8.61214231951,5.13445780758e-06,0.0796970540892
Eip93F,0.0,6.28665501422,5.13445780758e-06,0.0796970540892
CG3726,0.0,8.3177520959,9.33764556343e-06,0.144938934436
ab,8.34562320397,0.0,1.11685890367e-05,0.173358839028
fru,0.0,10.5002727127,1.22446437935e-05,0.190061360963
fne,11.5557977805,9.73021696019,1.82922767695e-05,0.283932720016
pros,12.4823178692,11.8234321537,1.82922767695e-05,0.283932720016
beat-IIa,8.87534680685,0.0,1.87923035691e-05,0.291694136
CR40668,4.3259564825,5.04445849629,2.34743628248e-05,0.364369059766
rgn,10.5616333299,4.47592724703,3.56123299774e-05,0.552774585909
CG1316,9.88129657794,8.17818605429,3.81539413546e-05,0.592225477705
beat-VI,0.0,9.27449717239,5.78208106649e-05,0.897494623141
Ccn,0.0,8.66175324336,6.2654363942e-05,0.972521037107
CG32581,5.83037988707,0.0,6.2654363942e-05,0.972521037107
Nlp,9.56535224456,7.90530849263,7.78979465439e-05,1.20913192626
pxb,0.0,10.5118792192,7.99259080905e-05,1.24060994538
Prosalpha3,8.97463278925,6.65917741374,9.77664335981e-05,1.51753058231
exp,2.04766515543,0.0,0.00011600356004,1.80060725894
CG34380,7.70137560783,10.1019675755,0.000122720086651,1.904861185
CR41535,5.8664149861,6.66641987452,0.000123103116411,1.91080657294
mt:CoII,10.2624935432,8.64755106745,0.000154022352814,2.39073496038
MRE16,9.35655056339,4.8421110876,0.000154022352814,2.39073496038
GILT3,8.36673445628,0.0,0.000162360448308,2.52015887864
CG7991,0.0,2.51751122092,0.000191695863289,2.97550318997
CG34393,0.0,7.91065528303,0.000191695863289,2.97550318997
CG12994,0.0,6.58456995589,0.000191695863289,2.97550318997
ed,0.0,6.79705418119,0.000203467506621,3.15822263778
drl,6.09002640471,10.8857497576,0.000208158797579,3.23104085602
RpL38,8.64256741115,6.24548877321,0.000238840864478,3.70728789844
