,medianA,medianB,pvalue,pvalue_adj
br,0.0,8.96201889183,5.13445780758e-06,0.0796970540892
Eip93F,0.0,6.78248859584,5.13445780758e-06,0.0796970540892
CG3726,0.0,7.95732668008,5.13445780758e-06,0.0796970540892
fru,0.0,10.4722088265,9.33764556343e-06,0.144938934436
MRE16,9.26058906619,4.30868101224,1.82922767695e-05,0.283932720016
RpL38,7.99812675873,5.78298686984,1.82922767695e-05,0.283932720016
beat-VI,0.0,7.73842044172,1.87923035691e-05,0.291694136
rgn,11.6020366104,7.9363540639,2.31198016639e-05,0.358865561428
ATPsynG,8.36961686536,6.06861923672,2.34743628248e-05,0.364369059766
CG5446,8.73098584788,6.48859629666,2.34743628248e-05,0.364369059766
GILT3,8.39955495216,0.0,2.79943635337e-05,0.434528510771
COX5A,9.52556849458,8.32628707536,3.0028801484e-05,0.466107056635
ATPsynF,8.44478592355,6.54248448548,3.0028801484e-05,0.466107056635
pxb,0.480211557639,10.6295886272,3.36991026146e-05,0.523077470784
ND-MLRQ,6.01494271989,4.15624097679,3.82914473375e-05,0.594359845572
Hsromega,9.99537039961,12.170450025,3.82914473375e-05,0.594359845572
His4r,10.5080101994,8.45114072661,3.82914473375e-05,0.594359845572
CG42674,0.0,6.10005766385,3.92892831811e-05,0.609848253538
mt:CoIII,9.89896370038,8.2618362676,4.86728378236e-05,0.755499788697
mt:ND5,6.15880196039,3.27480217613,4.86728378236e-05,0.755499788697
mt:CoII,10.2624935432,8.47253585321,4.86728378236e-05,0.755499788697
CR41535,5.80348541838,6.82539817035,4.86728378236e-05,0.755499788697
CG13364,8.16286474979,6.08531407471,6.1672877202e-05,0.957286399929
CR45600,5.56763276504,0.0,6.2654363942e-05,0.972521037107
fas,0.0,5.55978559862,6.2654363942e-05,0.972521037107
CG6912,7.46121144756,0.0,6.2654363942e-05,0.972521037107
Fas2,2.47450210319,10.3828067304,7.28770520889e-05,1.13119760252
RpL29,6.71353439615,3.80129531195,7.78979465439e-05,1.20913192626
noe,12.8968746684,11.1063646846,7.78979465439e-05,1.20913192626
