,medianA,medianB,pvalue,pvalue_adj
br,0.0,8.82109420146,5.13445780758e-06,0.0796970540892
Eip93F,0.0,6.40602772292,5.13445780758e-06,0.0796970540892
beat-IIa,8.7938119838,0.0,5.13445780758e-06,0.0796970540892
CG3726,0.0,8.56159296015,1.22446437935e-05,0.190061360963
CG12038,7.86514834376,9.48210862717,2.2595776672e-05,0.350731645504
ab,7.65787408442,0.585697845845,2.6333192812e-05,0.408743818827
GILT3,8.0498732478,0.0,5.84228460578e-05,0.906839416509
Scgalpha,0.0,8.13446539296,8.37425492817e-05,1.29985184995
rgn,10.6892360046,4.64964696073,9.19345635454e-05,1.42700829535
pxb,0.0,10.1896410203,9.43200352927e-05,1.46403558781
Bili,0.0,6.50503795241,0.000119835656962,1.86008906736
Ranbp16,0.0,7.97676674258,0.000132597583797,2.05817969569
CR41620,1.15826708321,0.0,0.000191695863289,2.97550318997
Dgk,0.0,1.5783046927,0.000191695863289,2.97550318997
ed,0.0,7.37622940983,0.00019433835008,3.01651986994
NaPi-III,8.78011057502,9.87399757104,0.000238840864478,3.70728789844
fru,0.0,9.83108199762,0.000239209057348,3.71300298815
Ace,3.58699526331,9.62460827143,0.000280015124478,4.34639476215
pros,12.4443463131,11.9581125633,0.000296021072947,4.59483909429
pyd,0.0,8.43679661267,0.000313816746402,4.87106353765
Fie,8.23954876137,0.0,0.000324921862813,5.04343715458
CG12054,1.37001999951,9.16591352119,0.000410945679018,6.37869882972
fas,0.0,5.33684822494,0.000481941769935,7.48070015293
drl,7.73443603512,10.6605475044,0.000525874701383,8.16262711487
18w,0.0,5.38949163545,0.000542166280837,8.41550501115
CG34393,0.0,6.63962995472,0.000542166280837,8.41550501115
Spred,0.0,5.4005476709,0.000634034528259,9.84148394764
Cow,8.80988081296,10.4107657828,0.000826019728117,12.8214782198
rdx,4.92556386211,9.50321520193,0.000959980575337,14.9008184904
CG42540,0.0,7.74667358955,0.0010139646038,15.7387585801
CG33774,3.87004347822,1.0818508942,0.00102287859676,15.8771215789
sca,0.0,7.62205070537,0.00112880308385,17.5212814675
mt:Cyt-b,8.83243128705,7.3194226403,0.00121836740449,18.9114988526
eIF2B-beta,7.45045702479,0.0,0.00126291265293,19.6029301988
Octbeta3R,0.0,4.21588806824,0.00132692743138,20.5965675898
CG13300,0.0,5.50030774056,0.00139888360254,21.7134712786
CG13993,5.89684281271,3.33740358125,0.00141157064903,21.9103996143
CG3860,0.0,6.04511828656,0.00142779274305,22.1621989576
CG32581,4.99587141709,0.0,0.00142779274305,22.1621989576
GlyP,4.42062713365,0.0,0.00142779274305,22.1621989576
CG42674,0.0,3.38618479434,0.00142779274305,22.1621989576
CR31953,1.26514278833,0.0,0.00142779274305,22.1621989576
Pvf3,3.55173321539,0.0,0.00142779274305,22.1621989576
OstDelta,8.10372011345,9.33108200114,0.00146972308396,22.8130417092
mt:ND5,5.35399830754,3.86719725837,0.00147282307527,22.8611597743
stai,8.78616996042,10.4077244542,0.00147282307527,22.8611597743
pgant2,0.0,6.95367193742,0.00148723147035,23.0848068828
CG9240,7.09679234052,3.0605656121,0.0015028760232,23.3276416321
beat-Ib,0.0,7.29790439689,0.00156917424068,24.3567225639
CG5021,0.0,7.46456023551,0.00169115023202,26.2500339014
osa,0.0,4.24565672405,0.00171566764987,26.6305932612
sn,10.327044973,11.3527131619,0.00177491931746,27.5502976456
nAChRalpha3,0.0,5.16146125755,0.00194175002269,30.1398438521
CG43729,9.15773622308,3.8412330509,0.00204982228844,31.8173415611
Dmtn,0.0,5.88236210768,0.00209647825016,32.541535399
MRE16,8.13271848885,4.95431941181,0.00213238245702,33.0988404978
CHOp24,7.48913086712,0.0,0.00221073834775,34.3150806338
PrBP,6.98038574682,0.0,0.00226897640886,35.2190518183
CG32698,0.0,3.99719787118,0.00239300692391,37.1442534729
Diap1,9.09961082918,6.14810223719,0.00250604271143,38.8987949668
Fas2,7.0460280617,10.6157708115,0.00250604271143,38.8987949668
poly,6.40312398362,0.0,0.00255244743278,39.6190890516
Act42A,12.6101678537,11.8672781129,0.0025539527125,39.6424540034
Rbp6,9.98380363168,9.16209348569,0.0025539527125,39.6424540034
mt:CoIII,9.63121244424,8.36334272373,0.0025539527125,39.6424540034
Nlp,9.2859629435,8.09113805855,0.0025539527125,39.6424540034
CG32164,0.0,3.31544164348,0.0029371589306,45.5905809207
Hel89B,0.0,2.00886030028,0.0029371589306,45.5905809207
trn,2.990670968,0.0,0.0029371589306,45.5905809207
Tina-1,6.24338665194,8.14630954363,0.00304394018393,47.248039535
mt:lrRNA,3.95864453534,2.35898302621,0.00304947296561,47.3339193722
Nacalpha,7.9481073981,6.04442453448,0.00304947296561,47.3339193722
Hsp70Bc,0.0,3.77477812823,0.00340824673532,52.9028058256
fz,0.0,6.698734349,0.00344965301637,53.54551412
CG14683,0.0,8.06023895907,0.00348497681177,54.0938100723
Shroom,3.22905297499,0.0,0.00352705120034,54.7468887317
beta4GalNAcTA,0.0,0.533735764995,0.00352705120034,54.7468887317
CG8735,1.07342133241,0.0,0.00352705120034,54.7468887317
sno,0.0,0.490251637603,0.00352705120034,54.7468887317
CG8675,2.1762589914,0.0,0.00352705120034,54.7468887317
Tes,0.0,2.80181721052,0.00352705120034,54.7468887317
CG14401,2.66989906879,0.0,0.00352705120034,54.7468887317
CG17162,0.0,0.6946461132,0.00352705120034,54.7468887317
CG42313,0.975372318815,0.0,0.00352705120034,54.7468887317
CG33158,0.0,0.99422185165,0.00352705120034,54.7468887317
CG32368,1.15047888562,0.0,0.00352705120034,54.7468887317
CG7991,0.0,1.25911054625,0.00352705120034,54.7468887317
CG5815,0.0,0.51036045401,0.00352705120034,54.7468887317
CG42750,0.0,0.445077913462,0.00352705120034,54.7468887317
CG9947,7.71273543037,9.23629183347,0.00362364234065,56.2461764115
