,medianA,medianB,pvalue,pvalue_adj
br,0.0,9.30124877645,5.13445780758e-06,0.0796970540892
ab,8.20968294692,0.0,1.30214778044e-05,0.20211937848
GILT3,8.36673445628,0.0,1.55845526505e-05,0.24190342624
drl,7.73710402413,10.5345049974,1.80085268433e-05,0.279528353662
pros,12.5229912836,11.5899041219,1.82922767695e-05,0.283932720016
beat-IIa,8.72875778017,0.0,1.87923035691e-05,0.291694136
fru,0.0,10.6169839888,1.87923035691e-05,0.291694136
rgn,10.6892360046,2.89723684332,4.29865050075e-05,0.667236530727
CG3726,0.0,8.27298693185,5.07461880929e-05,0.787682331577
beat-VI,0.0,9.68073276222,5.78208106649e-05,0.897494623141
CR45018,0.0,4.65096443134,6.2654363942e-05,0.972521037107
sdk,0.0,7.60290690896,6.2654363942e-05,0.972521037107
CG32581,5.86920268037,0.0,6.2654363942e-05,0.972521037107
Diap1,9.30695952978,7.29719464659,9.68279741405e-05,1.50296381461
pxb,0.0,9.89149534705,0.00010544394443,1.63670090544
CG15537,0.0,7.59760146592,0.00011600356004,1.80060725894
mt:lrRNA,5.58704129262,2.34157871225,0.000154022352814,2.39073496038
CG34393,0.0,7.20338083622,0.000191695863289,2.97550318997
CG6912,7.07692459828,0.0,0.000191695863289,2.97550318997
Eip93F,0.0,4.29040992109,0.000191695863289,2.97550318997
pyd,0.60918893863,8.79778049647,0.000215892781976,3.35108776183
Ccn,0.0,7.86113724231,0.000239209057348,3.71300298815
mt:ND5,5.53906776337,3.31573324384,0.00045046779818,6.99216116335
MRE16,9.36586137838,4.55014573538,0.00045046779818,6.99216116335
mCD8-GFP,11.5600356831,12.554350747,0.00045046779818,6.99216116335
Pax,1.76016469667,10.3296775802,0.0004791681021,7.43764728079
Sap-r,7.31083255429,9.98582946663,0.000525874701383,8.16262711487
CR45600,5.56763276504,0.0,0.000542166280837,8.41550501115
CG42674,0.0,3.6704141409,0.000542166280837,8.41550501115
CG32698,0.0,4.78114175657,0.000542166280837,8.41550501115
CG3568,0.0,3.56728440959,0.000542166280837,8.41550501115
CG13603,0.0,7.2951498275,0.00054836409405,8.51170746785
Non2,10.1951664916,9.16840323181,0.00055308909204,8.58504888665
CG2269,3.3578397741,9.05276430032,0.000560911060533,8.7064614816
IP3K2,0.0,10.1567199307,0.000614632174771,9.5403206168
elB,5.38579537025,0.0,0.000634034528259,9.84148394764
Rpb11,6.06402336269,3.88423774346,0.000660719458141,10.2556874293
Hsromega,10.3365271922,11.4783442976,0.000676970721546,10.5079395398
beat-IIIb,0.0,6.11911674107,0.000792514928053,12.3014167132
CG41128,5.55431709489,2.12337061129,0.000826019728117,12.8214782198
fne,11.35839026,10.1990221001,0.000826019728117,12.8214782198
LRR,7.13476472243,0.53213689159,0.000882615531441,13.699958279
CR40469,0.0,2.29874567922,0.000919774599492,14.2767413333
Nlp,9.56535224456,7.92652450489,0.00100475242783,15.5957671848
CG34200,2.27622175689,0.490288339293,0.00107504485903,16.6868463018
Abp1,0.0,8.47065276946,0.00108495092142,16.8406082023
ytr,0.0,7.26225219198,0.00112871004054,17.5198372493
Nedd8,6.96475468377,4.48803062183,0.00120776019566,18.746853757
UQCR-11,8.32076233323,5.1799639152,0.00121836740449,18.9114988526
PMCA,9.40071526026,10.465157569,0.00121836740449,18.9114988526
ATPsynO,9.46815916587,8.30211537171,0.00121836740449,18.9114988526
Hsc70-4,12.5358733541,13.1471834884,0.00121836740449,18.9114988526
tsr,11.3713135064,9.60114661138,0.00121836740449,18.9114988526
CG7033,6.80883196863,0.0,0.00123829633922,19.2208357774
