,medianA,medianB,pvalue,pvalue_adj
Eip93F,0.0,6.04769738012,5.13445780758e-06,0.0796970540892
CG3726,0.0,7.90116161234,5.13445780758e-06,0.0796970540892
br,0.0,8.68972830279,5.13445780758e-06,0.0796970540892
ab,8.43115952701,0.0,1.46238770616e-05,0.22699181975
rgn,11.446329244,7.37382687211,1.75893739454e-05,0.27302226238
fru,0.0,10.5635509484,1.87923035691e-05,0.291694136
beat-IIa,8.59968005719,0.0,1.87923035691e-05,0.291694136
pxb,0.0,10.257400104,3.58926629413e-05,0.557125914175
Hsp70Bb,5.16804382614,6.70347486425,4.86728378236e-05,0.755499788697
CG34393,0.0,8.59852404605,5.07461880929e-05,0.787682331577
mCD8-GFP,11.3502831848,12.6570043,6.1672877202e-05,0.957286399929
Octbeta3R,0.0,4.02629417636,6.2654363942e-05,0.972521037107
CG32698,0.0,6.30234314755,6.2654363942e-05,0.972521037107
GILT3,8.47460435176,2.20034169322,6.92728397833e-05,1.07525301912
Fas2,0.827516755585,9.92480324824,0.000110207004978,1.71063313127
CG17544,0.0,8.19777143276,0.000148206009967,2.30045368671
CG42313,5.49226305071,0.0,0.000191695863289,2.97550318997
fas,0.0,5.21863078247,0.000191695863289,2.97550318997
tutl,0.0,7.48112946586,0.000208948864483,3.24330427451
MRE16,8.68478798771,5.58557726957,0.000238840864478,3.70728789844
Pxn,10.0251928001,7.81942494602,0.00029277029605,4.54438053528
Blimp-1,4.44316104777,9.06529983222,0.00029277029605,4.54438053528
RpL39,7.76893712468,5.61412037798,0.000296021072947,4.59483909429
beat-VI,0.0,8.93156911078,0.000302203756243,4.69080670441
Hsp70Bc,0.471255263108,4.00198174479,0.000313816746402,4.87106353765
CR41535,5.86501935626,6.73656877501,0.000365740995907,5.67703173847
nAChRalpha2,10.7454556696,9.28359436984,0.000365740995907,5.67703173847
CG34356,3.27256945522,0.0,0.000376532512733,5.84453766264
CG14024,0.0,8.9564462245,0.000403173249831,6.25805518388
Mmp2,0.0,6.75114182388,0.000403173249831,6.25805518388
Arf102F,7.62237590819,5.75522359119,0.000449304376389,6.9741025303
Smyd4-4,8.07799232844,0.0,0.000468514203725,7.27227747022
lili,0.0,5.39248602543,0.000542166280837,8.41550501115
gammaTub23C,0.0,5.03876576033,0.000542166280837,8.41550501115
CG32982,6.95151670354,2.48575054142,0.000547573038485,8.49942870336
NaPi-III,8.14991074081,9.53225106739,0.000547573038485,8.49942870336
28SrRNA-Psi:CR40596,6.15403520641,7.11655446031,0.00055308909204,8.58504888665
RpL37a,9.22130557837,7.90195909402,0.000676970721546,10.5079395398
CG9921,0.0,4.61754645023,0.000717893223829,11.1431386203
GstZ2,8.57757971709,0.0,0.000722323516879,11.211905629
egh,7.31674414289,0.779453936755,0.000760159209284,11.7991912465
Sc2,8.16757985456,3.46428031673,0.000839886843894,13.0367235909
ytr,0.0,7.03716387438,0.000884060424462,13.7223859085
Ca-beta,0.0,7.33042705281,0.000916382889454,14.2240952101
pgant2,0.0,5.24177554534,0.000916382889454,14.2240952101
psq,0.0,5.39239901387,0.000924738753125,14.353794926
shot,6.76802992778,9.67270146851,0.000982205636211,15.2457958853
CG42674,0.0,5.55462752803,0.000986770339198,15.316649205
RpL41,7.56389662546,5.88783133555,0.00100475242783,15.5957671848
