,medianA,medianB,pvalue,pvalue_adj
br,0.0,8.82548761358,5.13445780758e-06,0.0796970540892
pxb,0.0,10.2959513944,9.15336830931e-06,0.142078582897
fru,0.0,9.86040400987,1.22446437935e-05,0.190061360963
Eip93F,0.0,6.38012878144,1.87923035691e-05,0.291694136
CG3726,0.0,7.45667826488,1.87923035691e-05,0.291694136
tna,6.11237422276,3.60237528958,2.31198016639e-05,0.358865561428
ab,8.44997781525,1.50320845896,2.78712282901e-05,0.43261720552
CG13300,0.0,6.4973252887,3.03089062316e-05,0.470454842527
GILT3,8.58723477902,0.0,3.12804076921e-05,0.485534488196
hbs,0.0,8.13415103429,3.92892831811e-05,0.609848253538
rgn,11.1762736294,6.7933754439,6.08385738294e-05,0.94433634298
CG34393,0.0,8.27697358934,6.2654363942e-05,0.972521037107
Uhg3,0.0,3.10433383826,6.2654363942e-05,0.972521037107
pros,12.5205918506,11.8023618036,7.78979465439e-05,1.20913192626
ed,0.0,5.68579974981,0.000148803009366,2.30972031139
Fas2,6.67277393885,10.0955337569,0.000186526072248,2.89525769344
beat-IIa,8.59854028194,0.0,0.000188639994557,2.92806999551
ara,6.16115501194,0.0,0.000191695863289,2.97550318997
CG32581,5.7085734938,0.0,0.000191695863289,2.97550318997
Dgk,0.0,4.94432781489,0.000191695863289,2.97550318997
GlyP,8.58059551074,0.0,0.000191695863289,2.97550318997
CG17544,0.0,8.01621369931,0.000284835194191,4.42121188424
fas,0.0,5.09467037262,0.000302203756243,4.69080670441
Mid1,0.0,5.33363946162,0.000302203756243,4.69080670441
CG10384,8.2365843033,0.0,0.000308239766457,4.78449765495
beat-IIb,8.12817983549,0.0,0.000376532512733,5.84453766264
Swip-1,9.18544774163,7.50727761209,0.00045046779818,6.99216116335
Sema-1a,8.06128322098,9.56262425588,0.00045046779818,6.99216116335
lilli,0.0,7.31528703569,0.0004791681021,7.43764728079
Pax,1.76016469667,9.95819306983,0.00050606021451,7.85506664963
pyd,3.34196767266,8.99231770723,0.000525874701383,8.16262711487
CG7600,0.0,7.44456750977,0.000542166280837,8.41550501115
CG15537,0.0,7.74997654348,0.000542166280837,8.41550501115
CG14509,0.0,7.17531004224,0.000542166280837,8.41550501115
Pxn,10.0001394195,8.7363554477,0.000670439238374,10.406557858
Cdep,0.0,7.41343256458,0.000673062917559,10.4472826064
GluClalpha,7.16937388842,8.59222933388,0.000676970721546,10.5079395398
Pp2B-14D,0.0,4.92214167598,0.000741696486829,11.5126128686
beat-Ib,0.0,4.9378447741,0.000792514928053,12.3014167132
unc-104,9.35730284675,11.0996766659,0.000826019728117,12.8214782198
beat-VI,0.0,7.5898930838,0.000917336707587,14.2389003752
CR45312,5.29903489776,0.0,0.000917336707587,14.2389003752
CG31475,8.37150062068,0.0,0.000919774599492,14.2767413333
CG4266,0.0,6.69804949288,0.000986770339198,15.316649205
Galk,0.0,8.28792856917,0.000986770339198,15.316649205
Msp300,8.21774818923,9.27805881051,0.00100475242783,15.5957671848
mt:CoIII,9.64465585688,8.52081796297,0.00100475242783,15.5957671848
mirr,0.0,8.43762368459,0.0010075321246,15.6389136381
ytr,0.0,7.96976777705,0.00108495092142,16.8406082023
ens,0.450766061833,8.44964688644,0.00112748770879,17.5008642158
mt:ND5,5.42970269769,3.36227875898,0.00121836740449,18.9114988526
Hsp70Bb,5.12893127677,6.06289571739,0.00121836740449,18.9114988526
Ac76E,0.0,7.65142978987,0.00122388950565,18.9972129066
CG12065,0.0,6.27042003644,0.00126291265293,19.6029301988
ico,0.0,5.26261850823,0.00126291265293,19.6029301988
CR40469,0.0,1.67740227863,0.00126291265293,19.6029301988
MRG15,0.0,3.59190241989,0.00142779274305,22.1621989576
CG6123,0.0,2.07321749591,0.00142779274305,22.1621989576
CG6912,3.67587590434,0.0,0.00142779274305,22.1621989576
CG11779,0.0,2.61481224026,0.00142779274305,22.1621989576
18w,0.0,5.94565249864,0.00142779274305,22.1621989576
prominin-like,7.40644287109,9.98617036687,0.00146044673523,22.6690542243
otp,9.53769427916,10.5098182314,0.00147282307527,22.8611597743
CG14883,5.46076954322,9.00539579479,0.00158420443385,24.5900212222
CG43921,1.97252802745,7.55788624475,0.00165136891435,25.6325482885
CG4452,7.8250478707,0.0,0.00166511987523,25.8459907033
Pde9,6.89558711983,0.0,0.00166511987523,25.8459907033
MRE16,8.31876864469,5.46985690026,0.00177491931746,27.5502976456
Sep4,8.12352119846,9.59448324902,0.00177491931746,27.5502976456
Hsp70Bc,1.22838577178,4.5740631082,0.00181311024187,28.1430971743
RpL34a,7.18786550486,5.05405234139,0.00190761839086,29.610052663
beat-Ia,0.0,4.45705607772,0.00194175002269,30.1398438521
sca,0.0,8.91850883321,0.00197494511039,30.6550980034
Ranbp16,0.0,7.51085621426,0.00201257007866,31.239112761
CG16791,3.52446882752,7.3563232488,0.00204982228844,31.8173415611
CG12071,5.833094518,8.72016462835,0.00209086789089,32.4544514023
Acer,0.0,7.73366490957,0.00209647825016,32.541535399
Pde6,0.0,2.64851812469,0.00209647825016,32.541535399
rdx,6.27722031973,8.63264473269,0.00211572035207,32.8402113049
nAChRalpha2,10.3018020543,8.81686001315,0.00212820989586,33.0340740036
Hsromega,10.3430635804,12.0071092804,0.00213238245702,33.0988404978
mCD8-GFP,11.2719676642,12.0234169465,0.00213238245702,33.0988404978
pgant2,0.0,6.95367193742,0.00216729483419,33.6407504163
pgant5,8.00232545152,1.62983331864,0.00218053624123,33.8462835364
drl,1.68388352329,10.0219824889,0.00218053624123,33.8462835364
DnaJ-1,0.0,7.60900047063,0.00221073834775,34.3150806338
CG42747,0.0,7.893035127,0.00226897640886,35.2190518183
AP-2mu,0.0,6.98164658698,0.00226897640886,35.2190518183
Arc1,7.30203026494,0.0,0.00226897640886,35.2190518183
Pde1c,7.30345732675,0.542580810915,0.0022921955282,35.5794589887
NC2alpha,0.0,5.84725879723,0.00239300692391,37.1442534729
CG42394,4.3797072757,0.0,0.00242461696602,37.6349045466
CG9953,7.28611791236,8.84280641749,0.00253472786605,39.3440459369
Vha26,9.74278001879,8.57232770681,0.0025539527125,39.6424540034
p,3.98819955202,9.12551961334,0.00285906907543,44.3784701888
CG44153,0.0,4.42842415038,0.0029371589306,45.5905809207
CG42265,7.30344248363,4.02668897426,0.00293985221537,45.632386087
OstDelta,7.63724140856,9.5307811434,0.0030273744898,46.9909068306
ND-B17.2,7.41083724745,5.00934261564,0.0030273744898,46.9909068306
fne,11.447827366,10.4036287625,0.00304947296561,47.3339193722
CG9536,7.76538732414,0.0,0.00307529397712,47.7347131128
