,medianA,medianB,pvalue,pvalue_adj
CG3726,0.0,6.84586912986,5.13445780758e-06,0.0796970540892
br,0.0,9.53931064295,5.13445780758e-06,0.0796970540892
Eip93F,0.0,6.68623946739,5.13445780758e-06,0.0796970540892
fru,0.0,10.731694975,7.09569794446e-06,0.110139423494
CG34393,0.0,8.92957049351,1.87923035691e-05,0.291694136
pxb,0.0,10.8546884153,3.11543104412e-05,0.483577206668
ab,8.43115952701,0.91751061311,4.29865050075e-05,0.667236530727
GILT3,8.33093289007,0.0,4.33551179312e-05,0.672958140528
fas,0.0,6.32136478597,5.07461880929e-05,0.787682331577
hbs,0.0,8.56171536927,6.2654363942e-05,0.972521037107
tutl,0.0,7.93988289096,7.41699466527e-05,1.15126591194
Pax,7.2951082513,10.6210690655,9.49709897323e-05,1.47413970262
pros,12.8101851559,11.7377773773,9.80807368533e-05,1.52240919744
beat-IIa,8.19428586723,0.0,0.000106995032231,1.66077689029
rgn,11.446329244,7.89063864131,0.000121576208476,1.88710590796
Hsromega,10.3865421919,12.0356990205,0.000123103116411,1.91080657294
beat-VI,0.0,8.01822476414,0.000136211739994,2.11427862819
ttv,0.0,4.73547540209,0.000136211739994,2.11427862819
Fas2,2.47450210319,10.1377408193,0.000181067514352,2.81052995777
CG32581,5.57487310986,0.0,0.000191695863289,2.97550318997
CR45600,5.14642436881,0.0,0.000191695863289,2.97550318997
CG32698,0.0,7.1595802491,0.000191695863289,2.97550318997
capt,9.02270054367,7.64829320961,0.00029277029605,4.54438053528
mCD8-GFP,10.8989230432,12.2849247146,0.000296021072947,4.59483909429
CG42674,0.0,5.06194671653,0.000302203756243,4.69080670441
bru-3,6.25846743126,0.0,0.000323022914551,5.01396167967
Mmp2,1.05267642737,6.5530412066,0.000332648759751,5.16337404885
IP3K1,0.0,2.16380074529,0.000376532512733,5.84453766264
ytr,0.0,7.8777291107,0.000481941769935,7.48070015293
CG6912,7.46121144756,0.0,0.000505276606553,7.84290348691
CG31510,0.0,6.91438220881,0.000505276606553,7.84290348691
CG15537,0.0,7.14351274756,0.000542166280837,8.41550501115
GlyP,8.16835891122,0.0,0.000542166280837,8.41550501115
drl,6.49343609801,11.2365340105,0.000547573038485,8.49942870336
CG42265,7.04126637793,0.0,0.00054836409405,8.51170746785
Gdh,9.79811087329,10.9224840674,0.00055308909204,8.58504888665
mt:ND1,4.19168659351,2.11531885094,0.0006753339723,10.482533918
mt:ND5,5.71256759386,3.3300967743,0.000676970721546,10.5079395398
mt:CoI,11.1327970221,10.3073099712,0.000676970721546,10.5079395398
CG34356,3.71204385662,0.0,0.000741696486829,11.5126128686
mod,0.0,8.40082265987,0.000755145951111,11.7213754531
Dad,0.0,6.56743514033,0.000919774599492,14.2767413333
CG1307,5.37009048301,7.77779405377,0.00100248323755,15.5605448133
BI-1,9.18068632201,7.90095565338,0.00100475242783,15.5957671848
Fie,7.81536196795,0.0,0.00112871004054,17.5198372493
pzg,0.0,7.10520422896,0.00113640233548,17.6392370513
GstZ2,9.00259188142,5.26386052983,0.00116590237631,18.0971366851
Pxn,9.9828276051,8.29660613524,0.00121571023979,18.870254342
mt:lrRNA,5.15543038554,2.34601543804,0.00121571023979,18.870254342
mt:CoIII,9.68195526009,8.31394905439,0.00121836740449,18.9114988526
mt:Cyt-b,8.8978983005,7.25585505354,0.00121836740449,18.9114988526
