,medianA,medianB,pvalue,pvalue_adj
br,0.0,9.19215691635,5.13445780758e-06,0.0796970540892
CG3726,0.0,8.07744084995,7.09569794446e-06,0.110139423494
Eip93F,0.0,6.472590729,1.87923035691e-05,0.291694136
rgn,11.6020366104,0.0,1.88783859368e-05,0.293030306511
fru,0.0,10.6875386401,3.03089062316e-05,0.470454842527
ab,7.74302672731,0.0,3.11543104412e-05,0.483577206668
pxb,0.0,10.2096007093,3.12804076921e-05,0.485534488196
ND-51,7.33262122241,8.95842068036,6.14635008328e-05,0.954036459927
CG32204,0.0,7.45620567144,6.2654363942e-05,0.972521037107
CG32698,0.0,3.89343131805,6.2654363942e-05,0.972521037107
beat-VI,0.0,8.57771617338,6.53070589699e-05,1.01369616933
GILT3,8.0654918972,0.0,0.000105103273193,1.6314130065
beat-IIa,8.49824383044,0.0,0.000106995032231,1.66077689029
CG34393,0.0,8.4387479818,0.00011600356004,1.80060725894
ed,0.0,6.69085654173,0.000119835656962,1.86008906736
dikar,0.53422595817,8.83110280868,0.000138338286964,2.14728689026
CR41620,1.28881353638,0.0,0.000191695863289,2.97550318997
CR45600,5.58159525027,0.0,0.000191695863289,2.97550318997
CR31953,1.81861078909,0.0,0.000191695863289,2.97550318997
CG6912,6.76620072539,0.0,0.000191695863289,2.97550318997
Pp2B-14D,0.0,5.53650335352,0.00019433835008,3.01651986994
Psa,9.90617495647,7.54935607545,0.000238162387247,3.69675657485
Hsromega,10.3288708532,12.0109913118,0.000238840864478,3.70728789844
mt:ATPase6,8.9847302175,7.52636368012,0.000296021072947,4.59483909429
Act5C,14.4284195597,14.1160992097,0.000365740995907,5.67703173847
CG12038,7.64586011383,9.35589006773,0.000438924708267,6.81298932172
beat-Ib,0.0,6.71013643055,0.000481941769935,7.48070015293
5-HT1A,0.0,7.21003288069,0.000490627225359,7.61551579203
DppIII,0.0,8.50759753967,0.0004986200163,7.73957989301
Arc1,6.72571051612,0.0,0.000542166280837,8.41550501115
ttv,0.0,4.05011929599,0.000542166280837,8.41550501115
CG42788,3.31288674001,0.0,0.000542166280837,8.41550501115
Sytbeta,2.67465604342,0.0,0.000542166280837,8.41550501115
Tes,0.0,7.47998215018,0.000542166280837,8.41550501115
Octbeta2R,0.0,3.46709486245,0.000542166280837,8.41550501115
stai,8.77090678404,10.3731587118,0.00055308909204,8.58504888665
Appl,8.94436523954,10.489246132,0.00055308909204,8.58504888665
