symbol,medianA,medianB,pvalue,pvalue_adj
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
CG45263,6.65620893096,0.0,5.13445780758e-06,0.0796970540892
dpr6,8.91564812395,0.0,5.13445780758e-06,0.0796970540892
CG34393,0.0,8.59854533082,7.09569794446e-06,0.110139423494
CG42339,0.0,10.4006345547,9.15336830931e-06,0.142078582897
fru,0.0,10.6383500623,9.15336830931e-06,0.142078582897
DIP-eta,0.0,9.28989368432,1.11685890367e-05,0.173358839028
beat-VI,0.0,8.71839247597,1.19642080675e-05,0.185708437624
acj6,7.190358109,0.0,1.87923035691e-05,0.291694136
Ktl,0.0,9.08542540929,2.43019981857e-05,0.377215615839
Cow,4.38514062535,10.3540738512,2.78712282901e-05,0.43261720552
Ggamma30A,9.52968857074,7.52055497457,3.82914473375e-05,0.594359845572
CG30089,6.06911428853,0.0,3.92892831811e-05,0.609848253538
rdgA,0.0,4.97007390504,5.1305805304e-05,0.796368709929
caup,7.47204160488,0.0,6.2654363942e-05,0.972521037107
ara,8.40700348012,0.0,6.2654363942e-05,0.972521037107
GstD1,0.0,6.95375378543,6.2654363942e-05,0.972521037107
PVRAP,7.50221222342,0.0,6.2654363942e-05,0.972521037107
CG31814,7.96876528576,0.0,6.53070589699e-05,1.01369616933
CR46008,2.36029169891,0.0,7.39782380629e-05,1.14829021121
Ca-alpha1T,8.8747317127,0.0,9.38526806308e-05,1.45678130875
otk,6.24253798502,0.0,9.43200352927e-05,1.46403558781
bru-3,7.81718412022,2.45973068348,9.49709897323e-05,1.47413970262
klg,0.0,5.8492521208,0.00011600356004,1.80060725894
CG9932,0.0,5.57062676878,0.00011600356004,1.80060725894
MsR1,0.0,6.91732328626,0.00011600356004,1.80060725894
hth,10.0828168406,11.4048106514,0.000123103116411,1.91080657294
CR44978,6.71929858946,1.29358398713,0.000138338286964,2.14728689026
vvl,0.0,3.92104239874,0.000191695863289,2.97550318997
rdo,7.37831140697,0.0,0.000191695863289,2.97550318997
run,7.19581892696,0.0,0.000191695863289,2.97550318997
dpr15,0.0,7.35200136575,0.00019433835008,3.01651986994
nAChRalpha7,10.2186329748,11.1502132286,0.000238840864478,3.70728789844
IP3K2,0.0,8.67643461087,0.000308239766457,4.78449765495
Pxn,9.57467700011,2.68807623621,0.000332648759751,5.16337404885
Syx18,7.52289240804,0.0,0.000401100451324,6.22588120545
CG14853,9.06770290044,3.068878973,0.000438924708267,6.81298932172
Tbh,8.15410383908,3.43108891133,0.000438924708267,6.81298932172
tnc,8.21746774526,10.3782463215,0.00045046779818,6.99216116335
Ccn,0.0,5.34567164564,0.000481941769935,7.48070015293
apt,0.0,7.76066273728,0.000505276606553,7.84290348691
CG2082,6.45673887009,0.0,0.000542166280837,8.41550501115
CG34113,5.32177400309,0.0,0.000542166280837,8.41550501115
pros,12.4606935331,11.4919402956,0.00055308909204,8.58504888665
mGluR,7.57762991805,0.0,0.00058095302954,9.01755292451
Past1,8.64951753706,0.0,0.000608105492195,9.43901344985
Atg6,6.6093716508,0.0,0.000792514928053,12.3014167132
kirre,4.04990356739,2.23341503287,0.000818314149943,12.7018722354
CG14207,6.45391509924,8.29130919381,0.000824088988833,12.7915092847
CG42541,8.50599811427,5.427498042,0.00100475242783,15.5957671848
Cngl,0.47911303765,5.02445408942,0.00112748770879,17.5008642158
DIP-theta,0.0,6.52621364891,0.00126291265293,19.6029301988
CG30463,0.0,6.70505424252,0.00135089837356,20.9686445544
Octbeta1R,8.7672676563,0.0,0.00137316776791,21.3143100934
Irk1,0.0,4.47862724261,0.00142779274305,22.1621989576
Syx8,2.32457637567,0.0,0.00142779274305,22.1621989576
dpr3,3.80860907891,0.0,0.00142779274305,22.1621989576
Pde1c,0.0,1.09605829985,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
CR44997,0.0,1.06776070731,0.00142779274305,22.1621989576
Mes4,2.64892371437,0.0,0.00142779274305,22.1621989576
CG30291,3.99863911295,0.0,0.00142779274305,22.1621989576
dpr1,3.39199290722,0.0,0.00142779274305,22.1621989576
Fim,7.49932000118,5.42421903949,0.00146044673523,22.6690542243
CG10019,0.0,3.61362922292,0.00153061881771,23.7582652885
Dh44-R1,0.0,6.3950337297,0.00171566764987,26.6305932612
CG13300,8.33476068104,4.89790504908,0.00173908106987,26.9940163665
Rbp6,10.6424392542,9.59697322953,0.00177491931746,27.5502976456
eIF-3p66,9.15009795584,0.0,0.00179822645201,27.9120709882
CG31221,8.60127989747,4.08865468305,0.00181311024187,28.1430971743
CG3209,8.04278735855,0.0,0.001828432202,28.3809246395
Gmap,4.17356351599,0.0,0.0018610634418,28.8874267436
2mit,0.0,3.88434806822,0.00194175002269,30.1398438521
Nop17l,0.0,8.08212728275,0.00196453706682,30.4935443511
caps,7.53975950066,0.0,0.00196453706682,30.4935443511
l(2)tid,8.60909013672,0.0,0.00201135394335,31.2202359087
bur,7.29934549826,0.0,0.00201135394335,31.2202359087
CG11030,9.1960797606,10.1675826037,0.00213238245702,33.0988404978
ATPsyngamma,10.7662632032,10.258551241,0.00213238245702,33.0988404978
wit,0.0,7.12109489394,0.00237647722609,36.8876795033
olf413,7.38542361309,0.0,0.00237816800051,36.9139237038
CG33543,0.0,2.23485136507,0.00239300692391,37.1442534729
CG14431,9.00358397396,5.61321796636,0.00250604271143,38.8987949668
CG11191,0.0,8.12161991669,0.0026641228572,41.3525149895
CG42674,0.0,7.32608880691,0.0026641228572,41.3525149895
Wdr82,0.0,6.92756492122,0.00292094333165,45.3388823938
CG15772,0.0,6.57995896937,0.0029371589306,45.5905809207
CG30403,0.0,6.21004268764,0.0029371589306,45.5905809207
cic,7.56745192679,3.15354994319,0.0030273744898,46.9909068306
grp,9.57294035349,8.26089053466,0.00304394018393,47.248039535
B52,9.31400489831,8.63440088941,0.00304947296561,47.3339193722
CG8289,0.810328266,8.32306523324,0.00328417982783,50.9770392876
cv-2,0.0,8.15136823237,0.00331651673921,51.4789728259
rst,4.83927722123,0.0,0.00344965301637,53.54551412
CG6276,0.59864195362,0.0,0.00352705120034,54.7468887317
Mrtf,0.0,0.595744462645,0.00352705120034,54.7468887317
CG32354,0.0,0.595744462645,0.00352705120034,54.7468887317
CR31054,0.553605529555,0.0,0.00352705120034,54.7468887317
CG11000,0.777029989355,0.0,0.00352705120034,54.7468887317
CG32706,0.0,1.6590469559,0.00352705120034,54.7468887317
TrissinR,0.0,3.89130441632,0.00352705120034,54.7468887317
CR45156,0.94109838056,0.0,0.00352705120034,54.7468887317
D19B,0.0,1.4119857388,0.00352705120034,54.7468887317
CG14220,0.513426486735,0.0,0.00352705120034,54.7468887317
CG15431,0.0,3.62409946279,0.00359044554028,55.7308956763
CG4230,9.92156500827,8.75483703536,0.0036299774941,56.3445106633
Bsg,8.39987325639,7.52854170025,0.0036299774941,56.3445106633
CG33230,0.0,3.6238927296,0.00364894251992,56.6388857942
CG34354,5.19992767449,0.0,0.00364894251992,56.6388857942
DIP-delta,2.73792039012,0.0,0.00373444360938,57.9660337047
CG11138,7.08332242285,4.95186542424,0.00394912500293,61.2983182955
CG33156,7.26946697283,0.0,0.00398864969176,61.9118205154
Ank,5.40097255312,0.0,0.0041336439511,64.162421409
NK7.1,2.19905967981,7.07207121747,0.00416441879531,64.6401085409
CG42342,6.56234121946,9.01055169477,0.00430777905941,66.8653465602
lolal,7.30043302635,8.12472272062,0.00430777905941,66.8653465602
pyd,9.48408545645,8.00681282035,0.00430777905941,66.8653465602
Toll-6,11.3253241316,9.82384844956,0.00430777905941,66.8653465602
drl,6.32147621073,10.6600516655,0.00430777905941,66.8653465602
Ubc2,2.66405418232,7.59266113255,0.00442139823196,68.6289433564
CG15765,6.27252023788,9.98940744932,0.00442139823196,68.6289433564
CG32204,0.0,2.50300222133,0.00447257634231,69.4233299853
CG9253,7.45669491047,0.0,0.00450661135093,69.9516213891
CG16812,0.0,7.68412915512,0.00450661135093,69.9516213891
mspo,0.0,3.24883257496,0.00457076610572,70.9474314929
beat-IIIb,8.20906784392,1.80714321923,0.00464668781242,72.1258882244
CR42549,0.0,3.95486391325,0.00478027785591,74.1994728795
CG7787,5.86051108926,0.0,0.00478027785591,74.1994728795
mRpL9,0.0,6.28980237886,0.00478027785591,74.1994728795
CG32243,7.76302347074,0.61204493747,0.00481299234794,74.7072672248
RpL12,7.82211239467,6.57741257978,0.00509655249555,79.108687836
GABA-B-R2,6.26378473236,8.95600592562,0.00509655249555,79.108687836
CG9636,9.6381058114,10.4082188232,0.00509655249555,79.108687836
ATPsynC,12.4334017264,12.0648827804,0.00509655249555,79.108687836
CG11768,1.48583856278,0.0,0.0053005570512,82.2752465487
CG4050,8.44755619829,0.0,0.00540745351568,83.9344934703
Non3,6.65516262138,0.0,0.00540745351568,83.9344934703
CG31997,0.0,6.51570301849,0.00543592854447,84.3764828673
PEK,6.5229748979,0.0,0.00544425276621,84.5056914371
Rab30,6.07289623489,0.0,0.00544425276621,84.5056914371
CG7427,0.0,6.62143167944,0.00544425276621,84.5056914371
Inos,4.62902479079,0.0,0.00545841288083,84.7254847362
Naa60,3.33253506669,0.0,0.00545841288083,84.7254847362
CG6961,5.83357363814,1.9537999923,0.00569007744509,88.3213821027
Ih,6.98550939389,0.0,0.00571579258186,88.7205324556
VhaSFD,9.17834323337,8.46524801915,0.00597427122471,92.7326379499
Appl,9.03969325878,10.4983951058,0.00601141270381,93.3091479885
mAChR-B,0.0,7.84464939313,0.0064436900087,100.018956315
CG10366,8.44597531849,0.0,0.0064649498014,100.348950817
CG8321,4.76872721449,0.0,0.0064649498014,100.348950817
ArfGAP1,0.0,8.11486475355,0.0064649498014,100.348950817
beat-Ib,0.0,6.35777837297,0.0064649498014,100.348950817
Cdk12,6.94510395063,1.44830849265,0.00649274409288,100.78037381
CG7841,4.16701761481,0.0,0.00663282670479,102.954736112
Scgalpha,7.53101624261,8.88500937656,0.00686066545951,106.491249262
tyf,5.40128715397,1.48192397126,0.00686066545951,106.491249262
CG14024,0.0,8.61912972707,0.00700700427144,108.762720301
CG42747,9.25539816768,7.70387409521,0.00705850305669,109.562084446
zip,4.95571907979,8.92384572004,0.00705850305669,109.562084446
Prosap,4.63237711746,6.43439216054,0.00706898472796,109.724780947
Pde11,7.01645977436,0.0,0.00761334768996,118.174382844
rdgC,0.0,7.40196264742,0.00761334768996,118.174382844
CG5445,1.00728886131,7.56112189731,0.00763910951658,118.574257916
Liprin-beta,0.0,6.54884911922,0.00770023265441,119.523011262
CG5045,6.76416040271,0.0,0.00770143730756,119.541709888
CG14868,7.54440867521,0.0,0.00781736611063,121.341156769
CG8641,2.61121313592,0.0,0.00802528727053,124.568509013
DCTN3-p24,6.40920775274,0.0,0.00805893116142,125.090729488
Ac13E,0.0,0.0,0.00823657790279,127.848162207
CG9515,0.0,0.0,0.00823657790279,127.848162207
CR18275,0.0,0.0,0.00823657790279,127.848162207
CG34347,0.0,0.0,0.00823657790279,127.848162207
CG12177,0.0,0.0,0.00823657790279,127.848162207
Ndc1,0.0,0.0,0.00823657790279,127.848162207
CG11208,0.0,0.0,0.00823657790279,127.848162207
