symbol,medianA,medianB,pvalue,pvalue_adj
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
C15,10.3645388217,0.0,7.09569794446e-06,0.110139423494
CG42339,0.0,9.97645295304,9.15336830931e-06,0.142078582897
Ca-alpha1T,8.8747317127,0.0,9.15336830931e-06,0.142078582897
DIP-eta,0.0,9.4074364079,1.11685890367e-05,0.173358839028
dpr6,8.91564812395,0.0,1.55845526505e-05,0.24190342624
CG45263,6.65620893096,0.0,1.60001094808e-05,0.248353699361
Ktl,0.0,9.96716136949,2.43019981857e-05,0.377215615839
beat-VI,0.0,8.71374885526,2.61723833413e-05,0.406247734223
Cow,4.38514062535,10.4626886294,2.78712282901e-05,0.43261720552
acj6,7.190358109,0.0,3.03089062316e-05,0.470454842527
CG34393,0.0,8.62984644249,3.03089062316e-05,0.470454842527
Octbeta1R,8.7672676563,0.0,3.92892831811e-05,0.609848253538
fru,0.0,10.8628685822,4.50342179868e-05,0.699021131592
PVRAP,7.50221222342,0.0,6.2654363942e-05,0.972521037107
dpr15,0.0,8.17604434074,7.39782380629e-05,1.14829021121
ATPsyngamma,10.7662632032,9.59962631878,9.80807368533e-05,1.52240919744
klg,0.0,7.72706083781,0.00011600356004,1.80060725894
hth,10.0828168406,11.3534942063,0.000123103116411,1.91080657294
ST6Gal,8.40718453304,0.0,0.000151723321511,2.3550493965
Ggamma30A,9.52968857074,8.60966222886,0.000154022352814,2.39073496038
tnc,8.21746774526,10.3542743237,0.000154022352814,2.39073496038
CG42342,6.56234121946,10.0385579723,0.000154022352814,2.39073496038
NK7.1,2.19905967981,6.71695944555,0.000189856989075,2.94696018442
GstD1,0.0,6.9745861189,0.000191695863289,2.97550318997
CR46008,2.36029169891,0.0,0.000240683285505,3.73588595761
rdgA,0.0,4.70568121058,0.000254836523736,3.95557252143
CG31814,7.96876528576,0.0,0.000254836523736,3.95557252143
CG42541,8.50599811427,5.0462243002,0.000287940759511,4.46941646913
ara,8.40700348012,0.0,0.000386116522864,5.99330066789
kirre,4.04990356739,0.0,0.000400152907868,6.21117343593
DIP-theta,0.0,4.81558097059,0.000401100451324,6.22588120545
run,7.19581892696,0.0,0.000401100451324,6.22588120545
otk,6.24253798502,0.0,0.000403173249831,6.25805518388
Fas2,8.79622045673,10.6627615117,0.00045046779818,6.99216116335
Clamp,0.0,7.79994389545,0.000490627225359,7.61551579203
Cngl,0.47911303765,6.84338360728,0.00050606021451,7.85506664963
Mgat2,2.39760582299,9.51643497332,0.000525874701383,8.16262711487
CR44997,0.0,2.74101528378,0.000542166280837,8.41550501115
vvl,0.0,2.6879094348,0.000542166280837,8.41550501115
CG32706,0.0,3.35578147193,0.000542166280837,8.41550501115
CG30089,6.06911428853,0.0,0.00058095302954,9.01755292451
CG30463,0.0,7.39525697113,0.000608105492195,9.43901344985
CG7518,2.50625296031,8.43462827359,0.000644725598377,10.007430738
grp,9.57294035349,4.42778750601,0.000644725598377,10.007430738
CG15651,6.00740352246,9.65601607807,0.000660719458141,10.2556874293
nAChRalpha7,10.2186329748,11.451648117,0.000676970721546,10.5079395398
chinmo,7.94233437109,6.05452392717,0.000826019728117,12.8214782198
CG14024,0.0,8.51350621496,0.000924738753125,14.353794926
heph,7.5713431239,0.533735764995,0.000927243614384,14.3926753825
Rcd-1,7.49388339669,9.29568535361,0.00108243223757,16.8015131916
rdgC,0.0,8.14804399657,0.00112871004054,17.5198372493
olf413,7.38542361309,0.0,0.00112880308385,17.5212814675
CG4050,8.44755619829,0.0,0.00113640233548,17.6392370513
Rbp6,10.6424392542,9.70648787593,0.00121836740449,18.9114988526
CG33543,0.0,4.47284305002,0.00122388950565,18.9972129066
CG9932,0.0,3.99514425815,0.00126291265293,19.6029301988
CG32204,0.0,4.83212193895,0.00126291265293,19.6029301988
apt,0.0,8.17118945754,0.00126291265293,19.6029301988
Snp,6.69104504043,1.98655109128,0.00141157064903,21.9103996143
