symbol,medianA,medianB,pvalue,pvalue_adj
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
DIP-theta,0.0,8.67453291017,7.09569794446e-06,0.110139423494
DIP-eta,0.0,9.08938995758,1.11685890367e-05,0.173358839028
acj6,7.190358109,0.0,1.87923035691e-05,0.291694136
Ktl,0.0,9.28351458261,1.88171500287e-05,0.292079802745
Cow,4.38514062535,10.0489586429,2.17429698644e-05,0.337494378236
klg,0.0,6.50046502307,3.03089062316e-05,0.470454842527
dpr6,8.91564812395,0.0,4.33551179312e-05,0.672958140528
dpr15,0.0,7.86507491765,4.50342179868e-05,0.699021131592
CG42339,0.0,9.92510909776,4.50342179868e-05,0.699021131592
Ca-alpha1T,8.8747317127,0.0,7.41699466527e-05,1.15126591194
tnc,8.21746774526,10.4618378771,7.78979465439e-05,1.20913192626
CR44978,6.71929858946,0.0,9.38526806308e-05,1.45678130875
PVRAP,7.50221222342,0.0,0.000188639994557,2.92806999551
run,7.19581892696,0.0,0.000191695863289,2.97550318997
CG9253,7.45669491047,0.0,0.000191695863289,2.97550318997
fru,0.0,10.5360156417,0.00019433835008,3.01651986994
Dh44-R1,0.0,7.90075718706,0.00019433835008,3.01651986994
cv-2,0.0,9.02282648438,0.000203467506621,3.15822263778
hth,10.0828168406,11.1213463783,0.000296021072947,4.59483909429
CG10019,0.0,6.55093661217,0.000301562738535,4.68085682754
IP3K2,0.0,9.86488589972,0.000308239766457,4.78449765495
heph,7.5713431239,0.0,0.000324921862813,5.04343715458
CG30089,6.06911428853,0.0,0.00034514205479,5.35729497446
eys,0.0,7.7116465156,0.000400152907868,6.21117343593
apt,0.0,8.20848323304,0.000401100451324,6.22588120545
CG32204,0.0,7.59782990019,0.000401100451324,6.22588120545
tzn,7.68502538013,0.0,0.000468514203725,7.27227747022
CG31814,7.96876528576,0.0,0.000490627225359,7.61551579203
rdo,7.37831140697,0.0,0.000505276606553,7.84290348691
vvl,0.0,3.98637150197,0.000542166280837,8.41550501115
TrissinR,0.0,8.55572893961,0.000542166280837,8.41550501115
GstD1,0.0,6.98920520726,0.000542166280837,8.41550501115
Rbp6,10.6424392542,9.30745256063,0.00055308909204,8.58504888665
Msp300,10.1753301782,8.79797136665,0.00055308909204,8.58504888665
EndoB,8.38402153036,0.0,0.000614632174771,9.5403206168
CG9932,0.0,4.28372408136,0.000634034528259,9.84148394764
rst,4.83927722123,0.0,0.000634034528259,9.84148394764
CG42541,8.50599811427,2.65041951631,0.000644725598377,10.007430738
grp,9.57294035349,7.25315973261,0.000660719458141,10.2556874293
CG31145,7.97736184887,0.0,0.000717893223829,11.1431386203
beat-VI,0.0,9.23723515593,0.000741696486829,11.5126128686
pyd,9.48408545645,7.20872785318,0.000824088988833,12.7915092847
CycG,10.0792740138,11.1852747626,0.000826019728117,12.8214782198
Pxn,9.57467700011,6.63489943324,0.000982205636211,15.2457958853
CG43729,9.85193410769,5.79648524596,0.000982205636211,15.2457958853
MCTS1,6.55809815669,7.74045239842,0.000995695028697,15.4551782354
Ggamma30A,9.52968857074,8.40191306964,0.00100475242783,15.5957671848
kirre,4.04990356739,1.36520354564,0.00108243223757,16.8015131916
ara,8.40700348012,0.0,0.00108495092142,16.8406082023
ema,7.98644425087,0.0,0.00113640233548,17.6392370513
Toll-6,11.3253241316,9.09157656668,0.00121836740449,18.9114988526
CG33543,0.0,4.48048496929,0.00122388950565,18.9972129066
CG34393,0.0,7.14810165233,0.00126291265293,19.6029301988
side,3.21958439396,0.0,0.00126291265293,19.6029301988
CG31221,8.60127989747,0.520091046535,0.00130526710377,20.2603559847
Cngl,0.47911303765,5.50574878321,0.00136666167891,21.2133225801
Past1,8.64951753706,0.0,0.00136672541789,21.2143119366
CR44997,0.0,1.59660110085,0.00142779274305,22.1621989576
Syx8,2.32457637567,0.0,0.00142779274305,22.1621989576
CG11221,2.76251126295,0.0,0.00142779274305,22.1621989576
dpr1,3.39199290722,0.0,0.00142779274305,22.1621989576
E2f1,2.04265935231,8.84660081477,0.00144200028716,22.3827284574
ctp,10.1470387163,10.6558036924,0.00147282307527,22.8611597743
Fas2,8.79622045673,10.4561632501,0.00147282307527,22.8611597743
CG5946,3.45565782376,8.2505965081,0.0015028760232,23.3276416321
Gk1,0.0,7.92873721406,0.00153061881771,23.7582652885
l(2)k09913,9.37754986538,8.038138168,0.00176053230348,27.3269824146
Appl,9.03969325878,10.3866830428,0.00177491931746,27.5502976456
ATPsyngamma,10.7662632032,9.95525497346,0.00177491931746,27.5502976456
Cchl,6.59485985584,0.0,0.00196453706682,30.4935443511
Octbeta1R,8.7672676563,0.0,0.00201135394335,31.2202359087
Acn,8.07795967804,9.76393425929,0.00212820989586,33.0340740036
CG14853,9.06770290044,7.96147710935,0.00213238245702,33.0988404978
ATPsynC,12.4334017264,12.1580967987,0.00213238245702,33.0988404978
CG45263,6.65620893096,0.0,0.00221073834775,34.3150806338
CG31997,0.0,7.7756827947,0.00221073834775,34.3150806338
Dim1,5.87350835493,0.0,0.00228171554653,35.4167887132
cal1,0.0,3.13779166461,0.00239300692391,37.1442534729
CR45018,0.0,3.82592271947,0.00252281894047,39.159195594
Rab3,10.2477426699,8.31388033922,0.00253472786605,39.3440459369
CG13300,8.33476068104,5.1880919277,0.00254913889704,39.5677339598
DCTN3-p24,6.40920775274,0.0,0.00255244743278,39.6190890516
CG34380,11.1633459442,9.81549368839,0.0025539527125,39.6424540034
CG11030,9.1960797606,10.1771562087,0.0025539527125,39.6424540034
olf413,7.38542361309,0.0,0.0026641228572,41.3525149895
CG33947,5.7846341218,0.0,0.0026641228572,41.3525149895
NK7.1,2.19905967981,6.86014836959,0.00274041277185,42.5366870446
rdgA,0.0,4.03764414975,0.0027480089233,42.6545945074
CG15715,5.87781867956,2.94390156556,0.00274804120397,42.6550955681
CG33199,4.1653440868,0.57404990794,0.00274804120397,42.6550955681
CG2931,7.04456172136,0.0,0.00286910496103,44.534247205
Lkb1,3.09134745134,0.0,0.0029371589306,45.5905809207
CG5532,6.17570436285,2.86753482007,0.00293985221537,45.632386087
porin,9.98339525253,8.8759471283,0.00304947296561,47.3339193722
CG11317,0.0,7.92959300752,0.00307529397712,47.7347131128
Git,0.0,8.28198990034,0.00344965301637,53.54551412
Nipped-B,7.36614699604,0.0,0.00344965301637,53.54551412
Pis,0.0,8.4085456128,0.00348497681177,54.0938100723
Cdc16,0.493862374575,0.0,0.00352705120034,54.7468887317
CG17328,0.93829985598,0.0,0.00352705120034,54.7468887317
Cad87A,1.05262583003,0.0,0.00352705120034,54.7468887317
CG4676,0.0,3.27292682212,0.00352705120034,54.7468887317
Cep135,0.513426486735,0.0,0.00352705120034,54.7468887317
D19B,0.0,1.4119857388,0.00352705120034,54.7468887317
CG7280,0.513426486735,0.0,0.00352705120034,54.7468887317
Cbp53E,0.0,0.568011650125,0.00352705120034,54.7468887317
CG6422,8.15550635025,9.54676384866,0.0036299774941,56.3445106633
shakB,9.60319654935,8.34523964729,0.0036299774941,56.3445106633
CG7407,5.37554473634,0.0,0.00364894251992,56.6388857942
CG8004,5.62658078575,0.0,0.00364894251992,56.6388857942
CG12107,2.98049638182,0.0,0.00364894251992,56.6388857942
CG9896,0.0,4.71578045995,0.00364894251992,56.6388857942
CG3662,7.27806877347,8.59841569025,0.00394912500293,61.2983182955
ST6Gal,8.40718453304,0.0,0.0040621522325,63.0527269528
caup,7.47204160488,0.0,0.0041336439511,64.162421409
CG44837,0.513426486735,8.7497539497,0.00415787213509,64.5384912809
l(2)tid,8.60909013672,0.0,0.00418611821577,64.9769269452
CG42342,6.56234121946,8.90570735106,0.00430777905941,66.8653465602
Atpalpha,11.9385246529,12.8332575649,0.00430777905941,66.8653465602
CG42673,4.57183358279,0.0,0.00436846465125,67.8073083167
Prosalpha6,8.65085151694,3.71398496168,0.00442139823196,68.6289433564
CG4050,8.44755619829,0.0,0.00450661135093,69.9516213891
iPLA2-VIA,8.06824196373,0.0,0.00450661135093,69.9516213891
DIP-delta,2.73792039012,0.0,0.00451760512169,70.1222666989
CG2082,6.45673887009,0.0,0.00451760512169,70.1222666989
AMPKalpha,1.68941242094,8.48721388805,0.00464668781242,72.1258882244
tsh,0.0,7.18406321564,0.00478027785591,74.1994728795
CG33116,8.82681453975,1.64244238302,0.00481299234794,74.7072672248
Prosalpha7,6.59493028815,7.90010071453,0.00506374462822,78.5994441192
Tudor-SN,7.25502351289,9.31059635152,0.00506374462822,78.5994441192
lolal,7.30043302635,8.05810647381,0.00509655249555,79.108687836
nAChRalpha2,4.54977824435,9.32143798336,0.00523521521884,81.2610106268
CG6565,6.6820905157,0.0,0.0053005570512,82.2752465487
Dhx15,6.4997545119,0.0,0.00543592854447,84.3764828673
Syn,8.36807793291,7.5507200204,0.00545010546949,84.5965370974
CG32442,0.0,4.19711466886,0.00545841288083,84.7254847362
Inos,4.62902479079,0.0,0.00545841288083,84.7254847362
CG6000,1.63208052495,0.0,0.00545841288083,84.7254847362
CG43658,0.0,1.15230262769,0.00545841288083,84.7254847362
CG42671,0.0,2.88593743396,0.00570910433234,88.6167174465
Pde11,7.01645977436,0.0,0.00586160832233,90.9838843792
frj,0.0,7.9148075461,0.00587556329273,91.2004934297
CG17721,5.79703330601,0.0,0.00592082091217,91.9029821987
RpL11,8.07253982533,6.28905219184,0.00600211729593,93.1648646674
Cnx99A,9.13167209593,10.5678016179,0.00601141270381,93.3091479885
CG34353,0.0,7.0212737992,0.0064436900087,100.018956315
CG12279,4.56018524579,0.0,0.0064436900087,100.018956315
Gmap,4.17356351599,0.0,0.0064649498014,100.348950817
HP1b,7.19410533727,1.81181507812,0.00649274409288,100.78037381
CG17168,4.90540704694,0.0,0.00653613018271,101.453812696
dpr3,3.80860907891,0.0,0.00663282670479,102.954736112
Uch-L5,0.0,7.5212688031,0.0067947678321,105.46838629
Cul3,0.0,8.48013835048,0.0067947678321,105.46838629
CG33156,7.26946697283,0.0,0.0067947678321,105.46838629
nAChRalpha4,6.67931635017,0.0,0.00692625716683,107.509363743
CG14024,0.0,6.82322998373,0.00692625716683,107.509363743
bru-3,7.81718412022,4.13139101552,0.0069644785992,108.102636817
wit,0.0,8.30152375654,0.00700700427144,108.762720301
Art4,7.90820936414,5.62413535024,0.00702709940089,109.074636901
CG11486,4.53946081281,7.71459765113,0.00705850305669,109.562084446
spi,8.54660934729,7.23608742572,0.00705850305669,109.562084446
Bap55,8.01311310929,9.05338390247,0.00705850305669,109.562084446
CG32264,9.7121819536,8.42379789329,0.00706898472796,109.724780947
Rop,10.027794185,9.05855419395,0.00706898472796,109.724780947
CG7781,8.84343415111,7.7492937472,0.00706898472796,109.724780947
twz,10.5900754202,9.01262222783,0.00706898472796,109.724780947
tai,1.23239270764,6.82257749207,0.00732347214775,113.674934677
CG5903,8.00735933334,0.0,0.00763910951658,118.574257916
GlnRS,0.0,7.67137677188,0.00770023265441,119.523011262
Herp,8.09054549203,0.0,0.00770023265441,119.523011262
Atet,5.60763027315,0.0,0.00770143730756,119.541709888
Pmp70,7.32933131963,0.0,0.00770143730756,119.541709888
CG14868,7.54440867521,0.0,0.00781736611063,121.341156769
Dscam3,6.49882074033,3.4519995104,0.00787960493564,122.307227811
Tango11,8.86809138539,0.0,0.00794171135451,123.271243645
Nop60B,2.48332349495,0.0,0.00802528727053,124.568509013
l(2)k01209,1.5369418096,0.0,0.00802528727053,124.568509013
pita,0.0,6.48263884233,0.00805893116142,125.090729488
Tl,8.02841167423,4.68445028474,0.0081700454027,126.815444741
sr,0.0,0.0,0.00823657790279,127.848162207
CG11279,0.0,0.0,0.00823657790279,127.848162207
CCKLR-17D1,0.0,0.0,0.00823657790279,127.848162207
Vti1a,0.0,0.0,0.00823657790279,127.848162207
osp,0.0,0.0,0.00823657790279,127.848162207
CG12288,0.0,0.0,0.00823657790279,127.848162207
CG14757,0.0,0.0,0.00823657790279,127.848162207
Ret,0.0,0.0,0.00823657790279,127.848162207
CG12594,0.0,0.0,0.00823657790279,127.848162207
Ac13E,0.0,0.0,0.00823657790279,127.848162207
Ns4,0.0,0.0,0.00823657790279,127.848162207
CG32706,0.0,0.0,0.00823657790279,127.848162207
CG1750,0.0,0.0,0.00823657790279,127.848162207
MrgBP,0.0,0.0,0.00823657790279,127.848162207
CG4199,0.0,0.0,0.00823657790279,127.848162207
CG6404,0.0,0.0,0.00823657790279,127.848162207
Kmn2,0.0,0.0,0.00823657790279,127.848162207
Cyp6a17,0.0,0.0,0.00823657790279,127.848162207
CG4743,0.0,0.0,0.00823657790279,127.848162207
