symbol,medianA,medianB,pvalue,pvalue_adj
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
dpr6,8.91564812395,0.0,5.13445780758e-06,0.0796970540892
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
CG42339,0.0,10.4504589576,9.15336830931e-06,0.142078582897
DIP-eta,0.0,9.01818359199,1.11685890367e-05,0.173358839028
Ggamma30A,9.52968857074,7.50082578556,1.82210136462e-05,0.282826573817
CG30089,6.06911428853,0.0,1.87923035691e-05,0.291694136
Ktl,0.0,9.50365757988,2.43019981857e-05,0.377215615839
Cow,4.38514062535,9.96099593992,2.78712282901e-05,0.43261720552
hth,10.0828168406,11.2031641215,3.0028801484e-05,0.466107056635
klg,0.0,6.45325906147,3.03089062316e-05,0.470454842527
acj6,7.190358109,0.0,3.92892831811e-05,0.609848253538
dpr15,0.0,8.29671397484,4.50342179868e-05,0.699021131592
CG30463,0.0,8.07583363688,5.07473053166e-05,0.787699673125
CG31814,7.96876528576,0.0,6.53070589699e-05,1.01369616933
tnc,8.21746774526,10.5445093528,9.80807368533e-05,1.52240919744
PVRAP,7.50221222342,0.0,0.00011600356004,1.80060725894
DIP-theta,0.0,8.29865500543,0.00011600356004,1.80060725894
bru-3,7.81718412022,1.93328816653,0.000186526072248,2.89525769344
caup,7.47204160488,0.0,0.000188639994557,2.92806999551
rdo,7.37831140697,0.0,0.000191695863289,2.97550318997
run,7.19581892696,0.0,0.000191695863289,2.97550318997
Rbp6,10.6424392542,9.17152714808,0.000192101013517,2.98179193182
fru,0.0,10.3128417168,0.00019433835008,3.01651986994
Cngl,0.47911303765,7.21597689361,0.000215892781976,3.35108776183
beat-VI,0.0,8.4852661935,0.000245190061008,3.80584012697
Fim,7.49932000118,3.25724074786,0.000280015124478,4.34639476215
IP3K2,0.0,10.2621441905,0.000308239766457,4.78449765495
Dh44-R1,0.0,7.73981203154,0.000308239766457,4.78449765495
rdgA,0.0,5.33205844174,0.000318096176154,4.93748884626
CG31221,8.60127989747,0.0,0.000323022914551,5.01396167967
ATPsyngamma,10.7662632032,9.99002033012,0.000365740995907,5.67703173847
cv-2,0.0,8.7948085274,0.000376532512733,5.84453766264
apt,0.0,8.96260807987,0.000401100451324,6.22588120545
CG34393,0.0,7.88753048691,0.000401100451324,6.22588120545
CG6700,0.0,7.84692070528,0.000403173249831,6.25805518388
Ca-alpha1T,8.8747317127,0.0,0.000444828728981,6.90463153124
NK7.1,2.19905967981,6.83538160593,0.00048675225097,7.55536843955
MsR1,0.0,5.83362467004,0.000505276606553,7.84290348691
GstD1,0.0,6.50343814588,0.000542166280837,8.41550501115
CG2082,6.45673887009,0.0,0.000542166280837,8.41550501115
DIP-delta,2.73792039012,0.0,0.000542166280837,8.41550501115
rdgC,0.0,8.18829572379,0.000673809488881,10.4588708864
CG13300,8.33476068104,4.72492523068,0.0006753339723,10.482533918
ATPsynC,12.4334017264,12.0871568619,0.000676970721546,10.5079395398
grp,9.57294035349,4.80749771544,0.000787953959844,12.2306213647
Snp,6.69104504043,1.15064524353,0.000839886843894,13.0367235909
