symbol,medianA,medianB,pvalue,pvalue_adj
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.53261355699,1.11685890367e-05,0.173358839028
fru,0.0,10.6184663983,1.19642080675e-05,0.185708437624
acj6,7.190358109,0.0,1.87923035691e-05,0.291694136
dpr6,8.91564812395,0.0,2.08338413307e-05,0.323382885135
Tbh,8.15410383908,0.0,2.4291233778e-05,0.377048530702
Cow,4.38514062535,10.3909117526,2.78712282901e-05,0.43261720552
hth,10.0828168406,11.2918270902,3.0028801484e-05,0.466107056635
apt,0.0,8.68725254388,3.03089062316e-05,0.470454842527
CG34393,0.0,8.34004282505,3.03089062316e-05,0.470454842527
CG42339,0.0,9.67228577494,4.50342179868e-05,0.699021131592
Ca-alpha1T,8.8747317127,0.543567307595,5.46570872633e-05,0.848387308501
CG42541,8.50599811427,3.09839638902,7.687377789e-05,1.19323478041
Ktl,0.0,9.62038787622,0.000101473982004,1.57507914867
CG30463,0.0,7.28635421298,0.000102961253475,1.59816457644
bur,7.29934549826,0.0,0.000106995032231,1.66077689029
PVRAP,7.50221222342,0.0,0.00011600356004,1.80060725894
klg,0.0,5.59222983105,0.00011600356004,1.80060725894
DIP-theta,0.0,7.52542822198,0.00011600356004,1.80060725894
Ggamma30A,9.52968857074,6.71973832277,0.000122720086651,1.904861185
CG45263,6.65620893096,0.0,0.000151723321511,2.3550493965
vvl,0.0,4.21826487334,0.000191695863289,2.97550318997
run,7.19581892696,0.0,0.000191695863289,2.97550318997
ctp,10.1470387163,10.887332393,0.000192101013517,2.98179193182
dpr15,0.0,7.82530643322,0.00019433835008,3.01651986994
Rcd-1,7.49388339669,9.52869232165,0.000236135092723,3.66528890925
Cngl,0.47911303765,6.42065071675,0.000268413593425,4.16631579714
CG14431,9.00358397396,4.01733861074,0.000287940759511,4.46941646913
tnc,8.21746774526,10.1575491711,0.000296021072947,4.59483909429
olf413,7.38542361309,0.0,0.000308239766457,4.78449765495
beat-VI,0.0,8.40754932056,0.000308239766457,4.78449765495
NK7.1,2.19905967981,6.69470999552,0.000361849544811,5.61662863455
ara,8.40700348012,0.0,0.000386116522864,5.99330066789
CG9932,0.0,4.2898379768,0.000401100451324,6.22588120545
Pde11,7.01645977436,0.0,0.000468514203725,7.27227747022
Octbeta1R,8.7672676563,0.0,0.000490627225359,7.61551579203
DIP-delta,2.73792039012,0.0,0.000542166280837,8.41550501115
CG43729,9.85193410769,6.86808396988,0.000547573038485,8.49942870336
CG30089,6.06911428853,0.0,0.00058095302954,9.01755292451
shakB,9.60319654935,8.08109930862,0.000676970721546,10.5079395398
Non3,6.65516262138,0.0,0.000741696486829,11.5126128686
CG31814,7.96876528576,0.0,0.000746609897836,11.5888788342
kirre,4.04990356739,1.23922538441,0.000787953959844,12.2306213647
cv-2,0.0,8.29572778883,0.000884060424462,13.7223859085
CG4050,8.44755619829,0.0,0.000986770339198,15.316649205
caps,7.53975950066,0.0,0.00108495092142,16.8406082023
CR46008,2.36029169891,0.0,0.00112871004054,17.5198372493
mirr,9.92222914713,7.17301306928,0.00121571023979,18.870254342
Fife,0.0,5.24433693007,0.00126291265293,19.6029301988
CG11768,1.48583856278,0.0,0.00126291265293,19.6029301988
CG42747,9.25539816768,3.3915323738,0.00136666167891,21.2133225801
rst,4.83927722123,0.0,0.00139888360254,21.7134712786
dpr1,3.39199290722,0.0,0.00142779274305,22.1621989576
Cbp53E,0.0,2.9638947209,0.00142779274305,22.1621989576
Mes4,2.64892371437,0.0,0.00142779274305,22.1621989576
Hcf,3.54230180736,8.43575449651,0.00146972308396,22.8130417092
bru-3,7.81718412022,3.29847744427,0.00146972308396,22.8130417092
Vha13,8.70316333145,7.54003826155,0.00147282307527,22.8611597743
CG34380,11.1633459442,9.5126120511,0.00147282307527,22.8611597743
tsh,0.0,6.75706861563,0.00161732083694,25.1040540309
CG31221,8.60127989747,0.0,0.00163600897563,25.3941313198
tai,1.23239270764,6.32514283422,0.00165136891435,25.6325482885
Rlip,7.14147238436,0.0,0.00171566764987,26.6305932612
ATPsyngamma,10.7662632032,9.74086864753,0.00177491931746,27.5502976456
Gmap,4.17356351599,0.0,0.0018610634418,28.8874267436
heph,7.5713431239,1.89651671414,0.00198913301754,30.8753226982
CG13300,8.33476068104,5.32273990117,0.00212820989586,33.0340740036
pyd,9.48408545645,7.93233239163,0.00213238245702,33.0988404978
nAChRalpha2,4.54977824435,9.31627914358,0.00218053624123,33.8462835364
Cchl,6.59485985584,0.0,0.00237816800051,36.9139237038
2mit,0.0,2.22859679144,0.00239300692391,37.1442534729
CG33543,0.0,2.86597879691,0.00239300692391,37.1442534729
CG6136,0.0,4.34300070928,0.00239300692391,37.1442534729
VhaSFD,9.17834323337,8.05147522888,0.00250604271143,38.8987949668
IP3K2,0.0,8.52675847807,0.00252281894047,39.159195594
Ccn,0.0,8.14304591642,0.00252281894047,39.159195594
CG7427,0.0,7.46498599584,0.00252281894047,39.159195594
Prosalpha7,6.59493028815,8.15663337673,0.00253472786605,39.3440459369
grp,9.57294035349,7.25434787239,0.00254913889704,39.5677339598
CG42342,6.56234121946,9.2465049673,0.0025539527125,39.6424540034
CG4230,9.92156500827,8.53224465596,0.0025539527125,39.6424540034
Atet,5.60763027315,0.0,0.0027480089233,42.6545945074
gukh,0.0,7.99125469923,0.00291155513335,45.1931587799
CG15765,6.27252023788,9.64506726508,0.00293985221537,45.632386087
CG14853,9.06770290044,6.53963694677,0.00304947296561,47.3339193722
trn,3.74307689174,0.0,0.00309625179863,48.0600204183
Atg6,6.6093716508,0.0,0.00309625179863,48.0600204183
snRNP-U1-70K,8.26343411616,0.0,0.00319987388694,49.6684424731
CG6961,5.83357363814,2.15843976432,0.00341170718464,52.95651892
CG10947,0.764495372015,0.0,0.00352705120034,54.7468887317
GstD1,0.0,3.24261636848,0.00352705120034,54.7468887317
CG17328,0.93829985598,0.0,0.00352705120034,54.7468887317
eIF2B-gamma,1.07898486861,0.0,0.00352705120034,54.7468887317
CG5626,0.0,1.85163763261,0.00352705120034,54.7468887317
CG42524,0.553605529555,0.0,0.00352705120034,54.7468887317
Rrp40,2.54430997518,0.0,0.00352705120034,54.7468887317
Hcs,1.4635173852,0.0,0.00352705120034,54.7468887317
LBR,0.493862374575,0.0,0.00352705120034,54.7468887317
Cep135,0.513426486735,0.0,0.00352705120034,54.7468887317
CG13995,0.513426486735,0.0,0.00352705120034,54.7468887317
nAChRalpha7,10.2186329748,11.1507236593,0.0036299774941,56.3445106633
Rbp6,10.6424392542,9.17766231975,0.0036299774941,56.3445106633
CG13248,0.0,4.34697808328,0.00364894251992,56.6388857942
Tsp42Ee,8.0182307189,0.0,0.00391260416836,60.7314419014
beat-Ib,0.0,6.72552597123,0.00398864969176,61.9118205154
CR44978,6.71929858946,2.60617121538,0.00405851819082,62.9963193579
Tip60,4.42901003319,0.0,0.0040621522325,63.0527269528
rdgA,0.0,3.13082306352,0.0041336439511,64.162421409
CG14024,0.0,8.3517379851,0.00418611821577,64.9769269452
Arl4,7.05493488437,5.66832051204,0.0042357913158,65.7479528038
CG11030,9.1960797606,10.0339046067,0.00430777905941,66.8653465602
Snp,6.69104504043,1.7325666496,0.00442139823196,68.6289433564
CG9896,0.0,4.69419353841,0.00447257634231,69.4233299853
Trim9,3.97812183752,0.0,0.00447257634231,69.4233299853
CG32521,4.09609600297,0.0,0.00447257634231,69.4233299853
CG10019,0.0,4.88131301997,0.00450661135093,69.9516213891
CG12081,8.18111598919,0.0,0.00457076610572,70.9474314929
rdo,7.37831140697,0.0,0.00478027785591,74.1994728795
CG11191,0.0,8.35225754086,0.00493654540271,76.6250577408
ras,8.72367980683,0.0,0.00494472589418,76.7520353295
CG14509,7.81029051051,0.0,0.00494472589418,76.7520353295
Mp,8.94778746246,0.0,0.00494472589418,76.7520353295
Pxn,9.57467700011,8.21405843169,0.00506374462822,78.5994441192
Toll-6,11.3253241316,9.78078128582,0.00509655249555,79.108687836
CG12643,9.44448085869,9.97868159668,0.00509655249555,79.108687836
CG3632,7.14804766205,0.0,0.00522636036729,81.1235656211
ST6Gal,8.40718453304,1.94856136498,0.00523521521884,81.2610106268
CG2082,6.45673887009,0.0,0.00544425276621,84.5056914371
side,3.21958439396,0.0,0.00544425276621,84.5056914371
CG11221,2.76251126295,0.0,0.00545841288083,84.7254847362
Rcd4,1.16521311535,6.15015233146,0.00550127178673,85.3907406736
msk,0.0,8.28723272616,0.00571579258186,88.7205324556
Nop17l,0.0,8.30743050656,0.00587556329273,91.2004934297
pzg,0.0,8.11483369443,0.00587556329273,91.2004934297
CG17556,5.79745840167,3.8967994979,0.00591876009522,91.8709941979
Hsp27,10.8585625895,11.2902859784,0.00601141270381,93.3091479885
Slip1,9.46442772475,7.5681436533,0.00617968770751,95.9211125959
Arpc5,1.39312362275,6.32806081405,0.00649274409288,100.78037381
nAChRalpha4,6.67931635017,3.46218861168,0.00649274409288,100.78037381
Tm1,4.61668240012,7.93488790601,0.00651138445306,101.06970948
RhoGAP102A,0.0,6.27287754341,0.00653613018271,101.453812696
Cdk8,0.0,3.58990183277,0.00653613018271,101.453812696
dpr3,3.80860907891,0.0,0.00663282670479,102.954736112
Dsp1,5.2006762823,2.13761787701,0.0069644785992,108.102636817
caup,7.47204160488,0.0,0.00696973433282,108.184216314
CG8321,4.76872721449,0.0,0.00696973433282,108.184216314
Rbp9,8.64593110881,7.00122622102,0.00705850305669,109.562084446
B52,9.31400489831,8.67922437327,0.00706898472796,109.724780947
cic,7.56745192679,4.08149390138,0.00706898472796,109.724780947
rdgC,0.0,7.18174657646,0.00761334768996,118.174382844
san,6.9627708163,3.31206957939,0.00763910951658,118.574257916
dmpd,3.38175070861,0.0,0.00781736611063,121.341156769
CG8641,2.61121313592,0.0,0.00802528727053,124.568509013
CG6523,6.11181951585,7.6522871616,0.00805333439793,125.003856525
pch2,0.0,7.38216293406,0.00805893116142,125.090729488
otk,6.24253798502,0.0,0.00815814803603,126.630773815
bif,3.7847147965,6.68700594618,0.0081700454027,126.815444741
Pde1c,0.0,0.0,0.00823657790279,127.848162207
Suv3,0.0,0.0,0.00823657790279,127.848162207
CG4199,0.0,0.0,0.00823657790279,127.848162207
CG34150,0.0,0.0,0.00823657790279,127.848162207
TrissinR,0.0,0.0,0.00823657790279,127.848162207
CG43191,0.0,0.0,0.00823657790279,127.848162207
CCKLR-17D1,0.0,0.0,0.00823657790279,127.848162207
CG14757,0.0,0.0,0.00823657790279,127.848162207
CG8064,0.0,0.0,0.00823657790279,127.848162207
CG8414,0.0,0.0,0.00823657790279,127.848162207
Irk1,0.0,0.0,0.00823657790279,127.848162207
CG32354,0.0,0.0,0.00823657790279,127.848162207
CR41607,0.0,0.0,0.00823657790279,127.848162207
trem,0.0,0.0,0.00823657790279,127.848162207
CG34371,0.0,0.0,0.00823657790279,127.848162207
CG32706,0.0,0.0,0.00823657790279,127.848162207
D19B,0.0,0.0,0.00823657790279,127.848162207
IntS4,0.0,0.0,0.00823657790279,127.848162207
CG10681,0.0,0.0,0.00823657790279,127.848162207
Hsp60B,0.0,0.0,0.00823657790279,127.848162207
