symbol,medianA,medianB,pvalue,pvalue_adj
CG45263,6.65620893096,0.0,5.13445780758e-06,0.0796970540892
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
dpr6,8.91564812395,0.0,5.13445780758e-06,0.0796970540892
GstD1,0.0,7.27474359643,5.13445780758e-06,0.0796970540892
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
fru,0.0,10.5255713079,9.15336830931e-06,0.142078582897
Ca-alpha1T,8.8747317127,0.0,1.11685890367e-05,0.173358839028
beat-VI,0.0,9.24239518205,1.55845526505e-05,0.24190342624
Cow,4.38514062535,10.2958280795,1.69078033979e-05,0.262442924342
acj6,7.190358109,0.0,1.87923035691e-05,0.291694136
CG31814,7.96876528576,0.0,3.03089062316e-05,0.470454842527
CG34393,0.0,7.27577135398,3.03089062316e-05,0.470454842527
klg,0.0,7.19600068636,3.03089062316e-05,0.470454842527
Ktl,0.0,9.1989569466,3.12804076921e-05,0.485534488196
CG30089,6.06911428853,0.0,3.92892831811e-05,0.609848253538
CG42339,0.0,10.5220692124,4.50342179868e-05,0.699021131592
PVRAP,7.50221222342,0.0,6.2654363942e-05,0.972521037107
ara,8.40700348012,0.0,6.2654363942e-05,0.972521037107
DIP-eta,0.0,9.22424839212,6.27394017787e-05,0.973840994409
dpr15,0.0,8.64321771963,7.39782380629e-05,1.14829021121
Ggamma30A,9.52968857074,6.60399597298,9.80807368533e-05,1.52240919744
CG9932,0.0,4.31654177422,0.00011600356004,1.80060725894
DIP-theta,0.0,5.49450508669,0.00011600356004,1.80060725894
bru-3,7.81718412022,0.53308981804,0.000173095085209,2.68678191261
caup,7.47204160488,0.0,0.000188639994557,2.92806999551
run,7.19581892696,0.0,0.000191695863289,2.97550318997
otk,6.24253798502,0.0,0.000227804466713,3.53598093231
Rbp6,10.6424392542,9.19209502625,0.000238840864478,3.70728789844
CG31221,8.60127989747,5.07530379956,0.000280015124478,4.34639476215
pros,12.4606935331,11.4958937837,0.000296021072947,4.59483909429
hth,10.0828168406,11.1330034843,0.000296021072947,4.59483909429
mirr,9.92222914713,8.24273554377,0.000296021072947,4.59483909429
CG10019,0.0,6.47456560437,0.000301562738535,4.68085682754
rdgA,0.0,4.51700460686,0.000318096176154,4.93748884626
lolal,7.30043302635,8.22846843788,0.000365740995907,5.67703173847
olf413,7.38542361309,0.0,0.000380367227827,5.90406011033
rst,4.83927722123,0.0,0.000401100451324,6.22588120545
Octbeta1R,8.7672676563,0.0,0.000403173249831,6.25805518388
CG42541,8.50599811427,5.40379543037,0.00045046779818,6.99216116335
apt,0.0,8.36661343898,0.000505276606553,7.84290348691
vvl,0.0,3.53035405119,0.000542166280837,8.41550501115
DIP-delta,2.73792039012,0.0,0.000542166280837,8.41550501115
Lkb1,3.09134745134,0.0,0.000542166280837,8.41550501115
CG11191,0.0,8.33564096616,0.000755145951111,11.7213754531
CG13300,8.33476068104,4.00956129986,0.000806842561265,12.523810236
Nop17l,0.0,8.30619057914,0.000827498854029,12.8444372122
beat-Ia,8.11413903739,0.0,0.000882615531441,13.699958279
CG14024,0.0,8.39772966957,0.000912230265352,14.1596381788
mGluR,7.57762991805,0.0,0.000912230265352,14.1596381788
Cngl,0.47911303765,5.24832460692,0.000927243614384,14.3926753825
CR44978,6.71929858946,3.6939976364,0.000995695028697,15.4551782354
tsh,0.0,7.85216133445,0.00108495092142,16.8406082023
beat-Ib,0.0,6.88123831964,0.00108495092142,16.8406082023
CG3632,7.14804766205,0.0,0.00113640233548,17.6392370513
Pglym78,7.20166148592,0.0,0.00123829633922,19.2208357774
CG34113,5.32177400309,0.0,0.00126291265293,19.6029301988
rpr,0.0,4.64311643733,0.00126291265293,19.6029301988
DNApol-iota,4.69856265419,0.0,0.00142779274305,22.1621989576
CG42340,0.0,4.15242035474,0.00142779274305,22.1621989576
Fas3,3.54034818985,0.0,0.00142779274305,22.1621989576
Pde1c,0.0,1.05294126492,0.00142779274305,22.1621989576
dpr3,3.80860907891,0.0,0.00142779274305,22.1621989576
TrissinR,0.0,3.7447643241,0.00142779274305,22.1621989576
Kdm2,2.11854622321,0.0,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
dpr1,3.39199290722,0.0,0.00142779274305,22.1621989576
grp,9.57294035349,8.18874848702,0.00147282307527,22.8611597743
CG33543,0.0,6.3246810848,0.00156917424068,24.3567225639
CG14868,7.54440867521,0.0,0.00156917424068,24.3567225639
eIF-3p66,9.15009795584,3.65383575588,0.00165136891435,25.6325482885
rdo,7.37831140697,0.0,0.00171566764987,26.6305932612
CG4050,8.44755619829,0.0,0.00171566764987,26.6305932612
ed,4.96939475645,7.74566508556,0.00176053230348,27.3269824146
GluClalpha,7.7118914928,8.61249483014,0.00177491931746,27.5502976456
kirre,4.04990356739,1.67172206535,0.00190761839086,29.610052663
bur,7.29934549826,0.0,0.00242461696602,37.6349045466
Diap1,9.18653269657,6.96069042466,0.00250604271143,38.8987949668
IP3K2,0.0,8.52675847807,0.00252281894047,39.159195594
CG34380,11.1633459442,9.5647586899,0.0025539527125,39.6424540034
Tbh,8.15410383908,1.64388860232,0.00285906907543,44.3784701888
cic,7.56745192679,5.5068516374,0.0030273744898,46.9909068306
Nph,7.72130675805,4.45067192027,0.0030273744898,46.9909068306
Vha68-1,9.54250428021,8.30525636194,0.00304394018393,47.248039535
