symbol,medianA,medianB,pvalue,pvalue_adj
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
C15,10.3645388217,0.0,9.15336830931e-06,0.142078582897
DIP-eta,0.0,9.45918642767,1.11685890367e-05,0.173358839028
acj6,7.190358109,0.0,3.03089062316e-05,0.470454842527
Cow,4.38514062535,10.5617525037,3.56123299774e-05,0.552774585909
CG42339,0.0,10.2071337011,4.50342179868e-05,0.699021131592
dpr15,0.0,8.64886792919,4.50342179868e-05,0.699021131592
Ca-alpha1T,8.8747317127,0.0,5.07473053166e-05,0.787699673125
PVRAP,7.50221222342,0.0,6.2654363942e-05,0.972521037107
Ktl,0.0,9.96724952581,6.27394017787e-05,0.973840994409
beat-Ia,8.11413903739,0.0,6.53782854001e-05,1.01480174598
CG30089,6.06911428853,0.0,7.39782380629e-05,1.14829021121
dpr6,8.91564812395,0.0,8.30327653547e-05,1.28883458384
CG31814,7.96876528576,0.0,8.37425492817e-05,1.29985184995
CG42342,6.56234121946,10.1367777268,9.80807368533e-05,1.52240919744
klg,0.0,4.82795368993,0.00011600356004,1.80060725894
CG34393,0.0,8.61715244468,0.00011600356004,1.80060725894
rdgC,0.0,8.31182969301,0.000118369727248,1.83733490635
Octbeta1R,8.7672676563,0.0,0.000119835656962,1.86008906736
CG14024,0.0,8.68666840387,0.000162360448308,2.52015887864
ssp6,4.72042626024,0.0,0.000191695863289,2.97550318997
Rbp6,10.6424392542,9.22816909073,0.000192101013517,2.98179193182
fru,0.0,10.4069502807,0.00019433835008,3.01651986994
ara,8.40700348012,0.0,0.000239209057348,3.71300298815
beat-Ib,0.0,6.95366200878,0.000254836523736,3.95557252143
Cngl,0.47911303765,6.21834299145,0.000268413593425,4.16631579714
CG42541,8.50599811427,4.88032980616,0.000287940759511,4.46941646913
bur,7.29934549826,0.0,0.000301562738535,4.68085682754
CG3632,7.14804766205,0.0,0.000302203756243,4.69080670441
CG30463,0.0,7.50116077157,0.000323022914551,5.01396167967
Ggamma30A,9.52968857074,7.95564156424,0.000364765459768,5.66188946651
beat-VI,0.0,7.27309261853,0.000386116522864,5.99330066789
Rlip,7.14147238436,0.0,0.000401100451324,6.22588120545
run,7.19581892696,0.0,0.000401100451324,6.22588120545
CG9932,0.0,4.78469827452,0.000401100451324,6.22588120545
Fas2,8.79622045673,10.4888480528,0.00045046779818,6.99216116335
CG45263,6.65620893096,0.0,0.0004986200163,7.73957989301
rst,4.83927722123,0.0,0.000505276606553,7.84290348691
Pde1c,0.0,4.11920786518,0.000542166280837,8.41550501115
TrissinR,0.0,6.20298124984,0.000542166280837,8.41550501115
chinmo,7.94233437109,6.28880214788,0.000551706634864,8.56359038637
nAChRalpha7,10.2186329748,11.2788160966,0.00055308909204,8.58504888665
olf413,7.38542361309,0.0,0.00058095302954,9.01755292451
caup,7.47204160488,0.0,0.000599404297285,9.30395350247
Atg6,6.6093716508,0.0,0.000634034528259,9.84148394764
CG15765,6.27252023788,10.2507465456,0.000644725598377,10.007430738
CG33543,0.0,5.7297894627,0.000792514928053,12.3014167132
ATPsynC,12.4334017264,12.1107530087,0.000826019728117,12.8214782198
hth,10.0828168406,11.1189163309,0.000826019728117,12.8214782198
rdgA,0.0,4.0455286476,0.000884060424462,13.7223859085
CG31221,8.60127989747,5.61997194316,0.000890564171517,13.8233370703
kirre,4.04990356739,1.6876737356,0.000890564171517,13.8233370703
Tango7,9.10836457609,8.01106865427,0.00100248323755,15.5605448133
glob1,8.7019394658,3.74117345943,0.00112748770879,17.5008642158
CG4050,8.44755619829,0.0,0.00113640233548,17.6392370513
CG34380,11.1633459442,9.26477222302,0.00121836740449,18.9114988526
CG11768,1.48583856278,0.0,0.00126291265293,19.6029301988
Fife,0.0,4.15681259568,0.00126291265293,19.6029301988
apt,0.0,7.30803805085,0.00126291265293,19.6029301988
DIP-theta,0.0,6.57556609375,0.00126291265293,19.6029301988
tsh,0.0,7.21232060816,0.00132692743138,20.5965675898
Non3,6.65516262138,0.0,0.00139888360254,21.7134712786
CR44978,6.71929858946,3.42120912699,0.00141157064903,21.9103996143
CG32706,0.0,2.14332573603,0.00142779274305,22.1621989576
Cbp53E,0.0,3.03178072988,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
Fas3,3.54034818985,0.0,0.00142779274305,22.1621989576
CG6179,1.00728886131,0.0,0.00142779274305,22.1621989576
DCTN6-p27,5.33449860336,0.0,0.00142779274305,22.1621989576
dpr1,3.39199290722,0.0,0.00142779274305,22.1621989576
dpr3,3.80860907891,0.0,0.00142779274305,22.1621989576
tnc,8.21746774526,10.1767738784,0.00147282307527,22.8611597743
Ten-a,7.02759908844,8.69647851429,0.00147282307527,22.8611597743
rdo,7.37831140697,0.0,0.00151213077469,23.4712938847
Tl,8.02841167423,0.0,0.00157976558932,24.5211214775
RpL8,10.9331429578,10.2847998231,0.00177491931746,27.5502976456
Pur-alpha,4.11948563904,0.0,0.00194175002269,30.1398438521
IA-2,6.80397511242,9.53967911357,0.00212820989586,33.0340740036
Diap1,9.18653269657,7.71517282174,0.00212820989586,33.0340740036
Mlc-c,8.81592377282,7.81315037234,0.00213238245702,33.0988404978
Appl,9.03969325878,10.4448177926,0.00213238245702,33.0988404978
mspo,0.0,5.24081231136,0.00221073834775,34.3150806338
Tsp42Ee,8.0182307189,1.41705421452,0.00238848778678,37.0741074264
wit,0.0,8.32353649208,0.00242461696602,37.6349045466
CG42376,3.07948946983,0.0,0.00255244743278,39.6190890516
Toll-6,11.3253241316,9.22245196701,0.0025539527125,39.6424540034
Sucb,3.37204344297,8.14080749518,0.00260376866526,40.4156972221
CG11191,0.0,8.09742445382,0.0026641228572,41.3525149895
CG43737,6.82563190275,0.859465102615,0.00285906907543,44.3784701888
Past1,8.64951753706,0.0,0.00291155513335,45.1931587799
CG5823,0.0,7.46726522694,0.00291155513335,45.1931587799
msk,0.0,9.04326161001,0.00291155513335,45.1931587799
ST6Gal,8.40718453304,0.0,0.00292094333165,45.3388823938
side,3.21958439396,0.0,0.0029371589306,45.5905809207
Atpalpha,11.9385246529,12.8588672877,0.00304947296561,47.3339193722
drl,6.32147621073,10.4892487888,0.00304947296561,47.3339193722
GABA-B-R2,6.26378473236,9.00453549608,0.00304947296561,47.3339193722
pyd,9.48408545645,7.49483417498,0.00304947296561,47.3339193722
ATPsyngamma,10.7662632032,10.2463889109,0.00304947296561,47.3339193722
Ccn,0.0,6.91638521126,0.00307529397712,47.7347131128
CG8289,0.810328266,8.22490004006,0.00328417982783,50.9770392876
Pde11,7.01645977436,0.0,0.00344965301637,53.54551412
roq,4.58101776984,0.0,0.00348497681177,54.0938100723
H,0.777029989355,0.0,0.00352705120034,54.7468887317
CLS,0.78428608972,0.0,0.00352705120034,54.7468887317
ball,0.0,3.37783259437,0.00352705120034,54.7468887317
GABA-B-R3,0.553605529555,0.0,0.00352705120034,54.7468887317
Ret,0.0,2.30650591611,0.00352705120034,54.7468887317
na,0.0,1.01171816234,0.00352705120034,54.7468887317
CrzR,0.0,1.36483984087,0.00352705120034,54.7468887317
Mrtf,0.0,2.09251365548,0.00352705120034,54.7468887317
CG32354,0.0,1.47059087235,0.00352705120034,54.7468887317
CG7943,0.513426486735,0.0,0.00352705120034,54.7468887317
eIF2B-gamma,1.07898486861,0.0,0.00352705120034,54.7468887317
CG6123,0.0,1.82817519363,0.00352705120034,54.7468887317
vvl,0.0,2.04512879194,0.00352705120034,54.7468887317
Oli,6.85858325181,7.93139842594,0.00362364234065,56.2461764115
plum,9.48208611714,6.50585237021,0.0036299774941,56.3445106633
DNApol-iota,4.69856265419,0.0,0.00364894251992,56.6388857942
CG32204,0.0,7.19099009889,0.00364894251992,56.6388857942
glec,5.83415154441,0.0,0.00364894251992,56.6388857942
Cda5,0.0,7.43131110456,0.00364894251992,56.6388857942
CG2082,6.45673887009,0.0,0.00373444360938,57.9660337047
NK7.1,2.19905967981,6.6157168694,0.00388846980714,60.3568283465
l(2)tid,8.60909013672,3.30790295026,0.00391260416836,60.7314419014
cv-2,0.0,6.71387960459,0.00398864969176,61.9118205154
Nph,7.72130675805,2.82817627054,0.00405851819082,62.9963193579
CG2918,5.19790660495,9.05369561343,0.00416441879531,64.6401085409
CG12975,3.23681382349,0.0,0.00418611821577,64.9769269452
mei-P26,9.29518326934,7.95826414732,0.00430777905941,66.8653465602
RpL11,8.07253982533,6.60177356197,0.00430777905941,66.8653465602
CG32442,0.0,6.40343657823,0.00447257634231,69.4233299853
CG32473,3.4513326351,0.0,0.00447257634231,69.4233299853
Plod,0.0,7.3141549372,0.00450661135093,69.9516213891
DIP-delta,2.73792039012,0.0,0.00451760512169,70.1222666989
CG6325,5.00189185373,0.0,0.00451760512169,70.1222666989
CG11138,7.08332242285,3.8338515282,0.00461059787865,71.5657002724
CG34362,7.66754158081,0.0,0.00478027785591,74.1994728795
CG34132,4.62288482557,1.4430313337,0.00493354571083,76.5784965235
luna,5.58476029458,0.0,0.00493654540271,76.6250577408
CG6024,7.89242921596,4.7467565631,0.00506374462822,78.5994441192
Csp,8.57939955279,6.52646331444,0.00508834087578,78.9812270738
bun,8.56934276622,9.47802906556,0.00509655249555,79.108687836
CG34113,5.32177400309,0.0,0.00540745351568,83.9344934703
ema,7.98644425087,0.0,0.00540745351568,83.9344934703
CG12279,4.56018524579,0.0,0.00543592854447,84.3764828673
Ugt,0.0,8.07987690221,0.00543592854447,84.3764828673
Inos,4.62902479079,0.0,0.00545841288083,84.7254847362
CG7518,2.50625296031,7.95815512775,0.00550127178673,85.3907406736
SKIP,5.10218495841,8.00527108031,0.00582677971481,90.4432747333
Gprk2,9.08637150292,7.54766950987,0.00591876009522,91.8709941979
grp,9.57294035349,8.05521339564,0.00600211729593,93.1648646674
Cnx99A,9.13167209593,10.2823080182,0.00601141270381,93.3091479885
CG31997,0.0,6.63742768495,0.0064436900087,100.018956315
ArfGAP1,0.0,8.41972275081,0.0064649498014,100.348950817
UbcE2M,7.34051356347,1.36483984087,0.00649274409288,100.78037381
