symbol,medianA,medianB,pvalue,pvalue_adj
CG45263,6.65620893096,0.0,5.13445780758e-06,0.0796970540892
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
fru,0.0,10.6947021305,9.15336830931e-06,0.142078582897
CG42339,0.0,10.5332261069,9.15336830931e-06,0.142078582897
DIP-eta,0.0,9.4074364079,1.11685890367e-05,0.173358839028
dpr6,8.91564812395,0.0,1.22446437935e-05,0.190061360963
Cow,4.38514062535,10.4491575243,2.78712282901e-05,0.43261720552
CG34393,0.0,9.02797652308,3.03089062316e-05,0.470454842527
CG31814,7.96876528576,0.0,3.03089062316e-05,0.470454842527
bru-3,7.81718412022,2.38239767611,3.69333042231e-05,0.573278748152
Ggamma30A,9.52968857074,7.28953322143,3.81539413546e-05,0.592225477705
acj6,7.190358109,0.0,3.92892831811e-05,0.609848253538
heph,7.5713431239,0.0,4.01279246574e-05,0.622865646532
dpr15,0.0,7.82658030473,4.50342179868e-05,0.699021131592
Ca-alpha1T,8.8747317127,0.0,5.07473053166e-05,0.787699673125
hth,10.0828168406,11.4179499258,6.1672877202e-05,0.957286399929
caup,7.47204160488,0.0,6.2654363942e-05,0.972521037107
CG30089,6.06911428853,0.0,7.39782380629e-05,1.14829021121
beat-VI,0.0,8.71839247597,7.39782380629e-05,1.14829021121
Ktl,0.0,9.57745014982,8.30327653547e-05,1.28883458384
Octbeta1R,8.7672676563,0.0,8.37425492817e-05,1.29985184995
PVRAP,7.50221222342,0.0,0.00011600356004,1.80060725894
DIP-theta,0.0,6.03382353277,0.00011600356004,1.80060725894
ara,8.40700348012,0.0,0.00011600356004,1.80060725894
klg,0.0,6.4627697219,0.00011600356004,1.80060725894
CG9932,0.0,4.2898379768,0.00011600356004,1.80060725894
apt,0.0,8.34885763783,0.000148206009967,2.30045368671
CG4050,8.44755619829,0.0,0.000191695863289,2.97550318997
run,7.19581892696,0.0,0.000191695863289,2.97550318997
cv-2,0.0,8.52671883283,0.000203467506621,3.15822263778
CG42342,6.56234121946,9.64136840391,0.000238840864478,3.70728789844
CG14431,9.00358397396,0.0,0.000252741572561,3.92305468928
CG42541,8.50599811427,4.60020681071,0.00029277029605,4.54438053528
rst,4.83927722123,0.0,0.000401100451324,6.22588120545
caps,7.53975950066,0.0,0.000481941769935,7.48070015293
Tbh,8.15410383908,2.1297306651,0.000525874701383,8.16262711487
CG32354,0.0,3.18046185328,0.000542166280837,8.41550501115
