symbol,medianA,medianB,pvalue,pvalue_adj
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
dpr6,8.91564812395,0.0,5.13445780758e-06,0.0796970540892
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
CG45263,6.65620893096,0.0,5.13445780758e-06,0.0796970540892
CG42339,0.0,10.3472010095,9.15336830931e-06,0.142078582897
Ca-alpha1T,8.8747317127,0.0,9.15336830931e-06,0.142078582897
fru,0.0,10.2758147853,9.15336830931e-06,0.142078582897
dpr15,0.0,8.63979031496,1.55845526505e-05,0.24190342624
Ggamma30A,9.52968857074,7.56052192059,1.82922767695e-05,0.283932720016
CG30089,6.06911428853,0.0,1.87923035691e-05,0.291694136
acj6,7.190358109,0.0,1.87923035691e-05,0.291694136
DIP-eta,0.0,9.26485233655,1.88171500287e-05,0.292079802745
beat-VI,0.0,9.28580568761,2.02308250395e-05,0.314022866263
Cow,4.38514062535,10.3550520439,2.17429698644e-05,0.337494378236
klg,0.0,5.92026687154,3.03089062316e-05,0.470454842527
Ktl,0.0,9.59808911946,3.12804076921e-05,0.485534488196
CR46008,2.36029169891,0.0,3.92892831811e-05,0.609848253538
ara,8.40700348012,0.0,6.2654363942e-05,0.972521037107
caup,7.47204160488,0.0,6.2654363942e-05,0.972521037107
PVRAP,7.50221222342,0.0,6.2654363942e-05,0.972521037107
bru-3,7.81718412022,0.53308981804,8.75151666445e-05,1.35841041666
CG42541,8.50599811427,1.33746198756,0.000110207004978,1.71063313127
CG9896,0.0,6.32441775395,0.00011600356004,1.80060725894
CG34393,0.0,7.78437176813,0.00011600356004,1.80060725894
apt,0.0,7.69599428767,0.00011600356004,1.80060725894
hth,10.0828168406,11.48834001,0.000123103116411,1.91080657294
CG31814,7.96876528576,0.0,0.000128393684088,1.99292676441
Rbp6,10.6424392542,9.17181065973,0.000154022352814,2.39073496038
GstD1,0.0,7.30044651548,0.000191695863289,2.97550318997
run,7.19581892696,0.0,0.000191695863289,2.97550318997
Gmap,4.17356351599,0.0,0.000191695863289,2.97550318997
vvl,0.0,3.12325781521,0.000191695863289,2.97550318997
Octbeta1R,8.7672676563,0.0,0.000203467506621,3.15822263778
mGluR,7.57762991805,0.0,0.000218386433084,3.38979421433
CG9932,0.0,4.70954109793,0.000239209057348,3.71300298815
pros,12.4606935331,11.375864206,0.000296021072947,4.59483909429
rdgA,0.0,4.4160046556,0.000318096176154,4.93748884626
CG31221,8.60127989747,0.0,0.000400152907868,6.21117343593
Bka,0.0,5.9993043002,0.000401100451324,6.22588120545
DIP-theta,0.0,6.09186825016,0.000401100451324,6.22588120545
Cngl,0.47911303765,6.11185291033,0.000410945679018,6.37869882972
rdo,7.37831140697,0.0,0.000505276606553,7.84290348691
CG2082,6.45673887009,0.0,0.000542166280837,8.41550501115
Diap1,9.18653269657,5.63221832894,0.000676970721546,10.5079395398
drl,6.32147621073,11.0043543622,0.000676970721546,10.5079395398
IP3K2,0.0,8.40836331766,0.000741696486829,11.5126128686
Rlip,7.14147238436,0.0,0.000792514928053,12.3014167132
