symbol,medianA,medianB,pvalue,pvalue_adj
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,8.82626899032,1.11685890367e-05,0.173358839028
acj6,7.190358109,0.0,1.87923035691e-05,0.291694136
CG30089,6.06911428853,0.0,1.87923035691e-05,0.291694136
dpr6,8.91564812395,0.0,2.08338413307e-05,0.323382885135
Cow,4.38514062535,10.5793043664,2.78712282901e-05,0.43261720552
CG34393,0.0,8.70102661704,3.03089062316e-05,0.470454842527
CG42339,0.0,10.5586229727,4.50342179868e-05,0.699021131592
fru,0.0,10.1446532642,4.50342179868e-05,0.699021131592
Ca-alpha1T,8.8747317127,0.0,5.07473053166e-05,0.787699673125
Ccn,0.0,8.02679681002,5.78208106649e-05,0.897494623141
PVRAP,7.50221222342,0.0,6.2654363942e-05,0.972521037107
CG31814,7.96876528576,0.0,8.37425492817e-05,1.29985184995
CG11191,0.0,8.61442857002,9.38526806308e-05,1.45678130875
CG14024,0.0,8.83546669754,0.00010544394443,1.63670090544
CG9932,0.0,4.78469827452,0.00011600356004,1.80060725894
hth,10.0828168406,11.1246287337,0.000123103116411,1.91080657294
Rbp6,10.6424392542,9.15235357222,0.000123103116411,1.91080657294
CG45263,6.65620893096,0.0,0.000151723321511,2.3550493965
caup,7.47204160488,0.0,0.000188639994557,2.92806999551
vvl,0.0,3.25564701045,0.000191695863289,2.97550318997
CG4050,8.44755619829,0.0,0.000191695863289,2.97550318997
run,7.19581892696,0.0,0.000191695863289,2.97550318997
Pde1c,0.0,4.67021221573,0.000191695863289,2.97550318997
Gmap,4.17356351599,0.0,0.000191695863289,2.97550318997
Ggamma30A,9.52968857074,7.60322703722,0.000192101013517,2.98179193182
dpr15,0.0,8.41560771452,0.00019433835008,3.01651986994
cv-2,0.0,8.70959636282,0.000203467506621,3.15822263778
ara,8.40700348012,0.0,0.000239209057348,3.71300298815
NK7.1,2.19905967981,6.79402061576,0.00029277029605,4.54438053528
ATPsynC,12.4334017264,12.0620938224,0.000296021072947,4.59483909429
beat-VI,0.0,8.46719659112,0.000308239766457,4.78449765495
Ktl,0.0,9.09513964094,0.000318096176154,4.93748884626
Cngl,0.47911303765,6.67627007228,0.000332648759751,5.16337404885
klg,0.0,6.36900342315,0.000401100451324,6.22588120545
Fife,0.0,5.24433693007,0.000401100451324,6.22588120545
apt,0.0,8.82108563001,0.000401100451324,6.22588120545
beat-Ia,8.11413903739,3.57140847947,0.000427583200774,6.63694644241
Sem1,4.5864854207,1.75471345274,0.000445826278835,6.92011550008
CG13300,8.33476068104,4.87430260024,0.000449304376389,6.9741025303
Cnx99A,9.13167209593,10.5049818124,0.00045046779818,6.99216116335
side,3.21958439396,0.0,0.000542166280837,8.41550501115
CG34113,5.32177400309,0.0,0.000542166280837,8.41550501115
CG42342,6.56234121946,9.1138674914,0.00055308909204,8.58504888665
Bsg,8.39987325639,6.07718065075,0.000676970721546,10.5079395398
IP3K2,0.0,9.26736358461,0.000741696486829,11.5126128686
rdgC,0.0,8.30641867429,0.000755145951111,11.7213754531
tnc,8.21746774526,9.89581157923,0.000826019728117,12.8214782198
heph,7.5713431239,0.0,0.000882615531441,13.699958279
CG15765,6.27252023788,9.95223090355,0.000959980575337,14.9008184904
Reph,9.09508927205,6.3082668632,0.000982205636211,15.2457958853
Oli,6.85858325181,8.47727167894,0.00100248323755,15.5605448133
Nop17l,0.0,8.2029825194,0.0010139646038,15.7387585801
mspo,0.0,5.09967827711,0.00112871004054,17.5198372493
Octbeta1R,8.7672676563,0.0,0.00112871004054,17.5198372493
CG3632,7.14804766205,0.0,0.00113640233548,17.6392370513
CG42541,8.50599811427,4.63057456363,0.00119195654579,18.5015495037
Atpalpha,11.9385246529,13.0113840334,0.00121836740449,18.9114988526
Oscillin,0.0,6.07143340898,0.00126291265293,19.6029301988
DIP-theta,0.0,7.10211051296,0.00126291265293,19.6029301988
bur,7.29934549826,0.0,0.00137316776791,21.3143100934
CG14431,9.00358397396,5.63990994478,0.00141157064903,21.9103996143
Scp2,0.0,5.69825627207,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
CG8641,2.61121313592,0.0,0.00142779274305,22.1621989576
Fas3,3.54034818985,0.0,0.00142779274305,22.1621989576
DNApol-iota,4.69856265419,0.0,0.00142779274305,22.1621989576
dpr3,3.80860907891,0.0,0.00142779274305,22.1621989576
dpr1,3.39199290722,0.0,0.00142779274305,22.1621989576
Inos,4.62902479079,0.0,0.00142779274305,22.1621989576
bru-3,7.81718412022,2.7592218581,0.00146044673523,22.6690542243
pros,12.4606935331,11.6826849982,0.00147282307527,22.8611597743
Fas2,8.79622045673,10.4335349696,0.00147282307527,22.8611597743
beat-Ib,0.0,8.00707094627,0.00153061881771,23.7582652885
Rcd-1,7.49388339669,8.66654208482,0.00158420443385,24.5900212222
UbcE2M,7.34051356347,0.0,0.00163600897563,25.3941313198
CR44978,6.71929858946,2.56670916282,0.00170367355559,26.4444209299
Rlip,7.14147238436,0.0,0.00171566764987,26.6305932612
Gprk2,9.08637150292,6.17583196214,0.00173908106987,26.9940163665
grp,9.57294035349,8.54690123876,0.00177131609779,27.4943684699
CG9636,9.6381058114,10.4484446443,0.00177491931746,27.5502976456
mahe,3.25938583739,8.19393378322,0.00177491931746,27.5502976456
ATPsyngamma,10.7662632032,10.2033620709,0.00177491931746,27.5502976456
mbl,9.42685022152,8.29935997137,0.00177491931746,27.5502976456
Cda5,0.0,5.20911361837,0.00194175002269,30.1398438521
CG33543,0.0,5.39299983386,0.00194175002269,30.1398438521
tsh,0.0,6.68520455887,0.00196453706682,30.4935443511
CG34353,0.0,7.94514419177,0.00201257007866,31.239112761
drl,6.32147621073,10.7296809912,0.00213238245702,33.0988404978
CG34380,11.1633459442,9.47469013369,0.00213238245702,33.0988404978
olf413,7.38542361309,0.0,0.00221073834775,34.3150806338
tzn,7.68502538013,4.39991309256,0.0022921955282,35.5794589887
CG31221,8.60127989747,0.54630593491,0.0022921955282,35.5794589887
CG32442,0.0,5.92465550855,0.00239300692391,37.1442534729
Dat,7.92936111415,0.0,0.00242461696602,37.6349045466
rdo,7.37831140697,0.0,0.00255244743278,39.6190890516
ArfGAP1,0.0,8.23447085046,0.0027480089233,42.6545945074
Sidpn,8.74268938151,3.88584336254,0.00274804120397,42.6550955681
Prosalpha7,6.59493028815,8.33531425061,0.0030273744898,46.9909068306
VhaSFD,9.17834323337,7.6323091561,0.0030273744898,46.9909068306
shakB,9.60319654935,8.38270393489,0.00304947296561,47.3339193722
nkd,3.05636002537,0.0,0.00307529397712,47.7347131128
Non3,6.65516262138,0.0,0.00309625179863,48.0600204183
Pde11,7.01645977436,0.0,0.00344965301637,53.54551412
roq,4.58101776984,0.0,0.00348497681177,54.0938100723
CG32017,0.603813973245,0.0,0.00352705120034,54.7468887317
ball,0.0,3.18650051513,0.00352705120034,54.7468887317
CG7737,1.56103528994,0.0,0.00352705120034,54.7468887317
CG4676,0.0,0.496153048357,0.00352705120034,54.7468887317
Cad87A,1.05262583003,0.0,0.00352705120034,54.7468887317
CR41544,6.84843558136,5.64138624003,0.0036299774941,56.3445106633
CG32204,0.0,7.50247946095,0.00364894251992,56.6388857942
CG7523,3.34657645709,0.0,0.00364894251992,56.6388857942
l(1)G0334,8.89251714177,2.79561002079,0.00372253114903,57.7811284952
DIP-delta,2.73792039012,0.0,0.00373444360938,57.9660337047
CG31997,0.0,6.19785125611,0.00415787213509,64.5384912809
CG42747,9.25539816768,7.5186886921,0.0042357913158,65.7479528038
CG34383,7.2682330243,2.21366008706,0.00427891027272,66.4172452531
RpL8,10.9331429578,10.2236274239,0.00430777905941,66.8653465602
RpL11,8.07253982533,6.3987864259,0.00430777905941,66.8653465602
nAChRalpha7,10.2186329748,11.3752116295,0.00430777905941,66.8653465602
CG6961,5.83357363814,0.445077913462,0.00442947100501,68.7542489398
Mes4,2.64892371437,0.0,0.00447257634231,69.4233299853
Trim9,3.97812183752,0.0,0.00447257634231,69.4233299853
PheRS-m,3.59126919881,0.0,0.00447257634231,69.4233299853
Atg6,6.6093716508,0.0,0.00450661135093,69.9516213891
barc,0.513426486735,8.4549982078,0.00464668781242,72.1258882244
Tsp42Ee,8.0182307189,0.0,0.00464668781242,72.1258882244
rdgA,0.0,3.66614154117,0.00478027785591,74.1994728795
CR42549,0.0,3.97233568431,0.00478027785591,74.1994728795
Pex19,7.58559226463,0.0,0.00493654540271,76.6250577408
CG6024,7.89242921596,3.91567842864,0.00501472614484,77.8385792202
kirre,4.04990356739,1.62562608332,0.00506374462822,78.5994441192
Pxn,9.57467700011,7.38070260532,0.00506374462822,78.5994441192
Diap1,9.18653269657,7.41307735575,0.00508834087578,78.9812270738
plum,9.48208611714,5.79667262271,0.00508834087578,78.9812270738
Pep,8.99002142819,9.81639098501,0.00509655249555,79.108687836
Toll-6,11.3253241316,9.5431077959,0.00509655249555,79.108687836
CG11768,1.48583856278,0.0,0.0053005570512,82.2752465487
Mulk,5.61172422495,0.0,0.00540745351568,83.9344934703
CG2082,6.45673887009,0.0,0.00544425276621,84.5056914371
CG14868,7.54440867521,0.0,0.00544425276621,84.5056914371
CG6179,1.00728886131,0.0,0.00545841288083,84.7254847362
Vang,3.06765774182,0.0,0.00545841288083,84.7254847362
mRpL47,3.30675196588,0.0,0.00545841288083,84.7254847362
Alg-2,5.64218405742,0.0,0.00545841288083,84.7254847362
CG8289,0.810328266,8.18805894793,0.00550127178673,85.3907406736
lbk,4.39984007339,7.53466541238,0.00591876009522,91.8709941979
luna,5.58476029458,0.0,0.00592082091217,91.9029821987
CG43729,9.85193410769,6.54238091429,0.00597427122471,92.7326379499
Moe,9.35518749633,7.84020577763,0.00600211729593,93.1648646674
CR40640,5.68336512292,4.63340235648,0.00601141270381,93.3091479885
Ggamma1,10.138444625,9.15697241654,0.00601141270381,93.3091479885
RpS15Aa,8.03621400222,6.88091050654,0.00601141270381,93.3091479885
CG7382,6.86254901938,0.0,0.0064649498014,100.348950817
CG6664,0.0,7.74202559077,0.00649274409288,100.78037381
Vps25,1.94798787977,0.0,0.00663282670479,102.954736112
CG31122,5.40820345376,8.31909245773,0.00686066545951,106.491249262
bif,3.7847147965,6.55627361453,0.00686066545951,106.491249262
otk,6.24253798502,0.0,0.00692625716683,107.509363743
mAChR-B,0.0,7.24786672533,0.00696973433282,108.184216314
CG9705,8.17766566104,9.1442026996,0.00706898472796,109.724780947
Appl,9.03969325878,10.5142976395,0.00706898472796,109.724780947
Teh3,0.0,8.17184323915,0.00761334768996,118.174382844
Vps20,4.78373847744,0.0,0.00770023265441,119.523011262
Not11,0.0,6.84930404234,0.00770143730756,119.541709888
Tip60,4.42901003319,0.0,0.00794171135451,123.271243645
nst,1.33633697256,0.0,0.00802528727053,124.568509013
Pi4KIIalpha,2.93283013247,0.0,0.00802528727053,124.568509013
2mit,0.0,1.06251419691,0.00802528727053,124.568509013
unc-5,1.06703201629,0.0,0.00802528727053,124.568509013
tyf,5.40128715397,0.955237075657,0.00805333439793,125.003856525
Mrtf,0.0,0.0,0.00823657790279,127.848162207
MED16,0.0,0.0,0.00823657790279,127.848162207
JhI-21,0.0,0.0,0.00823657790279,127.848162207
ogre,0.0,0.0,0.00823657790279,127.848162207
HERC2,0.0,0.0,0.00823657790279,127.848162207
CG3071,0.0,0.0,0.00823657790279,127.848162207
CG34371,0.0,0.0,0.00823657790279,127.848162207
CG5439,0.0,0.0,0.00823657790279,127.848162207
Ndc1,0.0,0.0,0.00823657790279,127.848162207
IntS4,0.0,0.0,0.00823657790279,127.848162207
CG5805,0.0,0.0,0.00823657790279,127.848162207
TrissinR,0.0,0.0,0.00823657790279,127.848162207
CG18769,0.0,0.0,0.00823657790279,127.848162207
Fit1,0.0,0.0,0.00823657790279,127.848162207
CR44997,0.0,0.0,0.00823657790279,127.848162207
CG15236,0.0,0.0,0.00823657790279,127.848162207
GstD1,0.0,0.0,0.00823657790279,127.848162207
na,0.0,0.0,0.00823657790279,127.848162207
Lmpt,0.0,0.0,0.00823657790279,127.848162207
CG6023,0.0,0.0,0.00823657790279,127.848162207
CG44325,0.0,0.0,0.00823657790279,127.848162207
CG17019,0.0,0.0,0.00823657790279,127.848162207
CG8353,0.0,0.0,0.00823657790279,127.848162207
CR41607,0.0,0.0,0.00823657790279,127.848162207
ocm,0.0,0.0,0.00823657790279,127.848162207
Ac13E,0.0,0.0,0.00823657790279,127.848162207
CG34229,0.0,0.0,0.00823657790279,127.848162207
