symbol,medianA,medianB,pvalue,pvalue_adj
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
CG42339,0.0,9.74796351317,9.15336830931e-06,0.142078582897
dpr15,0.0,8.81727359216,9.15336830931e-06,0.142078582897
DIP-eta,0.0,9.25569178929,1.11685890367e-05,0.173358839028
Ktl,0.0,9.36797797098,1.45213319843e-05,0.22540011506
CG31814,7.96876528576,0.0,1.87923035691e-05,0.291694136
acj6,7.190358109,0.0,1.87923035691e-05,0.291694136
NK7.1,2.19905967981,7.78732947472,2.9587322254e-05,0.459254416027
CG30089,6.06911428853,0.0,3.92892831811e-05,0.609848253538
Cow,4.38514062535,10.1824356137,4.53579289172e-05,0.704045772652
Rbp6,10.6424392542,9.09295195572,4.86728378236e-05,0.755499788697
hth,10.0828168406,11.0334595198,4.86728378236e-05,0.755499788697
cv-2,0.0,8.75373349631,5.1305805304e-05,0.796368709929
bru-3,7.81718412022,0.57113638003,5.46570872633e-05,0.848387308501
CG42541,8.50599811427,2.10445396855,5.46570872633e-05,0.848387308501
dpr6,8.91564812395,0.0,7.08433523144e-05,1.09963051462
Ca-alpha1T,8.8747317127,0.0,7.41699466527e-05,1.15126591194
CG30463,0.0,8.52842330568,0.00010544394443,1.63670090544
Octbeta1R,8.7672676563,0.0,0.000119835656962,1.86008906736
mGluR,7.57762991805,0.0,0.000161903572382,2.51306725052
CR44978,6.71929858946,0.0,0.000162360448308,2.52015887864
PVRAP,7.50221222342,0.0,0.000188639994557,2.92806999551
Ggamma30A,9.52968857074,8.40191306964,0.000191538245668,2.97305664926
rdo,7.37831140697,0.0,0.000191695863289,2.97550318997
run,7.19581892696,0.0,0.000191695863289,2.97550318997
GstD1,0.0,6.82889047028,0.000191695863289,2.97550318997
fru,0.0,10.6524640549,0.00019433835008,3.01651986994
beat-VI,0.0,9.29935782657,0.00019433835008,3.01651986994
CG14853,9.06770290044,0.61204493747,0.000268413593425,4.16631579714
Hsp27,10.8585625895,11.4353978254,0.000365740995907,5.67703173847
klg,0.0,5.67325836504,0.000401100451324,6.22588120545
Nop17l,0.0,8.12668215554,0.000440811233934,6.84227197312
rdgA,0.0,4.4321937037,0.000468514203725,7.27227747022
CG32706,0.0,2.92432946724,0.000542166280837,8.41550501115
vvl,0.0,3.13533509397,0.000542166280837,8.41550501115
DIP-delta,2.73792039012,0.0,0.000542166280837,8.41550501115
mspo,0.0,5.96514719486,0.000545613281863,8.46900936108
bur,7.29934549826,0.0,0.00058095302954,9.01755292451
ara,8.40700348012,0.0,0.000599404297285,9.30395350247
caps,7.53975950066,0.0,0.000599404297285,9.30395350247
caup,7.47204160488,0.0,0.000599404297285,9.30395350247
l(2)tid,8.60909013672,0.0,0.000606251512059,9.41023597018
Mgat2,2.39760582299,9.82815512525,0.000644725598377,10.007430738
Prosalpha7,6.59493028815,8.69277170435,0.000818314149943,12.7018722354
CG31997,0.0,6.51570301849,0.0008252767023,12.8099449731
CG13300,8.33476068104,4.64852453441,0.000826019728117,12.8214782198
CG33543,0.0,4.26785487366,0.000986770339198,15.316649205
tnc,8.21746774526,10.2219268449,0.00100475242783,15.5957671848
msk,0.0,8.79640375928,0.00111189349193,17.2588107817
rdgC,0.0,7.93712449235,0.00112871004054,17.5198372493
otk,6.24253798502,0.0,0.00112871004054,17.5198372493
Dh44-R1,0.0,8.07524308509,0.00113640233548,17.6392370513
CG11191,0.0,8.62542429394,0.00123829633922,19.2208357774
DIP-theta,0.0,8.87333954065,0.00126291265293,19.6029301988
CG34393,0.0,6.94228157573,0.00126291265293,19.6029301988
plx,1.16783934056,6.1657719934,0.00141157064903,21.9103996143
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
CG17669,0.0,4.70621224128,0.00142779274305,22.1621989576
dpr1,3.39199290722,0.0,0.00142779274305,22.1621989576
Mes4,2.64892371437,0.0,0.00142779274305,22.1621989576
dpr3,3.80860907891,0.0,0.00142779274305,22.1621989576
CG34354,5.19992767449,0.0,0.00142779274305,22.1621989576
CG32354,0.0,3.54851547462,0.00142779274305,22.1621989576
CG11221,2.76251126295,0.0,0.00142779274305,22.1621989576
mRpL38,7.40803168508,0.0,0.00142779274305,22.1621989576
CG32264,9.7121819536,7.90062134642,0.00147282307527,22.8611597743
CG30394,6.73370888209,0.0,0.00156917424068,24.3567225639
nolo,8.34318918225,2.2067260857,0.00165136891435,25.6325482885
beat-Ia,8.11413903739,2.56059005323,0.00165136891435,25.6325482885
CG42673,4.57183358279,0.0,0.00169115023202,26.2500339014
CG42342,6.56234121946,10.0357766815,0.00177491931746,27.5502976456
Appl,9.03969325878,10.3942413145,0.00177491931746,27.5502976456
shakB,9.60319654935,8.50668240106,0.00177491931746,27.5502976456
CG45263,6.65620893096,0.0,0.001828432202,28.3809246395
Atet,5.60763027315,0.0,0.0018610634418,28.8874267436
CG14431,9.00358397396,0.0,0.00190593953565,29.5839934724
CG9932,0.0,2.9743489471,0.00194175002269,30.1398438521
CG9132,5.61288860553,2.33962207785,0.00211572035207,32.8402113049
RhoGAP100F,7.54822420123,3.60502422633,0.00211572035207,32.8402113049
drl,6.32147621073,10.812855842,0.00213238245702,33.0988404978
CG43729,9.85193410769,6.86137782358,0.00213238245702,33.0988404978
ATPsyngamma,10.7662632032,9.99908449598,0.00213238245702,33.0988404978
CG15012,8.67662261366,7.47489757596,0.00213238245702,33.0988404978
CG2931,7.04456172136,0.0,0.00221073834775,34.3150806338
CG2082,6.45673887009,0.0,0.00239300692391,37.1442534729
ST6Gal,8.40718453304,0.0,0.00242461696602,37.6349045466
Pxn,9.57467700011,6.53263852126,0.00250604271143,38.8987949668
IP3K2,0.0,6.97275929196,0.00252281894047,39.159195594
ema,7.98644425087,0.0,0.00255244743278,39.6190890516
ATPsynC,12.4334017264,12.0328704265,0.0025539527125,39.6424540034
Hel25E,9.16264521383,9.98368850743,0.0025539527125,39.6424540034
pros,12.4606935331,11.681110782,0.0025539527125,39.6424540034
heph,7.5713431239,0.0,0.00274804120397,42.6550955681
qkr58E-2,7.79609049042,0.0,0.00286910496103,44.534247205
side,3.21958439396,0.0,0.0029371589306,45.5905809207
CG42747,9.25539816768,5.89844018816,0.0030273744898,46.9909068306
Atpalpha,11.9385246529,12.8052290515,0.00304947296561,47.3339193722
CG4050,8.44755619829,0.0,0.00309625179863,48.0600204183
CG8321,4.76872721449,0.0,0.00309625179863,48.0600204183
Past1,8.64951753706,0.51036045401,0.00328417982783,50.9770392876
luna,5.58476029458,0.0,0.00331651673921,51.4789728259
CG13865,7.00481741794,0.0,0.00350254619339,54.3665220138
Ho,1.89223712646,0.0,0.00352705120034,54.7468887317
CG11562,1.62525609861,0.0,0.00352705120034,54.7468887317
Pde1c,0.0,0.51036045401,0.00352705120034,54.7468887317
Nos,0.553605529555,0.0,0.00352705120034,54.7468887317
LBR,0.493862374575,0.0,0.00352705120034,54.7468887317
H,0.777029989355,0.0,0.00352705120034,54.7468887317
CR31054,0.553605529555,0.0,0.00352705120034,54.7468887317
Cdc16,0.493862374575,0.0,0.00352705120034,54.7468887317
TrissinR,0.0,2.40856419878,0.00352705120034,54.7468887317
GCC88,0.488442692924,0.0,0.00352705120034,54.7468887317
CR45156,0.94109838056,0.0,0.00352705120034,54.7468887317
Herp,8.09054549203,0.0,0.00364894251992,56.6388857942
Nop60B,2.48332349495,0.0,0.00364894251992,56.6388857942
CG15011,0.0,8.32333036543,0.00364894251992,56.6388857942
mim,6.45688323621,0.0,0.0037223401689,57.7781641017
CG5946,3.45565782376,7.83319100816,0.00372253114903,57.7811284952
Ubc2,2.66405418232,7.81383988946,0.00372253114903,57.7811284952
olf413,7.38542361309,0.0,0.00383068638571,59.4599140789
Naa60,3.33253506669,0.0,0.00447257634231,69.4233299853
apt,0.0,1.54001186391,0.00447257634231,69.4233299853
CG30291,3.99863911295,0.0,0.00447257634231,69.4233299853
CG11317,0.0,6.16160381195,0.00451760512169,70.1222666989
CG3198,2.87906793234,8.38145439825,0.00464668781242,72.1258882244
Fim,7.49932000118,5.49169506403,0.0046796772687,72.6379505648
CG2918,5.19790660495,9.11544624244,0.00481299234794,74.7072672248
Vha13,8.70316333145,7.99818593936,0.00509655249555,79.108687836
Dhc64C,0.513426486735,7.55214916973,0.00525425985974,81.5566215428
Mp,8.94778746246,1.64082672429,0.00550127178673,85.3907406736
CG7985,1.02004716279,8.70649349375,0.00550127178673,85.3907406736
Cnx99A,9.13167209593,10.4040139077,0.00552847790733,85.8130340775
Usp47,0.0,8.43932275694,0.00571579258186,88.7205324556
Syn,8.36807793291,7.15831099461,0.00582677971481,90.4432747333
Scsalpha,8.5877279103,5.71489299064,0.00582677971481,90.4432747333
nAChRalpha6,7.59244753621,4.2799364605,0.00600211729593,93.1648646674
Toll-6,11.3253241316,9.9914024741,0.00601141270381,93.3091479885
CG12643,9.44448085869,9.7836911355,0.00601141270381,93.3091479885
Ef1alpha100E,12.1985155316,12.5134349591,0.00601141270381,93.3091479885
CG34113,5.32177400309,0.0,0.0064649498014,100.348950817
CG10019,0.0,1.55651941344,0.0064649498014,100.348950817
Cngl,0.47911303765,5.46548563965,0.00649274409288,100.78037381
Rab30,6.07289623489,0.0,0.00653613018271,101.453812696
2mit,0.0,1.7787851584,0.00663282670479,102.954736112
Atxn7,0.0,1.32616479169,0.00663282670479,102.954736112
Prp38,1.48583856278,0.0,0.00663282670479,102.954736112
tko,4.01656887608,0.0,0.00663282670479,102.954736112
CG9253,7.45669491047,0.0,0.0067947678321,105.46838629
Pglym78,7.20166148592,0.0,0.00692625716683,107.509363743
Deaf1,5.98535265713,0.0,0.00696973433282,108.184216314
Prosbeta1,7.94156854872,6.6332569629,0.00702709940089,109.074636901
CG11486,4.53946081281,7.8744503192,0.00705850305669,109.562084446
CG34380,11.1633459442,9.58395573282,0.00706898472796,109.724780947
ATPsyndelta,8.70005043163,7.17060642114,0.00706898472796,109.724780947
betaCOP,2.12323262962,8.51605796719,0.00727208916095,112.877367956
twin,0.810328266,8.92783356849,0.00732347214775,113.674934677
CG42674,0.0,5.13650227844,0.00761334768996,118.174382844
CG7857,0.0,5.90951460865,0.00770023265441,119.523011262
CG34356,4.52376958078,0.0,0.00770143730756,119.541709888
Rlip,7.14147238436,0.0,0.00770143730756,119.541709888
CG15772,0.0,5.48363253977,0.00802528727053,124.568509013
Fas3,3.54034818985,0.0,0.00802528727053,124.568509013
CG7277,0.0,2.11705878336,0.00802528727053,124.568509013
Mical,6.23455573009,0.0,0.00805893116142,125.090729488
snRNP-U1-70K,8.26343411616,0.0,0.00815814803603,126.630773815
SelR,0.0,7.1080409086,0.00815814803603,126.630773815
Ret,0.0,0.0,0.00823657790279,127.848162207
D19B,0.0,0.0,0.00823657790279,127.848162207
ppk19,0.0,0.0,0.00823657790279,127.848162207
CG5274,0.0,0.0,0.00823657790279,127.848162207
Pi3K59F,0.0,0.0,0.00823657790279,127.848162207
CG4199,0.0,0.0,0.00823657790279,127.848162207
CR44997,0.0,0.0,0.00823657790279,127.848162207
Ndc1,0.0,0.0,0.00823657790279,127.848162207
exp,0.0,0.0,0.00823657790279,127.848162207
CG3527,0.0,0.0,0.00823657790279,127.848162207
CG5439,0.0,0.0,0.00823657790279,127.848162207
CG12207,0.0,0.0,0.00823657790279,127.848162207
CG1504,0.0,0.0,0.00823657790279,127.848162207
ball,0.0,0.0,0.00823657790279,127.848162207
CG34371,0.0,0.0,0.00823657790279,127.848162207
CR46078,0.0,0.0,0.00823657790279,127.848162207
IntS4,0.0,0.0,0.00823657790279,127.848162207
Ac13E,0.0,0.0,0.00823657790279,127.848162207
CR41620,0.0,0.0,0.00823657790279,127.848162207
CG8206,0.0,0.0,0.00823657790279,127.848162207
CR32111,0.0,0.0,0.00823657790279,127.848162207
CG43740,0.0,0.0,0.00823657790279,127.848162207
Atg13,0.0,0.0,0.00823657790279,127.848162207
CG6700,0.0,7.10188658261,0.0082400050643,127.901358608
brm,7.32536706259,0.0,0.0082400050643,127.901358608
Sema-2b,9.81274351476,8.64300602897,0.00828746337493,128.638006506
Jupiter,9.31281238648,10.0056237555,0.00828746337493,128.638006506
CG15715,5.87781867956,1.08473827653,0.00860538725139,133.572820916
Rcd-1,7.49388339669,8.60791663993,0.00883889186471,137.197279524
CG17271,3.18200662631,8.09195199462,0.0089600468541,139.077847269
tud,5.89581082319,0.0,0.0089600468541,139.077847269
trn,3.74307689174,0.0,0.00914149983987,141.894360514
Shaw,5.29288878872,0.0,0.00914149983987,141.894360514
Gmap,4.17356351599,0.0,0.00914149983987,141.894360514
