symbol,medianA,medianB,pvalue,pvalue_adj
otk,6.24253798502,0.0,5.13445780758e-06,0.0796970540892
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
CG42339,0.0,10.4556708972,9.15336830931e-06,0.142078582897
DIP-eta,0.0,9.47670807591,1.11685890367e-05,0.173358839028
Ca-alpha1T,8.8747317127,0.0,1.11685890367e-05,0.173358839028
fru,0.0,10.621656396,1.19642080675e-05,0.185708437624
acj6,7.190358109,0.0,1.87923035691e-05,0.291694136
CG30089,6.06911428853,0.0,1.87923035691e-05,0.291694136
Ktl,0.0,9.86186716714,1.88171500287e-05,0.292079802745
Cow,4.38514062535,10.1517505601,2.17429698644e-05,0.337494378236
dpr6,8.91564812395,0.0,2.61723833413e-05,0.406247734223
hth,10.0828168406,11.5074550716,3.0028801484e-05,0.466107056635
klg,0.0,6.56067817446,3.03089062316e-05,0.470454842527
CG9932,0.0,4.61516215046,3.92892831811e-05,0.609848253538
dpr15,0.0,8.26678200428,4.50342179868e-05,0.699021131592
Rbp6,10.6424392542,9.53543122221,6.1672877202e-05,0.957286399929
PVRAP,7.50221222342,0.0,6.2654363942e-05,0.972521037107
CG42541,8.50599811427,3.60661624501,7.687377789e-05,1.19323478041
bru-3,7.81718412022,2.9598209324,0.000119311802124,1.85195779258
CG31814,7.96876528576,0.0,0.000128393684088,1.99292676441
CG45263,6.65620893096,0.0,0.000151723321511,2.3550493965
Gprk2,9.08637150292,5.789244758,0.000153557237674,2.38351544317
run,7.19581892696,0.0,0.000191695863289,2.97550318997
Gmap,4.17356351599,0.0,0.000191695863289,2.97550318997
vvl,0.0,4.1678066051,0.000191695863289,2.97550318997
ara,8.40700348012,0.0,0.00019433835008,3.01651986994
beat-VI,0.0,8.31630153474,0.000245190061008,3.80584012697
Cngl,0.47911303765,7.4035829267,0.000268413593425,4.16631579714
CG34393,0.0,8.62982515772,0.000401100451324,6.22588120545
Ggamma30A,9.52968857074,8.02737365714,0.000449304376389,6.9741025303
CG12643,9.44448085869,10.296515279,0.00045046779818,6.99216116335
klu,0.0,6.20377401803,0.000505276606553,7.84290348691
DIP-delta,2.73792039012,0.0,0.000542166280837,8.41550501115
CG2082,6.45673887009,0.0,0.000542166280837,8.41550501115
CG11768,1.48583856278,0.0,0.000542166280837,8.41550501115
ATPsyngamma,10.7662632032,9.77354402413,0.00055308909204,8.58504888665
CG31221,8.60127989747,2.10597830885,0.000589256886706,9.14644539545
caup,7.47204160488,0.0,0.000595886334442,9.24934768321
CG9896,0.0,5.02591054423,0.000634034528259,9.84148394764
ST6Gal,8.40718453304,0.0,0.000912230265352,14.1596381788
rdo,7.37831140697,0.0,0.000986770339198,15.316649205
VhaSFD,9.17834323337,7.29837766568,0.00100248323755,15.5605448133
shakB,9.60319654935,8.36678916097,0.00100475242783,15.5957671848
NK7.1,2.19905967981,7.20211458103,0.00108243223757,16.8015131916
CG14431,9.00358397396,5.77985844614,0.00119195654579,18.5015495037
Fas2,8.79622045673,10.4057821829,0.00121836740449,18.9114988526
CG34380,11.1633459442,9.79843762809,0.00121836740449,18.9114988526
kirre,4.04990356739,1.84519609936,0.00124181627851,19.275472275
CG10019,0.0,3.61362922292,0.00125050505117,19.4103394042
CG34362,7.66754158081,0.0,0.00125050505117,19.4103394042
CG30394,6.73370888209,0.0,0.00126291265293,19.6029301988
ras,8.72367980683,0.0,0.00132692743138,20.5965675898
l(2)tid,8.60909013672,0.0,0.00137316776791,21.3143100934
eIF-3p66,9.15009795584,0.0,0.00137316776791,21.3143100934
Cbp53E,0.0,2.48254615698,0.00142779274305,22.1621989576
dpr1,3.39199290722,0.0,0.00142779274305,22.1621989576
D19B,0.0,5.40602370104,0.00142779274305,22.1621989576
Prosalpha7,6.59493028815,8.3328906533,0.00146044673523,22.6690542243
pros,12.4606935331,11.8411512911,0.00147282307527,22.8611597743
tnc,8.21746774526,9.69338500907,0.00147282307527,22.8611597743
beat-Ia,8.11413903739,0.0,0.00157976558932,24.5211214775
Octbeta1R,8.7672676563,0.0,0.00166511987523,25.8459907033
ema,7.98644425087,0.0,0.0018668701386,28.9775582913
CR46008,2.36029169891,0.51467554929,0.00190593953565,29.5839934724
CG32176,0.0,5.33595681596,0.00194175002269,30.1398438521
Uch-L5,0.0,8.13631220537,0.00201135394335,31.2202359087
Nop17l,0.0,8.19505285123,0.00221073834775,34.3150806338
Ptp61F,8.82871634477,0.0,0.00221073834775,34.3150806338
mGluR,7.57762991805,0.0,0.00237647722609,36.8876795033
eys,0.0,7.9754668944,0.00242461696602,37.6349045466
IP3K2,0.0,9.11891596169,0.00252281894047,39.159195594
Hsc70-2,0.0,7.60757583506,0.00252281894047,39.159195594
CG9132,5.61288860553,2.04396142246,0.00253472786605,39.3440459369
Vha13,8.70316333145,7.1467161406,0.0025539527125,39.6424540034
Msp300,10.1753301782,8.73861802262,0.0025539527125,39.6424540034
Vap-33A,7.82961829895,9.12634463485,0.0025539527125,39.6424540034
CG8321,4.76872721449,0.0,0.0027480089233,42.6545945074
tws,0.810328266,8.44670307814,0.00274804120397,42.6550955681
CG15765,6.27252023788,9.80566390325,0.00293985221537,45.632386087
Tsp42Ee,8.0182307189,6.39364780638,0.0030273744898,46.9909068306
Tbh,8.15410383908,3.44533755618,0.00304394018393,47.248039535
CR42862,8.89346174808,9.74522436705,0.00304947296561,47.3339193722
Den1,6.63838661939,0.0,0.00309625179863,48.0600204183
mim,6.45688323621,0.0,0.00311817639929,48.4003340699
caps,7.53975950066,0.0,0.00344965301637,53.54551412
CG14024,0.0,8.64675723178,0.00350254619339,54.3665220138
CG1311,2.38176517643,8.6784236654,0.00350437791695,54.3949540269
TrissinR,0.0,0.504782394185,0.00352705120034,54.7468887317
Mrtf,0.0,1.74808189195,0.00352705120034,54.7468887317
GstD1,0.0,0.585697845845,0.00352705120034,54.7468887317
GCC88,0.488442692924,0.0,0.00352705120034,54.7468887317
Pde1c,0.0,0.585697845845,0.00352705120034,54.7468887317
fy,0.0,0.504782394185,0.00352705120034,54.7468887317
CG13995,0.513426486735,0.0,0.00352705120034,54.7468887317
Rrp40,2.54430997518,0.0,0.00352705120034,54.7468887317
CG10384,0.0,1.18430371863,0.00352705120034,54.7468887317
Sin1,2.09958318599,0.0,0.00352705120034,54.7468887317
CG42340,0.0,2.48766239805,0.00352705120034,54.7468887317
CG6621,0.0,0.490288339293,0.00352705120034,54.7468887317
Kdm4A,1.90859461926,0.0,0.00352705120034,54.7468887317
CG6005,0.83944580996,0.0,0.00352705120034,54.7468887317
CR45156,0.94109838056,0.0,0.00352705120034,54.7468887317
CG10947,0.764495372015,0.0,0.00352705120034,54.7468887317
CG43729,9.85193410769,7.14958644363,0.0036299774941,56.3445106633
CG42342,6.56234121946,9.03352839077,0.0036299774941,56.3445106633
Hsp27,10.8585625895,11.4452505401,0.0036299774941,56.3445106633
CG7185,9.45589012483,6.68837513079,0.0036299774941,56.3445106633
CG32204,0.0,5.62466199008,0.00364894251992,56.6388857942
CG11807,5.53693716566,0.0,0.00364894251992,56.6388857942
MsR1,0.0,4.2038811845,0.00364894251992,56.6388857942
DIP-theta,0.0,4.82100728323,0.00364894251992,56.6388857942
dpr3,3.80860907891,0.0,0.00364894251992,56.6388857942
apt,0.0,8.02312031844,0.00364894251992,56.6388857942
heph,7.5713431239,0.0,0.0037223401689,57.7781641017
CG7427,0.0,7.14533544802,0.00373444360938,57.9660337047
Atg12,2.80980151395,0.0,0.00374224898317,58.0871887168
