symbol,medianA,medianB,pvalue,pvalue_adj
CG45263,6.65620893096,0.0,5.13445780758e-06,0.0796970540892
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
CG42339,0.0,9.86062222319,9.15336830931e-06,0.142078582897
fru,0.0,10.7335851897,9.15336830931e-06,0.142078582897
DIP-eta,0.0,9.49841166196,1.11685890367e-05,0.173358839028
CG30089,6.06911428853,0.0,1.87923035691e-05,0.291694136
acj6,7.190358109,0.0,1.87923035691e-05,0.291694136
dpr6,8.91564812395,0.0,2.08338413307e-05,0.323382885135
Cow,4.38514062535,9.87832493015,2.78712282901e-05,0.43261720552
CG34393,0.0,8.16718144558,3.03089062316e-05,0.470454842527
klg,0.0,5.53304849354,3.03089062316e-05,0.470454842527
Rbp6,10.6424392542,9.42925748513,3.82914473375e-05,0.594359845572
CG13300,8.33476068104,3.90383684335,4.53579289172e-05,0.704045772652
Ca-alpha1T,8.8747317127,0.0,5.07473053166e-05,0.787699673125
beat-VI,0.0,8.43614060335,5.78208106649e-05,0.897494623141
PVRAP,7.50221222342,0.0,6.2654363942e-05,0.972521037107
ara,8.40700348012,0.0,6.2654363942e-05,0.972521037107
caup,7.47204160488,0.0,6.2654363942e-05,0.972521037107
IP3K2,0.0,10.4266676144,7.39782380629e-05,1.14829021121
hth,10.0828168406,11.1804725916,7.78979465439e-05,1.20913192626
CG31221,8.60127989747,0.0,7.99259080905e-05,1.24060994538
apt,0.0,8.49484754904,0.00011600356004,1.80060725894
Ktl,0.0,9.27284129452,0.000161903572382,2.51306725052
CR44978,6.71929858946,0.0,0.000166728382707,2.58795795638
otk,6.24253798502,0.0,0.000181576601823,2.8184320135
run,7.19581892696,0.0,0.000191695863289,2.97550318997
vvl,0.0,4.48556943501,0.000191695863289,2.97550318997
Gmap,4.17356351599,0.0,0.000191695863289,2.97550318997
Non3,6.65516262138,0.0,0.000191695863289,2.97550318997
ATPsynC,12.4334017264,12.0632094231,0.000192101013517,2.98179193182
Dh44-R1,0.0,8.90291800616,0.00019433835008,3.01651986994
dpr15,0.0,7.64291323217,0.00019433835008,3.01651986994
Octbeta1R,8.7672676563,0.0,0.000301562738535,4.68085682754
Ccn,0.0,7.37022348505,0.000308239766457,4.78449765495
nAChRalpha7,10.2186329748,11.1222282574,0.000365740995907,5.67703173847
Ggamma30A,9.52968857074,8.38281677367,0.000365740995907,5.67703173847
RpL10Ab,9.31024051242,8.54079686879,0.000365740995907,5.67703173847
CG7427,0.0,7.48842804812,0.000386116522864,5.99330066789
grp,9.57294035349,3.33561103078,0.000410945679018,6.37869882972
CG42541,8.50599811427,1.25984878209,0.000410945679018,6.37869882972
CG6024,7.89242921596,0.0,0.0004791681021,7.43764728079
CG33156,7.26946697283,0.0,0.000505276606553,7.84290348691
E2f1,2.04265935231,8.0941710367,0.00053936770472,8.37206551266
CG17168,4.90540704694,0.0,0.000542166280837,8.41550501115
RpL36,7.71791118854,6.24106341238,0.00055308909204,8.58504888665
CG31814,7.96876528576,0.0,0.000614632174771,9.5403206168
Atg6,6.6093716508,0.0,0.000634034528259,9.84148394764
tnc,8.21746774526,10.1767738784,0.000676970721546,10.5079395398
CG12975,3.23681382349,0.0,0.000717893223829,11.1431386203
CR45018,0.0,3.97318966953,0.000741696486829,11.5126128686
CG30463,0.0,6.77466189978,0.000746008722863,11.5795473963
pros,12.4606935331,11.6230913022,0.000826019728117,12.8214782198
Cngl,0.47911303765,5.46595040732,0.000927243614384,14.3926753825
kirre,4.04990356739,1.38300319442,0.000959980575337,14.9008184904
CG14853,9.06770290044,4.68340351729,0.000982205636211,15.2457958853
Appl,9.03969325878,10.4535887742,0.00100475242783,15.5957671848
CG14431,9.00358397396,5.26666918629,0.00119195654579,18.5015495037
CG10019,0.0,6.33499524954,0.00125050505117,19.4103394042
DIP-theta,0.0,3.76370170376,0.00126291265293,19.6029301988
side,3.21958439396,0.0,0.00126291265293,19.6029301988
GstD1,0.0,6.64620131049,0.00142779274305,22.1621989576
D19B,0.0,3.19910735118,0.00142779274305,22.1621989576
Pde1c,0.0,2.89752953108,0.00142779274305,22.1621989576
CG7523,3.34657645709,0.0,0.00142779274305,22.1621989576
AnxB10,3.40077268242,0.0,0.00142779274305,22.1621989576
TrissinR,0.0,6.53336971247,0.00142779274305,22.1621989576
Fas3,3.54034818985,0.0,0.00142779274305,22.1621989576
dpr3,3.80860907891,0.0,0.00142779274305,22.1621989576
CG16791,7.34111324637,1.41370368544,0.0015028760232,23.3276416321
CG12279,4.56018524579,0.0,0.00161732083694,25.1040540309
Pxn,9.57467700011,7.41696901889,0.00170367355559,26.4444209299
CG3662,7.27806877347,8.68827181729,0.00177491931746,27.5502976456
shakB,9.60319654935,8.78479244833,0.00177491931746,27.5502976456
CG2082,6.45673887009,0.0,0.00194175002269,30.1398438521
CG11138,7.08332242285,4.12730921869,0.00211572035207,32.8402113049
CG12643,9.44448085869,10.1035587106,0.00213238245702,33.0988404978
ATPsyngamma,10.7662632032,10.1605595687,0.00213238245702,33.0988404978
CG11191,0.0,8.20322010525,0.00221073834775,34.3150806338
beat-Ib,0.0,6.94412510761,0.00226897640886,35.2190518183
Ndfip,8.27956164707,1.30682530889,0.0022921955282,35.5794589887
rdgA,0.0,3.80292697144,0.00237816800051,36.9139237038
