symbol,medianA,medianB,pvalue,pvalue_adj
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
klg,0.0,8.19441743309,7.09569794446e-06,0.110139423494
CG42339,0.0,10.5664375658,9.15336830931e-06,0.142078582897
Ca-alpha1T,8.8747317127,0.0,1.11685890367e-05,0.173358839028
DIP-eta,0.0,9.39354113547,1.11685890367e-05,0.173358839028
dpr6,8.91564812395,0.0,1.22446437935e-05,0.190061360963
acj6,7.190358109,0.0,1.87923035691e-05,0.291694136
Cow,4.38514062535,10.3707431611,2.78712282901e-05,0.43261720552
CG31814,7.96876528576,0.0,3.03089062316e-05,0.470454842527
CG30089,6.06911428853,0.0,3.92892831811e-05,0.609848253538
Ktl,0.0,9.29987107922,4.01279246574e-05,0.622865646532
hth,10.0828168406,11.3002935084,4.86728378236e-05,0.755499788697
Fas2,8.79622045673,10.7640123729,4.86728378236e-05,0.755499788697
fru,0.0,10.4942165769,5.78208106649e-05,0.897494623141
Cbp53E,0.0,5.82028386926,6.2654363942e-05,0.972521037107
Octbeta1R,8.7672676563,0.0,8.37425492817e-05,1.29985184995
PVRAP,7.50221222342,0.0,0.00011600356004,1.80060725894
DIP-theta,0.0,8.22954852191,0.00011600356004,1.80060725894
CG42541,8.50599811427,3.58858540409,0.000121576208476,1.88710590796
CG12643,9.44448085869,10.1999886877,0.000154022352814,2.39073496038
run,7.19581892696,0.0,0.000191695863289,2.97550318997
rdo,7.37831140697,0.0,0.000191695863289,2.97550318997
Cngl,0.47911303765,6.63591421052,0.000215892781976,3.35108776183
beat-Ia,8.11413903739,1.18151293392,0.000215892781976,3.35108776183
CG34383,7.2682330243,1.36259874323,0.000232116999732,3.60292006985
CG13300,8.33476068104,4.41467569093,0.000238162387247,3.69675657485
Gprk2,9.08637150292,6.30298411506,0.000365740995907,5.67703173847
CG42342,6.56234121946,9.5289405193,0.000365740995907,5.67703173847
Ggamma30A,9.52968857074,8.42077473441,0.000365740995907,5.67703173847
dpr15,0.0,7.79436535689,0.000386116522864,5.99330066789
CG9932,0.0,4.59849965043,0.000401100451324,6.22588120545
CG34393,0.0,3.76739720465,0.000401100451324,6.22588120545
bru-3,7.81718412022,1.06066859924,0.000438924708267,6.81298932172
dock,10.8573904208,9.94208677308,0.00045046779818,6.99216116335
gammaSnap2,6.13305219788,0.0,0.000542166280837,8.41550501115
CG2082,6.45673887009,0.0,0.000542166280837,8.41550501115
CR44997,0.0,3.3363859701,0.000542166280837,8.41550501115
GstD1,0.0,6.38264802995,0.000542166280837,8.41550501115
otk,6.24253798502,0.0,0.000545613281863,8.46900936108
tnc,8.21746774526,9.86515533399,0.00055308909204,8.58504888665
CG31221,8.60127989747,0.0,0.000608105492195,9.43901344985
CG11191,0.0,8.19090421553,0.000614632174771,9.5403206168
Prosalpha7,6.59493028815,8.61230532411,0.000670439238374,10.406557858
Appl,9.03969325878,10.8183619605,0.000676970721546,10.5079395398
Dh44-R1,0.0,9.38869962715,0.000741696486829,11.5126128686
Oli,6.85858325181,8.47919448978,0.000824088988833,12.7915092847
ara,8.40700348012,0.0,0.000884060424462,13.7223859085
rdgA,0.0,3.73804327825,0.000916382889454,14.2240952101
beat-VI,0.0,8.41046512079,0.000919774599492,14.2767413333
mGluR,7.57762991805,0.0,0.00111189349193,17.2588107817
CG30463,0.0,7.14954347991,0.00111189349193,17.2588107817
CG14431,9.00358397396,7.33836776793,0.00121571023979,18.870254342
ATPsyngamma,10.7662632032,9.95851427035,0.00121836740449,18.9114988526
trn,3.74307689174,0.0,0.00122388950565,18.9972129066
apt,0.0,8.84702463515,0.00126291265293,19.6029301988
MsR1,0.0,3.46878320479,0.00126291265293,19.6029301988
Tsp42Ee,8.0182307189,0.0,0.00130526710377,20.2603559847
tsh,0.0,8.05282350117,0.00132692743138,20.5965675898
vvl,0.0,1.90459868988,0.00142779274305,22.1621989576
CG6621,0.0,2.71280744683,0.00142779274305,22.1621989576
Syx8,2.32457637567,0.0,0.00142779274305,22.1621989576
kirre,4.04990356739,2.28952185362,0.0015028760232,23.3276416321
lilli,1.39631945188,5.81968316644,0.0015028760232,23.3276416321
Set2,0.0,3.7882695532,0.00156917424068,24.3567225639
CG43778,1.50237388692,0.0,0.00156917424068,24.3567225639
CG43729,9.85193410769,6.86345494634,0.00173908106987,26.9940163665
shakB,9.60319654935,7.89223459531,0.00177491931746,27.5502976456
Lrpprc2,4.18159637062,0.0,0.00194175002269,30.1398438521
mspo,0.0,3.54370393742,0.00201257007866,31.239112761
ST6Gal,8.40718453304,0.0,0.00201257007866,31.239112761
CG33199,4.1653440868,0.0,0.00201257007866,31.239112761
CG42747,9.25539816768,5.3553644178,0.00209086789089,32.4544514023
heph,7.5713431239,0.0,0.00216729483419,33.6407504163
CG45263,6.65620893096,0.0,0.00221073834775,34.3150806338
ema,7.98644425087,0.0,0.00226897640886,35.2190518183
Clamp,0.0,7.42919964678,0.00237816800051,36.9139237038
IP3K2,0.0,9.23050650399,0.00252281894047,39.159195594
CG10602,0.0,7.68925816728,0.0026641228572,41.3525149895
AMPdeam,8.72538241211,10.2640379739,0.00274041277185,42.5366870446
UbcE2M,7.34051356347,0.0,0.00285052336252,44.245823633
caps,7.53975950066,0.0,0.00286910496103,44.534247205
beat-IIIb,8.20906784392,0.0,0.00291155513335,45.1931587799
CG31997,0.0,6.51660182576,0.00291155513335,45.1931587799
Sgt1,3.22084148439,0.0,0.0029371589306,45.5905809207
Mtch,8.59688979493,6.23671407435,0.00293985221537,45.632386087
caup,7.47204160488,0.0,0.00302023299658,46.8800565729
grp,9.57294035349,6.85379629358,0.0030273744898,46.9909068306
glob1,8.7019394658,6.89947633813,0.0030273744898,46.9909068306
NK7.1,2.19905967981,6.97842011035,0.0030273744898,46.9909068306
Sep1,9.22996894089,8.43870889647,0.00304947296561,47.3339193722
Rbp6,10.6424392542,9.83623242784,0.00304947296561,47.3339193722
CG34310,4.4230587718,0.0,0.00331651673921,51.4789728259
CG2993,7.91968424587,0.0,0.00344965301637,53.54551412
wit,0.0,7.60718132725,0.00348497681177,54.0938100723
Pde1c,0.0,2.23987282066,0.00352705120034,54.7468887317
Cep135,0.513426486735,0.0,0.00352705120034,54.7468887317
D19B,0.0,1.78712161239,0.00352705120034,54.7468887317
Myo31DF,0.0,0.51467554929,0.00352705120034,54.7468887317
TrissinR,0.0,3.43175572202,0.00352705120034,54.7468887317
CG7943,0.513426486735,0.0,0.00352705120034,54.7468887317
Cad87A,1.05262583003,0.0,0.00352705120034,54.7468887317
CR45156,0.94109838056,0.0,0.00352705120034,54.7468887317
CG4676,0.0,3.4127531674,0.00352705120034,54.7468887317
CG32354,0.0,1.45748934745,0.00352705120034,54.7468887317
CG6005,0.83944580996,0.0,0.00352705120034,54.7468887317
bon,1.85323923217,0.0,0.00352705120034,54.7468887317
CG42813,7.41766261151,8.56403584394,0.00356688708755,55.3652213729
CG34380,11.1633459442,9.83294267715,0.0036299774941,56.3445106633
sesB,10.0574592718,9.71077177833,0.0036299774941,56.3445106633
esn,2.2738456512,0.0,0.00364894251992,56.6388857942
CG7407,5.37554473634,0.0,0.00364894251992,56.6388857942
dpr3,3.80860907891,0.0,0.00364894251992,56.6388857942
sdt,1.4773389732,5.45321829893,0.00372253114903,57.7811284952
Set1,6.18171138181,0.0,0.00374224898317,58.0871887168
CG9368,8.60185627604,0.54260433685,0.00391260416836,60.7314419014
bif,3.7847147965,6.17196823638,0.0042357913158,65.7479528038
ND-B17.2,6.016363199,4.57128914196,0.00427891027272,66.4172452531
Ten-a,7.02759908844,8.56965442484,0.00430777905941,66.8653465602
CG32521,4.09609600297,0.0,0.00447257634231,69.4233299853
kek3,3.04063347452,0.0,0.00447257634231,69.4233299853
mtm,7.40106147957,0.0,0.00450661135093,69.9516213891
CG12253,0.0,7.61414628208,0.00450661135093,69.9516213891
Uch-L5,0.0,8.02397536371,0.00478027785591,74.1994728795
CR46008,2.36029169891,0.0,0.00482617982151,74.9119631895
roq,4.58101776984,0.0,0.00494472589418,76.7520353295
Diap1,9.18653269657,7.60309472464,0.00506374462822,78.5994441192
CG14853,9.06770290044,7.94194973719,0.00509655249555,79.108687836
CG15537,0.810328266,9.02035484347,0.00525425985974,81.5566215428
fred,0.0,1.75649452774,0.0053005570512,82.2752465487
DIP-delta,2.73792039012,0.0,0.00544425276621,84.5056914371
klu,0.0,4.62432721464,0.00545841288083,84.7254847362
drl,6.32147621073,10.9217352482,0.00552847790733,85.8130340775
Pglym78,7.20166148592,0.0,0.00586160832233,90.9838843792
CG3955,7.11233078484,7.78175724201,0.00591876009522,91.8709941979
CG5466,9.3501976451,7.75988778162,0.00597427122471,92.7326379499
CR41544,6.84843558136,6.11355152668,0.00601141270381,93.3091479885
pros,12.4606935331,11.8972956184,0.00601141270381,93.3091479885
CG11739,0.0,2.60074058682,0.00640153135102,99.3645696306
ras,8.72367980683,0.0,0.0064436900087,100.018956315
rst,4.83927722123,0.0,0.0064649498014,100.348950817
CG34356,4.52376958078,0.0,0.0064649498014,100.348950817
EndoB,8.38402153036,7.47242084921,0.00649274409288,100.78037381
CG42394,0.0,1.85944486596,0.00663282670479,102.954736112
CG17904,0.0,7.03251858649,0.00663282670479,102.954736112
raw,2.95952340949,0.0,0.00663282670479,102.954736112
Inos,4.62902479079,0.0,0.00663282670479,102.954736112
CG15765,6.27252023788,9.10547339783,0.00686066545951,106.491249262
CG17721,5.79703330601,0.0,0.00692625716683,107.509363743
Bruce,7.07877513208,0.0,0.00692625716683,107.509363743
ZAP3,0.0,6.05730395169,0.00696973433282,108.184216314
morgue,0.0,4.23775504145,0.00696973433282,108.184216314
mAChR-B,0.0,7.89151813208,0.00696973433282,108.184216314
Non3,6.65516262138,0.0,0.00700700427144,108.762720301
pyd,9.48408545645,8.11507826769,0.00706898472796,109.724780947
CadN,8.86059735849,7.77656002939,0.00706898472796,109.724780947
Rtnl1,9.85397426851,10.5880560186,0.00706898472796,109.724780947
Dhc64C,0.513426486735,8.29653411985,0.00732347214775,113.674934677
CG18815,7.72707066265,9.12991478694,0.00764579663351,118.678055345
dpr1,3.39199290722,0.0,0.00770023265441,119.523011262
Shawl,5.89069368212,0.0,0.00770023265441,119.523011262
scf,0.0,6.30394941055,0.00770143730756,119.541709888
Tsp66E,3.61202686743,0.0,0.00781736611063,121.341156769
nkd,3.05636002537,0.0,0.00781736611063,121.341156769
oys,0.0,3.05859708928,0.00802528727053,124.568509013
CG9257,4.14191088872,0.0,0.00805893116142,125.090729488
CR46078,0.0,0.0,0.00823657790279,127.848162207
Smyd5,0.0,0.0,0.00823657790279,127.848162207
rn,0.0,0.0,0.00823657790279,127.848162207
CG6959,0.0,0.0,0.00823657790279,127.848162207
Nplp1,0.0,0.0,0.00823657790279,127.848162207
Ndc1,0.0,0.0,0.00823657790279,127.848162207
CR32111,0.0,0.0,0.00823657790279,127.848162207
Irk1,0.0,0.0,0.00823657790279,127.848162207
CR18275,0.0,0.0,0.00823657790279,127.848162207
Edc3,0.0,0.0,0.00823657790279,127.848162207
CG9643,0.0,0.0,0.00823657790279,127.848162207
CG11555,0.0,0.0,0.00823657790279,127.848162207
