symbol,medianA,medianB,pvalue,pvalue_adj
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
C15,10.3645388217,0.0,7.09569794446e-06,0.110139423494
CG42339,0.0,10.2302152165,9.15336830931e-06,0.142078582897
DIP-eta,0.0,9.27986051923,1.11685890367e-05,0.173358839028
Ca-alpha1T,8.8747317127,0.0,1.46238770616e-05,0.22699181975
dpr6,8.91564812395,0.0,2.08338413307e-05,0.323382885135
Cow,4.38514062535,10.8761405667,2.17429698644e-05,0.337494378236
acj6,7.190358109,0.0,3.03089062316e-05,0.470454842527
klg,0.0,7.77284376553,3.03089062316e-05,0.470454842527
apt,0.0,8.76757287141,3.03089062316e-05,0.470454842527
Ggamma30A,9.52968857074,6.41751649588,3.77436870141e-05,0.585857509833
CG30089,6.06911428853,0.0,3.92892831811e-05,0.609848253538
Ktl,0.0,9.42841108492,4.01279246574e-05,0.622865646532
CG31814,7.96876528576,0.0,4.50342179868e-05,0.699021131592
mGluR,7.57762991805,0.0,5.78208106649e-05,0.897494623141
Cchl,6.59485985584,0.0,6.2654363942e-05,0.972521037107
CG42342,6.56234121946,10.108237763,7.78979465439e-05,1.20913192626
rdgA,0.0,4.07642696746,0.000105103273193,1.6314130065
PVRAP,7.50221222342,0.0,0.00011600356004,1.80060725894
DIP-theta,0.0,7.00351081868,0.00011600356004,1.80060725894
Octbeta1R,8.7672676563,0.0,0.000119835656962,1.86008906736
CG9932,0.0,5.66373647017,0.000188639994557,2.92806999551
TrissinR,0.0,8.0056757389,0.000191695863289,2.97550318997
run,7.19581892696,0.0,0.000191695863289,2.97550318997
fru,0.0,10.0864449338,0.00019433835008,3.01651986994
dpr15,0.0,8.69923206734,0.00019433835008,3.01651986994
bru-3,7.81718412022,1.41240744426,0.000225527629852,3.50063987056
CG31997,0.0,7.49663122805,0.000289872476541,4.49940058086
hth,10.0828168406,10.8459727652,0.000296021072947,4.59483909429
beat-VI,0.0,8.13559225671,0.000308239766457,4.78449765495
CG34393,0.0,7.22605290226,0.000401100451324,6.22588120545
NK7.1,2.19905967981,7.27051266299,0.000445826278835,6.92011550008
grp,9.57294035349,7.76766797913,0.000449304376389,6.9741025303
MESR6,0.0,8.32447463449,0.0004986200163,7.73957989301
rdo,7.37831140697,0.0,0.000505276606553,7.84290348691
CG32204,0.0,7.01343997599,0.000505276606553,7.84290348691
Cngl,0.47911303765,5.9352251512,0.00050606021451,7.85506664963
CG15765,6.27252023788,10.3333616506,0.000525874701383,8.16262711487
Gprk2,9.08637150292,5.32560148961,0.00053936770472,8.37206551266
CG2082,6.45673887009,0.0,0.000542166280837,8.41550501115
PEK,6.5229748979,0.0,0.000542166280837,8.41550501115
DIP-delta,2.73792039012,0.0,0.000542166280837,8.41550501115
side,3.21958439396,0.0,0.000542166280837,8.41550501115
vvl,0.0,3.58920097555,0.000542166280837,8.41550501115
Toll-6,11.3253241316,9.06274341257,0.000551706634864,8.56359038637
CG34380,11.1633459442,9.26477222302,0.00055308909204,8.58504888665
ATPsynC,12.4334017264,12.1231758004,0.00055308909204,8.58504888665
cv-2,0.0,8.8787325981,0.00058095302954,9.01755292451
CG31221,8.60127989747,0.0,0.000614632174771,9.5403206168
RpL8,10.9331429578,10.2398903221,0.000676970721546,10.5079395398
ara,8.40700348012,0.0,0.000742842896261,11.5304074358
caup,7.47204160488,0.0,0.000742842896261,11.5304074358
mAChR-B,0.0,7.39695531499,0.0008252767023,12.8099449731
beat-Ib,0.0,6.50965278785,0.000884060424462,13.7223859085
CG11191,0.0,7.96823724602,0.00112871004054,17.5198372493
Ccn,0.0,6.68301299477,0.00113640233548,17.6392370513
rst,4.83927722123,0.0,0.00113640233548,17.6392370513
Cnx99A,9.13167209593,10.5359385996,0.00121836740449,18.9114988526
Vha13,8.70316333145,7.78582109888,0.00121836740449,18.9114988526
mei-P26,9.29518326934,6.05325567071,0.00121836740449,18.9114988526
