symbol,medianA,medianB,pvalue,pvalue_adj
dpr6,8.91564812395,0.0,5.13445780758e-06,0.0796970540892
C15,10.3645388217,0.0,5.13445780758e-06,0.0796970540892
CG9650,6.69669805133,0.0,5.13445780758e-06,0.0796970540892
CG42339,0.0,10.4646807032,9.15336830931e-06,0.142078582897
DIP-eta,0.0,9.45918642767,1.11685890367e-05,0.173358839028
Ca-alpha1T,8.8747317127,0.0,1.46238770616e-05,0.22699181975
dpr15,0.0,8.5407044607,1.55845526505e-05,0.24190342624
CG30089,6.06911428853,0.0,1.87923035691e-05,0.291694136
CG31814,7.96876528576,0.0,1.87923035691e-05,0.291694136
DIP-theta,0.0,7.46350857586,3.03089062316e-05,0.470454842527
Cow,4.38514062535,9.98683590651,3.56123299774e-05,0.552774585909
acj6,7.190358109,0.0,3.92892831811e-05,0.609848253538
Ktl,0.0,9.16141365767,4.01279246574e-05,0.622865646532
Ggamma30A,9.52968857074,8.13614852654,4.86728378236e-05,0.755499788697
hth,10.0828168406,11.3525300048,4.86728378236e-05,0.755499788697
fru,0.0,10.6644811469,5.78208106649e-05,0.897494623141
PVRAP,7.50221222342,0.0,6.2654363942e-05,0.972521037107
klg,0.0,6.51068474857,0.00011600356004,1.80060725894
MsR1,0.0,5.56768706635,0.000148206009967,2.30045368671
olf413,7.38542361309,0.0,0.000148206009967,2.30045368671
run,7.19581892696,0.0,0.000191695863289,2.97550318997
CG42342,6.56234121946,9.96153622723,0.000192101013517,2.98179193182
beat-VI,0.0,9.19174419046,0.00019433835008,3.01651986994
Cngl,0.47911303765,6.29450163398,0.000268413593425,4.16631579714
bru-3,7.81718412022,1.05532378529,0.000280015124478,4.34639476215
beat-Ia,8.11413903739,0.0,0.000388399919053,6.02874354353
Atet,5.60763027315,0.0,0.000401100451324,6.22588120545
apt,0.0,8.45497322042,0.000401100451324,6.22588120545
CG42541,8.50599811427,4.60020681071,0.000445826278835,6.92011550008
GstD1,0.0,6.41123403399,0.000542166280837,8.41550501115
vvl,0.0,2.76471215056,0.000542166280837,8.41550501115
CG2082,6.45673887009,0.0,0.000542166280837,8.41550501115
Nop17l,0.0,8.67237509512,0.000545613281863,8.46900936108
ara,8.40700348012,0.0,0.000599404297285,9.30395350247
Gmap,4.17356351599,0.0,0.000634034528259,9.84148394764
rdo,7.37831140697,0.0,0.000634034528259,9.84148394764
ND-B17.2,6.016363199,2.89738435443,0.000660719458141,10.2556874293
mirr,9.92222914713,7.84459795503,0.0006753339723,10.482533918
CG43729,9.85193410769,6.86345494634,0.000824088988833,12.7915092847
Octbeta1R,8.7672676563,0.0,0.000916382889454,14.2240952101
Usp14,7.9144491921,0.0,0.000917336707587,14.2389003752
beat-IIIb,8.20906784392,0.0,0.000924738753125,14.353794926
Mmp2,5.20408015368,7.76864092865,0.000982205636211,15.2457958853
CG14853,9.06770290044,5.36811947167,0.000982205636211,15.2457958853
ATPsyngamma,10.7662632032,9.97174950547,0.00100475242783,15.5957671848
CG11191,0.0,8.64844238129,0.0010139646038,15.7387585801
otk,6.24253798502,0.0,0.0010139646038,15.7387585801
mGluR,7.57762991805,0.0,0.00112871004054,17.5198372493
CG13300,8.33476068104,5.09761111978,0.00121571023979,18.870254342
2mit,0.0,2.70113261329,0.00122388950565,18.9972129066
trn,3.74307689174,0.0,0.00122388950565,18.9972129066
CG34393,0.0,8.44326562662,0.00126291265293,19.6029301988
CG3632,7.14804766205,0.0,0.00138410255674,21.4840398857
Teh2,2.41425784502,7.58644612193,0.00141157064903,21.9103996143
CG32521,4.09609600297,0.0,0.00142779274305,22.1621989576
dpr3,3.80860907891,0.0,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
CG11723,2.37900141069,0.0,0.00142779274305,22.1621989576
kirre,4.04990356739,2.49631661465,0.0015028760232,23.3276416321
Pglym78,7.20166148592,0.0,0.00161732083694,25.1040540309
wit,0.0,8.08675953166,0.00166511987523,25.8459907033
Plod,0.0,7.17732338291,0.00169115023202,26.2500339014
Snp,6.69104504043,1.85547637282,0.00170367355559,26.4444209299
Tbh,8.15410383908,2.59876934604,0.00173908106987,26.9940163665
Oli,6.85858325181,8.41837930221,0.00177131609779,27.4943684699
dock,10.8573904208,9.7404946753,0.00177491931746,27.5502976456
CG10984,6.84645044025,9.07704388835,0.00177491931746,27.5502976456
NK7.1,2.19905967981,6.54430866181,0.00190761839086,29.610052663
DIP-delta,2.73792039012,0.0,0.00194175002269,30.1398438521
rdgA,0.0,4.16508417507,0.00196453706682,30.4935443511
CG5098,0.0,7.11140705318,0.00197494511039,30.6550980034
CG42674,0.0,6.78655482021,0.00201257007866,31.239112761
CG42747,9.25539816768,4.94848002375,0.00209086789089,32.4544514023
Vps28,0.0,6.73512603173,0.00209647825016,32.541535399
rst,4.83927722123,0.0,0.00209647825016,32.541535399
Tl,8.02841167423,4.64568673539,0.00211572035207,32.8402113049
drl,6.32147621073,11.0652401623,0.00213238245702,33.0988404978
CG45263,6.65620893096,0.0,0.00221073834775,34.3150806338
ST6Gal,8.40718453304,0.0,0.00237647722609,36.8876795033
CG3955,7.11233078484,7.93206647831,0.00245863997421,38.1630096797
CG7787,5.86051108926,0.0,0.00255244743278,39.6190890516
CG31221,8.60127989747,4.02537458132,0.00261422729693,40.578036103
CG7565,0.0,8.42867433523,0.00285052336252,44.245823633
CG7222,0.0,7.75341502033,0.00291155513335,45.1931587799
CG30463,0.0,7.21732778913,0.00291155513335,45.1931587799
caup,7.47204160488,0.0,0.00302023299658,46.8800565729
tnc,8.21746774526,9.42496050937,0.00304947296561,47.3339193722
Rbp6,10.6424392542,9.69183709756,0.00304947296561,47.3339193722
CG32103,0.59864195362,8.07036310523,0.00328417982783,50.9770392876
heph,7.5713431239,0.0,0.00328417982783,50.9770392876
eys,0.0,7.02006427143,0.00340824673532,52.9028058256
Sras,0.0,7.80317946326,0.00350254619339,54.3665220138
CG34362,7.66754158081,0.0,0.00350254619339,54.3665220138
CR45156,0.94109838056,0.0,0.00352705120034,54.7468887317
nop5,1.85629804772,0.0,0.00352705120034,54.7468887317
TrissinR,0.0,3.23998192992,0.00352705120034,54.7468887317
