symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,8.77113962356,5.13445780758e-06,0.0796970540892
C15,10.341636877,0.0,9.15336830931e-06,0.142078582897
GV1,9.26506360569,0.0,9.15336830931e-06,0.142078582897
klg,0.0,9.63990765613,9.15336830931e-06,0.142078582897
CG30463,0.0,7.37647153266,9.15336830931e-06,0.142078582897
CG30089,5.54897932283,0.0,1.22446437935e-05,0.190061360963
bru-3,8.37319883199,0.0,1.46238770616e-05,0.22699181975
twz,11.2897181824,8.51372905774,1.75893739454e-05,0.27302226238
Scp2,0.0,8.69778899877,1.87923035691e-05,0.291694136
CG42339,0.0,9.75100626198,2.17621775141e-05,0.337792519373
dpr6,9.16347490292,0.0,2.61723833413e-05,0.406247734223
Cow,0.429335811418,10.2120767084,2.6333192812e-05,0.408743818827
Ptp99A,7.66828634617,2.93737430156,4.79956184089e-05,0.744987988944
CG42342,8.04692797814,10.700587327,4.86728378236e-05,0.755499788697
dpr15,0.0,8.4140434814,6.2654363942e-05,0.972521037107
otk,7.6501324263,0.0,8.30327653547e-05,1.28883458384
CG6597,6.90613418789,0.0,0.00011600356004,1.80060725894
PVRAP,5.62714632026,0.0,0.00011600356004,1.80060725894
CG31221,8.12508192281,0.0,0.000129502823541,2.01014282701
CG33543,1.13236912617,10.3300807071,0.000173095085209,2.68678191261
CG10384,0.0,7.83365592585,0.000188639994557,2.92806999551
Ca-alpha1T,7.91901253235,0.0,0.000191427754366,2.97134160328
DIP-theta,0.0,7.15669663146,0.000191695863289,2.97550318997
dpr20,0.0,6.0676892847,0.000191695863289,2.97550318997
CCKLR-17D3,7.02220893413,0.0,0.000191695863289,2.97550318997
CG34200,3.46192596454,0.0,0.000202898452929,3.14938978637
Rpn12,6.0983708589,0.0,0.000245190061008,3.80584012697
Dscam2,5.00719177773,0.0,0.000245190061008,3.80584012697
Gprk2,8.56641652291,5.79264674892,0.000280015124478,4.34639476215
rdo,8.72330825625,0.0,0.000308239766457,4.78449765495
CR44978,7.28091676265,1.73203317195,0.000332648759751,5.16337404885
Ald,8.19364645681,9.91131343514,0.000365740995907,5.67703173847
CG32204,0.0,7.97629676868,0.000401100451324,6.22588120545
GstD1,0.0,8.66306191899,0.000401100451324,6.22588120545
Bsg,8.888578236,6.7021661058,0.00045046779818,6.99216116335
Cbp53E,0.0,8.27808372777,0.000505276606553,7.84290348691
dpr11,5.26943570702,0.0,0.000542166280837,8.41550501115
IP3K2,0.0,5.62991104635,0.000542166280837,8.41550501115
CG31814,4.49684621393,0.0,0.000542166280837,8.41550501115
CG10947,6.90658682187,0.0,0.000542166280837,8.41550501115
run,7.11959793604,0.0,0.000542166280837,8.41550501115
acj6,4.05848948362,0.0,0.000542166280837,8.41550501115
CG14762,10.4669157109,8.69346311001,0.00055308909204,8.58504888665
