symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,8.61381086678,5.13445780758e-06,0.0796970540892
klg,0.0,9.40370908235,9.15336830931e-06,0.142078582897
CG30089,6.11074137245,0.0,9.33764556343e-06,0.144938934436
bru-3,8.73235403292,0.0,1.11685890367e-05,0.173358839028
GV1,9.94855222031,0.0,1.19642080675e-05,0.185708437624
CG42339,0.0,10.2065765886,1.46238770616e-05,0.22699181975
twz,11.41158199,8.60831441981,1.82210136462e-05,0.282826573817
Cow,3.1607421482,10.19448086,2.17429698644e-05,0.337494378236
C15,10.2802297898,0.0,3.03089062316e-05,0.470454842527
CG30463,0.0,7.5192673273,4.50342179868e-05,0.699021131592
CG42342,8.04692797814,10.4564554795,4.85028584301e-05,0.752861368552
PVRAP,5.62714632026,0.0,6.2654363942e-05,0.972521037107
dpr15,0.0,8.09036391464,6.2654363942e-05,0.972521037107
ara,8.72832486678,0.0,7.39782380629e-05,1.14829021121
Ptp99A,7.97491580529,2.20779860232,7.53563582746e-05,1.16968139314
CG31997,0.0,8.36494336335,8.30327653547e-05,1.28883458384
rdo,8.72330825625,0.0,9.43200352927e-05,1.46403558781
Ca-alpha1T,8.41161116309,0.0,0.000119835656962,1.86008906736
dpr6,8.51648429526,0.0,0.000151723321511,2.3550493965
caup,7.97756549096,0.0,0.000191427754366,2.97134160328
IP3K2,0.0,8.59489743806,0.000191695863289,2.97550318997
TrissinR,0.0,6.90894367153,0.000191695863289,2.97550318997
acj6,6.41275844428,0.0,0.000191695863289,2.97550318997
Shawl,6.11362333507,0.0,0.000260993147107,4.05113562939
Lar,4.77999474561,0.692395504625,0.000332648759751,5.16337404885
Msp300,8.64732788652,6.36237652877,0.000365740995907,5.67703173847
Hsp26,11.3398906401,12.0839050451,0.000365740995907,5.67703173847
Dh44-R1,0.0,8.25438427917,0.000376532512733,5.84453766264
Ror,8.21165989445,0.0,0.000388399919053,6.02874354353
Cbp53E,0.0,7.75791271301,0.000401100451324,6.22588120545
CG32204,0.0,8.17600508103,0.000401100451324,6.22588120545
fru,0.0,9.20045897313,0.000401100451324,6.22588120545
GstD1,0.0,8.23533038068,0.000401100451324,6.22588120545
CG31221,8.06973267008,0.0,0.000403173249831,6.25805518388
nAChRalpha2,6.91674157099,10.223542978,0.000438924708267,6.81298932172
trn,8.25118782517,0.0,0.000468514203725,7.27227747022
run,7.44294585244,0.0,0.000542166280837,8.41550501115
Scp2,0.0,7.18397408719,0.000542166280837,8.41550501115
tsh,0.0,4.6826994299,0.000542166280837,8.41550501115
DIP-theta,0.0,7.00394673409,0.000542166280837,8.41550501115
CG14762,10.5309355637,8.11610925984,0.00055308909204,8.58504888665
Gprk2,8.54856430141,6.58136376628,0.000597201954302,9.26976873468
CG42747,9.28417356927,0.0,0.000608105492195,9.43901344985
mRpL14,6.22765264434,0.0,0.000673809488881,10.4588708864
pros,11.561619183,10.2115731531,0.000676970721546,10.5079395398
nAChRalpha3,7.28064101073,0.0,0.000755145951111,11.7213754531
CG13594,0.0,8.42584981303,0.000792514928053,12.3014167132
CG33543,0.0,9.29177260521,0.000882615531441,13.699958279
CG2082,9.41702342063,0.0,0.000884060424462,13.7223859085
Abp1,7.86344748346,0.0,0.000916382889454,14.2240952101
Tom70,8.56623423656,0.0,0.000924738753125,14.353794926
Ktl,0.0,8.29118983678,0.0010139646038,15.7387585801
tant,0.0,6.52423924307,0.00108495092142,16.8406082023
LpR2,7.29680084129,1.40817320804,0.00120776019566,18.746853757
sdt,0.0,2.59685604041,0.00142779274305,22.1621989576
CG6959,4.24342002012,0.0,0.00142779274305,22.1621989576
Pde1c,0.0,2.64900799072,0.00142779274305,22.1621989576
gammaSnap2,6.90255307361,0.0,0.00142779274305,22.1621989576
DIP-gamma,6.1502512391,0.0,0.00142779274305,22.1621989576
CG34380,9.71652448032,5.99947326021,0.00144200028716,22.3827284574
CG43729,8.72384810221,5.71821622236,0.00146044673523,22.6690542243
sun,6.60521252758,5.54296330802,0.00147282307527,22.8611597743
CG32856,3.95237853944,0.0,0.00150721646069,23.3950139029
heph,6.42981744592,0.0,0.00151213077469,23.4712938847
cic,3.1004287989,0.0,0.00153061881771,23.7582652885
Srpk79D,6.78969482434,8.10899363962,0.00158420443385,24.5900212222
TBC1D16,8.35006170039,0.0,0.00161732083694,25.1040540309
CR44978,7.28091676265,3.873832567,0.00170367355559,26.4444209299
CCKLR-17D3,7.02220893413,0.0,0.00171566764987,26.6305932612
MCTS1,7.28077990398,8.5541121093,0.00177131609779,27.4943684699
mt:ND6,1.46971764398,0.0,0.00194175002269,30.1398438521
mt:ATPase8,5.27512629506,4.02889287572,0.00213238245702,33.0988404978
Drep2,8.02342724728,3.08320769862,0.00233008206691,36.1675338426
CG34356,4.52541007285,0.0,0.00237816800051,36.9139237038
sano,4.2859292906,0.0,0.00239300692391,37.1442534729
tho2,3.79864906322,0.0,0.00239300692391,37.1442534729
CG9776,6.4028978646,0.0,0.00242461696602,37.6349045466
kirre,5.65604041164,2.71677967624,0.00245863997421,38.1630096797
CG42541,9.32191921971,6.62241792019,0.00254913889704,39.5677339598
CG42389,4.09950242402,0.0,0.00255244743278,39.6190890516
dpr18,7.28850441503,0.0,0.0027480089233,42.6545945074
CG6693,0.0,7.01684504565,0.0027480089233,42.6545945074
CG7564,6.71628643059,0.0,0.00286910496103,44.534247205
CG31814,4.49684621393,0.0,0.0029371589306,45.5905809207
Teh1,6.58613229983,3.95333672792,0.00293985221537,45.632386087
mt:ATPase6,9.70663687588,8.6443766834,0.00304947296561,47.3339193722
26-29-p,8.71827173247,9.56491444612,0.00304947296561,47.3339193722
hth,9.79836045648,11.2172506929,0.00304947296561,47.3339193722
sda,0.0,6.57945980425,0.00307529397712,47.7347131128
caps,5.12926960442,0.0,0.00344965301637,53.54551412
CG7484,5.82554620611,0.0,0.00348497681177,54.0938100723
CG14086,0.0,0.829909524105,0.00352705120034,54.7468887317
Cct2,0.59088758484,0.0,0.00352705120034,54.7468887317
Gyc-89Db,1.83819504488,0.0,0.00352705120034,54.7468887317
dpr3,1.82099787877,0.0,0.00352705120034,54.7468887317
CG34354,1.8171233438,0.0,0.00352705120034,54.7468887317
CG12065,0.0,2.7799538108,0.00352705120034,54.7468887317
dpr20,0.0,1.02392526195,0.00352705120034,54.7468887317
mGluR,0.497472049041,0.0,0.00352705120034,54.7468887317
Jupiter,9.93313850314,10.7370640235,0.0036299774941,56.3445106633
Syx1A,9.5030240414,7.96245165575,0.0036299774941,56.3445106633
CG14079,6.42508724623,0.0,0.00363867987433,56.4795890094
CG16868,6.23260383441,0.0,0.00364894251992,56.6388857942
beat-VI,0.0,6.0287006949,0.00364894251992,56.6388857942
Fas3,7.43817608473,0.0,0.00373444360938,57.9660337047
CG5447,7.7657510722,0.0,0.00383068638571,59.4599140789
CG6597,6.56005406239,0.0,0.00398864969176,61.9118205154
CG42750,7.38414805175,0.0,0.0040621522325,63.0527269528
Mkrn1,7.38715650676,0.0,0.0041336439511,64.162421409
nAChRalpha6,7.81836103023,2.98069882776,0.00416441879531,64.6401085409
CG13887,8.44809096248,6.93583257666,0.00430055266134,66.7531784093
CG45049,8.6039063365,6.33324095474,0.00430777905941,66.8653465602
Bsg,8.86547329726,6.7999540885,0.00430777905941,66.8653465602
Ntmt,4.82713334989,0.0,0.00437130777888,67.8514393438
hdc,5.94466097402,0.0,0.00451760512169,70.1222666989
5PtaseI,7.07723094683,8.74941063915,0.00481299234794,74.7072672248
SKIP,5.20990730047,7.58453282198,0.00493354571083,76.5784965235
CG6024,5.51309184931,1.1133804517,0.00493354571083,76.5784965235
Toll-6,9.9389848504,5.7812138296,0.00501472614484,77.8385792202
Syt4,7.32704340718,8.822630118,0.00506374462822,78.5994441192
Hsp27,10.7123534037,11.4730312892,0.00509655249555,79.108687836
Ref1,8.56700555753,9.84209926841,0.00509655249555,79.108687836
UQCR-11,8.25615228646,7.26627579431,0.00509655249555,79.108687836
RpL39,7.8869407953,6.90064673257,0.00509655249555,79.108687836
MAPk-Ak2,3.89166345826,8.91579133611,0.00523521521884,81.2610106268
CG14722,2.67765175704,0.0,0.0053005570512,82.2752465487
NPFR,7.13020123382,0.0,0.0053005570512,82.2752465487
CG6766,8.40646335077,1.01309174162,0.00550127178673,85.3907406736
otk,7.6501324263,1.01309174162,0.00569007744509,88.3213821027
Rpb11,4.93667030674,0.0,0.00570910433234,88.6167174465
Prpk,7.21732932605,0.0,0.00570910433234,88.6167174465
Arf51F,7.79939969478,0.0,0.00571579258186,88.7205324556
CG4101,4.7897958786,1.65800770252,0.00582677971481,90.4432747333
Dic1,8.0363089747,0.0,0.00587556329273,91.2004934297
REPTOR-BP,5.10840357884,0.0,0.00587556329273,91.2004934297
Mdh1,7.0350067527,0.0,0.00587556329273,91.2004934297
Syn1,6.75136378407,0.0,0.00587556329273,91.2004934297
alpha-Man-Ib,9.49696389164,5.12851210212,0.00591876009522,91.8709941979
CG14207,0.0,8.10767443811,0.00592082091217,91.9029821987
glob1,9.14870217955,7.84963945241,0.00597427122471,92.7326379499
tna,6.53752992287,3.922849533,0.00600211729593,93.1648646674
CG1317,8.55887619387,6.01824141241,0.00601141270381,93.3091479885
shakB,10.060965526,9.26360766329,0.00601141270381,93.3091479885
Cngl,2.51591670482,6.98664094013,0.00621296200904,96.4375963044
CG4558,0.0,6.92075622735,0.0064649498014,100.348950817
B4,4.74889983573,0.0,0.00649274409288,100.78037381
Oseg4,0.929946792078,0.0,0.00663282670479,102.954736112
CG10384,0.0,3.92480592689,0.00663282670479,102.954736112
NTPase,0.0,6.86411449364,0.00663282670479,102.954736112
CLS,4.01642500892,0.0,0.00663282670479,102.954736112
CG7739,6.32901557481,8.33967360565,0.00686066545951,106.491249262
CG13532,9.48512106745,8.01099654513,0.00702709940089,109.074636901
mCD8-GFP,12.3595013024,12.7884505366,0.00706898472796,109.724780947
RpS14b,6.99620273327,5.69426174097,0.00706898472796,109.724780947
RpLP2,9.12559022303,8.48587312913,0.00706898472796,109.724780947
Rtnl1,10.0794606053,9.38327676898,0.00706898472796,109.724780947
Atpalpha,13.2773397248,13.6254251681,0.00706898472796,109.724780947
CG41128,5.36033693012,3.64563565271,0.00706898472796,109.724780947
CG1440,3.66140878577,8.50380685754,0.00763910951658,118.574257916
rgn,0.0,7.78685946091,0.00770023265441,119.523011262
CR43685,6.79927033696,0.0,0.00770143730756,119.541709888
Octbeta3R,0.0,3.95076359827,0.00770143730756,119.541709888
Sidpn,6.84947911448,0.0,0.00781736611063,121.341156769
CG5191,6.73670470148,0.0,0.00802528727053,124.568509013
Kul,0.0,3.39566148228,0.00802528727053,124.568509013
PRAS40,6.42432249187,8.8515257937,0.00805333439793,125.003856525
CG34362,4.96018951087,0.0,0.00805893116142,125.090729488
cnir,6.43177608566,0.0,0.00805893116142,125.090729488
CG43740,0.0,0.0,0.00823657790279,127.848162207
CG2201,0.0,0.0,0.00823657790279,127.848162207
CycJ,0.0,0.0,0.00823657790279,127.848162207
EndoG,0.0,0.0,0.00823657790279,127.848162207
wac,0.0,0.0,0.00823657790279,127.848162207
CG32354,0.0,0.0,0.00823657790279,127.848162207
CG11317,0.0,0.0,0.00823657790279,127.848162207
Ret,0.0,0.0,0.00823657790279,127.848162207
CG31760,0.0,0.0,0.00823657790279,127.848162207
Nup44A,0.0,0.0,0.00823657790279,127.848162207
CG1785,0.0,0.0,0.00823657790279,127.848162207
CG9667,0.0,0.0,0.00823657790279,127.848162207
pgant6,0.0,0.0,0.00823657790279,127.848162207
MICAL-like,0.0,0.0,0.00823657790279,127.848162207
CG14438,0.0,0.0,0.00823657790279,127.848162207
CG14667,0.0,0.0,0.00823657790279,127.848162207
oxt,0.0,0.0,0.00823657790279,127.848162207
CrzR,0.0,0.0,0.00823657790279,127.848162207
CG32649,0.0,0.0,0.00823657790279,127.848162207
l(3)07882,0.0,0.0,0.00823657790279,127.848162207
Trs23,0.0,0.0,0.00823657790279,127.848162207
CG1109,0.0,0.0,0.00823657790279,127.848162207
rdgBbeta,0.0,0.0,0.00823657790279,127.848162207
ome,0.0,0.0,0.00823657790279,127.848162207
TkR86C,0.0,0.0,0.00823657790279,127.848162207
aurA,0.0,0.0,0.00823657790279,127.848162207
CG43737,7.37928455974,0.0,0.0082400050643,127.901358608
exd,5.83052635156,8.5942195916,0.00828746337493,128.638006506
CG30172,9.6092416982,8.8425598412,0.00828746337493,128.638006506
Ten-m,6.35172049118,0.0,0.00860538725139,133.572820916
dpr12,8.05108281211,6.20277615673,0.00895070993697,138.932919642
CG9548,6.50371371076,3.28807271635,0.0089600468541,139.077847269
