symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,9.01081615228,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.1466756769,5.13445780758e-06,0.0796970540892
CG42339,0.0,10.5189360742,1.11685890367e-05,0.173358839028
klg,0.0,9.40370908235,1.11685890367e-05,0.173358839028
GV1,9.7628446874,0.0,1.60001094808e-05,0.248353699361
twz,11.4296895255,8.43001939185,1.80085268433e-05,0.279528353662
C15,10.3608638743,0.0,1.87923035691e-05,0.291694136
CG30089,5.54897932283,0.0,2.08338413307e-05,0.323382885135
ara,8.49357157131,0.0,2.61723833413e-05,0.406247734223
CG42342,7.3193569713,10.6170985662,2.99179589652e-05,0.464386559058
caup,7.76449237421,0.0,3.03089062316e-05,0.470454842527
fru,0.0,9.56180566307,3.03089062316e-05,0.470454842527
Cow,5.72530507865,10.0514934213,3.69333042231e-05,0.573278748152
Dh44-R1,0.0,8.81969514316,4.50342179868e-05,0.699021131592
hth,9.66959440161,11.1000197153,4.86728378236e-05,0.755499788697
CG2082,9.79476838249,0.0,5.78208106649e-05,0.897494623141
PVRAP,5.62714632026,0.0,6.2654363942e-05,0.972521037107
Ktl,0.0,9.70492328675,6.44528980183e-05,1.00043788304
Ca-alpha1T,8.40633989009,0.0,7.39782380629e-05,1.14829021121
CG13594,0.0,8.24386255804,0.000106995032231,1.66077689029
CG42747,9.32712719368,0.0,0.000129502823541,2.01014282701
CG33543,0.0,10.0747068446,0.000129502823541,2.01014282701
Gprk2,8.87827615501,0.0,0.000132597583797,2.05817969569
DIP-theta,0.0,6.90758331983,0.000191695863289,2.97550318997
run,7.44294585244,0.0,0.000191695863289,2.97550318997
acj6,5.53712857842,0.0,0.000191695863289,2.97550318997
CG30463,0.0,7.39069722319,0.00019433835008,3.01651986994
CR43826,0.0,2.01809783987,0.00019433835008,3.01651986994
bru-3,7.66690035633,0.0,0.000202898452929,3.14938978637
betaTub56D,14.0712654486,13.5294014561,0.000238840864478,3.70728789844
GstD1,0.0,8.20327659544,0.000401100451324,6.22588120545
RpL3,10.7965291803,9.60162516817,0.00045046779818,6.99216116335
B4,4.78776381393,0.0,0.0004791681021,7.43764728079
