symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,9.66642128926,5.13445780758e-06,0.0796970540892
CG30089,6.70386216057,0.0,5.13445780758e-06,0.0796970540892
dpr15,0.0,8.74186741418,5.13445780758e-06,0.0796970540892
dpr6,8.82723858043,0.0,7.09569794446e-06,0.110139423494
bru-3,7.98417316677,0.0,9.15336830931e-06,0.142078582897
klg,0.0,9.78676533553,1.11685890367e-05,0.173358839028
Ktl,0.0,9.71032811152,1.45213319843e-05,0.22540011506
hth,9.79836045648,11.3527040688,1.82922767695e-05,0.283932720016
C15,10.1712697756,0.0,1.87923035691e-05,0.291694136
CG42339,0.0,10.5741423116,1.88783859368e-05,0.293030306511
GV1,9.45077113859,0.0,2.02308250395e-05,0.314022866263
CG31997,0.0,8.97205430473,3.58926629413e-05,0.557125914175
Cow,0.429335811418,9.83746235012,4.29865050075e-05,0.667236530727
CG42342,8.04692797814,10.5156062184,4.86728378236e-05,0.755499788697
Gprk2,8.6210043641,0.0,5.07473053166e-05,0.787699673125
fru,0.0,9.18079709202,6.2654363942e-05,0.972521037107
PVRAP,5.62714632026,0.0,6.2654363942e-05,0.972521037107
ara,8.72832486678,0.0,9.43200352927e-05,1.46403558781
Ca-alpha1T,7.73947531081,0.0,9.43200352927e-05,1.46403558781
CG30463,0.0,7.39275689052,0.00011600356004,1.80060725894
beat-VI,0.0,6.94594636771,0.000148206009967,2.30045368671
twz,11.41158199,9.5650510068,0.000152167966278,2.36195117257
acj6,5.10194798344,0.0,0.000191695863289,2.97550318997
GstD1,0.0,7.76496631808,0.000191695863289,2.97550318997
CG4629,4.80450468052,0.0,0.000191695863289,2.97550318997
CG3625,9.49708159164,10.7665647999,0.000238840864478,3.70728789844
nAChRalpha2,6.15174717129,10.7684616597,0.000346567437383,5.37941976306
heph,6.42981744592,0.0,0.000401100451324,6.22588120545
rdgA,0.0,6.01724050629,0.000403173249831,6.25805518388
rgn,0.0,8.19181713136,0.000505276606553,7.84290348691
dpr11,5.26943570702,0.0,0.000542166280837,8.41550501115
Fife,0.0,3.87441046521,0.000542166280837,8.41550501115
TrissinR,0.0,7.09384045214,0.000542166280837,8.41550501115
CG11221,5.6603970531,0.0,0.000542166280837,8.41550501115
CG32204,0.0,6.18045550952,0.000542166280837,8.41550501115
CG31814,4.98360797655,0.0,0.000542166280837,8.41550501115
run,7.11959793604,0.0,0.000542166280837,8.41550501115
IP3K2,0.0,2.6348051321,0.000542166280837,8.41550501115
Scp2,0.0,1.82270212971,0.000542166280837,8.41550501115
sdt,0.0,2.95886328921,0.000542166280837,8.41550501115
CCKLR-17D3,9.29486049133,0.0,0.000634034528259,9.84148394764
CG42747,9.33890175119,0.0,0.000746008722863,11.5795473963
Hsp26,11.3934272273,11.9690688444,0.000826019728117,12.8214782198
Fas2,8.70734185662,10.2789308928,0.000826019728117,12.8214782198
