symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,6.85833609592,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,8.89575367747,5.13445780758e-06,0.0796970540892
C15,10.2802297898,0.0,7.09569794446e-06,0.110139423494
klg,0.0,9.35174099974,1.11685890367e-05,0.173358839028
GV1,9.45077113859,0.0,1.19642080675e-05,0.185708437624
dpr15,0.0,8.99690899929,1.87923035691e-05,0.291694136
Cow,0.429335811418,9.98566564464,2.05109686014e-05,0.318371254631
CG42339,0.0,10.5389002304,2.17621775141e-05,0.337792519373
twz,11.2897181824,5.35817589229,2.78712282901e-05,0.43261720552
PVRAP,6.05611563412,0.0,3.03089062316e-05,0.470454842527
CG30463,0.0,7.550380625,3.03089062316e-05,0.470454842527
sdt,0.0,5.60713168825,6.2654363942e-05,0.972521037107
fru,0.0,9.51965355214,6.2654363942e-05,0.972521037107
bru-3,7.98417316677,0.0,7.41699466527e-05,1.15126591194
Ktl,0.0,8.54090314286,8.30327653547e-05,1.28883458384
CG42342,8.04692797814,10.7980693894,9.77664335981e-05,1.51753058231
nAChRalpha3,7.20397023203,0.0,0.000106995032231,1.66077689029
Cngl,5.03760568244,7.63807019844,0.000115606413363,1.79444274822
rdo,8.4550476714,0.0,0.00011600356004,1.80060725894
Ten-m,6.35172049118,0.0,0.000166728382707,2.58795795638
beat-Vb,7.30732814252,0.0,0.000191695863289,2.97550318997
rgn,0.0,8.06237146005,0.000191695863289,2.97550318997
Scp2,0.0,7.92153314584,0.000191695863289,2.97550318997
DIP-theta,0.0,6.97615922224,0.000191695863289,2.97550318997
GstD1,0.0,7.03671866702,0.000191695863289,2.97550318997
caup,7.87669325576,0.0,0.000203467506621,3.15822263778
betaTub56D,14.1195740419,13.164939639,0.000238840864478,3.70728789844
dpr6,8.82723858043,0.0,0.000240683285505,3.73588595761
CG34114,0.0,5.29610969026,0.000245190061008,3.80584012697
l(1)G0320,6.29454681968,8.19907789546,0.00029277029605,4.54438053528
CG9368,8.23751932442,0.819969212405,0.000313816746402,4.87106353765
Ca-alpha1T,7.35232279644,0.0,0.000318096176154,4.93748884626
CG33543,1.13236912617,10.1751151895,0.000332648759751,5.16337404885
hth,9.68013471146,11.2097399521,0.000365740995907,5.67703173847
CG2082,9.75530822982,0.0,0.000376532512733,5.84453766264
Cbp53E,0.0,5.89060509108,0.000401100451324,6.22588120545
Hsp67Bc,12.815521831,13.2978840415,0.00045046779818,6.99216116335
Act5C,13.630636539,12.9427526832,0.00045046779818,6.99216116335
beat-VI,0.0,7.70512187674,0.000505276606553,7.84290348691
IP3K2,0.0,9.74684054807,0.000542166280837,8.41550501115
run,7.11959793604,0.0,0.000542166280837,8.41550501115
tsh,0.0,4.43831044967,0.000542166280837,8.41550501115
acj6,5.10194798344,0.0,0.000542166280837,8.41550501115
disp,4.21726326037,0.0,0.000542166280837,8.41550501115
CG32204,0.0,6.04029050511,0.000542166280837,8.41550501115
dpr13,0.0,5.31289476654,0.000542166280837,8.41550501115
TrissinR,0.0,6.13575119213,0.000542166280837,8.41550501115
CG6959,6.80102028658,0.0,0.000542166280837,8.41550501115
CG12194,8.37098765606,5.36610464087,0.00055308909204,8.58504888665
Gprk2,8.56641652291,0.0,0.000608105492195,9.43901344985
glob1,9.09965874336,2.03836247524,0.000621214340659,9.6424889957
pros,11.561619183,10.3028128317,0.000676970721546,10.5079395398
ara,8.72832486678,0.0,0.000717893223829,11.1431386203
rdgC,2.22488200802,7.59988179375,0.000722323516879,11.211905629
AMPdeam,8.15017554925,10.2608468847,0.000824088988833,12.7915092847
sca,7.94650278559,9.08420207823,0.00100475242783,15.5957671848
CycG,10.3166163905,11.3360410692,0.00100475242783,15.5957671848
beat-IIIb,7.88596876364,0.0,0.0010075321246,15.6389136381
CG7564,7.20749090121,0.391791080681,0.00107504485903,16.6868463018
Hsp70Bbb,0.0,2.49602557726,0.00108495092142,16.8406082023
Rpn12,6.0983708589,0.0,0.00108495092142,16.8406082023
CG4629,6.32847452612,0.0,0.00112880308385,17.5212814675
otk,8.37509832723,3.60628745408,0.00119195654579,18.5015495037
CG14207,0.0,8.2321072593,0.00123829633922,19.2208357774
CG11221,5.68875587262,0.0,0.00126291265293,19.6029301988
CG42747,9.28417356927,2.5763987335,0.00130526710377,20.2603559847
CG10214,2.77292716252,0.0,0.00142779274305,22.1621989576
CCKLR-17D1,4.93480026905,0.0,0.00142779274305,22.1621989576
dpr2,5.08020250009,0.0,0.00142779274305,22.1621989576
Oct-TyrR,0.0,7.30891153391,0.00142779274305,22.1621989576
CrzR,0.0,8.24366763205,0.00142779274305,22.1621989576
Msp300,8.64898676916,5.27004658623,0.00146044673523,22.6690542243
Ptp99A,7.61197844113,4.40243927173,0.00146972308396,22.8130417092
mbf1,9.41210508,8.38693294601,0.00147282307527,22.8611597743
CG42541,9.03014804918,6.01220120294,0.00147282307527,22.8611597743
heph,6.09382292664,0.0,0.00151213077469,23.4712938847
CG31997,0.0,8.36494336335,0.00157976558932,24.5211214775
CG6812,0.0,8.50851371787,0.00163600897563,25.3941313198
CG13594,0.0,8.46496336955,0.00171566764987,26.6305932612
Pka-R2,7.74078548234,2.37621315221,0.00173908106987,26.9940163665
Ten-a,5.69379577564,7.67006851227,0.00177491931746,27.5502976456
apt,0.0,8.91924078409,0.00196453706682,30.4935443511
Syn2,5.95691809451,4.12134956902,0.00209086789089,32.4544514023
galectin,8.17729657187,0.0,0.00221073834775,34.3150806338
mt:ND6,1.59580580549,0.0,0.00226897640886,35.2190518183
CG6454,0.0,6.93724783532,0.00239300692391,37.1442534729
CG17364,6.11603708533,0.0,0.00239300692391,37.1442534729
CG30493,5.61466701569,0.0,0.00239300692391,37.1442534729
sbb,6.51429628578,8.42114660902,0.0025539527125,39.6424540034
beat-Ib,0.0,8.15348451474,0.00285052336252,44.245823633
CG31221,7.90631096856,0.0,0.00286910496103,44.534247205
Teh1,7.14855374828,0.0,0.00291155513335,45.1931587799
Spx,7.55989361067,0.0,0.00292094333165,45.3388823938
Mical,3.31771043468,0.0,0.0029371589306,45.5905809207
CG13532,9.48512106745,6.4619984712,0.0030273744898,46.9909068306
CG11267,8.24835932512,7.45706752182,0.00304947296561,47.3339193722
dpr18,7.05568011565,0.0,0.00319987388694,49.6684424731
Arpc2,7.82943835556,0.0,0.00344965301637,53.54551412
rdgA,0.0,5.15728518155,0.00348497681177,54.0938100723
sgl,2.15270343316,0.0,0.00352705120034,54.7468887317
bor,3.37500691528,0.0,0.00352705120034,54.7468887317
RfC4,2.82387351892,0.0,0.00352705120034,54.7468887317
APC10,2.09831968054,0.0,0.00352705120034,54.7468887317
CG9304,0.0,3.66817336298,0.00352705120034,54.7468887317
Pde1c,0.0,2.3851208668,0.00352705120034,54.7468887317
Zw10,2.54645969612,0.0,0.00352705120034,54.7468887317
CG31760,0.0,0.487908021298,0.00352705120034,54.7468887317
CG5131,2.0735180797,0.0,0.00352705120034,54.7468887317
ERR,0.0,0.84456842455,0.00352705120034,54.7468887317
CG3704,0.0,0.54044036669,0.00352705120034,54.7468887317
CG6123,0.0,1.0830192237,0.00352705120034,54.7468887317
BCAS2,3.41811703796,0.0,0.00352705120034,54.7468887317
Fife,0.0,1.05834136741,0.00352705120034,54.7468887317
nAChRalpha2,7.48925446762,10.3532989161,0.00356688708755,55.3652213729
Aplip1,7.52049247372,9.10710511043,0.00360467167913,55.9517138034
alc,4.0060442325,7.65501434146,0.00360467167913,55.9517138034
Ggamma30A,9.7276797502,8.69157959512,0.0036299774941,56.3445106633
Act42A,12.457007751,12.1200300777,0.0036299774941,56.3445106633
CCKLR-17D3,6.46903050733,0.0,0.00374224898317,58.0871887168
Bub3,7.9670455082,0.0,0.00374224898317,58.0871887168
CG13900,6.51952307936,0.0,0.00383068638571,59.4599140789
CG17593,8.25113150003,0.0,0.00415787213509,64.5384912809
CG9776,5.64095139789,0.0,0.00418611821577,64.9769269452
CG34380,9.56071816506,6.41045152112,0.0042357913158,65.7479528038
CG43729,8.55057143969,6.69002764245,0.00427891027272,66.4172452531
Hsp26,11.4474810154,12.0562200172,0.00430777905941,66.8653465602
HmgZ,8.8114947011,8.06864569518,0.00430777905941,66.8653465602
NPFR,6.7630879791,0.0,0.00437130777888,67.8514393438
CG40439,4.02291066782,1.81089660872,0.00442139823196,68.6289433564
hbs,6.45717555696,1.33382116624,0.00442139823196,68.6289433564
O-fut1,6.93298695035,8.70893793544,0.00442139823196,68.6289433564
CG10947,5.52559335082,0.0,0.00447257634231,69.4233299853
Eaf,0.0,2.92309595919,0.00447257634231,69.4233299853
CR43685,5.74423822993,0.0,0.00447257634231,69.4233299853
CG10809,7.52088748835,0.0,0.00450661135093,69.9516213891
dpr8,2.40346694006,0.0,0.00450661135093,69.9516213891
sda,0.0,4.26193972258,0.00451760512169,70.1222666989
CG34401,0.0,5.14840869736,0.00451760512169,70.1222666989
CG41128,5.36033693012,3.57347603865,0.0046796772687,72.6379505648
sxc,7.05638904206,0.0,0.00494472589418,76.7520353295
Rpt5,7.76598272305,0.0,0.00498665807882,77.4029066995
wap,8.2597126205,5.19307276874,0.00501472614484,77.8385792202
Toll-6,9.56994668662,7.58271700476,0.00506374462822,78.5994441192
CG12025,9.57952216317,8.00633119974,0.00508834087578,78.9812270738
shakB,9.95314561634,9.38011541728,0.00509655249555,79.108687836
P5CDh1,9.30628090263,8.79688641846,0.00509655249555,79.108687836
CG11583,5.82601399233,0.0,0.00544425276621,84.5056914371
CG6406,0.0,6.62347997731,0.00544425276621,84.5056914371
Nurf-38,9.14060427918,6.82150046651,0.00545010546949,84.5965370974
CG10384,0.0,2.7877405312,0.00545841288083,84.7254847362
CG11077,2.12591306288,0.0,0.00545841288083,84.7254847362
Ald,8.19364645681,10.0054475921,0.00552847790733,85.8130340775
Fas2,8.88789915555,10.4121461479,0.00552847790733,85.8130340775
Men,7.03454925804,0.0,0.00570910433234,88.6167174465
dbo,7.72848679131,0.0,0.00571579258186,88.7205324556
kirre,5.38558108295,3.34633635858,0.00582677971481,90.4432747333
Ac76E,7.42514071435,0.0,0.00586160832233,90.9838843792
Strip,7.21799616558,0.0,0.00587556329273,91.2004934297
Alh,6.52104787319,0.0,0.00587556329273,91.2004934297
Spase22-23,6.34203255823,4.03052952563,0.00597427122471,92.7326379499
SdhC,8.7394189651,8.15649720017,0.00601141270381,93.3091479885
Atpalpha,13.3086848023,13.7371403019,0.00601141270381,93.3091479885
Tsp96F,8.73797667641,7.67456908651,0.00601141270381,93.3091479885
HP4,7.49729428525,5.65843047579,0.0064228111727,99.6948750227
Top2,0.0,6.96741371416,0.0064436900087,100.018956315
Rim2,2.70195509069,0.0,0.0064436900087,100.018956315
Ror,7.70122530316,0.0,0.0064436900087,100.018956315
MED7,0.501406763875,7.2921802631,0.00649274409288,100.78037381
CG12994,7.32859242292,0.0,0.00649274409288,100.78037381
Bet5,5.90692778861,0.0,0.00653613018271,101.453812696
CG31814,2.74152664607,0.0,0.00663282670479,102.954736112
HBS1,2.20814855785,0.0,0.00663282670479,102.954736112
Ubi-p63E,5.61256050102,0.0,0.00696973433282,108.184216314
CG7985,0.678027432435,8.8498870585,0.00732347214775,113.674934677
p130CAS,8.73835842999,3.64716280218,0.00763910951658,118.574257916
CG3556,8.07370357069,9.59414630266,0.00764579663351,118.678055345
CR43826,0.0,1.20248010198,0.00770023265441,119.523011262
Nplp1,5.35986476813,0.0,0.00770023265441,119.523011262
tara,6.95887228065,0.0,0.00770023265441,119.523011262
Glo1,6.37211483488,0.0,0.00770143730756,119.541709888
rho-4,0.0,2.00670566644,0.00770143730756,119.541709888
nct,0.0,1.48668950363,0.00781736611063,121.341156769
CG3209,8.16291245607,2.96363740023,0.00787960493564,122.307227811
otk2,6.18304944482,0.0,0.00802528727053,124.568509013
CG11970,0.0,3.39551620869,0.00802528727053,124.568509013
CG3939,5.95330534171,0.0,0.00802528727053,124.568509013
CG6412,7.05537762817,2.0967192027,0.00805333439793,125.003856525
CR44978,7.29572465075,4.32315399854,0.00805333439793,125.003856525
CG34132,6.54088316998,5.23276499584,0.0081700454027,126.815444741
ifc,0.0,0.0,0.00823657790279,127.848162207
CG14667,0.0,0.0,0.00823657790279,127.848162207
Gyc-89Db,0.0,0.0,0.00823657790279,127.848162207
CG14438,0.0,0.0,0.00823657790279,127.848162207
heix,0.0,0.0,0.00823657790279,127.848162207
Slbp,0.0,0.0,0.00823657790279,127.848162207
Trim9,0.0,0.0,0.00823657790279,127.848162207
CG9896,0.0,0.0,0.00823657790279,127.848162207
CG6950,0.0,0.0,0.00823657790279,127.848162207
CG11317,0.0,0.0,0.00823657790279,127.848162207
slv,0.0,0.0,0.00823657790279,127.848162207
CG13743,0.0,0.0,0.00823657790279,127.848162207
CG10089,0.0,0.0,0.00823657790279,127.848162207
CalpB,0.0,0.0,0.00823657790279,127.848162207
Tsp5D,0.0,0.0,0.00823657790279,127.848162207
CG42346,0.0,0.0,0.00823657790279,127.848162207
CG9125,0.0,0.0,0.00823657790279,127.848162207
CR32111,0.0,0.0,0.00823657790279,127.848162207
CG4866,6.52376961655,0.0,0.0082400050643,127.901358608
Hrb98DE,10.6712775353,9.3561769002,0.00828746337493,128.638006506
pAbp,10.9823670758,11.33228429,0.00828746337493,128.638006506
fne,10.573001384,9.71292161788,0.00828746337493,128.638006506
CG34167,0.0,4.43642054742,0.00914149983987,141.894360514
CG34362,4.96018951087,0.0,0.00914149983987,141.894360514
