symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,9.62272198278,5.13445780758e-06,0.0796970540892
dpr15,0.0,8.82764929355,5.13445780758e-06,0.0796970540892
klg,0.0,9.48680277049,7.09569794446e-06,0.110139423494
Cow,0.429335811418,10.0806608232,1.59244638206e-05,0.247179527424
CG30089,6.11074137245,0.0,1.60001094808e-05,0.248353699361
CG42339,0.0,9.8266194909,1.68616240509e-05,0.261726128517
ara,8.49357157131,0.0,1.87923035691e-05,0.291694136
dpr6,9.05480242779,0.0,2.08338413307e-05,0.323382885135
Ktl,0.0,9.87249186113,2.17621775141e-05,0.337792519373
twz,11.2025545925,8.84520584648,2.34743628248e-05,0.364369059766
GV1,9.26506360569,0.0,2.43019981857e-05,0.377215615839
C15,10.1820656353,0.0,3.03089062316e-05,0.470454842527
Ca-alpha1T,8.41161116309,0.0,3.03089062316e-05,0.470454842527
CG42342,7.83232560382,10.3048435917,4.86728378236e-05,0.755499788697
CG4629,6.14799174894,0.0,6.2654363942e-05,0.972521037107
IP3K2,0.0,8.8252387453,6.2654363942e-05,0.972521037107
Rpn2,8.36064368358,0.0,7.99259080905e-05,1.24060994538
CG32204,0.0,8.33444955238,0.00011600356004,1.80060725894
PVRAP,5.62714632026,0.0,0.00011600356004,1.80060725894
fru,0.0,8.9131778111,0.00011600356004,1.80060725894
CG31221,8.12508192281,0.0,0.000148803009366,2.30972031139
Ten-m,6.07929986428,0.0,0.000181576601823,2.8184320135
caup,8.02435148327,0.0,0.000181576601823,2.8184320135
bru-3,7.98417316677,0.0,0.000186449746378,2.89407296328
CG31814,5.10559794976,0.0,0.000191695863289,2.97550318997
run,7.72879274585,0.0,0.000191695863289,2.97550318997
hth,9.93481295898,11.3769831957,0.000192101013517,2.98179193182
CG30463,0.0,6.44675272556,0.00019433835008,3.01651986994
CG8223,0.0,5.65558269128,0.000208451288533,3.23558090061
Fas2,8.70734185662,10.6940703246,0.000296021072947,4.59483909429
CCKLR-17D3,8.19772829953,0.0,0.000302203756243,4.69080670441
CG31997,0.0,8.7256850364,0.000313816746402,4.87106353765
otk,7.6501324263,0.0,0.000324921862813,5.04343715458
