symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,6.70386216057,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.70870796952,5.13445780758e-06,0.0796970540892
GV1,9.26506360569,0.0,5.13445780758e-06,0.0796970540892
dpr15,0.0,9.01081615228,5.13445780758e-06,0.0796970540892
klg,0.0,9.5184871167,9.15336830931e-06,0.142078582897
bru-3,7.66690035633,0.0,1.11685890367e-05,0.173358839028
Cow,0.0,10.2638570743,1.46238770616e-05,0.22699181975
CG42342,7.83232560382,10.6014214538,1.82922767695e-05,0.283932720016
GstD1,0.0,8.79428308043,1.87923035691e-05,0.291694136
C15,10.1820656353,0.0,1.87923035691e-05,0.291694136
CG32204,0.0,7.47259071079,1.87923035691e-05,0.291694136
CG42339,0.0,10.5839324658,2.79943635337e-05,0.434528510771
PVRAP,5.62714632026,0.0,6.2654363942e-05,0.972521037107
TrissinR,0.0,7.58584054635,6.2654363942e-05,0.972521037107
dpr6,8.82723858043,0.0,7.08433523144e-05,1.09963051462
twz,11.2025545925,8.41820634818,7.687377789e-05,1.19323478041
nAChRalpha2,6.15174717129,11.08262793,0.000115606413363,1.79444274822
sda,0.0,6.40202160721,0.00011600356004,1.80060725894
CG30463,0.0,4.85955610258,0.00011600356004,1.80060725894
Gprk2,8.87827615501,2.99981366204,0.000138338286964,2.14728689026
Ca-alpha1T,7.91901253235,0.0,0.000151723321511,2.3550493965
Act42A,12.457007751,11.9821749102,0.000154022352814,2.39073496038
Cngl,5.16851448229,7.38114620576,0.000186526072248,2.89525769344
fru,0.0,8.81081316418,0.000191695863289,2.97550318997
Scp2,0.0,6.69208561271,0.000191695863289,2.97550318997
CG31814,5.91147834711,0.0,0.000191695863289,2.97550318997
DIP-theta,0.0,5.44445283026,0.000191695863289,2.97550318997
run,7.72879274585,0.0,0.000191695863289,2.97550318997
CG31221,8.02007596423,0.0,0.000208948864483,3.24330427451
hth,9.79836045648,11.0404738414,0.000238840864478,3.70728789844
Ktl,0.0,9.0691389737,0.000301562738535,4.68085682754
Ptp99A,7.61197844113,0.0,0.000313816746402,4.87106353765
nAChRalpha3,6.78896316166,0.0,0.000318096176154,4.93748884626
CG8248,8.62049748208,0.0,0.000324921862813,5.04343715458
CG42747,9.1234553675,0.0,0.000403173249831,6.25805518388
ara,8.72832486678,0.0,0.000431569263818,6.69881811299
pros,11.4978024245,10.1242800364,0.00045046779818,6.99216116335
caup,8.16220342846,0.0,0.0004986200163,7.73957989301
key,4.25859978318,0.0,0.000505276606553,7.84290348691
acj6,4.05848948362,0.0,0.000542166280837,8.41550501115
IP3K2,0.0,3.69759521241,0.000542166280837,8.41550501115
CG11221,5.6603970531,0.0,0.000542166280837,8.41550501115
sdt,0.0,3.8640843912,0.000542166280837,8.41550501115
HmgZ,9.04148133511,7.89466411024,0.00055308909204,8.58504888665
CG14762,10.5014073089,9.36350434879,0.00055308909204,8.58504888665
CG43729,8.35567471185,5.70682795162,0.000670439238374,10.406557858
CCKLR-17D3,9.29486049133,0.0,0.000742842896261,11.5304074358
Ten-m,6.26812726564,0.0,0.000755145951111,11.7213754531
Ten-a,5.61899398571,7.95316814654,0.000826019728117,12.8214782198
Act5C,13.5190500298,12.9612732846,0.000826019728117,12.8214782198
Fas2,8.70734185662,10.3614355232,0.000826019728117,12.8214782198
Hasp,7.25694005795,0.0,0.000916382889454,14.2240952101
beat-Va,6.62497690992,0.0,0.000919774599492,14.2767413333
Pxn,9.52697931793,5.45755100113,0.00102287859676,15.8771215789
rdgA,0.0,5.40042516167,0.00111189349193,17.2588107817
pgant5,0.0,6.68169046278,0.00112871004054,17.5198372493
CR44978,7.62184142844,5.4540946616,0.00119195654579,18.5015495037
CG14079,7.47120721651,0.0,0.00123829633922,19.2208357774
rgn,0.0,6.70049877457,0.00126291265293,19.6029301988
beat-VI,0.0,6.68172670703,0.00126291265293,19.6029301988
CG17364,6.03874063522,0.0,0.00126291265293,19.6029301988
Cbp53E,0.0,6.22738857054,0.00126291265293,19.6029301988
Drep2,6.65575145267,2.23540987894,0.00141157064903,21.9103996143
NPFR,6.7630879791,0.0,0.00142779274305,22.1621989576
CG10019,0.0,2.25634607594,0.00142779274305,22.1621989576
dpr2,5.08020250009,0.0,0.00142779274305,22.1621989576
CG8944,0.0,1.64167281201,0.00142779274305,22.1621989576
CG10947,6.90658682187,0.0,0.00142779274305,22.1621989576
CG31760,0.0,2.51007520865,0.00142779274305,22.1621989576
CG12065,0.0,3.32594969352,0.00142779274305,22.1621989576
Trim9,5.1991428867,0.0,0.00142779274305,22.1621989576
CG13532,9.56957968552,8.10732066029,0.00147282307527,22.8611597743
Hsp67Bc,12.7728135495,13.1228136074,0.00147282307527,22.8611597743
Dh44-R1,0.0,8.62151463466,0.00153061881771,23.7582652885
CG10384,0.0,7.03420918325,0.00156917424068,24.3567225639
kri,6.62550317779,0.0,0.00156917424068,24.3567225639
Mp,8.69742077193,0.544200087885,0.00157976558932,24.5211214775
rdo,8.4550476714,0.0,0.00161732083694,25.1040540309
B4,4.92813129961,0.431163061029,0.00165136891435,25.6325482885
CG13594,0.0,7.58431517457,0.00169115023202,26.2500339014
Pka-R2,7.74078548234,3.94907553722,0.00173908106987,26.9940163665
Synj,6.9777233828,0.0,0.001828432202,28.3809246395
oaf,6.92274164237,0.0,0.00194175002269,30.1398438521
CG2082,9.75530822982,0.0,0.00197494511039,30.6550980034
CG42541,8.75374075812,5.83718592478,0.00212820989586,33.0340740036
RpL18,8.75861837678,7.93362248555,0.00213238245702,33.0988404978
Bsg,8.86547329726,6.48848939957,0.00213238245702,33.0988404978
CG4629,4.80450468052,0.0,0.00228171554653,35.4167887132
iPLA2-VIA,6.57256270553,0.0,0.00239300692391,37.1442534729
trn,8.45130796,0.0,0.00242787202676,37.6854295993
CG42732,8.8099240797,2.71801693418,0.00245863997421,38.1630096797
Ca-beta,0.0,5.18944182016,0.0026641228572,41.3525149895
otk,8.19140854368,0.0,0.00274804120397,42.6550955681
CG33543,1.13236912617,9.34521401331,0.00285906907543,44.3784701888
glob1,9.0469300703,6.42254892826,0.00299439011492,46.4789233637
EndoA,7.58174383096,4.74356579218,0.0030273744898,46.9909068306
28SrRNA-Psi:CR45851,1.16006907206,0.0,0.00309625179863,48.0600204183
AIMP2,5.28290176496,0.0,0.00309625179863,48.0600204183
nAChRalpha1,0.0,5.93172899261,0.00348497681177,54.0938100723
Bka,1.6570549552,0.0,0.00352705120034,54.7468887317
TBCD,0.494317693268,0.0,0.00352705120034,54.7468887317
tsh,0.0,3.01802529242,0.00352705120034,54.7468887317
Fife,0.0,1.98742104605,0.00352705120034,54.7468887317
CG15099,2.38839282223,0.0,0.00352705120034,54.7468887317
Rabex-5,3.13888804271,0.0,0.00352705120034,54.7468887317
holn1,1.89560422303,0.0,0.00352705120034,54.7468887317
CG32006,0.0,2.16629949419,0.00352705120034,54.7468887317
Glg1,2.78082236177,0.0,0.00352705120034,54.7468887317
l(3)07882,1.9762320777,0.0,0.00352705120034,54.7468887317
CG11768,0.60597054635,0.0,0.00352705120034,54.7468887317
Toll-6,9.56994668662,5.87348621975,0.00356688708755,55.3652213729
AMPdeam,8.15017554925,9.89532986083,0.00360467167913,55.9517138034
CG12194,8.37098765606,6.58818624391,0.0036299774941,56.3445106633
Hsp26,11.4533594267,12.1577053112,0.0036299774941,56.3445106633
aret,1.70773599706,0.0,0.00364894251992,56.6388857942
Als2,0.0,4.53461401516,0.00364894251992,56.6388857942
Teh1,7.14855374828,3.95333672792,0.00372253114903,57.7811284952
CG6959,7.42144924665,0.0,0.00373444360938,57.9660337047
CG5382,7.70754869034,0.0,0.00374224898317,58.0871887168
mgl,4.90957123049,0.0,0.00383068638571,59.4599140789
CG7985,0.678027432435,8.85476680567,0.00391260416836,60.7314419014
Rim2,2.70195509069,0.0,0.0041336439511,64.162421409
CG7564,5.97997669355,0.0,0.0041336439511,64.162421409
Srp54,7.41932237363,9.18855637759,0.0042357913158,65.7479528038
CG42540,9.09139307008,10.2299543441,0.00430777905941,66.8653465602
Msp300,8.91969307505,6.63552772042,0.00430777905941,66.8653465602
scny,0.0,6.87054971047,0.00447257634231,69.4233299853
Shal,4.5769313425,0.0,0.00447257634231,69.4233299853
msl-2,5.31020863244,0.0,0.00451760512169,70.1222666989
GluRIB,5.03874899549,1.87155236706,0.00481299234794,74.7072672248
betaTub56D,14.1056717131,13.545922943,0.00509655249555,79.108687836
Dhx15,8.58490887561,1.24919241964,0.00525425985974,81.5566215428
DIP-gamma,7.77634715799,0.0,0.0053005570512,82.2752465487
chico,3.39346208139,0.0,0.0053005570512,82.2752465487
apt,0.0,8.67014131381,0.00543592854447,84.3764828673
SF1,5.03856454977,0.0,0.00544425276621,84.5056914371
mrn,0.0,7.86896176119,0.00544425276621,84.5056914371
CG9769,8.45182000638,9.07883272442,0.00552847790733,85.8130340775
Sidpn,7.4796970683,0.0,0.00570910433234,88.6167174465
