symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,6.70386216057,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.57950713457,5.13445780758e-06,0.0796970540892
GV1,9.45077113859,0.0,9.33764556343e-06,0.144938934436
bru-3,7.98417316677,0.0,1.11685890367e-05,0.173358839028
klg,0.0,9.55745685905,1.11685890367e-05,0.173358839028
Ktl,0.0,9.62284327297,1.68616240509e-05,0.261726128517
dpr15,0.0,8.36885332944,1.87923035691e-05,0.291694136
PVRAP,5.97333311228,0.0,1.87923035691e-05,0.291694136
CG42339,0.0,10.6038966219,1.88783859368e-05,0.293030306511
twz,11.41158199,8.51646020595,2.2595776672e-05,0.350731645504
Ca-alpha1T,7.35232279644,0.0,3.03089062316e-05,0.470454842527
C15,10.1206585481,0.0,3.03089062316e-05,0.470454842527
Cow,0.429335811418,9.70223718651,4.29865050075e-05,0.667236530727
ara,8.85105000554,0.0,5.07461880929e-05,0.787682331577
fru,0.0,8.61353901106,6.2654363942e-05,0.972521037107
IP3K2,0.0,8.73050279571,6.2654363942e-05,0.972521037107
CG42342,8.04692797814,10.4240294194,9.80807368533e-05,1.52240919744
nAChRalpha2,7.48925446762,10.6860468722,0.000149416648845,2.31924522337
hth,9.62965116067,10.9307416136,0.000154022352814,2.39073496038
CG17378,5.42880721715,0.0,0.000191695863289,2.97550318997
DIP-theta,0.0,7.95636018843,0.000191695863289,2.97550318997
CG11221,6.43378402689,0.0,0.000191695863289,2.97550318997
heph,6.06943068808,0.0,0.000191695863289,2.97550318997
CG6959,7.42144924665,0.0,0.000191695863289,2.97550318997
CG32204,0.0,8.16614508692,0.000191695863289,2.97550318997
CR44978,7.62184142844,2.16225536388,0.000215892781976,3.35108776183
Ptp99A,7.61197844113,2.06227384405,0.000225527629852,3.50063987056
Act5C,13.7409041525,13.0117386766,0.000296021072947,4.59483909429
Ten-m,6.35172049118,0.0,0.000313816746402,4.87106353765
B4,4.82454511284,0.0,0.000359671675717,5.58282375049
CG3625,9.34504254374,10.7631896742,0.000365740995907,5.67703173847
Cbp53E,0.0,8.2500234699,0.000401100451324,6.22588120545
caup,7.87669325576,0.0,0.000431569263818,6.69881811299
pros,11.3931532816,10.096183645,0.00045046779818,6.99216116335
CG2915,7.97257699731,0.0,0.000481941769935,7.48070015293
Toll-6,9.67582810709,4.2542650159,0.00053936770472,8.37206551266
CG14710,0.0,4.7661106397,0.000542166280837,8.41550501115
tsh,0.0,6.66712547673,0.000542166280837,8.41550501115
GstD1,0.0,8.35712095777,0.000542166280837,8.41550501115
acj6,5.10194798344,0.0,0.000542166280837,8.41550501115
NPFR,6.7630879791,0.0,0.000542166280837,8.41550501115
TrissinR,0.0,5.98655848219,0.000542166280837,8.41550501115
CG31760,0.0,4.30913050182,0.000542166280837,8.41550501115
run,7.44294585244,0.0,0.000542166280837,8.41550501115
glob1,9.14870217955,7.66201931023,0.000547573038485,8.49942870336
Gprk2,8.6210043641,5.38651653014,0.000560911060533,8.7064614816
dpr6,8.82723858043,0.0,0.000606251512059,9.41023597018
CG10809,7.52088748835,0.0,0.000634034528259,9.84148394764
CG42541,9.03014804918,6.59503444759,0.000670439238374,10.406557858
CG14762,10.5014073089,9.09948257705,0.000676970721546,10.5079395398
nAChRalpha3,6.94009790622,0.0,0.000884060424462,13.7223859085
CG7985,0.678027432435,9.03338266701,0.000927243614384,14.3926753825
CG33543,0.0,9.90060734693,0.00111189349193,17.2588107817
CG34132,6.44629389215,4.21082802462,0.00119195654579,18.5015495037
cpo,11.5810722007,10.7874059301,0.00121836740449,18.9114988526
RFeSP,9.77789590542,8.7842482272,0.00121836740449,18.9114988526
Rack1,9.39332761708,6.77467339209,0.00121836740449,18.9114988526
Mical,3.31771043468,0.0,0.00122388950565,18.9972129066
CG31221,7.7438442341,0.0,0.00123829633922,19.2208357774
CG30463,0.0,4.10372367852,0.00126291265293,19.6029301988
rgn,0.0,6.99807019947,0.00126291265293,19.6029301988
CG32187,5.83877981711,0.0,0.00126291265293,19.6029301988
CG3500,0.0,6.40980079599,0.00126291265293,19.6029301988
CG6024,5.23389714111,0.0,0.00135089837356,20.9686445544
CG12858,5.44719924197,0.0,0.00137316776791,21.3143100934
CG31814,3.3502783819,0.0,0.00142779274305,22.1621989576
Fife,0.0,2.29971611737,0.00142779274305,22.1621989576
cnc,3.57542919109,0.0,0.00142779274305,22.1621989576
CG11317,0.0,3.02546911727,0.00142779274305,22.1621989576
CG10947,5.52559335082,0.0,0.00142779274305,22.1621989576
Pura,0.0,3.65563696929,0.00142779274305,22.1621989576
