symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,6.11074137245,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.21098359782,5.13445780758e-06,0.0796970540892
dpr15,0.0,9.29442218031,5.13445780758e-06,0.0796970540892
GV1,9.1218679528,0.0,7.09569794446e-06,0.110139423494
klg,0.0,9.90302506151,9.15336830931e-06,0.142078582897
bru-3,7.98417316677,0.0,1.30214778044e-05,0.20211937848
CG42339,0.0,10.5178864123,1.45213319843e-05,0.22540011506
Cow,0.429335811418,10.1371553823,1.59244638206e-05,0.247179527424
Fas2,9.16503289475,10.7118689698,2.34743628248e-05,0.364369059766
C15,10.2910256496,0.0,3.03089062316e-05,0.470454842527
twz,11.41158199,8.40718940419,3.81539413546e-05,0.592225477705
Ca-alpha1T,8.30089377372,0.0,4.50342179868e-05,0.699021131592
spi,9.46439002363,6.81368512804,4.85028584301e-05,0.752861368552
Ktl,0.0,9.91432466687,5.07473053166e-05,0.787699673125
caup,7.87669325576,0.0,6.53782854001e-05,1.01480174598
CG42342,7.62346330269,10.6039699021,7.78979465439e-05,1.20913192626
Dh44-R1,0.0,8.81754086,7.99259080905e-05,1.24060994538
fru,0.0,9.31121088161,0.00011600356004,1.80060725894
PVRAP,6.04116908964,0.0,0.00011600356004,1.80060725894
Pxn,9.72918326527,7.76647016474,0.000119311802124,1.85195779258
Gprk2,8.87827615501,0.0,0.000132597583797,2.05817969569
Ptp99A,7.71299585786,2.93737430156,0.000149416648845,2.31924522337
dpr6,9.05480242779,0.0,0.000151723321511,2.3550493965
tsh,0.0,6.75516546292,0.000191695863289,2.97550318997
run,7.84602748023,0.0,0.000191695863289,2.97550318997
Ret,0.0,5.05976109901,0.000191695863289,2.97550318997
CG6959,7.42144924665,0.0,0.000191695863289,2.97550318997
IP3K2,0.0,9.64328356308,0.000191695863289,2.97550318997
acj6,5.10194798344,0.0,0.000191695863289,2.97550318997
hth,9.79836045648,11.3592916332,0.000192101013517,2.98179193182
CG30463,0.0,5.42452488078,0.00019433835008,3.01651986994
pros,11.3493506692,10.3784695016,0.000238840864478,3.70728789844
CCKLR-17D3,9.29486049133,0.0,0.000301562738535,4.68085682754
glob1,9.09965874336,1.5963297419,0.000346567437383,5.37941976306
otk,8.48698190727,0.0,0.000359671675717,5.58282375049
CG6597,6.90613418789,0.0,0.000380367227827,5.90406011033
CG32204,0.0,7.56261610986,0.000401100451324,6.22588120545
Toll-6,9.67582810709,6.86579526941,0.000449304376389,6.9741025303
CR44978,7.62184142844,2.0712081616,0.00050606021451,7.85506664963
Pde1c,0.0,3.62472620914,0.000542166280837,8.41550501115
Scp2,0.0,6.08524342452,0.000542166280837,8.41550501115
disp,6.14233843228,0.0,0.000542166280837,8.41550501115
ara,8.49357157131,0.0,0.000606251512059,9.41023597018
M1BP,0.0,6.18836629551,0.000741696486829,11.5126128686
CG7927,7.8550856521,0.0,0.000742842896261,11.5304074358
CG31814,5.91147834711,0.0,0.000792514928053,12.3014167132
nAChRalpha2,7.82700373618,10.5032848614,0.000806842561265,12.523810236
ATPsynbeta,12.6559402161,12.2320871417,0.000826019728117,12.8214782198
CG32982,7.89230669822,0.0,0.000912230265352,14.1596381788
tko,6.94860786036,0.0,0.000919774599492,14.2767413333
CG14762,10.5014073089,8.52223218799,0.00100248323755,15.5605448133
nAChRalpha6,7.81836103023,4.67577439516,0.00100248323755,15.5605448133
CG2082,9.96574838103,0.0,0.00111189349193,17.2588107817
mirr,9.21722544814,7.6024670685,0.00120776019566,18.746853757
Ggamma30A,9.70215428434,8.05066819198,0.00121836740449,18.9114988526
CanB2,9.78060573822,8.95120433856,0.00121836740449,18.9114988526
cv-2,0.0,7.44817841064,0.00123829633922,19.2208357774
tutl,7.73331002094,2.31813422874,0.00124181627851,19.275472275
CG34356,3.61312399702,0.0,0.00125050505117,19.4103394042
CG14562,3.64288981093,0.0,0.00126291265293,19.6029301988
DIP-gamma,7.75968227546,0.0,0.00126291265293,19.6029301988
GstD1,0.0,7.94144007309,0.00126291265293,19.6029301988
beat-VI,0.0,7.22001184611,0.00126291265293,19.6029301988
Tspo,6.05472757793,0.692395504625,0.00136666167891,21.2133225801
PIP4K,7.57119697517,0.0,0.00137316776791,21.3143100934
rdo,8.17077774325,0.0,0.00138410255674,21.4840398857
CG2915,7.80369880117,0.0,0.00138410255674,21.4840398857
TfIIEbeta,0.0,3.34878798625,0.00142779274305,22.1621989576
TrissinR,0.0,1.58327998087,0.00142779274305,22.1621989576
CG17364,5.24242065899,0.0,0.00142779274305,22.1621989576
sano,3.70839402516,0.0,0.00142779274305,22.1621989576
otk2,6.00616689497,0.0,0.00142779274305,22.1621989576
Cbp53E,0.0,7.60399776476,0.00156917424068,24.3567225639
CG3500,0.0,5.37767221544,0.00161732083694,25.1040540309
CG13594,0.0,7.71113200643,0.00169115023202,26.2500339014
Akap200,8.61153620212,9.52036296175,0.00177491931746,27.5502976456
emb,0.980923992558,7.7611761112,0.00181311024187,28.1430971743
CG33543,0.0,10.0546279611,0.00197494511039,30.6550980034
CG42747,9.11168080999,7.60788837022,0.00212820989586,33.0340740036
CG3625,9.69991810687,10.6959829223,0.00213238245702,33.0988404978
heph,5.51655985503,0.0,0.00239300692391,37.1442534729
eys,0.0,7.68707886417,0.0026641228572,41.3525149895
dpr18,4.81661112111,0.0,0.0027480089233,42.6545945074
Sidpn,7.4796970683,0.0,0.00278672611851,43.2555628115
mt:ND6,1.67285866044,0.0,0.00286910496103,44.534247205
CG11665,7.74974992678,0.0,0.00291155513335,45.1931587799
alpha-Man-Ib,9.56482776563,6.28583427357,0.00293985221537,45.632386087
AMPdeam,8.55215999869,9.91287799942,0.0030273744898,46.9909068306
Sema-2b,8.46983684264,7.56146543847,0.00304394018393,47.248039535
Fas3,7.2030519375,0.0,0.00307529397712,47.7347131128
SpdS,3.10482432998,0.0,0.00309625179863,48.0600204183
trn,8.45130796,0.0,0.00340824673532,52.9028058256
CG3961,7.17378062394,0.0,0.00344965301637,53.54551412
spoon,7.56800998031,0.0,0.00348497681177,54.0938100723
CG34354,1.8171233438,0.0,0.00352705120034,54.7468887317
CG1129,2.36044424077,0.0,0.00352705120034,54.7468887317
DIP-theta,0.0,3.37642221335,0.00352705120034,54.7468887317
CG32354,0.0,1.0973178773,0.00352705120034,54.7468887317
CG43740,1.1463327873,0.0,0.00352705120034,54.7468887317
sdt,0.0,1.39120558944,0.00352705120034,54.7468887317
CG6752,1.39622845934,0.0,0.00352705120034,54.7468887317
Nplp1,0.69658103112,0.0,0.00352705120034,54.7468887317
CCKLR-17D1,1.25725491896,0.0,0.00352705120034,54.7468887317
CG8202,2.55099338594,0.0,0.00352705120034,54.7468887317
CG31760,0.0,1.46264158043,0.00352705120034,54.7468887317
CrzR,0.0,3.88454736031,0.00352705120034,54.7468887317
klu,0.0,0.989098955965,0.00352705120034,54.7468887317
Tsp5D,0.0,1.92981450249,0.00352705120034,54.7468887317
CG1104,3.15994494869,0.0,0.00352705120034,54.7468887317
DopEcR,8.48571985921,6.06455818876,0.00356688708755,55.3652213729
Mical,3.31771043468,0.0,0.00359044554028,55.7308956763
GluClalpha,7.05703590182,8.23665112424,0.00360467167913,55.9517138034
RpL41,7.36578864872,6.30481341712,0.0036299774941,56.3445106633
kra,11.1633441376,10.4911428704,0.0036299774941,56.3445106633
Eaat2,10.6501225513,9.83524118592,0.0036299774941,56.3445106633
Hsp26,11.3457690514,12.0263627016,0.0036299774941,56.3445106633
RpLP2,9.05961032255,8.58359883089,0.0036299774941,56.3445106633
kek6,6.33457915979,0.0,0.00364894251992,56.6388857942
spen,7.81542179732,1.03907989299,0.0037223401689,57.7781641017
Sara,2.60251933083,0.0,0.00373444360938,57.9660337047
beat-IIIb,7.32113468079,0.0,0.00383068638571,59.4599140789
Hmu,7.31504198598,8.71732440462,0.00394912500293,61.2983182955
tant,0.0,5.39436356896,0.00398864969176,61.9118205154
RpL11,8.1150975238,0.0,0.0040621522325,63.0527269528
Gapdh1,9.60414660463,8.78493496773,0.00427891027272,66.4172452531
CG44247,9.10488598948,5.19663584374,0.00430055266134,66.7531784093
His2Av,8.27172717441,7.57343318035,0.00430777905941,66.8653465602
CG42540,9.09139307008,10.8575895551,0.00430777905941,66.8653465602
B4,4.82454511284,0.0,0.00442947100501,68.7542489398
Ten-m,6.1495812667,0.0,0.00442947100501,68.7542489398
sda,0.0,3.76681646823,0.00447257634231,69.4233299853
CG10809,7.49803567851,0.0,0.00450661135093,69.9516213891
Tom70,8.54922937302,0.0,0.00493654540271,76.6250577408
Adam,6.84770729095,0.0,0.00494472589418,76.7520353295
Pax,8.42057271684,9.21741121338,0.00506374462822,78.5994441192
Msp300,8.91969307505,7.07202202927,0.00509655249555,79.108687836
CG42541,9.03014804918,7.09989244137,0.00509655249555,79.108687836
CG30493,5.61466701569,0.0,0.00544425276621,84.5056914371
Ac76E,8.12286172398,2.57079962513,0.00569007744509,88.3213821027
CG14407,6.47311523173,0.0,0.00570910433234,88.6167174465
Syn2,6.87484429921,3.81123577361,0.00597427122471,92.7326379499
Nlp,9.12806933843,7.74962026905,0.00601141270381,93.3091479885
CG9581,7.60831022349,0.0,0.00640153135102,99.3645696306
Snx6,7.60965462519,0.0,0.0064649498014,100.348950817
CG17680,7.24889601757,0.0,0.00649274409288,100.78037381
CG3209,8.0066791262,2.66749845061,0.00670625474974,104.094486225
CG4629,6.84906016497,0.0,0.0067947678321,105.46838629
RpL34a,7.15935838328,5.18758597104,0.00686066545951,106.491249262
CG42321,7.47293876603,0.0,0.00692625716683,107.509363743
beat-Va,6.5770225797,0.0,0.00696973433282,108.184216314
CG43921,5.43102029208,0.0,0.00696973433282,108.184216314
Dhit,8.40427843301,6.57465914439,0.00702709940089,109.074636901
LpR2,7.70708300024,2.73589591552,0.00705850305669,109.562084446
HmgZ,9.04148133511,8.07647503459,0.00706898472796,109.724780947
Hsp27,10.5789436956,11.0528943406,0.00706898472796,109.724780947
UQCR-Q,9.18312427118,8.80427565497,0.00706898472796,109.724780947
COX8,9.03071480554,8.4224588361,0.00706898472796,109.724780947
CG11739,7.9233330302,0.0,0.00740310196334,114.910948675
Strip,6.68334565055,0.0,0.00740310196334,114.910948675
br,6.97924490053,0.492750972058,0.00763910951658,118.574257916
jdp,0.0,7.19617052211,0.00770023265441,119.523011262
Pat1,4.86213224694,0.0,0.00770143730756,119.541709888
CG6024,5.23389714111,0.0,0.00794171135451,123.271243645
CG12096,4.99641535411,0.0,0.00802528727053,124.568509013
Sec10,6.21203926526,0.0,0.00802528727053,124.568509013
wac,0.0,4.01464410204,0.00802528727053,124.568509013
CG34371,1.78784266761,0.0,0.00802528727053,124.568509013
Chmp1,6.93346947677,8.23095878556,0.00805333439793,125.003856525
CG9531,9.00553635754,7.23026298019,0.00805333439793,125.003856525
GluRIB,5.03874899549,2.38613930287,0.00805333439793,125.003856525
Arf51F,6.98181186162,0.0,0.00815814803603,126.630773815
nAChRalpha3,6.78896316166,0.0,0.00815814803603,126.630773815
CRMP,7.63168827291,0.0,0.00815814803603,126.630773815
Trf,0.0,0.0,0.00823657790279,127.848162207
CR15345,0.0,0.0,0.00823657790279,127.848162207
Flo2,0.0,0.0,0.00823657790279,127.848162207
CG9855,0.0,0.0,0.00823657790279,127.848162207
CG10019,0.0,0.0,0.00823657790279,127.848162207
CG42458,0.0,0.0,0.00823657790279,127.848162207
CG10543,0.0,0.0,0.00823657790279,127.848162207
Gyc-89Db,0.0,0.0,0.00823657790279,127.848162207
CG42313,0.0,0.0,0.00823657790279,127.848162207
dpr13,0.0,0.0,0.00823657790279,127.848162207
DnaJ-H,0.0,0.0,0.00823657790279,127.848162207
Adk1,0.0,0.0,0.00823657790279,127.848162207
Pym,0.0,0.0,0.00823657790279,127.848162207
CG14710,0.0,0.0,0.00823657790279,127.848162207
CG42676,0.0,0.0,0.00823657790279,127.848162207
CG4562,0.0,0.0,0.00823657790279,127.848162207
CG6950,0.0,0.0,0.00823657790279,127.848162207
CG42307,0.0,0.0,0.00823657790279,127.848162207
5-HT7,0.0,0.0,0.00823657790279,127.848162207
ome,0.0,0.0,0.00823657790279,127.848162207
S6kII,0.0,0.0,0.00823657790279,127.848162207
ebd1,0.0,0.0,0.00823657790279,127.848162207
Fife,0.0,0.0,0.00823657790279,127.848162207
CG13288,0.0,0.0,0.00823657790279,127.848162207
CG7991,0.0,6.61899029152,0.0082400050643,127.901358608
CG5168,0.0,7.04161912416,0.0082400050643,127.901358608
CG34380,9.56071816506,7.23733785488,0.00824041168623,127.907670194
Sep4,9.31165797838,8.32808094557,0.00827568991394,128.455258844
CG12643,8.60416629989,9.50609278385,0.00828746337493,128.638006506
dysc,8.29645225942,6.9127730039,0.00828746337493,128.638006506
CG15443,0.0,1.9172870897,0.00914149983987,141.894360514
Lar,4.90188415554,0.0,0.00931722324471,144.621939204
Syn,6.04687865402,2.38528080439,0.00942455500723,146.287942822
CG18766,8.16787864301,9.33921590589,0.00963401099964,149.539118736
mew,0.0,2.49790809424,0.00966848626792,150.074243851
fh,1.42521766644,0.0,0.00966848626792,150.074243851
Yeti,9.03752738924,7.45783030847,0.0096866596658,150.356331332
dpr19,9.68964901493,8.74514114779,0.0096866596658,150.356331332
CG6180,8.18305477367,0.0,0.00970929361144,150.707655437
NTPase,0.0,3.45362085854,0.00974606052132,151.278351412
AsnS,0.0,0.60682778662,0.00974606052132,151.278351412
Oct-TyrR,0.0,1.44817129402,0.00974606052132,151.278351412
mGluR,1.29356501155,0.0,0.00974606052132,151.278351412
sfl,1.42498971078,0.0,0.00974606052132,151.278351412
Arpc2,7.82943835556,3.11768308953,0.010080054078,156.462599399
CG5045,7.81906898165,0.0,0.0103424167488,160.534992776
CG1344,8.23807114536,0.0,0.010524821166,163.366274139
CG12858,6.02936298179,1.8367796214,0.0107784465374,167.303047153
Syx16,6.74073626191,0.0,0.010812027636,167.824292966
cbs,7.74564924524,0.0,0.010812027636,167.824292966
Sgt,8.28195012642,0.0,0.0108968262449,169.140536974
CG31729,4.84051203633,0.0,0.0108968262449,169.140536974
5PtaseI,7.07723094683,8.82210041062,0.010995767115,170.676297159
MTA1-like,1.22369213795,0.0,0.011008781754,170.878310386
mRpL13,4.34890960915,0.0,0.0110568859277,171.62498337
CG45263,6.45311352302,0.0,0.0110568859277,171.62498337
Sem1,5.99388369905,3.91173860577,0.0112293518472,174.301999373
Sec61gamma,7.68571510722,6.55736093185,0.0112733508526,174.984951934
su(w[a]),7.29529116487,8.67678098255,0.0112733508526,174.984951934
Rho1,9.91489701378,9.04484849688,0.0112880312616,175.212821242
CG32225,6.89843354276,0.0,0.0114025301101,176.990072369
CG11221,4.85902845546,0.0,0.0115984223418,180.030711589
Suv3,1.11329809493,0.0,0.0115984223418,180.030711589
CG12929,4.05179405224,0.0,0.0115984223418,180.030711589
CG30156,3.23198751746,0.0,0.011783775848,182.907768713
CG11448,8.60627249049,6.74828656411,0.0120172595735,186.531903099
CG14207,0.0,7.92429658454,0.0121614578309,188.770148451
CG1316,3.16697700118,9.21827632945,0.0122129533629,189.569462099
CG8248,8.56294022899,0.0,0.0123146335106,191.147741352
CG8891,6.88988791396,0.0,0.0123146335106,191.147741352
CG6812,0.0,7.42273361197,0.0123146335106,191.147741352
CG34132,6.54088316998,1.87155236706,0.0125484922768,194.77769712
CG31140,7.63419189033,5.03158065519,0.0129520479039,201.041687564
lawc,7.59771231741,5.66197502047,0.0130495525571,202.555154792
rst,2.06551997505,0.0,0.0130760452557,202.966374459
Mkrn1,7.38715650676,0.0,0.0130791275405,203.014217684
CG7564,6.63628388845,0.0,0.0130791275405,203.014217684
CRIF,5.59963461453,0.0,0.013084786887,203.10206206
CG7183,3.19424579773,0.0,0.013084786887,203.10206206
CG7337,4.90973006275,0.0,0.013084786887,203.10206206
Ten-a,5.14012150806,6.71253371078,0.0131146939174,203.566278986
Syx1A,9.62397125985,8.65597095097,0.0131146939174,203.566278986
Klc,6.26912873608,8.57726689651,0.0131146939174,203.566278986
hppy,0.0,3.90569004872,0.0131707186202,204.435894423
CG32103,0.0,8.23285560443,0.0133466716311,207.167037058
NPFR,6.56281801421,0.0,0.0138544332379,215.048512718
BCAS2,5.44322639617,0.0,0.0138544332379,215.048512718
CG8245,8.97459049712,6.14019455047,0.0139490595938,216.517303015
a6,0.512508540125,0.0,0.0141814401924,220.124314667
LIMK1,0.429335811418,0.0,0.0141814401924,220.124314667
Uhg7,0.0,0.460883889505,0.0141814401924,220.124314667
Bka,3.88030525496,0.0,0.0142000564574,220.413276333
Shawl,5.83119103442,0.0,0.0143623615826,222.932576485
CG8188,0.0,7.85259337789,0.0143623615826,222.932576485
cora,8.46027574103,2.70771112884,0.0148323523275,230.227772827
Cog7,0.0,8.18514165842,0.0149637184723,232.266838127
CG18659,7.60328333819,0.0,0.0149637184723,232.266838127
luna,4.0169471192,0.0,0.0149637184723,232.266838127
IscU,8.28874009966,6.99524584272,0.0150115469035,233.009231036
CG43729,8.35567471185,6.14886818477,0.0151193855559,234.683102598
unc79,9.0781899992,7.04271669159,0.0151193855559,234.683102598
shakB,10.060965526,9.51691521904,0.0151914109883,235.80108136
AIMP2,3.00008777853,0.0,0.0154063337215,239.137112025
TyrRS,7.61122406789,0.0,0.0154063337215,239.137112025
CG7289,8.45396698566,0.0,0.0154079350585,239.161967977
CG4025,6.4934772567,0.0,0.015490861509,240.449152343
nito,1.39999914765,0.0,0.015490861509,240.449152343
CG13367,0.0,7.3665526255,0.015490861509,240.449152343
Vang,0.0,6.21351095917,0.015490861509,240.449152343
Dg,5.24732304161,0.0,0.0155706873687,241.688209337
mRpL36,5.62227355923,0.0,0.0155706873687,241.688209337
mask,4.83282787251,8.76533761484,0.0161428625289,250.569512174
CG5447,7.95830534637,6.28945561253,0.0164434596991,255.235381449
Pde9,4.33768602635,1.18935246848,0.0164434596991,255.235381449
l(1)G0289,0.0,7.11736653592,0.0166439694144,258.34769325
CG10418,5.30426655579,0.0,0.0166967762734,259.167361316
PyK,8.60733846458,4.67837945007,0.0168539850237,261.607555538
Khc-73,0.0,0.8508326704,0.0169881050876,263.68936717
Rab26,0.793348389535,0.0,0.0169881050876,263.68936717
ecd,0.0,3.6325322568,0.0169881050876,263.68936717
CG16868,2.96659680442,0.0,0.0169881050876,263.68936717
CG31997,0.0,6.9358290047,0.0171092355205,265.569553749
Srpk79D,7.06741567449,8.45763331541,0.0171489874888,266.186583801
CR40766,0.989981795789,0.0,0.0175102859776,271.794658944
Syn1,4.5310422907,0.0,0.0175102859776,271.794658944
Gmd,0.0,7.7309556978,0.0175102859776,271.794658944
yps,9.54901182048,8.35959719932,0.0175247198723,272.018701858
Tctp,10.5065981843,9.95560357008,0.017544558047,272.326630006
CG12025,9.31600297025,8.44823121551,0.017544558047,272.326630006
pAbp,11.0636736687,11.6277996439,0.017544558047,272.326630006
CG12038,9.0732615185,9.97831296552,0.017544558047,272.326630006
Act5C,13.5190500298,13.0804340087,0.017544558047,272.326630006
DppIII,8.19036482093,0.0,0.0176348348428,273.72790643
CG13609,1.30686486666,0.0,0.0180845444738,280.708299322
prel,7.17872545922,0.0,0.0181055099237,281.033725035
CG8184,5.70564168686,0.0,0.0181055099237,281.033725035
mRpL14,6.22765264434,1.36847721213,0.0181095934207,281.097109076
oaf,5.21351488285,0.0,0.0182672287128,283.54392408
CG12012,5.41250865228,0.0,0.0182672287128,283.54392408
Xrp1,3.76131499659,0.0,0.0182672287128,283.54392408
RpS15Ab,0.923653504686,0.0,0.0182672287128,283.54392408
CDK2AP1,2.86543128382,0.0,0.0182672287128,283.54392408
Sptr,0.0,0.0,0.0183437214739,284.731244718
CG14441,0.0,0.0,0.0183437214739,284.731244718
GstO3,0.0,0.0,0.0183437214739,284.731244718
Ac13E,0.0,0.0,0.0183437214739,284.731244718
CG1504,0.0,0.0,0.0183437214739,284.731244718
CG32521,0.0,0.0,0.0183437214739,284.731244718
Pura,0.0,0.0,0.0183437214739,284.731244718
CG7974,0.0,0.0,0.0183437214739,284.731244718
mt:ND3,0.0,0.0,0.0183437214739,284.731244718
POSH,0.0,0.0,0.0183437214739,284.731244718
CG13319,0.0,0.0,0.0183437214739,284.731244718
Syt7,0.0,0.0,0.0183437214739,284.731244718
CG9293,0.0,0.0,0.0183437214739,284.731244718
CG18048,0.0,0.0,0.0183437214739,284.731244718
BRWD3,0.0,0.0,0.0183437214739,284.731244718
CG34174,0.0,0.0,0.0183437214739,284.731244718
CG2310,0.0,0.0,0.0183437214739,284.731244718
CG12065,0.0,0.0,0.0183437214739,284.731244718
MsR1,0.0,0.0,0.0183437214739,284.731244718
CG30096,0.0,0.0,0.0183437214739,284.731244718
CG34183,0.0,0.0,0.0183437214739,284.731244718
CG15771,0.0,0.0,0.0183437214739,284.731244718
CG12106,0.0,0.0,0.0183437214739,284.731244718
CG9650,0.0,0.0,0.0183437214739,284.731244718
CG1840,0.0,0.0,0.0183437214739,284.731244718
CG12204,0.0,0.0,0.0183437214739,284.731244718
CG14591,0.0,0.0,0.0183437214739,284.731244718
CG14438,0.0,0.0,0.0183437214739,284.731244718
Asciz,0.0,0.0,0.0183437214739,284.731244718
Sirt4,0.0,0.0,0.0183437214739,284.731244718
CG1657,0.0,0.0,0.0183437214739,284.731244718
CR45620,0.0,0.0,0.0183437214739,284.731244718
CG2201,0.0,0.0,0.0183437214739,284.731244718
CG14667,0.0,0.0,0.0183437214739,284.731244718
CG14102,0.0,0.0,0.0183437214739,284.731244718
CG1231,0.0,0.0,0.0183437214739,284.731244718
CG30466,0.0,0.0,0.0183437214739,284.731244718
Atac3,0.0,0.0,0.0183437214739,284.731244718
CG31705,0.0,0.0,0.0183437214739,284.731244718
Zw10,0.0,0.0,0.0183437214739,284.731244718
alpha-Man-Ic,0.0,0.0,0.0183437214739,284.731244718
CG11454,0.0,0.0,0.0183437214739,284.731244718
CG7530,0.0,0.0,0.0183437214739,284.731244718
