symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,5.54897932283,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.60926598548,5.13445780758e-06,0.0796970540892
klg,0.0,9.39862043602,1.11685890367e-05,0.173358839028
bru-3,7.98417316677,0.0,1.30214778044e-05,0.20211937848
CG42339,0.0,10.526005555,1.30214778044e-05,0.20211937848
GV1,9.1218679528,0.0,1.55845526505e-05,0.24190342624
dpr15,0.0,8.13411727345,1.87923035691e-05,0.291694136
Ca-alpha1T,7.91901253235,0.0,1.87923035691e-05,0.291694136
twz,11.41158199,8.52676523937,2.31198016639e-05,0.358865561428
Ktl,0.0,9.89124686349,2.79943635337e-05,0.434528510771
C15,10.341636877,0.0,3.03089062316e-05,0.470454842527
Cow,0.429335811418,9.84177684077,3.36991026146e-05,0.523077470784
otk,8.37509832723,0.0,3.49524389727e-05,0.542531757734
hth,9.79836045648,10.9421310896,3.82914473375e-05,0.594359845572
CG30463,0.0,6.78952406273,4.50342179868e-05,0.699021131592
ara,8.33505993717,0.0,5.07461880929e-05,0.787682331577
Fas2,9.14500290993,10.549768018,7.78979465439e-05,1.20913192626
CG42342,7.83232560382,10.4882685634,7.78979465439e-05,1.20913192626
Pxn,9.52697931793,5.12266564902,9.49709897323e-05,1.47413970262
PVRAP,5.46253678981,0.0,0.00011600356004,1.80060725894
fru,0.0,9.17244577157,0.00011600356004,1.80060725894
CG32204,0.0,8.2503250118,0.00011600356004,1.80060725894
CG8004,7.22416781357,0.0,0.00011600356004,1.80060725894
dpr6,9.16347490292,0.0,0.000118369727248,1.83733490635
CG33543,0.0,9.96460245032,0.000162360448308,2.52015887864
CG31814,5.91147834711,0.0,0.000191695863289,2.97550318997
acj6,5.10194798344,0.0,0.000191695863289,2.97550318997
IP3K2,0.0,6.75612303084,0.000191695863289,2.97550318997
dpr11,5.96479113788,0.0,0.000191695863289,2.97550318997
Scp2,0.0,6.96013616936,0.000191695863289,2.97550318997
CR44978,7.45974640461,5.6738331005,0.000225527629852,3.50063987056
Gprk2,8.87827615501,5.04828563723,0.000225527629852,3.50063987056
Ptp99A,7.71299585786,2.93737430156,0.000361849544811,5.61662863455
CG14762,10.5014073089,8.89273535424,0.000365740995907,5.67703173847
Ten-a,5.61899398571,7.93037501155,0.000365740995907,5.67703173847
GstD1,0.0,6.97336415877,0.000401100451324,6.22588120545
