symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,9.13080105625,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.56528260356,5.13445780758e-06,0.0796970540892
Ten-m,6.35172049118,0.0,9.15336830931e-06,0.142078582897
klg,0.0,9.01741290709,1.11685890367e-05,0.173358839028
CG30089,6.99817656804,0.0,1.22446437935e-05,0.190061360963
CG42339,0.0,10.168093387,1.30214778044e-05,0.20211937848
fru,0.0,9.60706613983,1.87923035691e-05,0.291694136
caup,8.02435148327,0.0,1.87923035691e-05,0.291694136
PVRAP,5.62714632026,0.0,1.87923035691e-05,0.291694136
C15,10.1206585481,0.0,1.87923035691e-05,0.291694136
ara,8.965511923,0.0,1.87923035691e-05,0.291694136
GV1,9.45077113859,0.0,2.02308250395e-05,0.314022866263
Cow,2.73140633679,10.0277918739,2.6333192812e-05,0.408743818827
twz,11.41158199,8.92501954885,3.0028801484e-05,0.466107056635
rgn,0.0,8.30862185916,3.03089062316e-05,0.470454842527
Ca-alpha1T,7.91374125935,0.0,3.49524389727e-05,0.542531757734
CG31997,0.0,8.92201818833,4.01279246574e-05,0.622865646532
CG42342,7.62346330269,10.4075472152,4.85028584301e-05,0.752861368552
CG12194,8.37098765606,5.47293255589,6.14635008328e-05,0.954036459927
CG30463,0.0,6.02835391316,6.2654363942e-05,0.972521037107
Ktl,0.0,9.37028325288,6.27394017787e-05,0.973840994409
CG33543,0.0,10.0747068446,9.38526806308e-05,1.45678130875
otk,8.37509832723,0.0,9.38526806308e-05,1.45678130875
Gprk2,8.56641652291,0.0,0.000132771213549,2.06087477671
hth,9.55136865658,11.3909840474,0.000154022352814,2.39073496038
bru-3,7.98417316677,0.0,0.000181576601823,2.8184320135
sdt,0.0,4.75104211605,0.000191695863289,2.97550318997
TrissinR,0.0,7.77030765645,0.000191695863289,2.97550318997
run,7.84602748023,0.0,0.000191695863289,2.97550318997
IP3K2,0.0,9.19781766204,0.000191695863289,2.97550318997
acj6,6.41275844428,0.0,0.000191695863289,2.97550318997
DIP-theta,0.0,5.44712606178,0.000191695863289,2.97550318997
Fas2,9.05704352826,10.3033867955,0.000192101013517,2.98179193182
CG31676,10.9045211519,11.5367721449,0.000296021072947,4.59483909429
dpr6,8.82723858043,0.0,0.000301562738535,4.68085682754
beat-Va,6.36576541371,0.0,0.000386116522864,5.99330066789
beat-VI,0.0,8.35537089578,0.000401100451324,6.22588120545
CR44978,7.62184142844,4.4154290022,0.000438924708267,6.81298932172
Toll-6,9.9389848504,8.07444077194,0.000445826278835,6.92011550008
pros,11.561619183,10.3469139779,0.00045046779818,6.99216116335
GstZ2,8.76583777654,0.0,0.000494091150955,7.66928284512
GstD1,0.0,6.54876217344,0.000542166280837,8.41550501115
Hasp,7.00582975897,0.0,0.00058095302954,9.01755292451
